File-ID,Transcribed Text
1191956,"93.
un priecigi, ka vairs lielaku prieku ne maz nav vairs pasaule. tikmērt tērzejam, jāmert mārieta jau iesēžās man klēpi.
Un nu es no prieka vairs nesinnaju, cik laimigu es nu sevi jūtos es domaju savā garrā kad ta patti nu irr manna visu mīļa draudzene, laicigi un mūžigi.
Ta es domaju sevi kas man viņņu vēl varrēs atņemt.
Un ta viss tas prieks un laiks aizgāja atkal ātri, un gaisma jau klāt, ta nakts pagalam.
Jā iet tūlin prom uz māju atstāju mārietu ar dievu un tēvu un māti, un atnācu prom uz"
1191952,"89.
pat atnācu tālaku vairs ne gribu iet.
Tad nu cellās tēvs pats augša uztaisa ugguni un iedeg svece un uz liek uz galdiņa lai deg. tad sākam pasakkas teikt ar to tēvu un runnajam par pļavam un tīruma laukiem lielu laiku un nu paliek jau mazāk to pasakku es sāku lūkot un skattīt kur ta meita guļļ un ieskattu kad meita guļļ pie mātes un tēvs guļļ ar dēlu.
Bet nu es ar ne ka ar to meitu nevaru iesākt runnāties paliek tās pasakkas arvien mazak un mazāk es sakku uz māti vai dzirdāt mate man sāk nākt miegs lūgtu vai jums nav kāda buntite salmu man ciemiņam"
1191942,"78.
baznicas tur jau laikam būs lielceļs ta es prom par tīrumu gāju uz lielceļu un tad gar nukķa dzirnim uz māju un vakkara saulitei noeijot māja tikku.
                                                                             5.
Tai bij 1874 ta gadā braucam mazsalacas tirgu es ar un vissi citti puiši un uz māju braucot pie nāburga. Lukstiņa ceļļa galā darijam ta laidam zirgu cittiem dzīdz uz māju, ta es un dienesta puisis norunajam iet iekša pie Lukstiņ tēva meitam un arri Lukstiņ tēvs ka iebrauc vien no tirgus māja ar savam abbam meitam un ta ie=ietam iekša nododam labvakaru ta tūlin tēvs pats pieness katram"
1191953,"90.
kur atgulties māte . sakka salmi mums irr gan kas tad viņus ieness es vec=cilvēks es ar ne iemu, tev cieminam pašam jāiet āra pie būdiņas irr salmi es sakku uz māti vai tad jums meitas nav kas tos salmus ienest varrētu.
Māte sakka mums nav ne vienas meitas ka tikkai mēs divi veci cilveciņi vien essam es sakku kas tad ta irr kas jums te klāt guļļ māt vai ta nav jūsu meita. Ta tēvs sakka no savas gultas ne aiztiec to ta irr mana māsa sērstu atnākusi, es sakku nu tad tai pašai cieminieteij irr jāiet salmos viņņa"
1191947,"84.
un otris palikt tur pat ka runajam ta darrijam es tūlin atstāju lieni ar labu nakt un iemu projam un otris dienesta puisis tas aizslēpās aiz drēbem kas staveja pakaramos pie sienas un nosacija man lai es āra gaidot kādu brīdi un tad lai nākot iekša un ta ši jaunaka meita dzirdejusi kad ciemiņi nu aizgājuši ta nāk lēnam no tēva kambara, sbece roka un apskatā viss apkārt par kambari vai vissi irr aizgājuši apskata gultu un ta nākusi nu māte ar pie viddus durvju šķirbas paskatitos vai vēl kāds znotinš ar irr pie"
1191938,"74.
cūkas, un es lūdzu tai esat tik labbi vec=māt un pasakat man vai es ar tieku pāri salaca, ši saka eita vien rāmis irr tepat šai puse, es sakku es jau nemāku pārbraukt es jūs lūdzu vec=māt nākat mani pārceļat,
Vec=māte prassa man no kurrenes tad tu irr, es sakku es irr no oļļim ši sakka ej nu vien rāmis nav ne saslēgts braukt pāri ta, ta vec=māmina paliek ļauna un sāk mani bārt, kur tad tu vels tāds irr audzis jau vec liels cilvēks nemāk ar rāmi pārbraukt, un mums māk vissi mazi bērni braukt pārri un ta nedrīksteju vairāk runnāt gāju vien bēdigs"
1191941,"77.
bet nu ķēros es ar pie vindas un nu vilkam abi tad tik ātri pārgāja ta meitiņa mani atstāj ar dievu un pati tūliņ prom par krastu augša, un es cik ātri vien varrēdams sakrampeju rāmi pie staba un steidzos no pakaļas jo es to ceļļu ar nezinnaju lāgā kur tiek uz lielceļu ta tieku šai meitiņai jau ietūma ši iet ar vien mudigaki, un es a kāmert ši sāk skriet un es ar skrienu un ta skrējam, ka spurkst vien tie alksņi uzveccā peidus pussi bet nu nāk jau klajaks un es redzu kad par tīruma vidduci brauc 2 dievārdnieki no"
1191949,"86.
augāa iztrūcies sauc kas tur kas tur irr par lērumu, un dažadi tad bij un otris puisis ar no drēbem kur bij aizslēpies āra man uz dyrvim pretti krūtis sittās lai skrien atpakkaļ un ta nācam skriedami kāmert meža iekša un tad nācam lēnam uz māju.
Un ta mums tas tirgus vakkars aizgāja tāda gaddijuma
                                                                                       -------------------------------
                                                                                             Preccešanas=iesākums
                          Pie pirtnieka meitas
                                                                1
Tas bij 1877 ta gadda vienu piekdienas dienu pašā arramā laikā sāku arrot domāt 
no
 preccešanās"
1191944,"80.
no kakta un sāk vērpt un ta jaunakā meita edde ņem to paunu vilnas sev līdzās un sāk kāzt to vilnu bet nu ka laikam tirgus vakkara neizdodās, ne ta kāšana 
?d
 nedz ta vērpšana un griež arvien to rattiņu un sakka ne zin kas irr kas nav par vaini man bij tik labs rattins un nu nevelk un nevelk laikam būs jānes pie dreimaņa un ta ar ta jaunakā meita edde kāš to vilnu bet ne ko nevar sakāst un ta pūlejās kād stundu.
Un nu es sakku vai tad gulētu vēl neiesīt ta veccaka meita Liene sakka vēl ne gan vēl svece pusse dedza liene sakka māt, vai irr ar vēl svece māte"
1191943,"79.
savu krēslu pie galda lai piesēžās un svece tikka iededzinata un tad nāca māte ar galdautu un uzklāja galdu un ta teicam pasakkas ka par tirgu irr gājis ta par brīžam uz nes ēst katram savu teleķi priekša un nu priši kāposti balti izvāriti un tad pa ēdam vakkariņas.
Un nu kas nu vēl būs jo meitas ka no tirgus nākušas ar visam jaunam tirgus apģērbušas iet un ness un liek un darra šo un to maizkambari un atkal kēķi, ka zib vien ta nu viss padarīts, bet nu ta veccakā meita, Liene ness tādu lielu paunu vilnas un ņem rattiņu"
1191951,"88.
domas viss, precceties iesākt bet nodomaju ar vienu ka domāts ta vajaga izdarīt lai vai ka. iemu tik iekša tai kambariti un nodomu labvakkaru.
Un māte saka labvakar, labvakar, un sāk prassīt kas essot ienācis laikam ciemiņts gan tas essot es sakku ciemiņš gan māte sakka uz mani lai taisot uguni augša es sakku man nav ugguns essāt tik labbi un taisāt jūs ugguni augša.
Ta māte sauca no savas gultas uz tēvu, Jāni cellies augša un uztaisi ugguni redz kur tas ciemints gribb iet vai tepat nācis vai tālaku grib iet, es sakku es te"
1191940,"76.
pagaidāt manni ar ne braucāt pāri, bet man nu irr tik laba prāta un tik liels prieks, kad es vairs no prieka ne zinnaju ko saccīt ko vēleties.
Bet nu pienāk ši meitiņa malla nu ka tad nu lai tiek uz rāmi jo rāmis irr nobīdits, no malla un nu grūžu gan pie balķiem gan pie staba kāmert viens stūris iegriežās uz malla pussi.
Un nu ši meitiņa lec, lai gan kājas drusku slapjas tika bet uz leca uz rāmi.
Bet nu es atstājos rāmja vidū un skattos redzēs ko tad nu ta meitiņa darrīs, bet meita sāk ķerties pie vindas un sāk vilkt un rāmis sāk smuki iet,"
1191939,"75.
leja un riktigi rāmis bija šai pusse ka stāstija.
Bet nu uziemu virsu uz to rāmi un nu nezinnu ne ka ko sākt ko darrīt, un nu sāku laust to stabu bet bailes ar kad nenolauž. un ta ar to lauzišanu no bīdu kād pāra soļu no mallas nost un nu vairs drīz pats nost ar ne tieku nu irr lielas bēdas kad nu būs japaliek uz ūdeni vissu nakti, un jau drīs kādu stundu gudroju un bēdajos.
Un ta nu uz reiz skrien viena jauna smukka meitiņa par krastu leja un sauca essat tik labbi ciemints es jūs lūdzu"
1191948,"85.
pie meitam ta ši paliek miera kad nu ne viena nav, būs likt to sveci uz galdiņu, ta es ar tūlin nāku no āra ātri iekša jo ta gaidišana man bij par ilgu āra diezgan, es domaju kad nu viss būs kārtibā, līdz ka nāku tā aši iekša ta krīt tūlin ar tām bailem meitai svece no rokam zeme un šaujās ar visu spēku skrien tēva kambari par vidus durvim iekša un sitt savu māti vecu mammu uz grīdu zeme.
Un mamma vaid vai, vai, meit kas tas par sitienu un meita skrien mammai pāri par krēslim pie tēva gulta iekša, un ta tēvs pats no savas gultas ar"
1191955,"92.
un nu es iemu gar=sienmali lēnam, pratigi kāmert pie meitas klāt, un rūmes vai cik. un nu tapat spāsejam un tērzejam kādu brītiņu, uz reiz ši meita mārieta sakka uz mani lai palaižot viņņu vaļļa, ta es atlaižu un ši uz ceļļās un nu aiziet, un nu es palieku viens pats tai gultā bet ko tad es viens gullēšu es ceļļos ar augša, un sāku lūkot, kur mārieta palikka un mārieta atsēdusies uz steļļu sēdekli.
Un nu es ar iemu pie mārietas un atsēžos šai līdzās uz to sēdekli, un nu runaimies tik mīligi un laipnigi un"
1191950,"87.
un kāzu taisišanas pie kurras lai varrētu iet, ne vienas zinamas ne kur nav.
Nu tad viss pēdigi nodomaju iet pie pirtnieka meitas tai cerriba, kad tūlin iznāks ātri tas nodoms cauri, bet nu dzirdesim ka tas izdosies.
Ja nu tūlin līdz ko atnāks vakkars ta iešu un ar bij jauks smuks laiciņš priekš pasierešanas dabas jaukums.
Un nu tik taisos vakkarā un iemu pie Jaun=zilpauša pirtnieka meitas preccetos, jo ta man bij pazīstama un aiziemu tur pie tās mazās veccās pirtiņas un palieku stāvot pie kambariš durtiņam un domaju vai nu iet iekša vai ne, jo tās nav nekādas nieka"
1191957,"94.
māju, tik priecigs un līgsmis par pļavam un mežiem kāmert māja.
Ta nu strādaju atkal priecīgs savu darbu.
Kad atnaca jau atkal svētdiena un pārdomaju vissu svētu dienu par mārietu un sarakstu vissas savas domšanas viena.
Vēstule no preccešanas un kāzu taisišanas.
Un nu tūlin tai paša svētdienas vakkara taisos un iemu atkal otru reizi pie mārietas un no nesu to vēstuli mārietai
Bet nu aiziemu. tur iemu iekša no domu labvakkaru un patlaban mārieta māja gan, atsēžos"
1191946,"83.
lūko un riktigi irr addata stūri vēl iesprausta, un nu liene brinās kad addata aizmirsusies jo nu pat ka izgājušu nedeļu ka šuva un ta nu iet ta liene gulta un nu mēs abbi pie=ietam pie šās ta nu man paliek ta liene un otris puisis būs ņemt to jaunako un ar nest gulta ta jaunakā edde ieskrien maizkambari un nu iet pēc šās būs vests no maizkambara āra iz ved gan, bet pasprūk un ieskrien pie tēva gulta un šis vairs nedrīkst nāk nu prom, un ta liene sakka, e, ka jūs essāt bailigi viņņu jau vajaga grābt ar vissu spēku un nest aši un ātri.
Bet nu mēs ta nedarrijam un norunajam ta kad viens iet prom"
1191945,"82.
sakka irr gan, ta ness māte jaunu sveci lai gan ta vēl pusse dedza liek uz galdiņu.
Nu mums bij gan ko brīnities nu kad tad nu gulētu ies kāmert pusotras sveces nodedzīs, bet nu ta Liene ceļļās no rattiņa ar vissam jaunam kleitem ka uz tirgu bij ģērbusies ar tām pašam vērpa un sakka būs jauztaisa gulta un nu sāk taisīt to gultu un māte nesa no lielā skapja tīri jaunu sakšu skaistu un dod meitai lienei lai klāj uz gultu.
Ta māte sauc no sava kambara Liene palūko kad nav sakšai vēl addata dtūri un liene pār="
1191954,"91.
par priekšu irr atnākusi zinn tās malliņas vairāk ka es nu es sāku aiztikt to pašu tēva māsu, vai dzirdi ar tēva māsa essāt nu tik labbi lūdzu aizeita nu gan salmos kur man atgulties. ienesāt.
Māte sakka tad nu eij Māriet Māriet ieness tam ciemiņam tos salmus.
Mārieta atsakka tai mātei pretti es ne iemu lai viņš iet pats es sakku nu kad viņņa ne iet tad viņņai ja uzļauj te pat pie viņņas pašas rūme Ta Mārieta sakka laipna balsi būtu labprāt ļāvusi bet man nav rūmes.
Nu es sakku kad atļaušana vien tad irr rūmes dezgan"
1191912,"48.
jo katru dienu tas bij mans darbsžagarus cirst un ugguni kurrināt un lopus ēdināt un kad tas padarīts tad atkal tūlin pie linnu strādašanas, diena vai nakts kāmērt ruddeni linnus sāk strādāt. un pavassari beidza tad tikka pie cita darba projam.
Ta nu tikka jau piedzīvots, tas dividesmit pirmais gads, kad uz lozem jāiet karra dienesta kad nu dabbuju zināt kad rekruši jau ierakstiti, un rekrūšu līste jau essot tiesas nammā uz durvīm uzlikta tad es vienreiz vienu dienu gāju lūkotu uz tiesas-māju, par kādu vīru es ar essmu ierakstīts tā iegāju tiesas māja un pārskattiju visu to rekrūšu listi, un uziemu kad es irr ierakstīts"
1191914,"50.
un par kādu pāra, stundu, nu nāk mannis saukšana kad jāiet iekša pie draudzes kunga, un tā nu ietam abbi divi ar tēvu iekša pie draudzes kunga, Tā tūlin draudzes kungs prassa.
Vai tev irr ar kāda vaine ko sūdzēt, tā es ne ko nevarreju izrunnāt jo biju notrūcies, tad tēvs sakka kad ar kājam, essot vainigs,
Ta draudzes kungs sakka lai es atauju to kāju un parādu un taisos to otru kāju ataut.
Bet draudzes kungs sakka lai ne taisa to otru kāju vaļļa. 
Lec stāvu no krēsla draudzes kungs un brēc bārga balsi uz tiem tiesas vīriem.
Kas jūs par tiesas vīriem essāt vai jums nav vaļļa un laiks dots"
1191901,"37.
zinatnieku palieci, ta aizbrauca projam uz muižu pie Lielkunga un es nācu un gāju tīrumā garstrādniekim tad vecais mūsu mājas piedzīvotais. veccais Ballodis. uz manni saccija vai dēls nu irr slikti tev tēvam nevaidzeja, gan tik aplam viss darrīt lai irr jāiet uz lozem kas par to, bet tev vienādi vaidzeja māju norakstīt un es arri gan palikku tāds bēdigs bet ar savam vājibas grūtibam ne ko daudz nedomaju vai tas būtu labbi voj slikti un ta paliku miergs savā garrā.
Ta nu  pagāja tie bērnu gadi un pavassarā pienāca tad gāju māciba bet tāds"
1191907,"43.
leja atkal ta pūlejās kādu stundu vairāk uz vien reiz ieveļās iztaba par logu un nu sāk prassīt tam māju tēvam vienu ilksi, bet māju tēvs samekle vienu veccu raggu ilksi un sakka es par brīvu ne domu, ja vezmu žaffaru dodāt tad es domu, ta mans tēvs saka, ak, muži vai ta ar jaruna vai divi vezmi tos es tev varru dot, un nu ta istaba silta tēvs jau tāds gurdens ne grib vairs no siltas iztabas āra nākt es izaicinajos no sakka pretti- gan- nu gan nu dēls iesim zirgs āra ar sāk salt ko nu lai darra, tad sāka pats māju tēvs par laimi labs cilvēks būdams, man palīdzēt izvest."
