File-ID,Transcribed Text
1215285,"Augusts Nagels ieķīlājis banka savu māju, lai dabūtu aizdevumu Bitana drošibas naudai, lai nebūtu jaiet cietumā pirms tiesas sprieduma.
Citi ""sapratīgie"" klusēja, izlikas nedzirdot, ka būtu kas ļauns noticis. - 
Grāmatvedis Kārlis Jegers savu ieguvuma daļu bija centies nodzert. Tiešam jabrīnās, kur divus gadus var tik daudz nodzert! Uz pienotavas griestiem bija liela tukša pudeļu kaudze! Melleņu laikā piena vedējs kāpa uz pienotavas augšas dēļ pudelem melleņu ievārījumam. Daudzas pudeles bija savada, neredzeta veida. Es sāku strādat Mālupes pienotavā par grāmatvedi pēc K. Jegera - Nozagto naudu nodzert K. Jegeram pastāvīgi bija palīdzējuši pienotavas mašinists Alfreds Rēdmanis, pagastvaldes priekssedetājs Augusts Lietapurs, pagasta rakstvedis Otto Brilts, Mālupes dzirnavu īpašnieka dēls Konstantins Rābe u.c. Rēdmanis, Lietapurs un Brilts mani tūliņ uzskatija par personīgu ienaidnieku. (Ja, iedomājies, bija plūdiem - vairs ne pudeles!)
Reiz man kancelejas durvīs bija aizmirsusēs atslēga - šleperīts. Rēdmans to bija izņēmis un ieiicis savā kabatā. Darba svārkus nometis mūsu kopejā ķēķi un aizbraucis uz Alūksni. Es jau nopratu, ka tikai viņš vainigs. Nozagto slēdzenīti apmainiju pret citu - līdzīgu.
Pagāja ilgaks laiks. Reiz ienāk kancelejā valdes locekli Kalniņš, Lietapurs un mašinists Rēdmanis. - Prasa no manis kantora atslēgas. Es paradu atslēgu. Rēdmanis ņemas slēgt ar savu atslēgu un brīnas, ka neslēdz, tad atkāpjas melodams, ka to atslēgu atradis uz pagalma..."
1215283,"Daži domāja atraduši iemēslu: ""Nebija skolu - nebija zagļu."" Bieži atcerējas netālo pagātni. Ja toreiz viens zemnieks prasijis no otra aiznemties naudu, tad naudas aizdevējs teicis: ""Nāc aiz stūra, lai citi neredz. Es tev naudu iedošu, tik tu ne vienam nesaki, ka es tev naudu devu.""
Neatdot parāda - ta neviens nevarēja iedomaties!
Tagad izraksta parādzīmes, mantu nobēdzina, parāda nemaksa.
Tautas morāli gremdēja naudas saimniecība, kapitalisms.
Naturālaja saimniekošanā turigakais zemnieks tikai nedaudz varēja uzlabot savus dzīves apstākļus.
Visiem tāpat vien bija jaiztiek ar savu audzeto maizi, pašu austo drēbi, paša taisito riju...
Naudas saimniecībā tikai iegūtais naudas vairums noteic cilvēka iegribu robežas! Par zemi muižā jānomaksā noma naudā. Par naudu var ari pašu zemi nopirkt! Tad esi pats īpašnieks! Neatkarīgs no gadsimtus lādētās muižas! Ja, naudas vajag! vajag! Cik tev naudas, tik tev varas, goda, slavas. Tadēļ visi ceļi labi, kas ved pie naudas. Ari sliktā ceļā iegūtā, tāpat ir nauda. Sledziens: nauda nes 
[..]
Ta kapitalisms sabradāja tautas goda prātu. Bagatības alkas apklusināja sirds apziņu. - 
Buržazīskās [buržuāziskās] Latvijas laikā ieraušana organizejas valsts merogā. Piemēram Ulmaņa partija valdija, dibināja sabiedrības ar valsts pabalstu un aizdevumus savāca paju naudu no tautas, tad ""naudiņu"" dibinatajs ""likumigā"" veidā pievāca sev, un  uzņēmums bankrotēja. Pec brītiņa izdomāja jaunu nosaukumu un dibināja un bankroteja atkal. Ta dzima un mira ""Zemnieku banka"", ""Zelta lats"", ""Malienas Zemturs"" u.c."
1215281,"Bēdīgi popularais Otto Bitāns 1936. gadā man saka: ""Nevaru saprast, kas te notiek. Visi jaunie, paskolotie paliek par socialistiem""
Es viņam teicu: ""Saki kur citur ir izeja? Tēvi sadala saimniecību dēliem. Ja tēvi nepaspēj, tad dēli paši sadala saimniecību. Saimniecības kļūst aizvien mazakas, bet tehnika turpretim attīstas lielaka, varenaka. Ka lai darbību saskano? Kur te izeja?"" 
Bitans apgriezas un aizsteidzas, it ka būtu saņēmis sitienu. Vēlak viņa draugi mani saukaja par veco komunistu. Tikai nodibinoties Padomju valdibai man sī palama atkrita. 1927. g. es braucu ar vilcienu no Valkas uz Alūksni. Tai pat vagonā brauca Saeimas deputats Kristaps Bahmanis. - Tai laikā avizes daudz rakstija ka zīds Zivs apkrapis Latvijas banku. - Ieķīlājis savu preci, sanēmis lielu aizdevumu un aizbedzis uz Ameriku. Zivs bijis tautsaimniecības profesors. - Es K. Bahmanim jautaju. Kādēļ avīzes nemin to vārdus, kuri sastādija aktus un augstu noverteja Ziva nederīgas preces? - 
Deputats neka neatbildēja. Likas, ka viņš manu jautājumu atstās bez atbildes. - Pēdigi viņš man klusam teica: ""Tas notiek tādēļ, ka Latvijai vairs netic""
Tatad steidz uztirgot. Ieraut katrs ko spēj."
1215284,"1. turp.
Vēlētāji iepazina Ulmani un tik stipri strīpoja pēdejās Saeimas vēlešanas, ka viņš iekļuva Saeima tikai diviem ievēlētiem izstajoties, un dodot viņam vietu. -
Tāda dumjo zemnieku sitiena viņš vairs otrreiz vairs nevēlējās piedzīvot. Ar steigu vāca spēkus un sagrāba varu. Mazie ulmanīši centas sekot vadonim. Pienotavas bija naudigakās vietas laukos, tadēļ tur organizeja zādzības. Izrādijās, ka blēdību organizetaji un izdarītāji ir tie, kas alkst ātri kļūt bagati, kā piem. Malupē Otto Bitans, Ernests Kupčs, ka ari tie, kuriem vajag bezmēra daudz dzert. piem. Bejā Aleksandrs Upenieks, Mālupē Karlis Jegers. 
Mālupes pienotavas kasierim Otto Bitanam 1931. un 1932 g. no kases bija ""izputejuši"" 10.000. - latu. Tiesa piesprieda cietuma 4 gadus. - Ulmans saprata, ka te ir tikai neveiklas rīcības gadijums bet cilvēks ir savējo un tādēļ O. Bitanu apžēloja... Interesanti, kā pret šo lielo zādzību izturējas piena vedēji un citi iedzīvotāji? - Atklāti neslavēja neviens. Apmēram 95% piena vedēji bležus kasieri O. Bitanu un grāmatvedi K. Jegeri nosodīja pēc nopelniem. - Neliels mazākums, turigāki, bagataki ļaudis, apzinādamies, ka bagats neviens nav ticis ar savu darbu vien, paklusām mēģināja palīdzēt, glābt, iekritušos. Vismaz slikti neizteikties... Daži par šo labvēlību, labdarību saņēma maksu. - Ernests Ozols nepiekuzdams stāstija cik Bitans nevainīgs un par to esot saņēmis dažus simtlatus. Aleksandrs Kalniņš man sacija: ""Bitans man sola vairāk kā es gadā varu nopelnīt."""
1215282,"Kapitalisma vērdzībā.
Neesmu lasijis ne viena raksta par to, kādu kropļojošu iespaidu uz tautas garu atstājis gadsimtus garais vācu kolonizatoru jūgs? - Visumā - latvietim patīk klusēt, pasivi vērot. - Tāda latviša tipa attīstību, izlasi veicināja vācu feodaļu režims. Runātāji krita sodā, mira moku kambaros, uz rata vai karatavu kalnā. Dzīvi palika klusakie. Ta šī īpašība nostiprinājās no paaudzes uz paaudzi. - Jabrīnas kādu goda prātu mūsu senči bija iznesuši cauri feodalama mokam! Jabrīnas ari - cik ātri kapitalisms viņus padarīja negodīgus! - - Šī ātro pagrimšanu R. Blaumanis apdzied savā pirmaja lugā ""Zagli"", Abrama dziesmā. ""Agrak ko es vēl ar paunām apstaigaje muzikes, vines nebij vēl tik launes ka ir tagad ne uz pus. Ienācis sēte, kur man tike, noste zemē mete es, zinaje no prece seike naies zagt ne adates. Ja tie lander beij bez galem gadiges pa malu malem.
Tagad dienes nebaltes, pūs pavisam citāds vējs.
Tagad preces vai ar 
gvaltes
 man no mastes laukā plēs vece-jaune, liele-maze zog ko katrs  var, ko māk; spice bante, poge naze un kas tam pie pirkstem nāk. Ja tie landes zog bez galem, ko tik var pa molu molēm.""
Šo kraso pagrimumu ir vērojis ari Ed. Veidenbaums. 
Par šo tematu gadsimta sākumā runāja visi pieaugušie cilvēki. Viņu acu priekšā šī pārvērtība bija notikuse. - Sacija tā: Agrāk zirgi pieguļā bija jasargā no vilkiem, tagad - no zagļiem. Kādēļ tas ta? Kur ta vaina meklejama?"
1215279,"Kolberģa pils notikumu laikā ari barona sarīkota slepkavība tiktu saukta īstā vārdā. - Bijis vien jalieto jaunāko laiku paņēmiens: bērns pa klusām janodod citur audzinašanā. - Jaunā māte atcerejusēs, ka  viņas precetai māsai Katležu Oša sievai nav bērnu. -Ta Katležu Oša ģimene dabujuse sen gaidīto Jānīti. Bērns audzināts kā jau visi zemnieku bērni, bet - uzaudzis - dzeguzēns. - Gadsimti rādijuši savu seju. Oša Jāni vairs nesargāja barona neierobežotas privileģijas. - Gadu tūkstošu mijā katoļu baznīcai bija lielas bagatibas un vara, tomēr baznīca kāroja sev pakļaut jaunas zemes un tautas, no kuram izspiest ienākumus. Šos laupīšanas karus sauca par krusta kariem. Grūtāk bija savākt karotājus. Godīgs zemnieks vai amatnieks negribēja uznemties tālus, grūtus ceļus, lai varētu dabūt kauties. - Radas izeja. Valsts varai un sabiedrībai laimejas aizturet zaglus, slepkavas, lielceļu laupitajus. - Apcietinatos gaidija pelnītas karatavas. - Viņu grūtības izmantoja baznīca. Baznīca piedeva ieslodzitiem ne vien grēkus, bet arī noziegumus, ja viņi ir ar mieru būt krusta karotāji.
Ar sajūsmu tiesajamie pieķēras baznīcas rokai, un - ieguva abas puses. - Mūsu Baltijā savervetie noziedznieki varēja laupīt un slepkavot pēc patikas dievam par godu un baznīcai par prieku. Nomāca neorganizetas latviešu ciltis. Nostādīja viņus beztiesīgu dzīvnieku stāvoklī. Latviešiem nebija tiesību aizstāvēt savus darba augļus, ģimeni, dzīvību. Tomēr aizvienam rodas cilvēki, kuri nespēja atteikties no pēdējām
 [..] 
drumslām."
1215289,"Ka gadu tūkstošu mijā varēja būt tagadejā Aluksnes rajonā?
Gadsimta sākumā pagastskolās mācija Krievijas vēsturi krievu valoda 
Voskresenska 
sastādito. - Vesture neintereseja skolniekiem, jo par tautas dzīvi tur nekādu ziņu nebija. Tikai stasti kā sekojuši cars pēc cara un karš pēc kara. Petera I. vadlisanas laikā XVII un XVIII. gadsimtu mija bija nodaļa par parvērtībām, ko Peters I pulejies ievest valsts un tautas dzīvē. Viņa laika celtnes, strūklakas apbrīno ari tagadējie ekskursanti Leņingradā. Nākošie valdnieki atkal dzīvojuši bez talakiem mērķiem un neka paliekoša, apskatama nav uzcēluši. - 
Tanī pat vestures grāmata mācija, ka IX. gadsimta Novgorodas iedzīvotāji nolēmuši, ka janodibina krievu valsts. Ar valdnieka izvēli neveicies. Tadēļ nolēmuši, ka valdnieks jameklē arzemēs. Sutņi aizgajuši, laikam Skandinavijā un teikuši: ""Наша земля велика
 и обильнa, 
н
о порядка в
 ней нет. 
Придиtе княжя и владиte над
 
нами. - Atnākuši tris valdnieki. Ruriks sācis valdit Novgorodā. Siņeus [Siņeuss] Baltezerā un Truvors Izborskā. - 
Ta tad stiprs krievu cilšu centrs bijis pie mūsu senču robežām. - Tad jau tautam bija jasatiekas. Un satikušas un sadzīvojušas. - 
To pat vesture mācija, ka no latviesu ciltim ņēmuši tikai легкую дань вениками и лыками. Tas ir pirts slotas un lūkus. Krievijā jau bērzu pirts slotām netrūka, bet latvieši būs stāstījuši un rādijuši, ka ar viņu slotam pirtis nopērtie slimie kļūst veseli, un no viņu lūkiem, lūk, pin šīs skaistās vīzes. -"
1215286,"2. turp.
Pagasta rakstvedis Otto Brilts katru vakaru gāja uz krogu. Ja atpakaļ nākot gadijas mani satikt, tad sacija: ""Redz ta nu rītu atkal runas - Brilts bija piedzēries"" Ko es tur lai runatu? Vai tas kāds jaunums? Ta pagāja divi gadi. Vienreiz iedzēries viņš ienāk pie manis un saka: ""Tu esi kārtīgs sabiedrisks darbinieks, un no manis vairs slikta vārda nedzirdesi."" Tiešām viņš vardu turēja!  Kara laikā viņu ka ""sarkano"" no pagastvaldes padzina. - Pēdejos gadus viņš dzīvoja Aluksnē. Mēs satikamies kā labi paziņas. - Augusts Lietapurs palika negrozams savas dzēraju šķiras cīnītājs un nīda mani ka jau pretejas, naidīgas, nedzērāju šķiras pārstāvi. Sagudroja kaut kādu izsmieklu. ""Dzīvo tāds svētulitis. Reiz būsi tāds pat mironis kā es"". Tomēr tas nepiepildijas. Dzeršanas deļ viņš sāka slimot ar gangrenu vai paralizi. Gadiem slimoja. Viņam pakapeniski amputēja abas kājas un roku. - Reiz es aizgāju Alūksnē uz slimnīcu kādu apmeklēt. Apmeklejamā slimnīcā nebija. Tad es atcerējos ilgo slimotaju Lietapuru un šokolades tafeliti viņam iesūtiju. - 
Vēlāk citiem apmekletajiem stastijis un raudajis, ka ari es viņam šokoladi iesūtijis. - Varbūt tai brīdī viņš saprata, cik ļaunuma ir centies man nodarīt. - 
Bijušā Malupes dzirnavnieka dēla Konstantina Rābes uzskatus pilnigi izpratu tikai pēdējos gados. - Kādam savam paziņam es īsumā aprakstīju Mālupes pienotavas apzagšanu. Šī vestule bija nokluvuse K. Rabes rokās"
1215274,"Tai laikā Aluksnes miestā Bremze un Ratnieks cēluši pirmās mūra mājas. Murniekmeistars Rīgas Jānis nolīdzis tepat darbu un uz Rīgu tai vasarā neaizbraucis.
Kādā svētdienas novakarā Jānis ar saviem zeļļiem sēdējis baznīckroga 
slaikā
 pie alus glāzēm. - Runājuši  ari par mācītāja ātro dabu un mantkāri. Bijuši ari citi kroga apmekletāji. Rīgas Jānis sācis atkārtot stāstu kā mācītājs ar ķesteri buļā ādu dalijuši. - Mācītājs kā atrāks sacis raut ādu uz savu pusi. Ķesters izrādījies stiprāks un licis, ka viņš izraus ādu no mācitāja rokām. - Jānis meties mācītājam palīgā, pat ar zobiem sagrābis adas malu... Durvis noklaudzejušas āra izskrējis mācītaja kučieris. - 
Stāstītājs apklusis. Kāds klusuma noteicis: ""Tas aizskrēja Breneram pastāstit"".
Cits piebildis: ""Breners Jāni sūdzēs tiesā"".
Jānis teicis: ""Aiznesās par ātru, nedabūju izstāstīt. - Tai vakarā baznīckrogā par mācītāju vairak nerunājuši.
Rīgas Jānis drīz vien saņēmis pavēsti ierasties draudzes tiesā Brenera sūdzības lietā.
Noteiktā laikā Jānis ieradies draudzes tiesas pārpilditā zālē. - Uz tiesneša jautājumu, ko viņš krogā runājis par macītāja cienigtevu, Jānis"
1215277,"Viņš noorganizējis un vadījis zagļu bandu, Jānis jau sapratis, ka kaimiņi zin viņa nodarbošanos un tadēļ manam tēvam teicis: ""Tu nebaidies, tava zirga es neaiztikšu, un es gribētu redzēt, kāds tas izskatas, kurš bez manas ziņas var nākt te zirgu zagt?!""
Vispār tos laikos zirgu zādzības bijušas ļoti izplatītas. Tas bija ļoti izdevīgi: zagtā manta pate tevi aiznes tālumā. Ja gadijies, ka mekletaji uz pēdām, tad zirgu nositis un krūmos apracis. Valsts vara maz spējuse zagļus traucēt.
Otra Jāņa specialitate bijuse kaušanās. Tagad teiktu - tas viņa sports, tāpat kā kādreiz krieviem Kulačnij boj.
Viņš krogā daudz negarlaikojies. Meklejis strīdiņa. Ja nu kāds aiz nezinašanas sācis apvainoties, aizstāvēties, tad Jānis sācis pļaukat pa vienu otru ausi. To darijis tik veikli, ka upuris nevarējis zemē nogāsties [nogāzties]. Ja peramajam gadijies klupt uz priekšu, tad Janis uzbļāvis: ""Vai ta virsū lēksi!"" un ar attiecīgu sitienu peramo noturejis līdzsvarā. Galvenais: kaušanas laikā Jānis nedusmojies, sitis priecadamies, smiedamies.
Pagājusā gadsimta astoņdesmitos, deviņdesmitos gados cara valdība sapratuse, ka viņas policija nav neko vērta un tādēļ ""demokratizejuse"" noziedznieku ķeršanu.
Pagastnamā sasauc visu balstiesīgo sapulci. Katrs var iesniegt zīmīti ar zagļa vārdu. Ta rodas kandidati, par kuru izslēgšanu no sabiedrības tiek nobalsots.
Kurš kā nevēlamais saņem vairāk ka pusi no klāt esošo balsim, to aizsūta uz Sibiriju, nometinašanai.
Tādā sapulcē Oša Jānis ticis nobalsots uz Sibiriju.
Jāņa tēvs gan žēlojies pagasta valdē, ko šim nespēkā darīt, muiža noņēmuse saimniecību, pagasts - dēlu..."
