File-ID,Transcribed Text
1172711,"svešnieka klātbūtnes. Un te nu Inga parādīja raksturu, kura priekšā man nācās piekāpties. Viņa kā arī viņas piederīgie jau sen mani vairs neuzskatot par svešnieku un lai manī nekad vairs šādu domu uzplaiksnījums neuzliesmotu.
Ko lai dara? Katra godīga vīrieša pienākums ir pakļauties sievietes gribai - ja šī gribas ir saprātīga - vīrieša nepazemojoša.
9. VI 40. Ozoliņos
Vēl esmu pie Ingas. Šodiena aizlidoja tik ātri kā no noziedējuša zieda atraisījusies pieneņu pūka vējā. Šodien tikām no visiem lutināti un apveltīti ar īstu lauku ļaužu labestību.
Vakarā Inga nodziedāja vairākas tautas dziesmas pati pavadīdama uz klavierēm, bet uz vijoles atskaņoja mūžseno Em. Dārziņa ""Melanholisko valsi"", kuru klausoties mēs gandrīz vai apraudājāmies.
10. VI 40. Ozoliņos
Svētki beigušies! Kaut gan neviens mums to nav atgādinājis.
Šonedēļ jāizved kūtsmēsli melnai papuvei nākamā gada rudziem - gadskārtējai jaunajai maizei.
Neviens mums neko nelika un pat neuzaicināja, bet mēs ar Ingu nolēmām būt no to apzinīgo saimes, kaut neesam ne skauts ne gaida, bet mazpulki, vismaz gribējās tādiem būt, kuri paši saprot ka lai dzīvotu ir arī jāstrādā.
Tā es palīdzēju tēvam piemest vezumus, vectētiņš nogādāja tīrumā izķeksējot čupās, kuras Inga ar krustmāti steidza izārdīt. Tā četratā darbs gāja no rokas labi un vakarā puse lauks bija noklāts biezu kūtsmēslu kārtu, bet nogurums kaulos bija ne mazais no šī neierastā un diezgan smagā darba. Kaut gan pelde Sedas atvarā atsvaidzināja un ja ne pilnībā tad daļēji tomēr atgrieza atpakaļ dienā zaudētos spēkus."
1172709,"jāsarkst, tad to darīt bija pēdējais laiks. Rīta jāmēģina iztaisīt četri zaļbalti mietiņi lauciņa apzīmēšanai.
Ar labu nakti, Inga! Vēl tikai četras garas dienas un tikpat vēl garākas naktis bez Tevis...
4. VI. 40.
Nav velti septiņas garas vasaras staigāts ar govju ganāmpulkiem. To pierādīja šis rīts. Lai arī vakarā aizgāju gulēt tikai pēc pusnakts, šorīt piecos biju augšā bez saimniekmātes modināšanas. Viņas jaunākais - Edvards ir daudz lielāks gulētājs, ko pats arī atzīst un smejoties piebilst, ka tādēļ viņš arī meitās neejot, lai nebūtu nakts bez miega jāpavada.
Nekā jauna, ja neskaita namdaru trīs vīru ierašanos, lai būvētu guļbaļķu kūti virs 1.20 m augstiem akmens pamatiem ""Viesturos"".
Esmu pa šīm dienām pamatīgi paspējis nostiprināt ziemas iedegumu, jo laiks ir saulains, jauks, brīžiem vienas vienīgas mākoņu liellaivas pie zilajiem debesu plašumiem.
5. VI. 40
Šovakar mūsmājās skumji. Saimniekmāte sēž savā krēslainajā istabiņā ar asaru pilnām acīm.
Šorīt saņēmām ziņu, ka ar viņas vecāko dēlu Richardu darbā notikusi nelaime. Viņš strādāja Torņkalna stacijā par pārmijnieku. Un kas gan viss nevar notikt uz dzelzceļa?
Dienā aizvedu Jāni un Edvardu uz staciju. Tagad jau viņi Rīgā un zina kaut ko tuvāk par vecākā brāļa likteni.
Vistrakākais, ka Jāņos bija Richardam paredzētas kāzas ar kāda mācītāja meitu. Tagad tas nu ir skaidrs, ka kāzas nenotiks un vai vispār notiks? Vai tagadējā līgava, ekscentriskā mācītāja meitiņa gaidīs, kamēr nelaimes gadījumu cietušais līgavainis
3
izveseļosies un ja nu visa šī notikuma rezultātā parādās kāda kroplība...
Nu cerēsim to labāko!
6. VI. 40
No Rīgas nekāda ziņa. Ne laba, ne slikta un tā mēs neko nezinām par Richarda likteni.
Sadūšojos, kaut patiesībā ko dūšoties nebija un pēc beigtiem dienas darbiem, kad saule atvadoties no šīs dienas vēl sēdēja virs Burtnieku gāršas robotajām egļu galotnēm, aizgāju līdz Ingas tēva mājām.
Pēc sasveicināšanās un atkalredzēšanās brīža satraukuma norimšanas tūlīt sekoja no visu trim mutēm Ingas tēva - Andreja, krustmātes - Kristīnes, Ingas tēva māsas un Ingas vectēva, no tēta puses, Jēkaba izsacīti pārmetumi par manu nesaprotamo rīcību sakarā ar manu šīsvasaras dzīvošanu Kangaros. Jo tā kā tā mēs ar Ingu viens bez otra nedzīvošot un tā viniem liekus kreņķus vien sagādāšot.
Šai ziņā viņiem taisnība ir un kā šķiet šim paredzējumam šajā sakarā sekas - nemierīga vasara. Bet dzīvodams Ozoliņos zināmā mērā būtu zaudējis pašcieņu pats pret sevi un vienmēr justos Ingas piederīgo priekšā neērti - it kā mūžīgs parādnieks. Bet pašreiz es vēl nevienam parādā negribu būt un kā māca sena tautas gudrība, tad ciemiņš vienmēr ir mīļāks nekā līdzdzīvotājs.
Beidzot labsirdīgi pasmaidot vienojamies, ka labi vien ir kā ir un laiks pats visu noliks savā vietā. Vienojamies, ka sestdien Ingai pretī uz staciju aizbraukšu es.
7. VI. 40.
Pēcpusdienā pārvedu rīdziniekus līdz ar ganu meiteni, dūšīgu meiču, manu vienaudzi, īstu rīdzinieci ar šarmu un figūru.Neko pielikt, ne atņemt. - Ieva - viņa stādījās priekšā.
Bet tā ka pie mums līdz Paradīzes dārza pilnībai vēl tālu un diez vai atradīsies arī Ādams,"
1172712,"5
Visa kompensētāja un atpūtas mirkļa skaistuma devēja bija Inga vakara mijkrēslī zem mūsu baltajiem Latvijas bērziem Sedas krastā.
11. VI 40. Ozoliņos
No rīta ar tēvu saspļāvām kārtīgi plaukstās un mēslu vešanu šodien pabeidzām. Labi strādāts! Divās dienās simt desmit kārtīgu 700-800 kg smagi vezumi un spainis izdzertu bērzu sulu katru dienu - tas ir sasniegums.
Jā, bērzu sulas. Kā viņi tās taisa un ieskābē tik aromātiskas un atspirdzinošas.
Ar tēvu tīrumā nogājuši konstatējām, lai kāds meistars būtu arājs un cik labs arkls ar mēslu iearšanu būs kā būs. Daudz par biezu gāzts, bet par to rudzi nākamgad būs kārtīga vīra augumā.
Ingai ""paveicies"". Apdedzinājusi muguru un pat krējums skābais nepalīdz. Es ieminējos, ka tagad man laiks atgriezties Kangaros, jo viņai gribi vai negribi nakti nāksies pavadīt krēslā sēžot. Inga atsacīja, ka par velti es priecājoties. Viņa protot arī uz vēdera gulēt, un kā gulēšot es, tas viņu nebūt netraucēšot.
Jā! Tā ir Inga!
Pie vakariņu galda ar tēvu norunājām celties agri pirms saules, lai pa vēsumu dabūtu paarties. Dienas paliek arvien karstākas un svelmainākas, bez viena veldzes piliena no debesīm. Vālodze var kliegt un saukt cik grib.
12. VI 40.g. Ozoliņos
Jā. Slikti ir ja nedara neko, bet ir slikti, ja darot darbu pārcenšas. Tā kādreiz var arī vislabāko darbu samaitāt. Šoreiz arī mums ir novīlies, ka pie labākās gribas arkls nevar ievērst kūtsmēslus zem velēnas. Tagad divi cilvēki ar grābekļiem nāk aiz arkla un grābj nākošās vagas aruma daļu izartās vagas dibenā. Un tikai tā var kaut ko darīt. Zeme visu laiku nesaņemdama lietus valgmi, tā sakaltusi, ka arkls varītēm laužas no dziļuma lai slīdētu pa virsu. Tēvs šo godu turēt arkla balstus, piešķīra man, pats piepalīdzēdams sievietēm ar"
1172714,"6
Es savukārt lūdzu Ingu, lai arī viņa neaizmirst savu aicinājumu un kaut pāris stundas ik dienas paplinkšķinātu klavieres, pačīgātu vijoli un paraustītu stīgas ģitārai.
Secinājām, ka abi esam vienādi labi un rezultātā vienojāmies, kamēr saule vēl augstu un ēnas nav pārāk garas, tikmēr smērēšu papīru, bet kad sāks krēslot, Inga atdosies savai Mūzai ar sirdi un dvēseli.
Pēcpusdienā aizgājām uz Kangariem, lai paņemtu krāsas un kartonu, bet Inga apciemotu kaimiņus, kā tas kārtīgiem kaimiņiem klājas, pēc ilgākas prombūtnes.
Mani ne visai iepriecināja šis gājiens. Kādēļ plēst vecas brūces? Jo zinu, ka savā laikā saimniekmāte Ingu bija iecerējusi savam jaunākajam dēlam - Edvardam. Uzzinājusi, ka Inga izraudzījusies mani, bijusi ne visai priecīga. Vēlāk, kad Inga aizbraukusi mācīties uz Rīgu, nomierinājusies un atzinusi, ka šī meiča nav priekš Edvarda.
Bet katra brūce sāp no jauna, ja viņu nesaudzē un aizskar. Tāpēc klusībā es brīnījos par šo Ingas soli. Parasti viņa bija diezgan izvairīga, lai nenonāktu tuvākā saskarsmē ar šīs mājas ļaudīm.
Viss beidzās normāli un rezultātā es Sedas līcī uztaisīju trīs darbus. Inga jauca krāsas un jāsaka, ka bija raibāka nekā mans kartona gabals.
Satikām Ieviņu govis ganot. Meitenes iepazinās, bet palika ļoti rezervētas viena pret otru. Ātri vien šķīrāmies, bet vakarā par godu šim notikumam sekoja epilogs gandrīz vai ar ultimatīvu prasību man pārnākt dzīvot uz Ozoliņiem.
Paskaidroju Ingai, ka tik karsti mēs šo lietu neatrisināsim, jo es Edvardam samaksāju par visiem trim mēnešiem un vēl desmit latus virs norunātā. Ar šīs naudas palīdzību viņš nomaksāja visa gada renti. bet ja es tagad aizeju, tad nostādu Eduardu neērtā stāvoklī. Šādā gadījumā viņš naudu nevēlēsies paturēt, bet kur lai šajā vasaras tukšumā šādu summu ņem un tikai tādēļ, lai kāda meitene piepildītu savu vēlmi. Nē, Inga! Šis gājiens ar melno dāmu neiztur kritiku.
Inga, Solveiga mana! Ar šādu greizsirdības māniju nedrīkst sākt Dzīvi! Mums ir jātic un visos Dzīves gadījumos jāpaļaujas vienam uz otru, bez mazākā aizdomīguma"
1172706,"1 Noraksts uz 23.II 92. g.
1.VI 40.
Kangaros
Pēc garās ziemas saspringtām skolas gaitām, 
neatliekajiem
 un nekad 
nepadariem
 mājas darbiem, šo kurināmā sagādi nākamai ziemai un dārza rakšana, lai būtu kur sēt un stādīt un tādējādi nenāktos ziemā kārt zobus vadzī, beidzot esmu lauku klusumā, svaigā gaisā un pēc medus smaržojošās Sedas pļavās un kur tad vēl pirts ar smaržojošo bērza slotu, baltu linu kreklu mugurā un linu palagu guļvietā.
Vēl šinīs mājās, kā visās lauku sētās, pirms iemītnieki dodas svētvakara dusā ir silta, skrotētu miežu miltu karaša ar svaigu tikko kultu sviestu un ļoti, ļoti garšīgām paniņām, kurās peld dzeltenas sviesta piciņas.
Sēžu un domāju kā mājīgāk iekārtoties. Par drēbēm ir skaidrs - skapī, bet grāmatas, papīra ruļļus, kartona gabalus un krāsu kastes, ko visu Edvards atveda jau pagājušo nedēļu.
Tā vien šķiet, ka būšu šo to savācies par daudz. Vasara nemaz tik gara nesanāks, lai visu iecerēto spētu īstenot. Gribēsies izmēģināt laimi makšķerēšanā, jo tas būtu viens no lielākiem pasaules grēkiem dzīvojot Sedmalā un kur Burtnieks tikpat kā ar roku aizsniedzams, šinī patīkamajā nodarbošanās netiktu izmēģināta laime. Būs vilinājums aizklīst arī līdz Rūjai un no tumšajām pacerēm izvilkt dienas gaismā kādu spīļainu vēzi. Un pēc nedēļas, kad pārbrauks Inga, tam sekas viena otra negulēta nakts ar patīkamiem un neaizmirstamiem divvientulības mirkļiem.
Pie vakariņu galda saimnieki caur puķēm lika noprast, ka viņi neļaunotos ja steidzamākos gadījumos es piepalīdzētu, kā siena laikā un sevišķi pašreiz kamēr nav atbraukusi ganu meitene.
Rodas jautājums, par ko es maksāju trīsdesmit"
1172707,"latus mēnesī, lai atpūstos un nodarbotos pēc aicinājuma, vai lai rubītu melnās miesās, vairotu savu muskuļu spēku un visa tā kopproduktā citu pārtikšanu.
1. VI 40.
Dzīvē divus bukus šaut reizē, laikam tikai retam izdodas un ja izdodas, tad laikam arī tikai un vienīgi krēslas stundas mednieku stāstos. Vismaz uz sevi es šādu laimi nevaru attiecināt.
No rīta, pirms saullēkta biju upes līcī kā tas īstam makšķerniekam un bijušam ganu zēnam (veselas septiņas vasaras) pienākas. Kurš saimnieku govis ganīdams visvairāk iemīlējis rasainos rītus, kaut tajos salst kājas un lai sasildītu reizēm nākas uzčurāt. Bet par to ir zeltā mirdzošs saullēkts, kad visapkārt, cik tālu vien acu skats sniedz, mirdz un laistās visās varavīksnes krāsās un tā vien šķiet, ka miljons debesu zvaigžņu ir nolaidies no debesu augstumiem uz šīs ikdienā grēcīgās planētas - Zemes.
Šodien zivis ķērās kā Jānim Jaunsudrabiņam, un rezultātā tā aizrāvos, man šķiet visazartiskākā spēle, ka līdz pusdienlaikam bija savilkts gan mazāku kā arī lielāku zivju tik daudz lai vakarā mūsmājās visi tiktu pie svaigas zivju zupas un kā piedeva katram pa pannai cepto zivju.
Bagāts loms tā atzina saimniekmāte - Anna pieņemdama manis sniegto ķeseli ar zivīm.
Nogulēju diendusu. Pēcpusdienā paklaiņoju ar krāsu kasti plecos. Uztaisīju četras mazas studijas. Tagad vakarā, visu augumu pārņēmis patīkams nogurums un liels miers ieplūst dvēselē, kā tas pienākas pēc labi aizvadītas dienas.
Vajadzētu aizstaigāt līdz Ozoliņiem, nav būts, kamēr Lieldienu brīvlaikā, pie Ingas piederīgiem un pie viena pāriet pāri upei pie mežsarga Liepas Ilmas tēva uzzināt vai Ilma mājās vai brauks nākamo sestdienu reizē ar Ingu."
1172705,"1940. gada vasara
Atmiņas."
1172710,"ja nu vienīgi Edvards, kurš kodīs Ievas pasniegtajā ābolā, nolēmām ar Jāni kristīt šo patīkamo meiteni par Ieviņu. Visi šai idejai atzinīgi piekrita arī būvmaņi un kā vaininiece atzinās arī viņai nekas iebilstams par šo kristību neesot.
Tā tad nost ar Ievām, lai dzīvo Ieviņas!
Un tā šovakar es nolieku savas virspavēlnieka pilnvaras pār ragaino karaspēku un ar cēlu žestu, bez liekām skumjām, kā tas virspavēlniekam pienākas pasniedzu virspavēlnieka zizli, lokanu kārkla vicu, nākošai virspavēlniecei. Tikai Duksis ne uzreiz gribēja pieņemt un atzīt savu jauno pavēlnieci. Bet gan jau. Duksis ir labs suns un savu lietu zin un prot.
Richardam visas briesmas garām, ja neskaita labās kājas zaudēto pēdu. Ārsti gan mierinot, ka uztaisīšot protēzes pēdu labāku par īsto pēdu un pats savās kāzās varēšot pat dejot.
Lai Dieviņš dotu ka tā būtu!
Šovakar brīdināju saimniekus, ka pāris dienas varu nebūtu mājās. Ieviņa tā jocīgi manī pavērās, kā jau neizprotot situāciju.
8. VI. 40. Ozoliņos.
Inga! Ingucīt! Solveiga mana!
Pirmo reizi Dzīvē būsim nepārtraukti kopā trīs mēnešus un neviens mums nevarēs liegt un neliegs piederēt tikai pašiem sev.
No ""Kangariem"" kāds savāds vārds, it kā tur agrāk būtu dzīvojuši neskaitāmi latvju tautas nodevēji. - Es ""aizvācos"" tūlīt pēc brokastīm. No saimniekmātes uzzināju, ka Ieviņa interesējusies kur es ""pazudīšot"" tās pāris dienas. Ak sievietes, sievietes jūsu vājība ir un paliek mūžīgā ziņkārība!
Kamēr Ingas tēvs ar krustmāti nebeidzamā steigā teciņiem vien, teciņiem vien kaut ko steidza darīt un padarīt tajā sakarībā, ka šodien pārradīsies Inga, viņa - visu lolojums.
Arī es priekšpusdienu neauglīgā bezdarbībā nevadīju. Ieziedu pederratus lai viegli ripo. Pēc tam
4
spodrināju arī aizjūgu, lai viss spīd un laistās.
Pēc pusdienas azaida, kad visi devās diendusā, arī mani mudināja sekot viņu paraugam, bet vai man tagad bija prātā diendusa, kad tikšanās ar Ingu vairs tikai dažu stundu jautājums.
Nopeldējos kaut vakarā būs pirts. Vēl centos paspodrināt savus zābakus, kuri tāpat spīdēja kā spogulis un lai kā es censtos tie vairs spožāki nekļuva. Bet gribējās kaut ko darīt un darīt kaut ko vai tādējādi lai pavirzītu kaut mazdrusciņ laika ratu uz priekšu.
Beidzot klāt brīdis kad 
Salnis
 tiek vests ilksīs un jūgts, lai straujā riksī pieveiktu vienpadsmit km, kas ir līdz 
Rūjupes
 stacijai un līdz brīdim kad tiksimies divi laimīgi cilvēkbērni.
Vēl pēdējie norādījumi un novēlējumi no Ingas tēva puses, bet kad es negribu ņemt pātagu, tad šoreiz atskan kategorisks - Ņem! - Jo zirgs ir zirgs un nekad nevar zināt, kas viņam ienāk prātā, bet ja tev rokās ir pātaga tad situācijas noteicējs esi tu.
Un tad vilciens ar vagona durvīs stāvošo Ingu. Ieraudzījusi mani, man liekas, ka viņai acis bija kubā. Tikai tā nebūtu Inga, ja viņa šajā situācijā apmulstu. Ar visu savu vidzemnieces temperamentu viņa krišus iekrita manās rokās un tik nočukstēja: ""Jāni, mans Jāni."" Un neievērodama ne smalko ļaužu etiķetes, ne kautrēdamās no apkārtējo ļaužu skatiem uzlika īsti meitenīgi kvēlu skūpstu uz manām lūpām.
Jā! Tā bija tā pati Inga, kuru pēc Lieldienu brīvlaika pavadīju uz Rīgu.
Viss būtu labi, bet Ingai bagāža bija lielāka nekā mēs ar tēvu to paredzējām. Ja to zinātu, būtu braucis ar siena vedamo ori. Bet viss ir labs, kas labi beidzas un tā pēc lielās pakošanās un pēc bagāžas vairākkārtējas pārkrāmēšanas, beidzot bijām saposušies mājupceļam.
Ja uz 
Rūjumi
 braucot Salnis nebija valdāms, tad mājup viņš laikam saprata, ka nav kur steigties. Gan jau paspēsim.
Pēc pirts un paēstajām vakariņām gribēju doties mājup, lai ģimene pirmajā vakarā būtu kopā bez"
1172708,"2
Nē! Audzināšu raksturu, bet ne slinkumu un nekur neiešu. Šķiet atpūta šoreiz būs labāka par visu. Kad mājās būs Inga, nāksies bieži atteikties no šīs senās ļaužu vājības gulšņāt, aizbildinoties it kā ar atpūtu.
3. VI. 40.
Pirmdiena. Vai sākas nekad nepadarāmais, kad darbs dzen darbu?
Šodien no agra rīta biju gan govju meita kūtī ar visiem tās saistītiem darbiem, kā govju tīrīšana, piebarošana ar miltiem un slaukšana, pēc tam ganos. Ganu gaita gan manu brīvību pārāk neierobežoja jo paspēju savā 100 m2 lielajā mazpulku dārzā ievest kūtsmēslus gan arī sastrādāt, jo ganības ir plašas un leknas un gotiņas uz nulle sadīgušo labību pat aci nepamet. Arī Duksis ir savu uzdevumu augstumos.
Šitā laikam uz kādu nedēļu, kamēr atbrauks no Rīgas ganu meitene.
Kāpēc no Rīgas? Tāpēc, lai lielpilsētas bērni, bālie asniņi tautas druvā, pa vasaru būtu veselīgā lauku vidē un ar to saistītiem pārējiem lauku labumiem. Valsts par viņiem zemniekiem piemaksā par katru pilsētnieciņu 10 L mēnesī, līdz ar to saimniekmammas un saimniekpapi vasaras darbu bezgalībā iegūst lētus izpalīgus.
Manējie gan ir tikai saimnieki pēdiņās. Viņiem šeit nepieder nekas no nekustamā īpašuma. Viņi ir rentnieki.
Jānis rentē blakus esošās mājas ""Viesturus"", kur nav pat kur dzīvot, viss ir tikai tapšanas stadijā. Šovasar Jānim par rentes maksu jāuzceļ kūts, jādabū dzīvojamā ēka tiktāl, lai ziemā varētu vismaz virtuvē un vienā istabā dzīvot.
Edvardam apstākļi ir labāki. Nomaksā pagasta skrīverim, kuram šīs ""Kangaru"" mājas pieder, renti skaidrā naudā un dzīvo tik tālāk.
Pa vakara vēsumu paspēju iesēt saulespuķes, jo ja grib rudenī novākt ražu par kuru nebūtu"
1172715,"tikai tad mēs abi sasniegsim to ko vēlamies gūt. Un tev nav jābaidās tāpat kā man, ka varam spert soli pa kreisi. Šādu nodevību draugs draugam nekādos apstākļos nedrīkst darīt. Ja ceļi šķiras, tad arī jābūt drosmei to pasacīt atklāti.
15. VI 40. Ozoliņos
Šodien priekšpusdienā pārradās Ilma ar pāris kursa biedrenēm un kā jau studentēm klājas arī pavadoņiem - 
krāsnešiem
.
Pusdienlaikā uz minūti Ilma bija ieskrējusi mūsmājās lai uzaicinātu visus vakarā pie sevis. Bet tā kā pēcpusdienā aizbraucām ar laivu līdzi ņemot makšķeres, krāsu kasti un ģitāru, apskatīt šogad pirmo reizi Burtnieku un atgriezāmies tikai (uz) sen pāri pusnaktij, tad mums šis gājiens izpalika, par ko daudz neskumām. Varbūt mazliet pat priecājāmies. Parasti šādās Ilmas kompānijās mēs esam abi kā baltie zvirbulēni. Viņi cenšas kaut ko tēlot, paši nezinot ko. Pīpē, iedzer, uzsauc tostus. Kam un par ko Dievs vien zin! Patiesību sakot mēs ar Ingu abpusēji šīs kompānijas neatzīstam. Ilma parasti mēdz pazoboties, ka no manis neiznākšot mākslinieks, ja es ar steigu neiemācīšoties turēt pīpi zobos. Viņa nevarot izprast, kas tie par māksliniekiem kuriem nepatīk un ir sveša bohēmas dzīve.
Bet sakiet, lūdzu, kur ir šīs jūsu bohēmiskās dzīves skaistums? Vai papirosu pelnos un dūmos, putojošā alus kausā, vai sārtajā vīna glāzē.
Nekautrējaties, sakiet!
16. VI 40. Ozoliņos
Svētdiena! Maģisks vārds! No rīta pielūdz Dieviņu, bet pārējā dienas daļā padari tikai nepieciešamo, kā paēdini un apkop lopiņus un paēd pats.
Priekšpusdienā klīdām ar krāsu kasti. Bijām nogājuši arī līdz manam bijušām tēva mājām. Uztaisīju divas bildes.
Vakarā bijām uz zaļumballi Ezerē. Braucām ar riteņiem. Tēvs gan piedāvāji Salni, ka pēc balles nejaudāšot pedāļus pamīt. Mēs atteicāmies, jo
7
tad mūsu ratos būtu daļa no Ilmas kompānijas. Ja mēs brauktu ar zirgu, tad viņi brauktu ar vienu un pārējie nāktu pie mums. Mēs zaudētu savu divvientulību.
Zaļumballe bija izdevusies. Ugunsdzēsēju pūtēji no 
Rūjupes
 pūta tik dūšīgi, ka brīžiem bija bailes ka neizpūš tās spīdīgās taures taisnas un tad gan nāktos no balles priekiem atteikties. Par laimi šāda klizma neatgadījās un varēja dejot aizkusuši. Vienīgi Ingai uzradās diezgan uzmācīgs, es sacītu, pat nekaunīgs pielūdzējs. Kā noskaidrojās bijušais 
Rūjupes
 vidusskolas klases biedrs, vārdā saukts par Antonu Zaķi. Ģērbies skautu formā, dunci pie jostas. Varens skats!
Ar visu to nodejojam līdz pēdējam valsim, tikai mājup lai neiznāktu saķeršanās ar Zaķa kompāniju, braucam pa citu ceļu nekā tas bija parasti. Un pasmaidījām, lai viņi mūs tur gaida, kaut vai līdz Pastara tiesai.
Piebraukuši pie mājām apmulsām nesaprašanā, kas noticis? Pulkstenis pašlaik skaitīja jau otro rīta stundu, bet lielā goda istabā logi bija gaiši kā Z-svētkos. Šo māju ļaudīm kaut kas bija iztraucējis parasto ritmu.
Steidzamies iekšā. Lielā istaba bija ļaužu pilna. Bija atnākuši pat attālāki kaimiņi. No saņemtās ziņas abi ar Ingu apsēdāmies ar vaļējām mutēm. Komunistiskā Krievija piestādījusi ultimātu mūsu valdībai par Sarkanās armijas papildu kontingentu ievešanu Latvijas teritorijā, lai pastiprinātu bāzēs jau esošā karaspēka drošību, bet ja Latv. valdība nepiekritīšot, tad tikšot ienākts ar varu! Vai tas jau neož pēc kara pieteikuma? Kur te ir loģika, ja vispār tāda pastāv? Pagājušā gada oktobrī, kā visiem zināms, parakstīja ar lielo kaimiņu savstarpējas palīdzības un neuzbrukšanas līgumu. Atļāvām izvietot bāzēs arī Sarkanās armijas daļas. Un kas nu no tā ir iznācis? Demagoģisks fakts, ka atdod velnam mazo pirkstiņu, viņš paņems visu roku!!!
Visu skati pievērsti uz galda esošam radioaparātam, it kā tas spētu šobrīd noskaidrot neskaidro un virzīt Dzīvi šeit klātesošajiem vēlamā gultnē.
Mēs ar Ingu uzkāpām savā jumtistabiņā, kur smaržoja pēc jūnija un vasaras un lai kaut cik nomierinātos, apgalvojam, ka rīts būs gudrāks par vakaru."
