File-ID,Transcribed Text
1172912,"Tagad dažas rindiņas par savu māti. Māti vienmēr atcerēšos kā labu mīļu cilvēku, kas ar mums bērniem nekad nebārās un mūs nepēra un neplēsa aiz matiem vaj citādi nepārmācīja. Viņa noraudājās ja mēs kādu reizi neklausījām, tad jau mēs arī centāmies viņu nesāpināt un paklausīt. Tēvs bieži pārbraucot piedzēris mājās, dzērumā viņa to nekad nebāra, otrā rītā tik saudzīgos vārdos aizrādīja par dzeršanu un naudas iztērēšanu. Tāpat ar gājējiem vaj svešiem cilvēkiem nekad nebārās. Viņa bij stipri ticīga sieviete, lai gan svētulību ārēji neizrādīja. Jaunībā bijusi liela dziedātāja. Atminos, ka tēvs priekš 1905. gada svētdienas rītos turēja lūgšanas – visi mājas ļaudis kopā nodziedāja pāri dziesmas un nolasīja no sprediķu grāmatas tās dienas sprediķi. Uz baznīcu gan diezgan reti brauca. Pēc 1905. gada šo svētdienas svētbrīdi vairs neturēja un arī uz baznīcu tēvs vairs nebrauca. Viņš sirdījās uz toreizējo Umurgas draudzes mācītāju vācieti Hiršleidtu, kas nemieriem sākoties bij atstājis draudzi un aizbēdzis projām. Tēva mēdza teikt, ""kas tas par ganu, kas grūtā brīdī atstāj savu ganāmpulku un laižas lapās, tas ir derēts gans, ne īsts gans, tas mums nevar nekādu ceļu rādīt uz debesīm"". Mēs bijām pavisam 7 bērni no kuriem 3 nomira bērnībā –
 Emīls nomira 9 mēnešu vecumā, Viktors 3 mēnešus vecs un meitiņa Milda nomira 3 gadus veca. Es vēl atceros viņa savārgusi un teica mātei: ""Mammīņ, es miršu nost,"" un tiešām pēc pāris dienām viņa nomira. Toreiz jau pie ārstiem nebrauca, deva šādas tādas pašu lasītas tējas vaj kādus pilienus. Runāja tā, kam lemts mirt, tas nomirs un zāles nelīdzēs."
1172918,"ložmetēju rotā. Bij jāmācās izjaukt, salikt, nosaukt ložmetēju daļas, jāiet uz ierindas mācībām. Zaldātam jau mieru nedod. Mūsu bataljona komandieris pulkvedis Kalniņš bij laikam visstingrākais no visiem latviešu pulka komandieriem, viņš nelika kareivjiem mieru, dzina mācībās, bieži sapulcēja visu pulku kopā un tad pūta kā kareivji teica ""Курземский дух"". No 5.–
26. augustam pulks stāvēja pozīcijā ""Nāves salā"". No ložmetējiem stāvēja pozīcijās četri, pārējie bij rezerve. Es dabūju nodzīvot ""Nāves salas"" pozīcijās 10 dienas. Toreiz tur bij diezgan mierīgi, tik pa reizei vācieši izlaida pa mīnai vaj lielgabala granātai, nepagāja gan nevienas dienas kad kāds kareivis nebūtu kritis vaj ticis ievainots. Vāciešu pozīcijas atradās ļoti tuvu, pa šaujamlūkām ilgi nedrīkstēja skatīties, varēja drīz dabūt lodi pierē. Pa naktīm nedrīkstēja gulēt, vienmēr bij jābūt kaujas gatavībā. Pāri Daugavai bij uzcelts šaurs kājinieku tilts uz pontoniem, pa kuru naktīs notika apgāde un satiksme ar aizmuguri. 26. augustā krievi mūs nomainīja un pārgājām savās agrākās mītnēs. Tur izbūvējām zemnīcas un zirgiem staļļus, gatavojamies ziemai, bet 12. (25.) septembrī pienāca pavēle pārcelties uz Rīgu –
 uz Mīlgrāvi. Tur pulks apmetās Ziemeļblāzmā. Mūsu ložmetēju komanda novietojās Mangaļu pagasta namā uz paša Daugavas krasta. Šajā namā bij centrāla apkure un dzīve bij laba. Visa komanda novietojās vienā lielā zālē. Sākas atkal mācības un ložmetēju šaušanas apmācības un manevri pa jūrmalas kāpām –
 ar vārdu sakot sagatavošanās nākošām kaujām. ""Ziemeļblāzmā"" tika bieži rīkotas teātra izrādes, koncerti un ballītes, īsi sakot"
1172917,"Jurjevā dzīvojām miera laiku, Krasnojarskas pulka kazarmās. Tur bij daudz vienstāva ēku, kazarmas un saimniecības ēkas, kurām un plašam laukumam apkārt bij augsta sēta ar vārtiem, pie kuriem stāvēja sargi, tā ka bez atļaujas uz pilsētu nevarēja tikt. Mani iedalīja 4. rotā 2. vada 1. nodaļā. Agrākais rotas sastāvs neilgi pirms mūsu atbraukšanas bij aizsūtīts uz pozīcijām un pagāja labs laiks kamēr rota salasījās pilna. Vakaros uz ""poverku"" še dziedāja ""Dievs Kungs ir mūsu stiprā pils"", ""Dievs svētī ķeizaru"" un ""Dievs svētī Latviju"", kā arī noskaita tēvreizi. Disciplīna šeit bija stiprāka kā krievos, tik daudz gan nelamājās, bet uzliktos sodus arī bij jāpilda. Šeit es arī vienīgo reizi dabūju nostāvēt zem plints 2 stundas. Man iedeva stipri sarūsējušu plinti, es to diezgan pavirši notīrīju un par to man uzlika sodu ""два часа под винтовку"". Nebij jau viegli nostāvēt nekustoties ar flinti uz pleca, bet pēc tam gan zināju ar visādiem līdzekļiem padarīt flinti spožu. Šeit man iznāca vienīgā reize būt slimam un iet pie ārsta. Stāvot sardzē laukā pie malkas lietainā un vējainā laikā saaukstējos, man pietūka kakls un vaigi un nācās 10 dienas pavadīt vietējā ambulancē okolodkā. Vairāk par visu dienesta laiku pie ārsta netiku bijis. 16. jūlijā mūs, kādas 5 rotas, izsūtīja no Jurjevas uz Rīgu. Tur komandatūra mūsu rotu iedalīja 3. Kurzemes latviešu strēlnieku bataljonā, kas stāvēja kādas 20 verstis no Rīgas pie Daugavas pretim ""Nāves salai"". 19. jūlijā pēc jaunā stila 1. augustā mēs tur ieradāmies. Rota tika izdalīta pa visu pulku. Es pieteicos un tiku kopā ar vairākiem biedriem"
1172903,Ziņas par mūsu dzimtu.
1172905,"""Muižperi"" – tā agrāk saukušās šās mājas. Ļaudis uz tagadējo ""Āžkalnu"" māju vietu un ""Inku"" ļaudis uz tagadējiem Jaunķēņiem. Mans vectēvs gan sūdzējis Rīgā un Pēterburgā gribēdams dabūt mājas atpakaļ, bet neko nepanācis. Muižas īpašnieks nomiris bez tuvākiem mantiniekiem un Vainižu muiža pārgājusi valsts īpašumā kā ""kroņa"" muiža. Jaunajā vietā no sākuma mājas sauktas vecajā vārdā, bet vēlāk pārdēvētas par ""Āžkalniem"". Tur bijis liels kalns no kura pagastu ļaudis veduši granti ceļu labošanai. Pa šo kalnu ganījušies un lēkājuši vectēva āži un kazas un no tā arī mājas iesauktas par Āžkalniem. Kā cēlie mūsu dzimtas uzvārds Golvers? Mans brālis Ernests domā ka tas atvasināts no vācu vārda ""Goldvekr"", es domāju, ka tas cēlies no vārda ""galva"" vaj ""golva"". Vectēvs un viņa tēvs bijis ilgus gadus par pagasta vecāko un tad uzvārdu došanas laikā pieņemts uzvārds ""Galvers"" jeb ""Golvers"". Mans vectēvs Klāvs bijis enerģisks vīrs, kas nevarējis ar muižu sadzīvot. Viņš kopā ar vairākiem citiem Valmieras apriņķa pagastu vecākiem braucis uz Pēterburgu iesniegt ķeizaram sūdzību par nekārtību un nelikumībām no muižnieku puses. Šis pagastu vecāko brauciens taisnību meklēt ir aprakstīts Augusta Deglava romānā ""Rīga"". Tur vectēvs attēlots kā ar lielu, biezu, mēlnu bārdu un matiem apaudzis enerģisks zemnieks, kas kvēli sūdzējies par netaisnību. Ziemas laikā atpakaļ no Pēterburgas braucot vectēvs stipri saaukstējies dabūjis plaušu karsoni un nomiris laikam 1872. gadā ap 45 gadus vecs. Uz viņa"
1172911,"palika 3 meitas un dēls Voldemārs, kurš krita pasaules karā kaut kur pie Ķekavas 1916. gadā kādā krievu pulkā. Vecākā meita Alma izprecēta Ozolniekos (bijušā Āžu krogā); viņai 3 dēli, no kuriem vecākais Alberts tagad saimnieko Ozolniekos, viņam ir liels pulks bērnu. Abi pārējie dēlis Pēteris un Arnolds laikam juku laikos dabūjuši galu. Meita Irma bij precējusies ar Kaužu saimnieku Richardu Krišmani, bet drīz nomira un Kauža apprecēja citu. Meita Elza bij precējusies ar Jāni Zvīguli, Umugras biedrības līdzdarbinieku un vēlāk pagasta vecāko. Viņiem bij divi dēli, pa kara laiku viņi aizbēguši un neko tuvāku par viņiem nezinu. Mātes māsa Matilda bij precējusies ar kādu skolotāju, dzīvoja pa Kuldīgu neko tuvāk par viņiem nezinu. Mātes māsa Alvīne bija precējusies ar kādu Plēsumu, dzīvoja pa Rīgu, bij 4 dēli Jānis, Kārlis, Arturs un Ernests un meita Emma. Jānim Plācī bij kalēju darbnīca, Arturs pēc 1905. gada bija aizlaidies uz Ameriku un tur ticis pie dolariem, Ernests bij beidzis jūrskolu. Mātes māsa Anna nomira neprecēta. Mātes māsa Emma bij precējusies ar Rozules ""Šmits"" māju saimnieku Ernestu Freimani, bij divi dēli un divas meitas, viens dēls bij par mācītāju Mālīšu draudzē. Mātes brālis Voldemārs bij ilgus gadus par rakstvedis Rozules pagastā, iepirka ""Klāmaņu"" mājas un tad darbojās kā biedrības grāmatvedis-darbvedis. Plācī apprecēja Straupes skolotāju meitu Paegli. Bij dēls un meita. Viņš bij nopircis vairākas mājas pie izdevības par lētu maksu un tad atkal ar peļņu pārdeva. Dēlam bij nopirkts Veļķa muižas centrs Vaidavas pagastā, un tas tur saimniekoja."
1172913,"Toreiz jau arī ārstu bija maz. Limbažos bij viens vaj divi un tie paši neko daudz nezināja un zemnieki pie viņiem maz brauca. Vairāk gāja pie šādiem tādiem kaktu ārstiem, večiem vaj vecenēm. Domāju ka mātei bij labas vecumdienas, dēliem klājas labi, nekāda trūkuma nebij, dabūja izauklēties dēlu bērnus. Bieži vien viņa atnāca pie mums uz Mazlejām mūs apraudzīt un šo to palīdzēt. Māte nomira ar vēzi 1942. gada 25. jūnijā, jūlijā viņu paglabājām Umurgas kapos blakus savam vīram mūsu tēvam. Labi, ka viņa vairs neredzēja nākošās boļševiku varas laikus, kad dēliem bija jābēguļo un dzimtas mājas tika izputinātas un dēlu ģimenes aizvestas uz Sibīriju. Tagad lūkošu pastāstīt kaut ko par sevi. Esmu dzimi 1894. gada 26. oktobrī kā savu vecāku pirmais bērns. Drusku atceros sava tēva māti kā niknu sievieti, kurai vedekla – mana māte nekādi nevarēja izdarīt pa prātam. Māte staigāja noraudājusies un nobēdājusies. Šis mātes skumīgais gara stāvoklis ir atstājis iespaidu arī uz mani un padarījis manu raksturu par kautrīgu un klusu kas atraujas no sabiedrības. Neprotu būt sabiedrībā jautrs un īstu draugu nav bijis. Lasīt un rakstīt iemācījos ļoti agri piecu sešu gadu vecumā. Toreiz priekš 1900. gada bija angļu-būru karš Dienvidāfrikā, tēvs pastāvīgi abonēja laikrakstu un vakaros to lasīja mājiniekiem priekšā. Avīzē bieži bij interesanti apraksti par būru varoņdarbiem, ka"
1172915,"Skolā pie kopgalda nepiedalījos, ēdu no līdzdotās maizes un pavalga, noskatoties kā citi garšīgi paēd pusdienas. Viss lielais vairums skolēnu pie kopgalda nepiedalījās. Trūcīgi ēdot un dzīvojot pa iekšu lasīdams grāmatas atpaliku augšanā un paliku nespēcīgs. Reiz Lieldienu brīvlaikā tēvs mani sūtīja kopā ar kalpa Lapiņa dēlu Jāni uz mežu malku zāģēt. Pirmo dienu sazāģējām maz, bet otru dienu bij vēss miglains laiks, lai nesaltu tad rāvām dūšīgi, vakarā tikko jaudājām mājās pāriet. Es biju tā pārmocījies ka man tik ļoti trīcēja rokas, ka vairs nevarēju pogas aiztaisīt un pat lāga parunāt nevarēju. To pavasari vairs skolā nevarēju iet. Pa vasaru gan izveseļojos, tomēr tas atstāja sliktu iespaidu, no tā laika man reizēm raustās valoda. Pat vēl vecumā ārsts Kārkliņš mani izmeklējot prasīja vaj neesot slimojis ar bērnu trieku, esot tādas pazīmes. Skolu pabeidzu 1911. gada maija mēnesī. Visās mācībās man bij 5, tik dziedāšanā ielika 3. Izsniedza arī uzslavas rakstu. Priekš manis tāds bij piešķirts tik diviem – K. Klīģeram un P. Strazdiņam. Drīzi pēc skolas beigšanas, lāga neatceros, 1912. vaj 1913. gada pavasarī izgāju iesvētīšanas mācību. Divu nedēļu laikā bij dūšīgi jāmācās katķisms un bībelstāsti un mācītāja Hiršleidta lekcijas par ticības jautājumiem. Mēs, vairāki iesvētamie gulējām Umurgas biedrības garderobes telpās, jo izstaigāt līdz mājām nebij iespējams. Iesvētīšana notika Pūpolu svētdienā, cik atceros laiks toreiz bij silts un jauks. Nekādas svinības uz iesvētīšanu man nerīkoja. Strādāju pie tēva saimniecībā visus darbus līdz iesaukšanai kara dienestā. 1914. gada augustā iesākās pirmais pasaules karš. 1915. gada janvārī man bija jāierodas uz iesaukšanu kara dienestā pie komisijas"
1172908,"Liepājā kalpojot bij dabūjis venērisko slimību, kas neatturīgi dzīvojot vienmēr progresēja un nevarēdams sāpes izciest viņš 1923. gada 28. februārī nošāvās. Meita Zelma dzimusi 1893. gadā, apprecēja kādu rīdzinieku Brēdi, ar kuru dažus gadus kopā sadzīvojuši izšķīrās. No šīs laulības palika viens dēls, kurš 1944. gadā krita kaujās latviešu leģionā vācu pusē. Viņš bij arī precējies un paliks viens puisēns, ko Zelma tagad audzina. Zelma otrreiz apprecējās ar manu bijušo kara biedri Jāni Virsi no Vitrupes, viņš stipri rausta valodu. Viņiem ir dēls Kārlis kurš ir tāds garā vājš. Meita Melānija apprecējās ar Eduardu Antonko no Stalbes. Bij divi dēli. Vecākais Žanis krita kaujās Sarkanā Armijā 1945. gadā. Otrs dēls Elmārs apprecējis Hildu Kārkliņu, viņiem ir dēls Ēvalds dz. 1955. Tēva jaunākā māsa Kristīne bij precējusies ar kādu rentnieku Mārtiņu Cauci. Tas bija drukns vīrs ar melnu bārdu. Dažus gadus viņi dzīvoja kā rentnieki Āžkalnos, pēc tam dažādās mājās tuvākā apkārtnē. Caucis mira gadā Kārkliņu mājās. Viņiem bij 4 meitas un 1 dēls. Dēliņš jau maziņš sadega ugunsgrēkā kādā būdelē netāļ no Umurgas pagasta centra. Vecākā meita Vera precējusies ar Vidrižu jaunsaimnieku Gulbi, otra meita Vilma palika neprecēta, trešā meita Milda precējusies ar Kalnmuižas jaunsaimnieku Kalsonu. Ir 2 dēli un 2 meitas. Jaunākā meita Zelma precējusies ar amatnieku Jāni Vankeru un agri palika atraitne. Viņai ir vairāki bērni, bet cik īsti, to nezinu. Tā nu esmu par tava tēva brāļiem un māsām šo to uzrakstījis un nu mēģināšu pastāstīt par savu tēvu"
1172904,"Jānis Andreja d. Golvers 1956. g. 
Ziņas par mūsu dzimtu.
Gribu šeit uzrakstīt dažas ziņas par mūsu – Golveru dzimtu. Ceru ka maniem bērniem būs interesanti palasīt par savas dzimtas tēviem un vectēviem. Man tagad žēl ka es neizvaicāju savu tēvu par viņa tēva un vectēva dzīvi un darbību. Ar man daudz kas palicis nezināms. Agrāk mūsu vectēvi dzīvojuši tagadējās ""Mežleju"" mājas vietā šaipus vītoliem, es vēl tur izlauzu akmeņus no agrākā mājas pamata. Otrā pusē atradušās ""Suitu"" mājas. Tā ap 125 gadu atpakaļ toreizējais Vainižu muižas īpašnieks šīs abas mājas muižai."
