File-ID,Transcribed Text
1188112,"(Aini! Kauna Tev nav?)
23. jūnijā. pl. 6:20 - Jāņu vakarā.
Velta ganos. Piezvana. Aizskreju. Haralds runā. Stāsta - kādēļ es neesot vakar piebraukusi. Man jāsmejas - to mēs nožēloju
Varbūt būtu bijis labi. Beidzot atgādina lai šovakar - tūlīt braucot uz jūrmalu - būšot ļoti jautri un pie tam - lai arī draudzeni (?) paņemot līdz citādi būšot gaŗš laiks (?!) Noteikti gaidīšot. 
Pārnāk Velta un saka - iesim uz salu"" Uz jūrmalu negribot nākt? 
Jā, ko gan lai es šādā gadījumā lai būtu darījusi ja negājusi Veltai līdz.
Mana sirds bija tam pretīm bet ko lai dara? Vai lai eju vienu?
Varbūt taptu izsmieta sevišķi no Veltas... varbūt arī no kāda cita. Tādēļ nolēmu labāk darīt pret savu gribu.
Kaut tā Berve būtu prom!
Tad zinātu ko pati darītu...
Beidzot vakarā aizbraucām un atkal atbraucām uz mājām, jo aizgājušas līdz Valteru steķiem 
nolēmām neiet - necelties pāri uz pagasta namu.
Ķēniņ! Ja Tu zinātu kā es domāju par Tevi. Katru dienu, katru stundu
Tu stāvi man prātā. Ak, kādēļ gan mums nebija lemts tikties
savu laimi meklēdami.
Beidzot man ir atkal tukšums sirdī. Neviens neviens nespēj mani aizraut. Ceru ka drīz tam vajadzētu beigties. Varbūt tikai divas mazas atmiņas man vēl ir palikušas.
Un tās ir:
Julius
 Nr. 4 un Jozefs.
Jūs abi esat tie kuŗi pašlaik aizņem manas domas visvairāk. Ja Jūs zinātu kā
28. jūnijā. Dabūju zināt ka Haris un 
Karal
 bijuši stacijā - Jāņu dienā vadit kaut kādas [..]. (Man tas ir gluži vienalga kas tās un kādas tās. Zinu no 
redzešanās 
kāds pēdējais ir ja iet ar ""Skolas 
Rugustiņu
"" - lielāko pašpuiku visā Slokā. Varbūt Haris tam nelīdzinas bet ko var zināt... varbūt ir vēl sliktāks...
Julius
 Nr. 4 nav manīts. Droši vien savā Salā (Z) jo ir
 brīvdienas.
4. Jūlijā Mamma aizgājusi uz Kauguriem. Es ar Rožukalns Veltu aizbraucām uz Dzintariem - koncertu resp. - Baleta vakaru. Feldmanis licis mani sveicināt no Uļa. Mamma mani no Ulda. Divi gandrīz vienādi vārdi - kāda sagadīšanās! Prieks!
Zēl ka iepriekš nezināju ka ir tā gada diena. Ķēniņš varbūt kaut ko zina... Nožēloju ka negāju 
matei
 līdz.
11. jūlijā. Slokā teātra izrāde ""Nebēdnieki"". Vēlāk dejošana uz Zaļas zāles. Luga jau bija brīnišķīga, bet tā dejošana - ... nu labāk nerunāsim.
Zem vitola kuplajiem zariem... Nr.3 un zo weter (Beive + Dims) Velta arī pārnāca ap 1/2 3
Man nav nemazākas laimes, jo 
Julius Nr. 4 + ?
 Latvju meitene mīļotā."
1188098,"lecīga un lielīga, tādēļ neieredz citas lielīgas - Maigu. Tomēr starp meitenēm viņa ir ciešamāka un dažreiz pat laba (tāda pati kā R.L). Pagaidām tomēr labāku draudzeni kā 
Mimī Bleitu
 man grūti sameklēt. Es nezinu vai mēs būtu spējīgas sastrīdēties. Maiga nesaprot ka es pie vēlēšanas neesmu vainīga. Skauž. Viņa grib ieņemt tādu stāvokli. Es viņai labprāt to atdotu - ja varētu.
Arī A...a drusciņ pazīstas ar Ķ, bet man tas nav nekas, jo viņa to dara atklāti (nevis kā ""Sirds dāma"" un Va..a.) Valda ziedo pasaciņu par nogriežņiem un tā viņai ļoti nepatīk, viņa sevi vēlējās manā vietā. Par pasaku tā zobojās nogrieznis V M = BA. ""Mīkstā"" draudzējas ar 
Ami
Man par to nav ne silts ne auksts. O. ir pārāk uzbāzīgs.
29. janvārī.
Saņēmu no Annas (bellas) vēstuli, kuŗā tā aicina turpināt mūsu līdzšinējo draudzību. Es viņai tūliu [tūlīt] aizrakstīju un pateicu visu skaidri un gaiši. Apm. 4 stundas es rakstīju šo vēstuli. Pieminēju visus notikumus arī gadu atpakaļ (Veltas zeķēm, Erika pieminekli) Lai nu viņa vai dusmojas vai smejas, bet tā tas ir. V....i O..s..š imponē. Est etiam pulher [pulcher] puer. El. pavisam savāds. Sāk ari DD 
man
 delectat. Snou solum Mija sed diam Ženija ei nelabojama savādniece. 
Aivo BAE. 
Skaidrīte viet uz DD. Jāni. dod Skaidrītei grāmatu. Nosarkst. 
30. janvārī.Annas vēstuli nodevu Ainai Konvertā ieliku vēstuli arī Veltai.
Latīņu val. [valodā] dabūju 5-. Ceru [..]"
1188103,"meitēns. Ainis aizbrauca uz Rīgu (arī Voldemars) lai atvadītos no Imanta.
14. jūnijā. Ķemeros. - ""Jautrā odā"", ""Mīlestības saliņā"", viesnīcā, pie Mīlestības ozola. Vēlāk ar riteņiem uz X ielu. 
Tornī mūs nelaida.
16. jūnijā Modris pirmo reizi pie mums šodien strādā. Es, mamma - Rīgā.
17. jūnijā Vecajai Pāvul kundzei bēres. Mājās esam tikai es un Modris. Noskatījamies kā aizbrauca un atbrauca. Viss labi! Tikai...
Līgo vakarā. Brīnišķīgs vakars. Kluss. Laivā uz upes. Mūzika. Atbraucām 1:00. Uz 
Starpiņiem
. Dancojām. Vēlāk atkal laivā braucām pāri upei. ""
Vīniņu
 komanda""
Džonels drusku h... . Saule jau bija uzlēkusi, kad iegājām gulēt. Redzēju Mirdzu. Imants mājā.
Jāņu dienā. Sliktas ziņas par Mirdzu. Ar Veltu dzērām alu (4l)
30. jūnijā Guļam šķūnī. Vakaros taisam trobeļus.
1. jūlijā. Atbrauca Veltas tēvs un Ināra ar Zigu. Norunājam svētdien braukt uz zooloģisko dārzu. Daigai kristības. ""On"" prasa lai es no savas laimes dodot arī tam daļu
Velta savāda. ""Pa ze"" klābūtnē [klātbūtnē] mazliet grib lekt, bet [..] ""Paze"" nav - ir prātīga. Voldemārs saka: ""Vīns, liķieris un ... as .... es.
Velta viņu izsmēja. Tas derigi."
1188108,"U. kino dēļ nokavēja skolā 2 stundas un Haralds uz skolu nemaz negāja. Kopā ar Haraldu aizgāju pie fotografa Avotu ielā 50 RM 7-6 gabalas. Lieldienās H. būšot jūrmalā, tad aizvedīšot arī tās fotografijas. Būs man jāaiziet uz jūŗmalu šūpoties.
16. aprīlī Braucu uz skolu. Redzēju Dubultu stacijā Š. arī vēl ""viena"" tur bija.
Skolā vis labi. S..s teica:  ""Patiešām prieks Tevi atkal redzot.""
Jā! Ar to Veltu un Džo... nav viss labi. Arī Erika tā saka.
Skolā fotografs.
18. aprīlī. Mamma uz kristībām. Krista mazo Dzintru Lābanu.
Man prātā tikai Zaķu sala un tās iemītnieks. I love they. Ich warte.
Mazā V. izstāstīja visu par Džo. To jau visu es biju paredzējusi - to - kas mīlējas, tie ķīvējas. Tomēr viņa ir noslēpumaina... Tēcis izzobojis. 
""Zaķu salā, viņā galā [ Tur viens smukiņš dzīvojot."" (Redzēju Zālīša kgu pie Treimaņiem. 
I think about U. He is my 
[..]
.
25. aprīlī. Vakar vēlu saņēmu no Veltas Rožukalns lielu vēsti ka viņai ir 2 biļetes uz operu ""Čigānu barons"" Šorīt abas braucam Velta rādīja Maijas fotografiju (nav tik daiļa kā domāju)
Pl. 11:00 sākās izrāde. Es paņēmu arī tālskati. Sēdēju 372 m. parketā B. Velta - 368. Žēl ka neienaca blakus. Operete bija brīnišķīga
Tēlotāji: Grāfs 
[..]monājs
 - Teodors Brilts
Kamero - komisārs - Richards [Ričards] Pelle
Šaudors - jauns emigrants - Arturs Priednieks-Kavara
Kalmans Čupāns - cukkopis - Aleksandrs Kortāns
Aisma viņa meita - Adele Pulciņa
Otokars - viņa dēls - Edgars Plūksna
Čepra - čiganiete - Herta Lūse
Sofija - Alīda Vāne
Dejoja arī valsi - Pie skaistās zilās Donavas. Taisni apburoši.
Pēc izrādes aizgājām uz ""Septiņiem laimes gadiem"" Tēlotāji: Teo Ligers, Hans Mooser, Henz Rigman. u.c. Smiekli bez gala...
Vakarā Modris stacijā pretīm. Atnāca līdz upuralai. Stāstīja par ""nabagmājas kaķiem"""".
26. aprīlī. Pie Ērikas Arī Velta. Pastaigājamies par Ķemeru parku un Mīlestības saliņā iegravējām, savus vārdus. Vēlāk koncertdārzā... amoliņus. Mūs nofotografēja Gicis. Satiku arī Bradzenieku, kad gājām uz staciju. Nebija laikā. Stacijā atkal piesitās Helmis. 
Es biju solījies iet uz Kauguriem pie Haralda pēc fotografijām, bet tagad vis izčabējis, jo jāmācās. Žēl gan par tām fotografijām.
9. maijā. Šodien skolā izlaiduma akts un Dubultu baznīcā iesvētības. Iesvēta arī Meijeru.
Skolas stacijā Haralds iedeva manas fotografijas. Bija arī t.s. ""viņa draugi""
Vai draugi vien - jāšaubās ""varbūt"" arī draudzenes. Tā kā man bija jādod Erikai puķes, tad jākāpj viņas vagonā. Redzēju U. Viņa pirmā mani ieraudzīja, jo pagāja no muguras paŗām.
Dubultos pie baznīcas notika puķu pasniegšana iesvētamiem - arī Meijeram. Iesvēta arī viņa brāli, bet tam ļoti maz puķu. Meijerim daudz vairāk, jo gandrīz visas meitenes no mūsu klases pasniedza pa pušķim. Meijers priecīgs.
Skolā gatavots liels mielasts abiturientiem. Viss izgreznots. Arī man Sp...iks uzdāvināja lielu ievu zaru (bija paņēmis manas bildītes)
Vēlāk 1 fotogrāfija bija jaiedod K...am
Solījās rudenī dot pretī savu. Redzēsim. Izlaiduma aktā Vītiņš izgāzās ar savu lielo runāšanu. Visi sāka smieties."
1188105,"Otrdien, 29. sept. Gribu celties no gultas, bet neļauj. Jūtos labāk. Atbrauca ""mans onkulis"" no Rīgas. Spēlējot kārtības dienesta orķestrī. 
Trešdien, 30. sept. Atbrauca Mimī. Iešot Zaļenieku mājturības vidusskolā. Esot internāts. Skola sākšoties 15. oktobrī. 13. jau esot jābūt. 
Svētdien 4. oktobrī. Atnāca Lilijas kundze. Prasa vai es neiešot uz izrīkojumu. Iešu. Vakarā aizeju pie Veltas. Arī tā jau pošas. Beidzot skolā. Irma negrib palikt. Tomēr izdodas pierunāt. Aloizijs Jūsmiņš, Roberts Vizbulis, orķestris, stepa dejas, balets, solo gabali - bija visa vakara programma. Kautgan [kaut gan] bija domāts līdz 1:00 tomēr bija tikai līdz 10:10.
Otrdien, 6. oktobrī. Līst. Atbrauca Velta
Salienā kartupeļus nerokot, tādēļ atnākusi. 27. sept. esot iesvētīti Zīverti. Mūsu labā latiņu skolotāja - Sakne vairs nepasniegšot mūsu skolā stundas bet braukšot uz Jelgavu. Vakarā pavadīju Veltu uz vilcienu. Redzēju Valdi. Nesen kā pārbraucis. 
Trešdien 7. oktobrī. Pagastnamā.
Izņemu apliecības par strādāšanu lauku darba un personas apliecību sev. Ir ari Velta. Mājās braucot piebraucu pie Erikas. Tā bijusi uz laukiem 4 mēnešus. Tagad no rudzu siešanas aug kājas. Elza rādīja savas iesvētīšanas kartiņas. Vēlāk atbrauca man līdz. Satikām Modri. Atbrauca Haralds pēc kāpostiem."
1188109,"11. maijā. Rīgā. Pērkam vainagu vecai Jelēcenei. Rīt apbedīšana. Vēlāk jāpasaka tas arī Leonīdai. Aizejam aiz Matisa 45 dz 18
Viņa ar meitām mājās. - Rasu un Dzintru. Pati palikusi korpulentāka kā agrāk.
Vakarā bija jāpaliek uz cirku. 
Haralds un vēl 3. Haris nekas - pieklājīgs. Bet 
[..] 
gan ir jocīgs. Visumā diezgan labi. Gulēju pa nakti pie Lilijas kundzes. Aizmigos ap 12-1. 5:00 jāceļas jo ar ventspilnieku jābrauc uz mājām un jāiet uz bērēm. Vilcienā 3 jautri junges. Arturs...
Lasīju ""Staburaga bērnus"" 10:00 mājā.
12. maijā
Pl. 14:00 ar auto uz Ozolpili, apbedīt.
Jauks brauciens. Vakarā dzīvoju kā pa kāzām. Vēlāk arī dejošana. Mēs ar Imantu dažu jauku danci izgriezām
Viņš iedzeris un... teica kaut ko...
Pēc pāris gadiem skaidrošot. Pāraudze [pārraudze] dulla. Aizgāju pie Gaitas bēbiša. Rīt Gaita aizbrauc uz Majoriem dzīvot. Bēbīts guļ bez spilvena. - labi ieradināts.
23. maijā. Vītoli un Zilberti kāzās. 
[..]
 pie Daigas. Skolā svētki. Zolta piemiņas diena. 23F. droši vien gaidīja. Cerams vēl satikšu. Baznīcā laulāja 
Albotas
 no Kauguriem. - 
Kuča
 meitu.
Haraldam uzņēmumi uz ielas un sētā  nav izdevušies - ļoti žēl (jo neredzešu vairs...) Tomēr bildīte ar oustinu man būs, jo uzņēma otreiz [otrreiz]. Haralds ar savu draugu 
[..]
 strādā Ragaciemā - meža darbos. Vakaros brauc ar riteni atpakaļ uz Sloku - Kaugurciemu
Satiku vakarā ugunsdzēsēju dārzā Modri. Mums ar Mimī piesitās viens dzēris ""75 g.v. vīrs""
- Kā viņš pats mums teica. Patiesībā viņam ir tikai apm. 30 gadu. Velta apsolīja pirmo valsi. Tomēr dejošana izputēja. Mačene teica lai ejot uz Kauguriem uz večeri, bet negājām.
Vakarā uz un 
[..]
 pavadīja mazo un mīļo. Tas uz bija tāds savāds, bet laimīgs pie mīļās. Haralds ir un paliek Haralds... Man ir viena vēlēšanās... ""tikai viena"".
25. maijā. Rīgā. Stacijā (Rīgas) pamanīju išu un viņa 
[..] 
Vecākā palikusi ari nesmukāka. Otrreiz nāca pretim pa Kr. Barona ielu. Izlikos ka neredzu.
Nav laimes vairs sirdij...
...man...
Domāju par uz Mimīju. Zinu ka ir kaut kas bijis, jo tā tāda ir un būs.
Keinei vairs nav uzticības uz mani. Zinu ka to kas sirdi - mūžam neizteiks...
Varbūt man arī nav nekādas daļas - lai viņa pati zina pa sevi valdīt.
Kādēļ man vajadzīgas arī citu ""bēdas?""
Gramma telefons arī ir noslēpums... Un Nis arī ir tāds kas negrib teikt. Labi!
Nevajag arī...
Gaidu lietussargus kuŗus aizdevu. Jo savelkas tumši mākoņi.
26. maijā (trešdiena) Braucu uz Skolu. Uzeju arī pie Veltas. Stāsta arī par ""ķēniņu"" - kaut ko slēpj. Ierunājāmies arī par citādām lietām. Smējamies kad stāstīju par atradumu uz Slaunes tilta. Dabūju daudz ko runāt. Mimijai tomēr ""esot"" ļoti dienvidnieciska daba. Viņa vēlās būt labāk francūziete. Bagāts un neglīts vīrs viņu valdzina vairāk kā nabags bet ļoti glīts. Savu nākotni tēlo ļoti rožainās krāsās. Par lielāko laimi 
[..]
 labi apģērbties. Tomēr mums abām patīk ceļot un sapņot"
1188102,"Beidzamā skolas dienā. Akts. Fotografiju izdalīšana. S. un U. klasē. Ari Maiga un Ženija. Ar vilcienu mājās...
Vasaras brīvlaikā.
4. jūnijā. Raujos dūšīgi pa mājām. Pagājušo trešdienu un šodien biju uz Dubultiem pie tantes. Ainis nodeva dokumentus, lai iestātos mūsu skolā. Svētdien Dubultos iesvētīja 40 jauniešus. Starp tiem arī Skuju Olitu. Arī Ausma atrakstīja lai 7. jūlijā braucot uz viņas iesvētībām. Domāju ka neaizbraukšu, jo ar satiksmi ir grūti. 
Zvīguļos dzīvo Reimaņu Valija. Ģeros - Daina. Abas pabeidza šogad 6. kl. Gaita dzīvo ar Daigu pie mātes
Annelei meitenīte - Agra. Amandas meitenīti sauc - Ilzīte. Salmiņ Annas puišelis jau krietni vien iedzīvojies pie tautas. Mazais Ivariņš ir mīļš. Brikmanis Ruta dzīvo Zvīguļos. 
Šodien [šodien] Otilijas tante ar Mariti ciemos. Atdāvināju Mārītei savu ""Miki Peli""
7. jūnijā Ainis jau no agra rita nav mājā. - Aizbrauca ar auto ekskursijā uz Talsiem - Kandavu. Vakarā atnāca Imants. Braukšot uz Pleskavu - darbos (ari Ilmārs). Esot atnācis atvadīties. Redzēju Mirdzu.
10. jūnijā Pagasta valdē. Jāreģistrē Velta un Modris. Atpakaļ braucot satiku La. Viņš brauca uz Majoriem. Aicināja arī mani, bet nebraucu, jo neesmu jukusi. Bija vēl tā draugi līdz - viens no tiem bija Dzenis K. Arī Maija no jūrmalas ciemiem bija pagastmājā. Jautrs"
1188107,"Ziemas svētku brīvlaikā pie manis atnāca Velta Rožukalns. Stāstīja par Zaļenieku skolu. Kādi tur skolotāji un arī skolnieces. Vienīgi Maija Valters esot laba meitene. Mimi mājās braucot iepazinusies ar divām ""Ilūzijām"". Vispār ilūzijas Mimī valdzina. Dēļ tām iznākot strīdi arī ar skolotājiem. Pēdējā laikā Mimijai slikts garastāvoklis - viņa man tā raksta. Nezinu kādēļ bet esot jāraudot. Ari Maija raudot.
11. februārī Vītiņ kgm bija dzimšanas diena. Skolā rīkoja mielastu, kuŗā piedalījās 4. un 5. kl. skolēni. Vakarā aizgāju pie skolas ar Ili. Laikam viņš gan esot ieraudzīts pie loga. Tad mēs bēgām pāri sētai. Vēlāk x Nr.2. Akas ielā. Deva solījumu, kas ir pildīts.
Manā dzimšanas dienā Haralds atsūtīja sveicienu. Viņam vārda diena.
Ceturtdien 4. martā saslimu ar difteriju. 3 dienas vēl gāju skolā, jo nezināju, kas man kait. Sestdien jau balss bija ciet. Kad pārbraucu mājās, tad likos gulēt un nogulēju 2 nedēļas. Tā kā atsauca ārstu tas konstatēja difteriju, tad man 5 nedēļas nav brīv iet skolā.
18. martā atnāca Ruta. Esot atbraukusi Skolā pie tantas uz 3 mēnešiem. Slimības dēļ nav atļauts strādāt. Ejot pie ārstiem. Pastāstīja arī kāda ir Vidrižu saimniece. Par vēstuli, Ainu (PO. cien) u.c. Solījās vēl kādreiz atnākt, jo no pielipšanas neesot bail.
23. martā sāku mācīties šūt kleitas. Pagatavoju rūtaino blūzi un abas zili raibās kleitas. Tagad gudroju kā šūt gaiši zaļo kleitu.
9. martā. Redzēju abus P...iekus. Ozoliņam jāreģistrējas - tam otram arī. Prasījis pēc manis.
Kārav kungs ir tas vainīgais. Tas man neliek miera. Par Pīķa kungu man labas atmiņas no kāda sestdienas ""rīta"", janvāra sākumā. Bet tas Kārav kgs. Kārav-kgs..... Tas tik ir ""elegants"" kungs. Ozoliņš
Modrim jābrauc prom - darba dienestā. Pieteicies. Ulim bija jābrauc - un aizbrauca.
Droši vien Š.am arī būs vēlāk kārta.
Tā viņi visi aizbrauc... kur nu kurais...
Par Pīķa kungu esmu sliktās domās. Voldemārs droši vien aizmirsis ko teicis. Tagad staigā abi ar mazo 
Tuiti
 cauri mūsu sētai nākdami no skolas. Mammai ienācis jocīgs gadījums ar 
Tuites
 kungu. Kādreiz braukdami no pagastmājas ""iemetuši"". Mamma esot viņam tā labākā kaimiņiene. Tā šis esot teicis. 
Svētdien 28. martā atbraucis Haralds no Rīgas. Draugs ārā gaidot neesot laika.
Trešdien 31. martā pl. 9:40. Papus ar mammu aizbrauca uz kuģi. Esmu viena. Klausos no Belgrades raidījumu. Tētis bija Rīgā. (Krišus dzīvo Zvīguļos. Tur ""kāds"" no Balviem 17 gv. nočiepis Hermīnei taukus. To negaidījis. Beidzot izrādas ka tas ir kāds izbēdzis puika no Irlavas mazgadīgo noziedznieku iestādes 
15. aprīlī. Beidzot varēšu iet skolā. Šodien biju Rīgā - pie Tīzenbergiem. Haraldu jau satiku Skolas stacijā arī Lilijas kundzi. Iekāpām vienā vagonā. Tur bija arī Ērika. No tās dabūju zināt visu par skolu. Viņa solījās mani mācīt. Kopā ar Haraldu izstaigājām vai pus Rīgas. Haraldam atnāca divi draugi no technikuma [tehnikuma]. Viens no tiem Uldis ļoti līdzīgs pīķa kgm. vismaz acis. Haralds mani un tos 3 zēnus uzņēma pa ielu ejot. Vēlām norunājām iet uz filmu ""Bez skūpsta nedrīkst gulēt iet."" Haralda vainas dēļ gadījās slikta vieta - balkonā. U. sēdēja un dusmojās jo Haralds solīja biļetes nopirkt jau agrāk."
1188111,"Jūrmalā nekas sevišķš nebija... Kas gan tur būtu varējis notikt? ...
Arī tas ka satikām Ili nav nekas sevišķs. Vismaz man tur nebija ne silts ne auksts
Velta pateica ar kuru vilcienu brauksim un braucām. Jā un kā tad. Slokā sagaidīja Džonels. Es jau domāju ka noruna arī ir laba lieta, bet tomēr labāk ja tā necerēta. Nāca mūs vadīt. Un... un... tad gāja atpakaļ jo no mugurpuses brauca Haralds ar Uldi. Lielākus pārsteigumus man nu ari 
[..]
 nevarēja būt. Tā tas nu bija ka paliku kā uz mutes sista. Varbūt tā arī bija labāk... jo runāšana - sudrabs
klusēšana - zelts.
Keine visu zina un tomēr viņa dara ļoti slikti. Izdzīvojusies koķete tomēr paliek tāda vienmēr un visur. 
Smiešā
 resp. zviegšana tai aiz katra vārda. Kas viņu īsti pazīst, tikai tas zina cik tā i.........s
Galu galā tomēr laikām tāda par tādu mani turēja un 
[..]
 es esmu. Kas to zin... kur kādreiz mums t.i. man un Jums ""Ķēniņ"" ceļi kādreiz krustosies. Varbūt tikai tad mēs kļūsim ""īstas"" ""draudzenes""
Ar 23F viss ir vislabākā kārtība tikai viena acs klapē uz rūsas krāsas mēteli.
Parīt jau Jāņu vakars, bet man nav ne mazākas jausmas kur es to pavadīšu. Varbūt mājās... Jo (veselība arī to neattaisno negribu daudz trakot. Galu galā lai jau citi piem. Keine iztrakojas manā vietā.
Ja jau liktens [liktenis] man tādai ir licis dzīvot, tad es tāda arī nomiršu.
1943 g. 21. VI. Priedienā.
P.S. 
Deins
 (DTIC) galu galā tomēr ļoti neizdibināms. Kā gan viņ'd var mainīt savus uzskatus pret Bervi. Pēdējā gan apgalvo ka neesot viņas vaina, bet kas tam ticēs... Kāpēc citām meitenēm tā nepiesienās, bet tieši Bervei.
""
[..]
 tele"" arī kaut ko stāsta kur Bervei ir nesies prāts.
Nožēloju, ļoti nožēloju ka vispār viņu (Bervi) esmu savā dzīvē satikusi.
Daudz, daudz bēdu esmu piedzīvojusi no viņas - sevišķi pēdējā laikā.
Nekad es to viņai nepiedošu. Nekad!
Es viņai to gribētu teikt līdzko viņu satikšu - varbūt nakošo mēnesi, bet kāds man tur būtu labums. 
Sāks domāt diezin ko. Arī ar to kas līdz šim ir noticis viņa groza galvu jo Deins arī šo to sapūtis. Var jau piedomāt klāt arī katrs ko grib.
Kā tas bijis to neviens nezin...
Labāk - simtreiz labāk ja klusē nevis stāsta par to, ko sirdī jūt...
Ceru ka tā bija pēdējā reize kur es Bervei teicu to, ko varbūt pati skaidri nesamatu.
(Nesaprotu kādēļ tagad, kad rakstu man asaras pilnas acis...)
Patiesību sakot būtu jāuzdzied:
""Neskumsti meitene, vēl esi jauna, Tu
Kad ziedons Tevi sauks, 
[..]
Lai gan šī dziesma ir veca uz izdziedāta, tomēr viņā varbūt slēpjas kaut kas no tās līdzjūtības, kura man tagad būtu vajadzīga.
( Arī tagad kad rakstu visu dienu viņa skan. 
Ich [..] mein Herz un meine heiden Händes"" 
22. jūnijā - Otrdiena. Biju solījusies braukt pie 23F. bet neaizgāju, kaut gan liedagā biju. 
[..]"
1188096,"1941. g. 9. novembrī.
Vakar Gaitai kāzas. Brīnišķīgs brauciens uz baznīcu. Sniegs uzsnidzis. Kamanām klāt zvaniņi... Bija tāda sajūta kā ziemas svētkos. Baznīcā daudz ļaužu. Gaita izskatījās skaista baltajā tērpā. Mājās sākās tā lielā dzīrošana. Vispirms torte, vīns, buljons ar pīrādziņiem, tad tītara vistu cepeši ar salātiem, ābolu kompots, putu krējums, vīnogas. Vēlāk mārtiņu zoss ar brīnišķīgām 
dzērvenēm
, kuŗās spīd gaisma... Tad dancojām. 12:00 ""līgavas mičošana"". Nofotografējamies un sēdāmies lai atkal ēstu tā saucamo ""auksto galdu"". Pēc diviem atkal dejoja. Citi gāja gulēt. Bija šādi viesi: Ilmārs, Milda, Erna, Kārlis, Lūsītis, 
[...], [...]
 - Vilis. Tad vēl 3 virsnieki (2 ar sievām), kāds precēts pāris no Kaģes radiniekiem, Adolfa meita un pārējie mājenieki [mājinieki] un tuvinieki (arī mana senā draudzene Mirdza [..] ... Tā visu vakaru bija diezgan"
