File-ID,Transcribed Text
1192845,"08.02.1983.
Sētas taisīšana uz ganībām.
Lopu ganības Bēkas mājām bija tālu projām no mājas. Ganību bija starp gabalā aiz Meršu mājām, vairāk nekā  kilometru no mājām. Uz tām veda ganu ceļš, jeb kā toreiz teica sētstarpa. Lai varētu lopus uz ganībām aizdzīt  gar abām ceļa malām bija jātaisa sēta (žogs). Sētu taisīja no egļu kārtīm un mietiem. Sētu taisīja: iesita divus mietus, iepina kārklu klūgas (rīkstis). Divās vietās starp mietiem un ielika lažā kārtis. Sētas taisīšanai  vajadzēja daudz kokmateriālu, kārtis un mietus. Ziemā no meža saveda kārtis un mietus.
Pavasarī pēc sējas sāka maija beigās  sētas taisīšanu-labošanu, jo pa ziemu sēta bija vairākās vietās sabojāta. Mieti un kārtis sapuvušas un pati sagāzusies. 
Tā bija jāatjauno. Tas prasīja daudz darba.  Lopus ganīja arī uz papuves laukiem un pēc pļavas nopļaušanas arī uz pļavas. Rudenī slaucamās govis sēja ķēdēs uz āboliņa atāla, lai ietaupītu materiālu.  
Tad ap 1950. gadu iegādājās dzeloņstieples un pie Meršu mājas zemi sētu taisīja no dzeloņstieples. Ganībām izmantoja purvu un kalniņus arī Meršu mežā. Pārējo zemi gar Juldurgu izmantoja kā pļavu daļu arī kūdras griešanai."
1192843,"Ceļa abās pusēs grāvjos bija ik pa 10 metri jāizsprauž skujas, lai redzētu kur ir ceļš un braucēji, sevišķi naktī, nenomaldītos. Pavasarī kad sniegs sāka kust, bija sniegs jānovāc no ceļiem, kur tas bija saputināts. Arī ziemā ja bija dziļš sniegs uz ceļa radušās kāpas bija jānolīdzina.
05.02.1983
    Kartupeļu novākšana.
Kartupeļus Beikās auzēja 1-1,5 ha (4-5 pūrveitas). Audzēja sekojošas šķirnes: mazie zilie, agrie rožu, sarkanie vēlie Hera Tapers, arī baltie vēlie. Galda vajadzībām audzēja  agros rožu un mazos zilos. Lopbarībai un spirta brūzim sarkanos un baltos.
Rudenī uz spirta dedzināšanu (Endzelē) veda Sarkanos un Baltos, jo tiem bija  augsts stērķeles procents 20 – 22%. Kartupeļus izmantoja galveno kārt cūku nobarošanai, deva arī govīm. Kartupeļus stādīja pēc āboliņa vai miežiem. Kūtsmēslus reti kad deva. Kartupeļu raža bija diezgan laba. Zemi rudenī uzara, pavasarī pārara. Vagas uzara ar spīļu arklu un ar to pēc stādīšanas arī aizara. Deva arī minerālmēslus: sperfosfātu un kālija sāli."
1192834,"07.01.1982. 
Reņģēs braukšana
Senāk jau lauciniekiem uzturā daudz lietoja siļķes un reņģes.  Veikalos tās varēja vienmēr dabūt, bet lai iznāktu lētāk, tad daudzi lauksaimnieki paši brauca ar zirgu uz jūrmalu pēc reņģēm: uz Ainažiem vai Salacgrīvu. 
Arī mans tēvs gandrīz katru pavasari brauca uz jūrmalu pēc reņģēm. Tas bija cara laikos pirms pirmā pasaules kara ap 1905. -1913. gadam. Arī es esmu  braucis vienu reizi uz jūrmalu pēc reņģēm. Tas bija pēc okupācijas laika: tad brauca ar Rūjienas pienotavas smago automašīnu, mēs bijām vairāki lauksaimnieki. Atvestās reņģes izķīkāja, iesālīja un tad lietoja visu vasaru uzturā. Braukšana parasti notika pēc sējas maija beigās vai jūnija sākumā.
Manas gana gaitas
Katru gadu mūsu mājās bija algots gans vai gane, kuri ganīja mūsu ganām pulku – govis un aitas. Bija dažu gadu arī cūkgans, kurš ganīja cūkas. Es arī gāju ganos vienu vasaru, tas bija 1916. gadā. Ganāmpulks bija apm 15 govis un aitas ar jēriem apm 30. Jāgana bija uz papuves lauka un ganībās. Tās bija tālu aiz Meršu mājām. Ganam no rīta iedeva līdzi brokastu maisu un arī pudeli piena. Vakara cēlienam iedeva maizi un pienu launagam. Cūku gans parasti dzina aitas uz ganībām un govju gans govis. Arī pusdienās cūku gans gāja uz ganībām pēc aitām un tās dzina mājās pirms govīm lai tās nesabradātu aitas."
1192841,"12.02.1983.
    Audumu balināšana
Kad noauda linu un pakulu audeklus  tad tie bija jābalina. Vispirms šos audumus iemērca pelnu sārmā tad izvārīja un tad izklāja uz sniega lai pavasarī saulē un vējā balinājās. Tā tos noturēja vairākas dienas. Vēlāk tos klāja uz zāles lai rasā un saulē turpinātu balināties. Pēc šādas balināšanas tie kļuva balti un no tiem varēja šūt kreklus, bikses un palagus. 
12.02.1983.
   Āboliņu sēšana pavasarī 
Āboliņu sēja tikai uz ziemāju rudziem un ziemas kviešiem. Sēšanu izdarīja agrā pavasari, kad zeme bija tikko atkususi, dažreiz vēl pa salu kad no rītiem zeme vēl sasalusi, jo  vēlāk sējot āboliņa sēkla  nesadīga. Jo tā palika uz zemes virsas neiestrādāta. Vēlāk ar rudzu  zelmenis sazēla un  sēkla netika līdz zemei .Sēšanu izdarīja no rītiem agri, kad nebija vējš un zeme dažreiz bija uzsalusi. Pirms sēšanas bija lauks jāsabiržo slejās  tās iezīmēja ar salmiem tos nedaudz izkaisot pa vienam salmam 5-6 soli bija birzes platas.
Uz zaļo rudzu zelmeni labi  varēja saskatīt salmu rindu.
Uz 1 pūru iesēja ap 20 mārciņām āboliņa sēklu. Pielika sēklai arī 4-5 mārciņas timotiņa sēklu.
Kad sēšanu izdarīja vēlāk kad rudzu zelmenis jau sāka iezelt tad biržošanu veica pa rasu ar slotu velkot."
1192837,"papuves laukiem rūpīgi nolasīja visus akmeņus un noveda malā un arī pie mājas. Akmeņu kaudze pie kūts ir radusies pamazām saliekot no lauku akmeņus. Arī no āboliņu laukiem nolasīja visus akmeņus. Tāpat arī no vasarāju sējumiem.  Dažas kaimiņu saimniecības lielos akmeņus nogremdējuši zemē blakus akmeņiem izrokot bedri un tad to akmeni tanī ieveļot. Tā darīja Meršu saimniecībā un arī citās. Bēkas tādam veidam nepiebiedrojās. Lielu akmeņu vešanai bija speciāli rati. 
31.03.1982.
   Dažādu lietu aizdošana kaimiņiem.
Daudz un dažādas lietas tika aizdotas kaimiņiem. Tāds lietas bija: kāpostu ēvele, cūku plucināmā sile, svari, maisu vāģīši, alus mucas, aužamās ķemmes, (šķieti) sera rati, salmu segas, arī zirgi pie kuļmašīnas, visvairāk tika aizdots tuvākajiem kaimiņiem Čāmas (tagad Saktas) Meršiem, Jaunmūļām, Kalēju Lungām un arī Bēkas saviem kaimiņiem aizņēmās dažādas lietas kā sera ratus, zirgus u. c."
1192833,"Kāzas bija plašas: tēvs un māte kāzās saņēma daudz dāvanu: tēvs sudraba kabatas pulksteni, tas man bija līdz 1987. gadam un gāja labi, kamēr nopirku rokas pulksteni. Vēl bija dāvanā sienas pulkstenis, kafijas servīze (porcelāna) 12 pers. Un vēl daudz citu. Galda lampa, ērkalēti galdauti un arī tādi paši bija aizkari. Sienas sega ar zirga galvām (kamanu sega), kura vēl tagad ir. 
Kublu mājās nebija neviena, kas te saimniekotu, jo tās meitām nebija pēcnācēju, apprecējās gan, bet vēlu un bērnu nevienai nebija, tikai manai mātei. 
Kublu mājas tad pārņēma ciema izpildkomiteja. Sākumā tur dzīvo 4 ģimenes.
07.01.1982.
Ķoņu veikala dibināšana
Agrākos laikos laukos bija maz veikalu. Bēkām tuvākais veikals bija Naukšēnu pagasta Dolēs pie vējdzirnavām 4 km no Bēkām. Kad vēl biju mazs es negāju pat skolā mani sūtīja uz šo veikalu pēc dažādām sīkām lietām: raugu, sērkociņiem un citiem. Ķoņu pag nebija neviena veikala. Ķoņu pag iedzīvotāji tad lūdz lai Rūjienas patērētāju biedrība tiem ierīkotu arī šeit. Rūjienas patērētāju biedrība tad arī ierīkoja Ķoņu krogā pie Rūjas upes veikalu. Tas bija ap 1925. gadu vai 1926. Šis veikals pastāvēja līdz 1944. gadam. Pēc kara atkal šo veikalu atjaunoja un tagad tas darbojas līdz šai dienai."
1192828,"Divi āboliņu nesa un novietoja pantos vai sliktās.  Divi strādnieki piemīņāja pantu. 
22.03.1981.
Mežs – birztala
Manam tēvam uzsākot saimniekot 1899. gada pavasarī, Bēkas mājai meža nebija nemaz, izņemot nedaudz alkšņu un kārklu krūmu gar upītes Juldrugas malas. Visu kurināšanu un būvmateriālus vajadzēja vest no valsts mežiem. Veda no Naukšēnu meža pie Bodnieka un Lāriņa mežsargiem gan arī no Ķoņu pagasta mežiem. Miltiņu un Pollīšu mežiem. Dažreiz arī no Lodes mežiem. Katru rudeni pirms sniega uzkrišanas sacirta valsts mežos ap 30-40 vezumu žagaru. Kad uzkrita sniegs, tad veda mājās. Kurināmo materiālu vajadzēja daudz… pie kulšanas tvaika katla kurināšanas, labības graudu un linu stiebriņu žāvēšanai, dzīvojamās mājas apsildīšanai, pirts kurināšanai katru sestdienu un citām vajadzībām. Kurināšanai sagatavoja arī kūdru… tālajā purvā aiz Meršu mājām. Katru gadu sagrieza ap20-25 tūkstošu gabalu kūdras ķieģelīšu. Tos izžāvēja, daļu tūliņ pārveda mājās, bet lielāko daļu novietoja tur pat uzceltā šķūnīti. Un tika ziemā pārveda mājās. Iznāca ap 50-60 vezumu kūdras. To izlietoja tvaika katla kurināšanai, graudu un linu žāvēšanai un arī dzīvokļa apsildīšanai. Dedzināmo malku sagatavoja valsts mežā katru gadu 10-25 steri. Arī būvmateriālus katru gadu sagatavoja ap 10 sterus dēlīša malku un arī baļķus dēļiem. Un remonta vajadzībām. Bērzu birztala pa šiem gadiem izauga kupla un 1972. gadā kolhozs to nocirta: ieguva 60 m3 finiera baļķu un 240 sterus malkas."
1192836,"atļauts linus mērcēt, jo tad samaitāja ūdeni un tad bija kaitīgi zivīm un vēžiem. Vajadzēja rakt mārkus. Tika izrakti 6 linu mārki pie upītes pļavas līcī ap 200 metri no ceļa tilta uz ziemeļu pusi. Katrs mārks bija 6-8 metri garš un 4-5 metri plats. Dziļums uz leju 1-1,5 m. Ūdeni ielaida mārkos no upītes Juldurgas. To tad aizdambēja un ūdens pārpludināja pļavu un ietecēja arī mārkā. Linu stiebriņus pēc atpogaļošanas salika maisos, pārlika virsū alkšņu žagarus un tos noslodzīja ar akmeņiem. Lini mirkst 1-3 nedēļas pēc linu apstrādes. Tad tos izcēla ārā, izstādīja uz lauka un žāvēja. 
31.03.1982
    Akmeņu novākšana no laukiem.
Agrāk Bēkas mājās laukos ir bijuši diezgan daudz akmeņu, gan lieli, gan mazi. Daudz akmeņu novākti ceļot saimniecības ēkas: kūti, riju, un pirti un citus. Lielos akmeņus pirms novešanas no lauka saspridzināja iekaļot tanīs caurumu, un tās  piepildīja ar spridzināmām vielām. Akmeņu spridzināšanu laukos un pļavās veica ap 1907-1908 gadu. Tad laukos un pļavās saspridzināja un tos noveda no lauka. Bija speciāli akmeņu spridzinātāji. Arī mazos akmeņus novāca no lauka. Katru gadu no"
1192827,"turpinājums no pirms p. lpp.
iearšana. Bija divi arāji ar divjūgu arkliem. Pēc aršanas papuves lauku noecēja. Vasarā vēl vairākas reizes ecēja. Divas reizes kultivēja ar atsperu ecēšām. Augusta mēneša pirmajā dekādē izdarīja papuves kārtošanu- pāraršanu ar divjūga arklu. Pēc aršanas lauku noecēja divās kārtas. Tad uzsēja minerālmēslus: lietoja tomasa [superfosfāts - piezīme] miltus un kālija sāli. Dažreiz arī superfosfātu. Rudzu sēju izdarīja septembra pirmajā nedēļa. Līdz Bērtuļu diena t.i. 6. septembrī. rudzus visus obligāti apsēja. Z kviešus sēja nedaudz apm 1 pūrvietu t.i. 0,32 ha. Līdz ziemas sākumam rudzi tad paspēja labi sazelt un tad arī vienmēr labi pārziemoja. 
b) āboliņa novākšana
Āboliņa lauku platības Bēkās bija 8-10 ha. Līdz 1919. gadam kad vēl nebija zāles pļaujmašīna iegādāta, āboliņu pļaušana mašīnu dabūja no Ķoņu pag. Lejas Kliņģeru mājas saimnieces – Bērziņas un zirga grābekli dabūja no Naukšēnu Bolles mājas. 1920.g Bēkās iegādājās zāles pļaujmašīnu, zirga grābekli un rindu sējmašīnu. Nopļauto āboliņu 1-2 dienas apžāvēja un tad sagrāba ar zirga grābekli un salika garā zārdā vai arī gubās (gubas 100-150 kg). Parasti strādāja: viens brauca ar zirga grābekli, viens vīrietis saslēja stumburus gubām, viens vai divi vīrieši krāva āboliņu gubās un viena sieviete piegrāba. Pēc pāris nedēļām kad āboliņā bija gubās izžuvis to saveda mājās uz ēkas augšam un šķūnī. Vešanā piedalījās 2-3 pajūgi. 1 vai 2 vīrieši krāva no gubām āboliņu vezumā, viens veidoja vezumu un viena sieviete piegrāba. Mājās viens vīrietis cēla āboliņu no vezuma uz ēkas augšu."
1192832,"Manas mātes agrākā dzīves vieta Ēveles Kublos. 35 km no Bēkām. 
Mana māte Ida Paulīne Brambate ir dzimusi 1878. gada 17. septembrī pēc vecā kalendāra jeb pēc jaunā kalendāra 29. septembrī 1878. gadā ēveles Kublos. Uzvārds bija Brambats. Brambatu ģimene sastāvēja – tēvs Indriķis, māte Madala un meitas Minna, Emma, Zelma un Ida (mana māte). Kublu mājas bija vidējas, zeme bija vidēji laba, pļavas bija sliktas daļa no tām starp gabals apm 10 km tālu tīrelī pie Sedas. Dažu vasaru kad Seda pārplūda pļavas nemaz nevarēja pļaut bija applūdušas. Arī siens tad bija ļoti slikts: grīslis. 
Ēkas bija labas. Dzīvojamā māja celta 1889. gadā: 4 istabas un lieli … Apakš dzīvojamās ēkas bija arī pagrabs. Mājai bija arī veranda. Dažās istabās bija krāsotas grīdas. Klēts bija laukakmeņu mūra. Zem klēts bija pagrabs. Arī divas kūtis bija mūra un arī vāgūzis. Rija ar piedarbu arī bija mūra. Kūts bija koka būve. Mājas pļavā bija arī viens siena šķūnis. Bija 4 darba zirgi, 6-7 slaucamās govis un jaunlopi un zosis. Mātei pūrā bija 2000 rubļu zelta naudā, viens zirgs un vāģi, 2 slaucamās govis, 20 gultas segas  darba veļas un galdautu. Kāzas notika 1900. gadā 13. februārī ēveles Kublos. Laulāšana bijusi ēveles baznīcā."
