File-ID,Transcribed Text
1197010,"Ap
20:30 esam Ventspilī. Seko kārtējās formalitātes. Tad ņemam analīzes: 100
reņģes un 69 mencas (cik bija). Lomā bija arī dažas butes. 
Pēc
24:00 laižamies nirvanā....
4. dec. (3. reisa diena)
Kārlis pamodās un teica,  ka d.b. [""dabas bērns”] bijis pie viņa naktī
ciemos. Mani un Sašu gan neviens netraucēja pa sapņiem, jo mēs abi gulējām kā
mazi bērni - cieši un nevainīgi, pat pirmie gaiļi Ventspilī nespēja mūs modināt,
līdz beidzot pl. 9:00 pats z.p. [zam-poļits] atžilbināja mūs no šī nāves miega. 
Paēdām brokastis un devāmies
izlūkos - kas jauns ""jūrnieku paradīzē”.  Kārlis, protams, meklēja, vai nav dabūjama
kāda Mario platīte, Saša meta acis uz"
1197014,"4. reisa diena. (5. 12.)
Vakar vakarā līdz kādiem vienpadsmitiem spēlējām zolīti. Kārlis spēcīgi vinnēja"
1197015,"Vakar vakarā kuģis palika gluži tukšs. Bijām tikai mēs trīs, kapteinis un ""vočmeni"". Šorīt visi zēni galīgi miegaini, aizpampušām acīm. Reisa priekšnieks arī mūs vakar aicināja pastiept zilo diegu, bet mēs atteicāmies. Toties šodien ir svētki un mēs 2 pret vienu balsi nolēmām tukšot vienu brendiju ar citronu.
Arā ellišķīgi auksts. Jau otro dienu sēžam Ventiņos, bet prognozes joprojām rāda stipru pūtienu (līdz"
1197016,"10 ballēm). Droši vien arī rītu vēl būsim šeit.
Priekšnieks ar Andi aizgāja uz dušu, bet man ir tekošs deguns un negribu šoreiz riskēt."
1197007,"3. 12. 59. g
Pl. 01:00 ""zaļie"" beidza pārbaudi. Šoreiz bez liekām formalitātēm. Viss kārtībā. Atdodam galus un aiziet jūriņā tā kunga plosts. Liekamies gulēt. 
Pl. 07:50 iebaudījām pirmo kuģa barību. Pagaidām apetīte laba. Daži no mums naktī gulēja slikti un tagad nolikās koikā vēl drusku nokrākties.
12:52. Esam paēduši. Stāvam 355 kvadrātā. Metam pirmo trali. Viļņošanās 2-3 balles. Eholots rāda nelielas zivju koncentrācijas. Ventspilnieki sliktā laika dēļ nav manāmi. Arī mēs te ilgi nedomājam nagus saldēt. Pie lielāka pūtiena brauksim malā. Prognoze - 
Somu j. l. [jūras līcī] vētras brīdinājums."
1197018,"Cilājot uguns milnu, sitam
zolīti, kura tomēr lielu apmierinājumu mums nedod. Galvenā tēma - tuvāka
savstarpēja iepazīšanās, jo izrādās, ka tikai tagad abi mani padotie (Andis un
Saša) sāk viens otru labāk saprast. Viņu diskusija bija asa, bet reizē ļoti
draudzīga, kā jau tas parasts pie cilvēkiem, kuriem uguns milna ir iesitusi pa
pieri.
6. decembrī ( 5. reisa diena)
Venta pārklājas ar plānu, bet
noteiktu ledus kārtiņu. Andis gan uztraucas, ka tas nav tiesa, bet tā kā viņš šodien
līdz 12:00 (šim brīdim) vēl nav ārā bijis, tad viņa iegansts ir maz pārliecinošs.
Tu jau arī, Kārli, pats neesi
ārā bijis!"
1197020,"Patiesības labad jāpiezīmē, ka arī Kārlis ir cietis no vakardienas uguns milnas, jo šorīt zēns ir it gurdens un pastiprināti sapņo par ""pelītēm"".
Priekšnieks un viņa alkohola ""pelīte""."
1197006,"2.12.1959. g. 
21:00  atstājam Voldemāra [Valdemāra] ielas tiltu. Visi ir formā. 
Mēs visi esam formā. (Fakts)
Pl. 10:45 sākas sanitārā pārbaude. Visas sanitārās grāmatiņas pamatīgi pārbaudīja. Koham piesējas un atrada nekārtības; nav veneriskās u.c. rezolūcijas. Nīkstam, kā parasts, Mangaļos."
1197008,"Andris saka, ka derēja viena ""pelīte"" ar pekiņām [pekām] uz augšu.
Viļņošanās pieņemas - 3-4 balles.
Pl. 16:54 viļņošanās pieņemas. Pēc mūsu domām ir jau kādas 5 balles. Grūti parakstīt. 1 st. 30 min. tralējām. Velkot ārā saplīsa tralis. Loms sīks - knapi 100 kg (reņģes + mencas)
Un atkal notika tas kam bija jānotiek. Liktenis ir nežēlīgs..."
1197013,"Pašlaik Kārlis spēlē šahu, bet Saša beidz pindzelēt ostas skatu. Uz kolektīva vēlēšanos viņš šeit demonstrē arī vienu abstraktās mākslas paraugu.
Mūsu pusdienas"
