File-ID,Transcribed Text
1269927,"23.II. 1956.g.
Tagad atkal mūsu saimē palikām četri, jo putniņš nomira. Kā vēlāk dabūju zināt, putniņi neciešot istabas temperatūru. Tā laikam arī taisnība. Vakarā izkurinājām krāsni, stipri, jo šī ziema ir ļoti auksta līc C° 40 - un sniega sega arī loti bieza. Tā zīlīte pie mums nodzīvoja apm divas nedēļas.
Bet tagad nedienas ir ar Ripsi. Ripsītis ir slims jau trīs nedēļas, ar tā saucamo ""šnēpi"". Šovakar ir pavisam bēdīgs stāvoklis. Kad nācām no darba, gulēja uz malku un pretīm nenāca, arī kad saucām nē.
Laikam piksam trīsi! Ja izcietīs tas būs brīnums!
4.III.1956.g.
Līdz šai dienai ārtsējam Ripsīti, spricējām penicilīnu un streptomicīnu. Dažas dienas likās ka būs labi, jau sāka atkal ēst un dzert. Bet šodien sāka skriet pa istabu, nelabi vārtīties riet un siekaloties. Nevarēju vairs noskatīties kā viņs mocās. Aizgāju pie Zūpes Vili un lūdzu lai nāk nošauj. Aiznesu Ripsīti uz smilšu ...
dziļi sn...
kust, tad...
Šī ziem...
šausmīgi ...
redzējis. Visi...
strauji kusīs ta...
Pagājušā m...
Pirmā filmiņa nekāda...
lai varētu pagatavot pa...
8.III. 1956.g.
Šodien uzsākām apmācības slēpošanā...
apmēram vienu kilometru. Liekās ka Egīlam iz...
diezgan ātri apgūt šo sporta veidu.
9.III. 1956.g.
Arī šodien izgājām visi trīs slēpot. Egīls stāstīja ka sāpot kājas, tas droši ka no slēpošanas. Šodien jau veicās daudz labāk. Pats nobrauca pa mazu kalna nogāzīti, tomēr lejā bija jākrīt. Šo skatu uzfotogrāfēju."
1269918,"25.maijā 54.g.
Šaj;a dienā no rīta izbraucu uz Siguldu 24.V54. pēdējo reizi ar savu motecikletu B.M.W. biju uz technisko apskati. Bet 25.V.54. aizvedu uz Liepas pagastu, pie Lodes stacijas, un pārdevu motocikletu. Ļoti žēl bija šķirties, jo manam mazam draudziņam tagad nava ap ko krāmēties, arī pašam man nava ko darīt. Kājām jāiet uz veikalu un visur kur vien vajag.
Nebūt jau pārdevis bet gribās nopirkt ""Moskviču' lai varētu mēs visi pavizināties. Motocikletu pārdevu par 4000. Vieglās mašīnas ļoti dārgas, kā brauktas tā arī jaunas. Valsts cenā jaunā maksā 9000, bet spekulācijas ceļā līdz 14000. Mēs patreiz esam sarunājuši ar Breizi par 9500 nobrauktu patreiz 16000.
27.V.54.g.
Uz ātru roku sarunājām un aizbraucām uz Ļeņingradu lai sameklētu vieglo mašīnu. Gala iznākums ļoti slikts. man pārgrieza kabatu un izvilka 800 rubļu naudu. Mašīnu gan sameklējām, bet nelaimējās atkal. Tai sievietei, no kuras gribējām pirkt mašīnu, vīrs miris mēnesi atpakaļ, tā kā 6 mēneši paredzēts likumā sieva nevar dabūt mašīnu uz savu vaŗdu un proti līdz ar to nevar pārdot.
Tā patreiz esam kājniekos. Gaidu no Ļeņingradas kādu ziņu varbūt ka viņai laimēsies kaut kā dabūt dokumentus ātrāk uz savu vārdu, tad braukšu apkaļ. Cena jau gan pasakaina 13000. Tā kā opapa ar omamu aizdod mums 3 taukšus tad kaut ko jādara lietas labā, lai mūsu mazais draudziņš arī varētu līdzi braukāt, tāpat arī oma ar opu."
1269923,"10. aprīlī 1955.g.
Mama sazvanījās ar Ranku un ka varam aizbraukt paciemoties. Sniega joprojām bija daudz un netaisās arī kust. Pa ceļam braucot bija vērojams ka Šnores ceļš būs aizputināts, jo pūta stiprs vējš un sniga. Rancenieši solījušies braukt pretīm līdz Smiltenes ceļa galam. Tā nu braucām tīri labi, kamēr vienā vietā, apmēram no ceļa gala 12 km, bija tā pieputināts ka dabūjām metrus 30 parakties. Vēl vienu kilometru un ar to pašu celš bija pilnīgi aizputināts metrus 200. Aiz aizputinājuma pretīm mums rakās opapa ar omamu. Ar lielām pūlēm, rakšanos un stumšanos vakarā 8 bijām Raunā. Egucis ar Mārīti bija krietni pārsaluši. Svētdienas vakarā  par mājās braukšanu nebija ko domāt, jo sniga un putināja. Tāpēc ar opapu norunājām ka pirmdienas rītā uzlādēsamies uz smago un mūs izvedīs cauri aizputinātam gabalam. Tā arī izdarījām un knapi tiko tikām cauri. Laimīgi nolādējāmies un pārbraucām mājās. Un šakās atkal nelaime"
1269919,"29.oktobrī 54.g. aizbraucu atkal uz Ļeņingradu lai sameklētu ""Moskviču"". Tā vecene vairāk mums neatbildēja no Ļeņingradas un tā nu braucu uz labu laimi, kopā ar mūsu kaimiņu Katušonoku. ļeņingradā aizgāju arī pie tās vecenes kura solīja pavasarī ka rudenī pārdošot, bet šai jau gadījies kāds brutgāns un tā viņa atteicās. Arī uz tirgu nekas nebija un bija jābrauc mājās atkal tukšā. Pa ceļu iztērēju 300 rubļu.
Pāris reizes aizbraucu uz Rīgu lai sameklētu mašīnu. Tā beidzot arī man laimējās. Tas notiak tā: aizbraucu sestdienā. 13.XI.54.g. uz Rīgas kantori pie Grīniusa kurš savu kārt mani nosūtīja tālāk pie kāda sava pazīstama kuram bija zināms pas pārdod mašīnu. Gala zinākums tāds ka to pašu dienu jau nokārtojām dokumentus tik tālu ka vakarā jau pārbraucām mājās ar mašīnu, jāpiebilts ka bez naudas man pārdevējs uzticēja mašīnu. Svētdienā visi ar omammu un opapu aizbraucām pie Ranceniešiem ciemā. Pirmdienā aizbraucu un samaksāju naudu un tā nu tagad mums ir sava vieglā mašīna. Mašīna bija nobraukta 8400 km, cena 12000 rubļu.
Egīls pa šo laiku ir izaudzis liels prokosts, kā arī liels gudrinieks. Prot visu alfabētu kā no grāmatas. Tad vēl no lasāmās grāmatas no I. klases, dzejolīšus, """"Lācīti, lācīti."" ""Bērna lūgums pulkstenīšam"", un vēl kādu, pirmās prot ļoti labi. Egīls prot uzrakstīt ""A"" un ""1"" tas ir pagaidām.
20.XI.54.g.
Egučam dzimšanas dienā iznāca liela balle. Bija atnākuse Dace, Veronika, Juris, mūsu omamma ar opapu, rancenieši. Egucim lielas lustes bija kad kāds kautko uzdāvināja un visi kopā padancoja. Visu to viņš ilgi atcerās un saka tā, ""dzimšanas dienā bija leila dancošana un kad būs vārda diena tad atkal dancosam."
1269922,"Eguča kājiņa 13.III. 1955.g.
Eguča rociņa 13.III. 1955.g."
1269920,"Jaunajā gadā 1955.g.
Sala vecīšam Egucis gatavojās gan, mācījās dzejolīšus, burtus jau prot labi sen. Bet kad ierunājamies par to  ka nāks sala vecītis un būs jānoskaita dziesmiņas, Egucis saka tā ""es gan bēgšu pagultē jeb uz skapi."" bet iznāca tā: Oresta onkuls atnāca, priekšiņā saģērbās pa sala veci, tad peiklopēja pie loga, puika bija varen uztraucies, jo omama ar opapu arī atnāca laui redzētu kā notiks sala vecīša uzņemšana un stāstīja ka sala vecītis jau staigājot pa āru. Tā tūlīt arī pie loga klauvēja Egīls metās uz dīvānu un sāka raudāt, etica lai nelaižot sala veci iekšā. Beidzot pierunājām puišeli lai iet pretīm. Tiko sala vecis parādījās durvīs tā Egucis rāva vaļā ar skaitīšanu ""Lācīti, lācīti: tavu gudru padomiņu,"" ""Sala vecis"" bija atnesis Egucim ragaviņas, ermoņiku, kurpes, konfektes, biskvītus un žagaru bunti. Beigās abi tīri labi sadraudzējās tā kā Egīls sala veci pavadot jau piekodināja lai nākošgad nākot atkal. Ar 10. februāri Egucim padodās vārdos burts ""R"" visu laiku tas viņam nebija pa spēkam. Un tagad, tas ir martā, nē nebūs pareizi, ar februāra otro pusi vairs nav jāsaka piem: ""Līga"" bet gan ""Rīga"", roka, Ranka un t.t.
1955.februārī
Strādāju pa vakariem, remontēju motocikletiem daļas. Starp citu arī Eglīšu Elmāram. Par padarīto darbu pusi ņēmu atlīdzību, bet par otru pusi sarunājām lai viņš man ierāda foto bildīšu pagatvošanu. Tā nu tagad kad ir brīvi vakari visi trīs nodarbojamies ar bildīšu kopēšanu. Dodu Egilam arī pagatavot,apgaismot, izņemt no rāmīti, ielikt šķīdumā un tā bildīte gatava."
1269929,"Jūlijā stājās spēkā jaunais dekrēts par darba dienas saīsinājumu sestdienās un pirmssvētku dienās. Tā kā tagad varam būt vairāk kopā ar savu dēluku. Lai ietaupītu rubli pats pagatavoju foto palielināmo aparatu. Daudz darba bija 1 1/2 nedēļas katru vakaru 2-3 stundas, tomēr uzvarēju. Iznāca pieklājīgs.
Egīls pēdējā laikā palika nepaklausīgs, liels palaidnis. Vienreiz sadomājis un atnācis no Remdenkalna uz Plučukalnu omamu meklēt, lai gan omama te nemaz nav bijusi. Čigāni staigājuši un mama aizslēguse durvis, puika pieskrējis pie durvīm paraustījis, durvis ciet un šis liek prom uz Plučukalnu, izmeklējis ka te nav gājis atkal atpakaļ. Omama atkal šo meklējusi tur.
Šī vasara un vis rudens šausmīgi traks lietus līst katru dienu un stipri vēs. Kā pagājušā ziema bija bagāta ar sniegu tā arī vasara ar lietu. Pavasarī Gaujā bija milzu ūdens, kā vecie cilvēki stāsta tadu ūdens līmeni Gauja neesot redzējuš. Pie siekstīm ūdens nāca pāri ceļam Lapiņa pļavā
20 novembrī 1956.g.Pirms dažām dienām Egils atkal saslima ar gripu, vieglā veidā tā kā savu dzimšanas dienu varēja nosvinēt vesels būdams. Uz Egila dzimšanas dienu bija atbraukuši arī Rancēnieši.
Ir jau sanācis sniegs! Kad sagaidīsam pavasari ja tik agri jau sniegs.
11. decembrī 56.g.
Egils pēdējās dienās atkal slimo, bet nevaram zināt kas par vainu, pieturās temperatūra lai gan nekas nesāp. Lai tiktu skaidrībā nolēmām aizbraukt uz Rīgu pie pazīstama bērnu ārsta Nīmaņa. Rezultātus dabūjām šādus: ka bērns barots par daudz treknām barībām, rezultātā palielinātas aknas. Tagad 4 dienas jāietur pilnīga dieta, pēc tam pakāpeniski nedaudz jādod taukvielas, ieteic vairāk lietot saknes kā arī rudzu maizi un biezpienu. Olas nemaz, ja lieto tad cietas novārītas, bet cukura deva tai dienā jāpavairo dubulti."
1269915,"25.janvārī 1954.g
Vecā gada vakarā visa ģimene un vēl piedevām omamma un opapa aizbraucām uz Ranku ar Rankas opapas mašīnu. Tā tur sagaidījām jauno gadu. Pie eglītes Mārīte skaitīja dziesmiņas. Egils to redzēdams arī uzstājās ar deklamācijām ""Kur tu teci gailīti manu"", un pats tūlīt applaudē ""bavo, bavo"". Sākot ar jauno gadu Egučam labi padodās kopā runāšana. Tā ļoti jauki pavadījām veco gadu. Trešā dātumā atkal visi braucām mājās, jo pēcpusdienā bija jābūt darbā.
Un tad abi ar Egucīti saslimām, sākot ar 7 janv. Egucitis bija ļoti slims, temp. 39,3 trīsas dienas nekautko neēda un ve'deriņš gāja cauri. Devām dāzādas zāles ar mežrozīšu sīrupu, to vienīgo ņēma pretim. Arī viena cērme iznāca milzīgi liela. Nu tagad esam veseli. Egucītis tik ļoti labi ēd ka prieks skatīties. No rīta tikko acis vaļā tā prasa mannu maizīti ar sviestu, un vakarā gulēt iedams to pašu. Konfektes patreiz maz dodam.
Uz dauzīšanos puika ir traks, kad esu no darba mājās man miera nav, jādauzās, jāvingro, jābēgās, jāmācās zīmēt un lasīt. Līdz jaunam gadam Egucis bija izmācījies visus burtus. Patreiz mācāmies ksaitīt līdz desmit. 1,2,3, jau iet pēc kārtas, tālāk tā jukām.
Patreiz Egils saka tā: Egil iet akatu akatu ailā."
1269931,"15.martā 1957.g.
Kā jau pagājušo zimeu rakstīju, pa svētdienām gājām slēpot, visi. Bet šogad Egils iet jau viens pats uz savu roku. Un tiešām jāsaka ka viņam ir ķēriens. Tik lepni nobrauc pa diezgan pastāvu kalniņu, tas ir tepat aiz cūku būdām no grantskalniņa. Kad eju uz darbu, Egils brauc ar slēpēm uz Remdenkalnu pei omamas, ar slēpēm. Vakarā brauc atkal mamai pretim uz vārtiem. Pagājušo svētdien grantskalniņā uztaisīju mazu tramplīnu apm. 20 cm. augstu lai Egils trennējās lēkšanā. Apmēram 1/2 metru var aizlekt, dažreiz gan gadās arī nokrist. Pirmo reiz gan iznāca prasti, sliedes nebija vēl labi izbrauktas un tad aizšāva bukai garām.
Es tagad strādāju uz maiņām, tā kā vienu nedēļu esu priekšpusdienā, otru pēcpusdienā mājās. Līdz ar to man tagad brīvais laiks daudz vairāk. No rītiem kad pabrokastojam Egīlam jāmācās lasīt no Abeces lasāmie gabaliņi, kad divus trīs gabaliņus izlasījis tad laižu jaunskungu ārā dzīvoties.
Egīlam tiešām labi iet ar lasīšanu, ja tāpat turpināsim mācīties, tad ceru ka līdz vasaras sākumam ar lasīšanu iet tā kā vajag. Ceru ka nākošo ziemu pasaku grāmatas varēs pats brīvi lasīt.
Šī ziema ir ļoti dīvaina ar savu nepastāvību. Ziemas sākumā sanāca ļoti daudz sniega. Vecie cilvēki tā saka ja mārtiņi balti tad ziemassvētki melni. Lai gan neviens tam neticēja tomēr tā iznāca, ka ziemassvētki melni. Nokusa viss sniegs un upītēs vēl dabūjam vairākus lasēnus. Tā arī vis janvāra un februāra mēnesis pagāja silts un gandrīz bez sniega.
Šogad iesāku iet uz zaķiem. Aizņēmos bisi sapirku munīciju un tā nu man atkal viens jauns sporta veids klāt. Pa diviem mēnešiem trīs zaķēnus nokniebu gan.
Tagad krāju naudu lai iegādātos pats sev bisi. Tās stipri dārgas - 1200. Pa 380 vairs nevar dabūt. Iesniedzu dokumentus uzņemšanai mednieku biedrībā."
1269921,"1955.g.martā
Dabūju zīmējumu no 5.K. par tvaika mašīnas modeli. Divos vakaros bija gatava tvaika mašīna. Kad vakarā pārnācu no darba bija jau vēls. Tūlīt uzvārījam ūdeni iekurinājām krāsni un mašīna sāka darboties, tad nu Egīlam bija gan garšīgi ko smiet, tik ilgi skatījās kamēr uznāca miegs. Man vēl padomā ir izgatavot kaut ko dzenamu ar pārvadu no tvaika mašīnas. Blakus lapā zīmējums no tvaika mašīnas detaļām.
Tvaika mašīnas modelis.Egilam
Skurstenis 220x10 
Ø
Katla augstums 110x75 
Ø
Spirta lampiņa
Kloķa vārpsta
Spara rats
Virzulis
Tvaika delis
Atspere
Drošības vārsts
Vara caurule tvaika pievadīšanai 110 gara 3m/m ap iekšējais
Cilindrs
tvaikadalis
Līgatnē 13.III.55.g."
