File-ID,Transcribed Text
1217380,"272.
Grāmata satur 272 lapas puses, un rakstīta vienā ekzemplārā. Lasīšanai pieejama ar īpašnieka atļauju. Par rakstā ieviesušām kļūdām, un rokrakstu, autors izlūdzās piedošanu, jo saturs nav ticis vēlreiz pārbaudīts. Tāpat valodas, nepilnību ņemt par labu un nekritizēt.
Grāmatas apdare un zīmējumi paša autora.
[zīmējums]"
1217262,"[zīmējums]
Ja sirdi tu potējis mīlas rozi,
Tava dzīve nav bijusi velta;
Tāpat, ja tu klausījies Dieva balsī
Vai cel savu kausu, uzsmaidot baudai.
(Persiešu dzej. Omars Heijams)
Pirmā Mīla."
1217255,"atgūtu mīlas rotaļā izgaisušo skurbumu. Uz rīta pusi, kad visi bija paguruši un sāka snaust, es saģerbos un aizgāju uz mājām.
Bet tad pēc dienām trim, nāca man pilnīgi negaidīts pārsteigums. Pie manis uztraukts ieradās tas pats ""labais draugs"", kas bija manā vietā ""plūcis aizliegtos kiršus"" un pirmais vārds, ko no viņa dzirdēju bija: ""tu vari man pateikties, ka es tevi esmu izgabis no nelaimes""... un pastastīja kā esot, pēc tās nakts saslimis ar venerisku slimību. Es acis vien ieplētu un man tas likās neticami. Bet kad viņš man apstiprināja, kā tā tiešam esot, kā bijis jau pie ārsta un arī pie šīs meičas, viņas izlamājis un gribejis pat piekaut, tad es nenovieties uzprasiju: ""kādēļ tad viņa slima būdama tā darija? Un saņēmu no viņa šādu atbildi, ka viņa pate to tīkai tagad uzzinot, kā esot slima un pēc tam sākuse raudāt un bēdāties, ko nu lai darot. Mans draugs izārstējās, bet kas ar šo meiteni notika, to nezinu, jo nekad pēc tam, tas netika vairs redzējis. Es jutos tiešam laimīgs, kā biju izprucis [izsprucis] no šīs nelaimes, kura pēc manis bija jau iztiepuse savu kraupaino, netīro roku. Bet šis atgadijums man atdarija acis, ko nozīmē vieglprātīga aizraušanās ar nepazīstamu sievieti un kādas sekas no tā sagaidāmas.
Tā bija man laba dzīves mācība, es tapu no tās reizes pesardzīgs un netuvojos nevienai meitenei, iekams nebiju pārliecinājies, kā viņa mani neaplaimos ar sevīšķu mīlas piedevu.
Bet mani draugi? Tie visi bez izņēmuma sameklēja sev šīs slimības, un daži pat vairāk lagu ar tām slimoja. Varu noteikti apgalvot, kā mani draugi šīs slimības ieguva tikai iereibušā stāvoklī, no tādām pašām izdzīves [uzdzīves] kārām sievietēm, kuras zem alkohola iespaida, atdevās pirmam, kas viņām tuvojās, neprasotpat, ka viņu sauc.
Jā, patiesi sevišķi plati bija tie vārti un plats tas ceļš, kas veda uz pazušanu, un daudzi no maniem draugiem par šo ceļu arī aizgāja. Dažs padarija savai jaunai dzīves galu - nošaujoties, dažs kļuva par nelabo - ja nu narkotīķi vai alkoholīķi, bet citi dažādu dēku savaldzināti, aizklīda plašā pasaule un es vairs par viņiem nekā netīku dzirdējis. Bet es? Lai gan viņu sabiedrībā"
1217254,"vēl apmeklēja vidusskolu. Es parasti varēju dzert daudz, un reti kad noreibu, lai nezinātu, ko daru, un tādēļ vienmēr biju tās, kas rūpējās par saimniecisko pusi un raudzījos lai uz galda nekā netruktu. Un tā toreiz, kad bija tukšotas neskaitamas lielākās un mazākas pudeles un visi bija iesiluši, kā pienākās - sākās parastā ālēšanās un rupjie piedauzīgie joki. Arī šī meitene bija krietni noreibusi un nejutoties labi, iegājuse guļamistabā. Kad es tur pēc laiciņa, bez kāda sevišķa nolūka iegāju, paraudzīties, tad atradu viņu sēžot uz gultas un man pat likās, viņai tik slikti nemaz nebija. Nosēdies viņai blakus, es uzsāku sarunu, aizrādīdams, kā nav labi tik daudz dzert, piedāvāju viņai zelteri un ieteicu labāk iet mājās. Bet šī meitene izrādījās parāk samaitāta jau no šīs dzīves, viņa neklausijās manos vārdos, bet piespiedusies man klāt, apskāva mani un piedāvāja bezmaksas lietošanā savas sartās maigās lūpīņas... Viņa bija jau nonākuse savas kaisles fantasijas [fantāzijas] varā un droši vien iztēlē jau pārdzīvoja saldos baudas mirkļus ar mani... Mēs bijam vieni, blakus istabā dziedāja un trokšnoja bars apskurbušu jaunekļu un likās par mums neviens nedomāja. Alkohola un kaislo skūpstu iespaidā, arī es sāku jau tiekties pēc kā vairāk... Mana rokas atrada ceļu pie viņas meitenīgi apaļam krūtīm, tās aptaustija, paglastija un tad droši sāka glastīt viņas siltos kailos gurnus, virzoties arvien augstāk... Viņa lāvās maniem glāstiem, kaislīgi elsa un glaudās man arvien ciešāki klāt... Un tieši tanī mirklī, kad es jau biju izšķiries šoreiz sev šo prieku neliegt - atvērās istabas durvis un ienāca viens no maniem draugiem. Viņa negaidītā ierašanās, tanī brīdī, kad es jau biju nolēmis izbaudīt šīs meitenes glāstus, atgrieza mani istenībā un es sadusmojies un neapmierināts par traucējumu, piecelies ne vārda neteicis izgāju, atstājot savu draugu pie šīs kaisles pārņemtās meitenes, kura bija jau nonākuse kaisles augstākās varas iespaidā un sagatavojusies uz visu. Atzīstos es biju dusmīgs uz draugu, kurš tagad manā vietā saņēma ""to"" ko varēju tīk viegli pats iegūt. Bet izdzēris dažas glāzes alkohola, es nomierinājos, satraukums lēni izzuda un sāku klausīties neķitrā anekdotē ko stāstija kāds pie galda. Mans draugs no istabas iznāca tikai pēc ilgāka laika sprīdi un smaidīgs ar sevi apmierināts sāka atkal cīlat pilnās glāzes, lai"
1217245,"9.
[zīmējums]"
1217239,"Veltīts manai mīļai, mīļai Čiepiņai.
Pagātnes ēnas.
Kas starp cilvēkiem negrib noslāpt,
tam jāiemācās dzert no visiem kausiem!
Un kas starp cilvēkiem grib palikt šķists, tam
jāmāk mazgaties arī netīrā ūdenī.
~Tā runāja Zaratustra.~
-MCMLIV.-"
1217256,"ņēmu dalību, piedalījos visās rīkotās orģijās, es tomēr sapratu, kā tāds nekad nebūšu. Manī bija vairāk laba, es skaidrāki redzēju ļaunumu, izpratu šīs izdzīves patieso jēgu un varu teikt vienīgi aiz jaunības pārgalvības neatceros no šīm trokšnainām dzīrēm, kuŗās skanēja smiekli un jautras dziesmas. Mani sargāja neredzamas bruņas un viss nekrietnais, viss ļaunai no manis atleca, kā pret sienu sviests akmenis [akmens]. Es varēju atrasties nekrietnāko cilvēku vidū, varēju skatīties viņu nelietīgos darbos, varēju klausīties viņu rupjākos jokos, bet izņemot dzert alkoholu un dziedāt dziesmas, nekā vairāk neiemācījos. Un tās meitenes kuŗassatiku šādās izdzīves kārās kompānijās mani nespēja valdzināt ne viņu seju skaistums, ne sporgainā galviņa, ne arī burvīgās miesas formas, kuŗas solija un gaidija tik baudu.
Man par mīlu un sievieti bija pavisam citi uzskati. To ko darija mani draugi, šķita man riebīgi un pretīgi. Es sievieti neuzskatīju kā baudu un izprieču objektu, bet, kā radījumu, kurš jāaizsargā un kuŗam nedrīkst darīt pāri. Bet mīlu es iztēloju, kā lielāko laimi, ko vien cilvēks var iegūt uz šīs kustošās apaļas bumbas un nekad nespēju par iedomāties, ka var mīlināties un atļauties skūpstīt otru, bet patiesām mīlas jūtām - sirdij klusējot, vienīgi lai apmierinātu savu acumirklīgu miesīgo iekāri. Un ja esmu dažreiz izņēmuma daījumos, no šīs savas pārliecības atkāpies, tad tas noticis ļoti reti un pie tam noteikti alkohola skurbumā, kad cilvēks vairs lagā nesajēdz, kas labs un kas ļauns. Pēc tādām reizēm, es vienmēr jutos neizsakami nelaimīgs un ilgi mani mocija sirdsapziņas balss, pārmetot man izdarīto kļumīgo soli.
Tā es domāju jaunībā, tā domāju arī vēl tagad un paldies Dievam visas sievietes, kuras man piederējušas (ar dažiem izņēmumiem) esmu arī patiesi no sirds mīlējis - līdz tam laikam, kad liktenim labpaticis dažādu apstakļu dēļ izšķirt mūs uz visiem laikiem.
Tā pagāja mana jaunība, lielāko daļu vienās lustēs. Un atmiņas par šīm skaistām dienām saglabāšu līdz sirmam vecumam.
Kas gan viss šinī brīnišķīgā laika posmā nenotika! Aprakstīt to nāktos drūti, pat neiespējami... Tur liekās"
1217241,"Personīgs īpašums.
Sokrats teica:
""Pazisti pats sevi""!
Ievads.
Frid. Nicše saka: ""Kur
nevar vairs mīlet, tur
vajaga paiet garam""!"
1217238,Pagātnes ēnas
1217240,"A.Krūms
SIEVIETES manā DZĪVĒ.
1954.g."
