File-ID,Transcribed Text
1217920,"Velta Toma X
Pavasaris svešumā
Plaukst pūpoli pazarēs palsi,
un vēji vieglāki šķiet
un siltu un valganu balsi
tev dzimtenes dziesmu dzied.
Kā sapņi, kā zeltainas spāres
tev domas ceļas un slīd - 
Lūk, mājas, meži un āres,
Un dzimtenes saule spīd.
Tu pavērs pret mākoņiem vaigu,
un glāstu debestēvs dod,
ar pūpolu pazari maigu
tev asaras susinot.
Teodors Zeltiņš
Es esmu piekusis
Es esmu piekusis un gribu mājās,
Ir ciema raušu gana, māt.
Vai slieksnim kamenes jau nepiestājās
Mūs mājup tēvam vizināt?
Un zēnu paņēmusi, pilnu miega,
No ciemiem māte vadījās
Kluss plašums dusēja zem balta sniega,
Spožs pakavs ledū skaldījās.
Un vējš gar ausīm, zilas egles skrēja,
Tik mēness līdzi tecēja.
Kaut kur vēl tālu modri suņi rēja,
Gaišs logs kā zvaigzne spīdēja.
Es esmu piekusis un gribu mājās
Kā toreiz.. atkal, Vedi, māt!
Bet - mani negaida neviens vairs mājās,
Nāk svešums sniegos putināt.
Anšlavs Eglītis
Mana tauta
Mana tauta, bēdu tauta
Karā kauta, postam ļauta,
Mūžam melna liktens skauta,
Mūžam neredzēti kvēli
Cīnījušies tavi dēli,
Viens pret desmit, viens pret simtu
Viens pret tūkstoti lai ļimtu.
Mūžam tavas meitas dainas
Skandējušas brīnumainas -
Pārskan daiļo dziesmu pūru
Stulbu klaigātāju jūra.
Dzimis nav, kas uzvarētu
Darba veiksmē Latvju sētu -
Mūžam to, ko arājs krāja,
Ņēma vara laupītāja.
Vidzemīte, Kurzemīte
Katra tavas zemes pīte
Pilna asins, pilna vaidu,
Jaunu rīta ausmu gaida.
Elza Ķezbere
Fragments no Solveigas vēstules Pēram Gintam. X
Pēr Gint! -
Šovakar sūtu tev vēsti
Ar zeltaino saulrieta kvēlu
Kāds tavu brīnišķo tēlu
Ar drošu un varenu roku
Zīmē debesīs cēlu.
Sirds mana nejūt vairs moku.
Gadi un skumjas ir dzēsti
Mūžā, kad sapņos tev tuva es jūtos
Gados garajos - skaistos un grūtos - 
Vienmēr sirds ir degusi tev -
Sirds mana mazā un maigā - 
Kā viegla un dziedoša kaija,
Uz rudeni skrienot no maija,
Neko nelūdzot sev,
Tik starojot tavā zaigā."
1217931,"g72
Noskaņa
Ir kluss
Kā pati pacietība
Rāms vakars saņem dienas sāpes,
Top klusas arī tās
Skan vakara klusumā
Varenākas -.
Un tās, ko izkliedēja saules staru gaisma,
Par aukstām ēnām vērtīs
Mēness baisma -.
g75
Stiepules
Nebeidzamu, metallisku
Stiepules
Dzied savu dziesmu -.
Brīžam skaņu, brīžam klusu,
Dzīvības un gala skaņām
Nav -.
Zuz un spindz, raud un smejas
Vēji
Dzied.
07
Lopkopis
Klīst manas sapņu govis
Necerēti plašos -
Laukos -.
Lai pārvērstu it visu zāli
Piena
Taukos -.
Ir govis treknas,
Zāle zaļa
Lekna!
O11
Lepnā
Zīddrāna slīdēja, novijās lejup
Gar sievietes vidukli, gūžām un gruniem
Kā statujas pēdējā sega -.
Sieviete stāvēja tēlaina, glezna,
Tvirta
Un lepna -.
Kā nejuzdama savas
Alkatīgās
Svelmes -.
O12/2
Jauneklīgā
Naiga un menčīga niķīga meitene
Vīzīgi
Smejas:
""Tik ķepaini man untumi
Kā tavas
Lāča rokas:
Ne prieks ir viņu nagos tikt,
Bet -
Mokas.
O13
Skūpsts
Rit elsas guldzieniem -
Kā pārplīsusi čulga
Veras tava mute -.
Un sājas asinis no manām lūpām
Manā mutē
Plūst -.
Tu ņemi dzīvību, lai viņu
Atkal
Dotu -."
1217932,"Nekurp
Kā rokas rakstā
Cilpainiski
Manas dienas vijas.
Es pārkrustiem tām virsū
Savus kaulus
Nesu.
Ripeniski, riteniski
Riteņu riteņiem
Mēs visi ritam pārvidiem.
O14
Piemīlinātā
Piemocīta meitene,
Notirpusi -
Raudas nāk -.
Mutēta, burzīta,
Maidzīta,
Tvīka.
Rotā un raisa,
Asaras
Kaisa.
O15
Runkuļi rudenī
Rožaini sārti noplīvo magoņu ziedi
Pelēkā laukā
Kā teiksmainu taureņu spārni.
Trīskrāsains zvirbuļu bariņš,
Iejūsmots magoņu dejas
Aizšalca gaisā kā ūdenī iemesti oļi -.
Kā nēzdogus dzeltēni zaļus
Aizgūtnēm
Runkuļi plīvina lapas -.
O17
Klusā daba
Kā maijvaboles spārni, konservkārbas skārds
Spīd
Dzeltēnzaļisārta siļķes galva.
Septiņas ābolu serdes
Sakostas iesārti brūnas
Stāsta kā ēstas, kā kostas
Garozām melnām, grieztām un ziestām,
Apgrauztām,
Sviestām.
Ēst
Cērt zobi ābolu
Kas, sārti dzeltēns,
Klusi smaržo -.
Kā gan var garžot
Saldums
Sulotais!
Un atmiņas jūt mute
Visu
Dzīvi!
O19
Vasaras atmiņas
Kā zilumzāles zilas
Ir debesis
Kā dzeltēns citrons saule -.
Pār akāciju zaļu zāli
Skrien cilvēciņi
Sīciņi un bāli -.
Lūk, katlā vārīdamies,
Nāves mokās
Sarkans vēzis smej -."
1217934,"O40
Rudens novakare
Dzeltēni pelēkos putekļos tinusies saule
Un zeme
Un gaiss -.
Kā smiltīm un gružiem
Apbiris
Sīpols -.
Es eju pār mizām
Un raudu,
Un raudu.
Runga
Ir parāms, apdudzis un lēnīgs vakars pasērais
Kad tuksnešainā tīrumā
Kā krauklis vientuļš klīstu -.
Lūk, acu priekšā mežs šalc skarbalains
Ir 
sutrains 
gaiss
Un zeme verveļaina.
Ha, re kur zemē apgūlies ir koks!
Kā liekas - cita sviesta
Pubreļaina 
runga.
Skujas deg
Es mežā iegāju
Un jutu
Skujas degam -.
Un svētku eglītes un ugunskuri, sārti
Man aizvijās gar acīm
Liesmodami -
Un skuju dūmos pavīdēja līdumis.
Un
Ziemeļmātes seja -.
N243/1
Jūrmalas viesnīca
Tumši violeta jūra
Šūpo baltus
Mēra 
viļņus -.
Skan mūzika iebrūnā krēslā
Viesnīcas
Zālē -.
Neviena dejotāja
Tik kāda meitene
Stāv loga nišā
skatu vērsusi
pret jūru -.
O48
Mežs
Kvēlmīļi brūni šalc koki
Mūžīgo dziesmu
Dziesmu, kas katram ir tuva -.
Kā pati dzīvība
Vējš auro, vaid un vaimanā
Un smejas -.
Un loka kokus, nolauž sīkos zarus
Un dažreiz galotnes
Un citreiz - pašus kokus -.
O64
Benzinsmaržas saindētais
Nost puķes, vējus, dārzus,
Birzis,
Druvas!
Jel laidiet garažā
Vai motorpolā mani -
Es elpot gribu savu nektaru -.
Es savam gadusimtam upurēju
Motorā dedzinot
Benzinu vareno, tīkamo, skarbo!
N243/3
Kārdinātais
Cienīgi omulīgs krodzinieks
Pieiet pie skapja
Un pudeli izceļ,
Kā stikla pērle
Sidraboti pelēcīgi balta
Viņa rokās mirgo glāze.
Kā dārgumu aplūko krodzinieks
Ar bijību glāzi,
Ar degvīnu pilda un iztukšo to."
1217926,"67s
Dzelzceļnieks
Es pazīstu zaķi,
Kurš dzīvoja
Dzelzceļa malā -.
Ietērpies formā - uzvalkā brūnā
Bungo
Ar ķepām uz sliedēm.
Vicina ausis kā zīmnešus savus:
Ar likumu noliegts ir staigāt
Uz dzelzceļa sliedēm.
69s
Dzērāja rīts
Ir rīts
Un tukša pudele
Man pretī mirdz kā stikla zāle -
Skan viņā mūzika - tas ļoti pareizs fakts,
Bet kāpēc nedejo neviens pēc takts,
Ko, rokas izplētis, lūk, tāda kakts -?
Ir jāšķīst sienām, lukturiem un logiem -
Lai dzīvo rīts!
Lai dzīvo rīts!
75s
Dabīgums
Cilvēku draudzības jāvairās, jābēg:
Katram, kas pienāk pie tevis, prasot:
Ko gribi?
Bet atceries, ka tas, kurš nāk
Ir vienmēr vājākais -
Tik uzzini, kur vājums slēpjas -.
Un tādēļ - ievēro, ka nācējs
Kā stiprāko, pie kura nācis,
Tevi klausīs!
76s
Patriarchs
Man patīk skatīties kā jaunā audze,
Kas augusi zem ratiem, ratos
Caur dzīvi arīdzan kā rati kratās -.
Ar brēku pār grumbām
Ceļos un neceļos
Rumbā -.
Un saprot tīri labi arī,
Ka tie, kas ratus velk, nav
Gari!
80s
Novēlojies
Es gāju iekšā
Mājā -
Vaļējās durvīs!
Priecājos sevī, ka atvērtas
Viņas -
Plašas un ērtas -/
Ko domājiet -,
Ļaudis jau nāca man pretī
ārā no mājas -.
82s
Gājiens vējā
Un vētrā iesvilpās
putns
Spalgi un tāli -
Es priecājos - cik sārti skaistas
Izskatās pliederu ogas
Pie krūma -.
Gluži kā cilvēki sārtvaidži mīļi
Ēdami nav arī
Tie!"
1217928,"g7
Kaps
Ar troksni lielāks nāk kaps
Šī skaļā vieta man
Par klusāko nu taps -.
Es dzīvē vairījies tā esmu
Un domās centies nepieminēt pet
Viņš tomēr paņem smiedams manu dvesmu.
Tik klusēdams viņš mani veicis
Par kauju laimīgo tam piešķirs krustu
Un katrs priecāsies, ka beigas iepriekš teicis -.
g13
Nevietā
Melnajās eglēs, zaļajā kalnā
Meitene brūna un vijīga
Smejas -.
Apkārt tai liecas baltākie bērzi
Godinot
Glaimo -.
Drūmi šalc egles, bet meitene pamāj ar roku:
""Cilvēku dzīvu man vajag -
Ne koku!""
g37
Skaistums un gudrība
Klusums staro
Atsauc visu sevī
Kā briestošs grauds -.
Ir gatavība
Jaunai cīņai, uzvarai un nāvei
Dabas spēks -.
Kas graudam līdzīgs savu spēku tur,
Tas spītēs visam -
Nezudīs nekur -.
Dzīves nievātājs
Stalti un stingri tev jāiet -
Nedrīksti
Klupt!
Samīt tu drīksti, guldīt zem kājām -
Nedomā
Stāt!
Tev jūtas jāaizmet, kas vieno citiem tevi,
Tad tevi godās, teiks un
Sveiks!
Putnēns
Gaisā liec ceļu
Putnēns
Pelēks un kluss.
Viegli viņš lido
Neatstāj pēdu aiz sevis
Ne bēdu -.
Kaut lielai pasaulei viņš tīrais nieks,
Man tomēr brīdi bij
Par viņu prieks.
g15
Mans rīts
Tu atnāci pie manis
Uzticīgais
Rīt!
Caur mākoņiem, kas lēni šurpu sveras
Tavs skats
Uz zilo tāli veras.
Mēs brāļi esam, mīļais rīt,
Un visa nakts
No manām acīm krīt!
g31
Kārdinājums
Man divas iedomas bez mitas
Kā vēža spīles
Kopā sitas.
Vai kausu riebīgu, ko skaistā spiedzot sniedz
Lai tukšoju,
Jeb sevim maldus liedzu -.
Es domāju, ka vīna cilpās,
It drīzi
Viņa pati svilpos."
1217939,"Ar šo zīmuli var rakstīt tīri labi, es domāju, šis ir izmēģinājuma raksts un iet! Ko lai citu dara jāraksta ar šo pašu! 
Brauciens uz
 
Lojom
. 20.IV. Sākas ar lietu - nelāga un 
vilofāna mizilu
 mans ceļojums uz jūrām. Negribu pusdienās ēst un saimniece spiesta sadedzināt kartupeļbiezputru plītī. Vagonā vieta rezervēta pretim paapaļai cienījama izskata kundzei gaiši dzeltenā 
kamzolī un tumšbrūn sarkaņzilbaltā kaklautā
. Viņa mani laiku pa laikam uzlūko. Es viņu labprāt 
skūpstīti 
laiku kavējot, iespējams, ka viņa to 
aptxxxx noxxxx.
 Ārā uz pļavas zaļa zāle kā futbola laukumos. 
Vxxxx spoguļa ūdens pie masta velk. aiztaisa durvis. V mīl vairāk, tai jābūt"
1217923,"21m / 4
Skaistuma cienītāja
Rožaini sārtā un smaržīgā rozē
Ķer vista ar knābi -
Caps!
""Skaistumu saprot""
Domā
Kāds naivais.
Vista šim pamāj ar galvu -
Norija
Tārpu.
1m
Apnikums
Katru gadu man liekas -
Bijis
Es nebijis esmu.
Domājos skrējis un gājis,
Ieraugu -
Aizskrējis - gads.
Turpat es esmu,
Kur
Bijis.
27m / 3
Bēdas
Skaties Klausies, Cilvēk, cik smieklīgas reizēm ir bēdas:
Līdzīgas miglai
No rīta.
Pārklāja sauli, ietina kokus, slāpēja balsi
Augšup
Pacēlās putni.
Un dūmakai pāri skan dziesma -
Spirgta kā vējš -
Aizšalca pelēkā migla.
38
Mirstīgais
Trauc, vilcien, un aiznesi mani
Uz zemi,
Kur cilvēks ir cilvēks!
Pār upēm, pār aizām, pār kalniem
Līdz piestātnei pēdējai -
Nāvei!
Es ticu, ka sāksies tur dzīve
Vēlreiz no gala;
Nebūs vairs jābrauc labākas meklēt!
44
Bikts
Man teica, ka dārzā smaržojot anīss -
Deguns man, laikam, bij aplami īss -
Saodu nelabu smaku - tas viss.
Uzliku degunam brilles,
Izgāju dārzā, saplūcu dilles,
Saulē viss rādījās sarkani lilla.
Diļļu vietā gan derēja mirtes
Gribēju pušķot es sevi uz flirtu
Salona vietā es iegāju pirtī -.
Mefistofelis
Kādēļ es pasaulē nācu
Ar
Redzīgām acīm?
Kādēļ es gribēju cilvēkiem rādīt, ka, redzēdams ļauno,
Es
Alkstu pēc mīlas?
Kādēļ ikviens manī atrada sevi,
Lādēja,
Sauca par velnu?
45
Veterans
Dzīvē man tik daudz ir sacēlis
Savādas garžas kā kanēlis
Kāds šrapnelis.
Pār fronti tas nāca kā komēta
Ausīs jau skanēja pēdējā sonēta
Un nelikos vērts sev ne sīkākās monētas.
Sprāga netālu no manis šis 
kaneļa 
-
Es nezinu brīnums jeb nelabā pavaļa
Paglāba mani jeb svētīgā medaļa!"
1217930,"g52
Izvirtule
Nāk jau, nāk jau
Paceltu smaidu
Kā jumtu pār māju -.
Sēžas jau, sēžas jau
Piepļekus, uztupus, pārpēdus,
Tikni
.
Guļas jau, guļas jau
Vaļīga izlaida
Sarkanu smaidu -.
g60
Rūgtums
Visļaunākais, ko padarīt kāds var
Ir - paņemt tevi -
Pielīdzināt sev!
Ar uzviju liks izciest viņš
It visu to,
Ko pats ir cietis -.
Bet viņa priekā
Tev
Vis nebūs vietas!
g66
Reibums
Kā tikko izplaukusi mušmire
Tik indīgs ir tavs smaids
Tavs kakla baltums, kaislās lūpas.
Kā apžilbusi muša krītu ceļos
Un noreibis
Kā transa tvanā veļos -.
Nudien - ja kādreiz tikšu atkal kājās -
Ne mūžam negribēšu
Tevi savās mājās -.
g70
Liekādis
Es citu ādas zābakos un ādas svārkos
Un rokas bāzis ādas cimdos
Pats savai balsij lieku dimdēt -.
Skan atbalss savāda -
Tā dienas gaismā
Liekas mēnesīgi palsa -:
""No savas ādas runā liels,
No citu ādām
Tikai lielas -.""
g69/
Viņa
Upes līkumā sēž meitene vijīgiem matiem
melniem
Kā straume -,
Slīd ūdeņi melni,
Debess met
Dzeltēnas sidraba ēnas -,
Un, noliekusi galvu,
Atbalstot rokas uz šķautnainām radzēm
Sēž meitene klusa kā upe -.
g69/3
Vecais vagons
Veca, salauzta vagona siena
Sarkani pelēki melna
Uz pamesta ceļa pretim man slienas.
Skatās kā invalīds guris,
Kam šajā pasaulē,
Nav atvērtas nevienas durvis -,
Nav vagonam, ne invalidam milzu varas,
Kas spētu atdot
Rūsas ēsto sparu."
1217929,"g23
Aizrautīgais
Vislabprātāk ar glāstiem apkrautu es tevi
Līdz sabruktu
Zem viņu svara tu.
Kā aploksnei kā pastmarkas
Vēl skūpstus
Uzspiestu -.
Un adresi -
Jā - kam gan citam pasaulē lai adresētu tevi
Ja ne - pats sev?
g22
Kārumnieks
Kā resna, mīlīga un maiga dūka
Uz mana pleca dūdo
Vēja nesta pūka -.
Tev prātā vairs tik šķiņķi, cūkas
Un šokolāde, keksi
Kūkas -.
Ko atbildēt man viņai vārdu trūka
Es samulsu
Kā izslāpuša priekšā tukša krūka -.
g29
Jokdaris puisis
Man gribas sienāzi uz pusēm šķērst,
Un viņa skaņas
Cīruļbalsī vērst -.
Patiešām, būtu skaisti katru dienu,
Ja cīrulis dziedātu
Tepat pa sienu.
Tad nebūtu vairs grāmatās ko lasīt,
Bet dziesmas
Ar grābekli varētu kasīt -.
g33
Meitene ar nātru
Uz salauzta mūra pelēki balta
Sēž meitene - rokās tai nātra -
Dzēlīga zaļa un domīga nātra -.
Meitenes skats sadzēlis nātru
Un nārta
Likusi asarot acīm -.
Vienādas abas - ļaunas un labas
Meitene, nātra:
Dzīvība zobus kodīgus glabā -.
Viens pats
Es klaja lauka vidū stāvu
Un esmu viens
Tik viens.
Ir zeme debesis
Un debess
Zeme.
Es nesaku, es nesaku nekā,
Es tikai skatos,
Skatos tālumā.
g73/4
Zinīgā
Es gribu patikt tam,
Kas patīk man -
Tam jābūt kungam šarmantam
Ar balsi dobju tik
Kā ērģeļdūciens 
granītalā
,
Kas prot tik pavēlēt un likt.
Kā putns šūpošos balss vējā es uz zara
Un zināšu, ka spārnos man
Pār viņu vara -."
