File-ID,Transcribed Text
1262859,"15.
vecākiem. Pēteris bija aizbraucis uz Rīgu, iesvētīšanai par priesteri, jo bija dabujis arī mācītāja un ticības macību pasniedzeja vietu Sāmu salā - Arensburga.
Savs numurs jau laikam bija no šāda lauķa, kas knapi ka sākts ievadīt pilsētas un ""labāko aprindu"" dzīvei, ar gaužam vājām krievu valodas zināšanām, uzvedībai un izdarbībām jaunos dzīves apstākļos.
Šad tad, vēlaki, Charijessas māte, piemineja vienu - otru manu izteicienu un izdarbību
Brālis Andrejs pa šo laiku bija nobeidzis skolotāju seminaru Kuldīgā un dabuja vietu Talsu pareizticīgo draudzes skolā, kur par mācītāju bija mācītājs Grīnbergs, bet par skolas priekšnieku - Zonne.
Talsos, pie braļa Andreja, sāka dzīvot un ""skoloties"" māsa Anna un arī māte mūsu, lai visus apkoptu, apsaimniekotu, un bez tam, pa daļai, lai pasargātu dēlu no bīstama soļa - tuvākas iesktatīšanās kādas jaunkundzes acis, par kādu iespēju Andreja sāņcensis bija palaidis mūsu vecākiem ziņu.. Pa Pētera iesvētīšanas laiku (laikam 1898.g. janvarī - februarī) bija sapulcējušies visi mani tuvinieki un apspriedušies arī par mani. Tā kā iz Samsalu pēc iesvētīšanas Pēterim bija jaizbrauc vienam pašam lai varetu iepazīties un iekārtoties uz dzīvi, un ziemas laika uz turieni arī mani negribeja ņemt, tad nolēma kā es aizbraukšu uz Talsiem un kādu laiku nodzīvošu tur. Un tā, pēc tam kad Pēteris no Sāmu salas bija atgriezis un Helsinkiem pēc sievas un manis, tanī pašā 1898.g. ziemā, ar mums"
1262855,"11.
un mani esot izauklējusi tanī laikā  
Rūsiņos 
piemetušies, no savām Ērgļu pag. Rikšenu mājām izlikta (pēc prāvošanas ar muižu) Jurjanu ģimene ar mātes māsu Katiņu. Tās pašas mātes slimības dēļ es ticis barots tikai ar govs pienu. Par šo dzīves periodu, tikai rets, viens, otris nenozīmīgs, bet ka krāsains plankums, ir iespiedies atmiņā - ka p.p. kāds brīds istabā, liekas jau uz pavasara pusi, kad istaba ienesta sviesta kuļama kaste un sievieši strādā pie tās, tad atkal kāds ziemas vakars, pirms ziemassvētkiem, kad apguļotos uzsāku iztaujāt pieaugušos par ziemassvētku eglīti - vaj tāda arī būs mūsmāja un kāda tā būs (jo laikam tādas vēl nebiju redzējis), vai kādas ""kumpetes"" tani ar tiks piekārtas. Toreizi pie mums piedzīvoja 
tugace
, kā vaļenieks, - pēc dzirdēta nostāstiem Rūsiņu mājas piermais puisis. Pakalniņš Juris, ar sievu Annu, bezbērnu pāris. Pakalniņš, liels balamute un zobgalis (viņš pelnījas arī kā gravracis neskatoties uz lielo bruku), un tas nu šinīs ""pārrunās"" - ņēmas mani āzēt - par pašu eglīti - vai tā bija vai ne - neatceros. apsolot kā pie eglītes tikšot pakārts ari mājas lielais gailis. Tad vēl viens otris nenozīmīgs epizods - no sadzīves ar rentnieka bērniem, vai kāds gājiens vai brauciens uz ciemiem. Man piedzimstot, mājas lielākā daļa jau tika izrentēta un tēvs apsaimniekoja tikai mazako - ar 1 zirgu un kādām 3 govim, paturot piemājas aramzemi un Rūšļa un Stiegnas dūksts pļavas. No saimes, derētas, vienu meitu un pa reizei arī kādu pusaudzi."
1262866,"21.
tībā skrejot pakaļ kādai zaldatu grupiņai uz apmācības laukumu un tur, neskatoties uz aukstumu lielā aizrautība sekojot ""
munstei
"". Kad nosalis pārrados mājā dabuju lielu brici, gan bez fiziskas pastiprināšanas, un otrā dienā atrados gultā un atceros, kā Pēteris rīvēja mani ar terpentinu. Palika atmiņa arī eglīte un davānas apaļa ziemas cepure un alvas zaldātiņi. Reiz dabuju ari lielu bricu, bet arī bez tetera kāpostiem, no Pētera par nepiedienīgu uzvešanos baznīcā pa dievkalpojumu laiku gāveni. Par šim izdarbībām (nez vai tas nu pārāk lielas vareja būt) pec Lieldienu brīvdienām ģimnazijas puikas bija pastāstījuši Pēteram, kad tas tos bija strostējis par viņu neuzvedību baznīcā.
Augu un dzīvoju tomēr vientuļš bez spēļu draugiem. Kādas retas reizes tiku aizvests ciemos pie skolotāja Brutana, latvieša, kas bija apprecējis vācieti un pats pārvācojies. Tiem bija vairāku bērnu, gan skuķi, manos gados, ļoti dzīvi, nerātni pat izlaisti, nostādot mani ļoti kutelīgā situacijā. Pa reizei apciemojām arī skolotaju, krievu, Osmolovks'u, kuram, lāgā gan neatceros, viens puika. Bet liela draudzēšanas ar tiem neiznāca. Šad tad tiku aizvests ciemos pie meiteņu ģimnazijas direktrises, Pēteris tur pasniedza ticības mācību, bet šādu mazu cilvēciņu kā es tur nebija un man laiks sev japakavē bija ar bilžu grāmatām un žurnāliem.
Daudz nekas nav palicis atmiņā par manām mācības gaitām toreizi. Par pasniedzējiem bija ka Pēteris ta Chasja, lai gan par pēdējo kā skolotāju toreizi nav nekas palicis atmiņā."
1262865,"20.
pie galda arī aizmiga neceldams nekādu trokšņu vai strīdu. Un cik bieži rudens lietos, vai pat ziemā nākdams mājās no tirgus vai kāda apmeklējuma, viņš nebija pakritis kādā grāvmalī vai krūmos un tur dzērumu izgulējis. Kā mūsu dzīve - savijas ar šo brāļu dzīvi, pastāstīšu nākošajās lapas puses. Pēc īsas apstāšanās Rīgā - turpinājām ceļu uz Arensburgu bez kādām ķibelem. Un tur nu es tiku atkal citā vidē, citos dzīves apstākļos un ierašās. No šī laikmeta jau vairāki kas palicis atmiņā, kā no apkārtnes, vides un cilvēkiem. Atceros garu baltu mūra vienstāv ēku ar 2 dzīvokļiem un valsts ""monopolu"" (vīntirgotavu) vienā galā. No sākuma apdzīvojam vidus dzīvokli, bet vēlaki gala, kuram blakus bija mazs dārziņš ar nojumiti vienā sturi, uz kuru veda dažas pakāpes. No šim pakāpem reiz es biju nožāvies zeme un kādu lrītiņu saguleju bez samaņas. Atceros pilsētas parku, dažus veikalus - p.piem. piena veikalu uz kurienu reizem kopa ar Chasju gājam pirkt man garžojošo Šveices sieru, un konditoriju, uz kuru pa reizēm tiku sūtīts pēc kūkām un maizītem. Atceros arī ārpus pilsētas vecas pils drupas un to baigo sajūtu redzot tas pagrabus kuros tikuši spīdzināti ļaudis. Tāpat atceros arī atturības 
babas 
bibliotekas lasītavu parkā, kur vienreizi Pēteris aizveda mani uz viņa priekšlasijumu ar miglas bildem, no kuram atmiņa palikusi viena - pāri ūdeņiem slīdošais mēnesos..
Redzu sevi arī kā mazu zeperi kādā ziemas dienā, mājdzīvniekiem nezinot, lielā 
aizrau-"
1262849,"5.
Šī specifikacija un plāns izgatavoti apm. 1900 - 1903 g. muižnieku kredīt biedrības uzdevumā jauna aizdevuma piešķiršanai. 
Šoreizi īpašumam noteikta vērtība 127,66 taksacijas rubļi (agrākā)
Rūsiņu zemes bonitāte videja un zem videjas. Blakus vienam - otram mālu laukam atrodas liesas, smilkšu zemes, arī podzola lauki, kā arī pliena gabali. Zeme stipri avotaina, kas prasa 
entenisku 
grāvošanu, un skāba. Māju uzperkot lielāki tīruma gabali bija pilni celmiem; vienu otru vēl es palīdzēju lauzt.
Ēkas, iepirkšanas laikā bijušas stipri vecas. Manā bērnības laika no tam šķiet vai nebija, un arī nepastāvēja līdz aiziešanai trimda - vienīgi dzīvojamā eka. Ap 1907 g tika nojaukta vecā rija; ap 1904.g. nodega ""saimnieku kūts""; varbūt ka tā arī bija ieperkot. ""Ērbegis"" - iekšā gan tika vairakas reizes pārbūvēts; tanī visi brāļi un māsas arī es ieraudzijam gaismu. Tai salmu jumta vieta skaidu - uzsita tikai īsi pirms pasaules kara. Arī klēts, savu skaidu jumtu, salmu  vieta dabuja jau pēc pasaules kara. Tā saucamo ""rentnieka - kūti, ar mūra pabūvi, un skaida jumtu uzcēla jau Pārējas ēkas pakapeniski nācās uzcelt no jauna, kas patīrija mājas mežus, un pārvēršot izcirtumus tīrumos, kā arī iztīrot pārejos tīrumus no celmiem un akmeņiem, cik daudz gan nācās patērēt spēka un liet sviedru, kamēr tos dabuja (tīrus) laukā. 
Pat jau dēliem, pašiem uzsākot saimniekot, arī tiem nācas lauzties ar celmiem un vēl intensīvāki raka grāvjus un drenet laukus un pļavas."
1262854,"10.
kurā arī tie iekļuva un ar labām sekmem arī nobeidza.
Tāpat, maz ko ziņu par brāļa Andreja un māsas Marijas bērnības un jaunības dienām. Brālis Andrejs tika Kuldīgas Skolotāju seminara kuru nobeidza ar 1898 g., pēc tam sabija dažus gadus par skolotāju Talsu draudzes skola un vēlaki par skolotāju dažus gadus Pleskavas greb. Lugas aprinķi Логов
и
щ
а
's sādžā, lai tiktu uzņemts Pēterpils skolotāju institūtā, kuru pēc 4 (?) gadiem, - tā ap 1907- vai drusku vēlāki ari nobeidza iegūstot tiesības būt par skolotāju pilsētas skolās (Городские
 училища
). Māsa Marija tika Ilukstes ""Епархальное училище"" kur mācijas kopā ar māsīcu, Viļa meitu, Ludmilu un kuru nobeidza apm. 1899 - 1901. Ši skola deva pēc nobeigšanas tautskolotāju tiesības un pie tās, tāpat, ka pie skolotāju seminariem, pastaveja pilnīgs internats, kas sekmīgākiem tika piešķirts par velti - ""kroņa"". Tas viss stipri vien vienkāršoja un atviegloja bernu skološanu, kamdēļ šis iestādes, skolas tik iecienītas bija pie lauciniekiem. Liekas, kā pirms iestāšanās skolas, brāļi un māsa Marija kādu laiku tika dīdīti no sākuma sava pagasta skolā un papildus; pēc tam, vai nu no tēvoča Viļa, vai vecākiem brāļiem sagatavoti iestāšanai ""augstākās"" skolās. Arī par savu agro bērnību ļoti maz ko zinu un maz no tas ko atceros. 
Piedzimu, kā jau minēju, tāpat, kā jau mani brāļi un māsas, Rūsiņos un visa mana bērnība līdz 7 - 8 gadi vecumam, noritēja tur. Man piedzimstot, māte stipri slimojusi"
1262864,"19.
kapeikas krāšana. Turpretīm viņu trešais brālis, Pēreris, bija pavisam cita rakstura. Jā, vēl drusku par Adolfu. 1905.g. viņš dabuja vietu jau minētā Amatnieku b-bas namā - Romanova iela, par noma parzini - administrātoru. Šinī laika ši nama teatri 1905.g. notika visādas ""pretvalstiskas"" sanāksmes, mītiņi. Reakcijai iestājoties, Adolfs tika nodots tiesai, par šādu sarīkojumu pielaišanu un notiesāts uz izsūtīšanu uz 3 gadiem, Vologdas guberņu. Pēteris jaunībā bija nodots Ērgļos, pie sava radinieka kaleja, mācībā. Pastrādājis kādus gadus Ērgļos viņš aizceļoja uz dienvidus Krieviju, kur no sākuma strādāja pie latviešu kolonistiem Jeiskā un vēlāki izstaigāja vai visu dienvidus Krieviju, Kaukāzu, aizgāja līdz Uraliem un ap 1905 g. strādāja Pēterpili. Strādādams dažnedažādās darbnīcās bija piesavinājies lielu veiklību un prasmi gan kaleja, gan atslēdznieka, gan galdnieka un vēl daudzos citos amatos. Bija kaislīgs mednieks un zvejnieks. Šo kaislību dēļ bieži vien pameta uz īsāko vai garāko laika sprīdi iesākto darbu, pat svarīgu, un pazuda dzenot pēdas kādam zaķim vai rubenim, par stirnu jau nerunājot. Un visvairāki viņš mīlēja... šņabīti; kā viņš pats mēdza pieminēt, ja visu to šņabīti, kuru viņš savā mūža izdzeris salietu vienā mucā, kādai gan milzīgas baznīcas lielumā tai būtu jābūt. 
Pēc savas dabas ļoti labsirdīgs, nevienam neko ļaunu ne tikai nedarīdams, pat neaprunādams, gatavs padalīties ar otru ar pēdejo kapeiku, tas dzerumā bija kluss un kur sēdēja, turpat sameties"
1262850,"6.
Pļavu lielākā daļa bija purvi, pieaugušas ar kokiem, krūmiem, cinaiņas. Cik daudz darba, arī to pārveršana ītās [īstās] pļavās; un arī viņa dēliem palika nerealizēts nodoms nolaist, resp. pazemināt Ļaudoniņas ezera līmeni, lai tad 
Petavetu 
meliorēt šī purva lielo platību. Šim nolūkam gan nodibinājas meliorācijas sabiedrība ""Strauts"", tika izgatavoti plāni un aprēķini... bet sākas II. ais pasaules karš kurš tad visiem nodomiem pārvilka strīpu pāri.
Ar kādu un cik lielu enventāru [inventāru] tēvs iesāka saimniekot un kā gāja ar saimniekošanu - nezinu. Atceros tikai to, ka šad tad tika minēts, kā saime bijuse diezgan liela: 3 - 4 puiši un tikpat daudz, laikam, meitu. Bet bērniem pieaugot un sūtot tos visus tālākās skolās, visu platību vairs nespēja  apsaimniekot un lielāko tās daļu izrentēja. Apm. 1870. gadā tēvs apprecēja Līzi, Pētera Andersona meitu (dzim. 3 sept. 1849 g. Tolkas Kalna ""Dibenos"", kā Kalna Dibenu, Petera Andersona saimnieka meita). Nekā tuvāki nezinu par viņas bērnības un jaunības dienām. Mate bija luterticīga un tikai stipri vēlāki, apm. 1899 gada, kad mans vecākais brālis Pēteris tika iesvētīts par priesteri, māte pārgāja pareizticībā. Kā māte, tā sevišķi tēvs, nekādas skolas izglītību nebija baudījuši, lasīt gan tie lasīja, bet ar rakstīšanu gan negāja - izņemot sava vārda parakstīšanu.
Mātes tēvs bija vien no turīgākiem Tolkas saimniekiem un mums bija vēl uzglabājuses viņa fotografija, garos kamzolos. ūdens zābakus kājas, gludi skūtu ģīmi un pagariem matiem. 
Mātei bija laikam viens brālis (vēlākais Vidz. Di-"
1262852,"8.
izrīkojot saimi nevareja būt uzstājīga, neatlaidīga un paģerīga, un šķiet ne visai arī laba izrīkotāja. Pats par sevi saprotams, kā priekš bērniem neko nežēloja, nedz mantas nedz pūliņu. Atceros nostāstu, kad vecākam brālim bija jabrauc un skolu, tad māte noziedoja savus labakos, nez vai arī ne vienīgos brunčus, lai no tiem pašūtu uzvalku.
Abu laulības dzīve noritējusi, liekas, saskanīgi un nezinu vai kādu reizi viņu starpa ir bijuši kādi lielāki konflikti, nesaskaņas vai domstarpības. Es vismaz tādus netiku novērojis.
1872.g. 17. marta (vec. stil.) piedzima viņu pirmais bērns, mans brālis - Pēteris.
1874.g. 2. septembrī - brālis Pavels.
1877 g. 5. jūlijā - brālis Andrejs.
1884 g. 13. jūlija - māsa Marija
1888 g. 24. maijā (jaun. stil.) māsa Anna un 1891 g. 22. junija (-"") es.
Man piedzimstot tēvam toreizi bija 48, bet mātei 42 gadi.
Par brāļu un māsu bērnību, jaunību un skolas gadiem maz kas ir palicis atmiņa no nostāstiem.
Kā jau visiem toreizejo zemnieku bērniem, viņiem nācas veikt visus tos darbus un pienākumus, kas bija jadara visiem, viņu gados esošiem laucinieku bērniem, un šie pienākumi un darbi nebūt nebija no viegliem. Bet kas toreizi to tā uzņēma? Kur un kā, un kas tos bija ielauzījis lasīšanas un rakstīšanas gudrībās - nezinu. Tikai vēlāki, lai sagatavotu uz iestāšanos pārbaudijumiem Rigas Garīgā skolā, tos, vecākos brāļus un laikam ari māsu Mariju, nodeva toreizeja jau tautskolotāja, tēva"
1262853,"9.
brāļa, Viļa, dīdīšanai, pie kura gan mācīšanas bija gan tāda blakus nodarbošanās, kamēr galvenie - viņa mājā un saimniecībā. Kā brāļus, tā vecākus stipri sarūgtināja un noskaņoja pret Vili, ir īpaši pret viņa sievu tas, ka no dēliem līdz dotas bagātīgas pārtikas kules, ļoti maz kas nonāca līdz viņiem un tiem pusbadā vien bijis jadzīvo. Bez tam māja valdijusi jo liela netīrība un Viļa sieva bijusi stipri vien nevīžīga, kāda ta palikuse bija līdz mūža beigām. Vecāko brāļu nodošanai garīgā skolā bijuse sava priekšvēstūre: barons Brimmers bijis pret to, ka brāļus sūtīs pareizticīgās skolas, bet kad vecāki noprasijuši, vai viņš materiali atbalstīs to skološanai laicīgas (tā tad luterticīgās) skolas, tas to noraidijis.
Un tā kā šīs pareizticīgās - garīga skolā un garīga seminārā vareja sasniegt ne tikai skološanos bet arī pilnu internātu arī apģērbu un apavus par brīvu, tad jau atlika šīs ceļš. Centīgi un labām sekmēm mācoties, abi brāļi drīzi vien panāca, ka tie tika stipendiāti uz visa brīva. Pie toreizējās skolas un bursas (seminara) neapstāšos, jo tās jau P.Gruzna diezgan izsmeļosi aprakstija savā ""Bursaki"" grāmatā. Tikai brāļu sākuma laikā apstākļi tanīs bijuši vēl druski drūmaki.
No brāļa Pavila dzirdēju, kā bada spiesti skolnieki bieži vien zaguši apgaismošanai lietotas tauku sveces (
с
а
льные
 
свечи
) un uztriepjot tās uz maizes - cepuši krāsnīs. 
Kā skolā, tā semināra abi brāļi mācijuši teicami, kamdēļ tiem bija piešķirta valsts stipendija un pēc nobeigšanas ieskaitīti kandidātos uz garīgo Akademiju Pēterpili (toreizi Sankt Pēterburga)"
