File-ID,Transcribed Text
1843972,"[fotogrāfija]
Arijs 12 gadi
Aivars
Tēvs - Jēkabs
Modris
Māte - Valija
1949.g. pavasarī, atstājot Ansbachas DP nometni."
1843975,"[fotogrāfija]
Arijs pensijā"
1843973,"[fotogrāfija]
Arijs darbā."
1843974,"[fotogrāfija]
Arijs 60g.
Arijs pienākuma izklaidē."
1244969,"To the honoree of the year, 2018.
Birthday! Again! In that case, read the following.
Of all the stars of the universe; from the theories, of the , ""big bang""; to the birth of our, ""third rock from the sun"";
which has giveth to the world, a healthy new born child of Latvian lifeline. Hooray!
So, You has cometh; from the seed of life, to join the masses of ""oblong blobs""; that is we, the species of homo-sapiens; reaching the point of extraordinare; the maximus of humanities; to share, to give and be part of living-breathing life, on our God`s giveth mother earth; welcome!
To civilize this antidisestablishmentearistical world of creatures; that`s huge job of obligations, to all walks of life,
of our overpopulated shaking-crackling-fragile rock. And here you are, one intelligent, clean-cut-looking, cultured, talented,
Latvianized-American, in flesh, blood and brains. 
So, what are  you going to do about that? There is only one thing you can do. That is, to stay healthy enough to make this chaotic, out of control world; a better place to live; for me, you and them; by being mentally and physically fit; at any age, within your humanoid limits.
So, don`t just sit there and read this letter! Do something; like making a drink; Latvian vodka with red-beet juice. Prieka!
That`s enough of my, beautiful story, BS. I know, I went overboard with my bragging and writing. So, my dear friend; just be very-very thankful for what and where we are; and have those pleasant feelings of self satisfaction, on your diaper-day, every day; till God will calleth. And don`t forget; to brush your teeth, all of them!
The old-Latvian, kicking, bitching, moaning, bored, tired, lonely, balsaming lost soul, but very - very thankful, Amen! Cheers! arijs.
M = 1"
1650642,"Autobiogrāfiskā dzīves triloģija
I - Dzimtenē - Vai tu atceries?
(Tas Jums jau ir.) BI-B8
II - Bēglis VI - V15
III - Trimdā
(Turpinājums sekos)
Ja būšu dzīvs un griba.
AV"
1244967,"avoiding so many problems on our earth. Like the births of mentally and physically handicapped; twisted, criminal and other types of evil minds; wars, starvation and so many other forms of miseries e.t.c.
What percentage of the world`s worshippers  know thwmselves, that they have been living in their lifelong lie; or are they convinced believers. In certain areas of  the world; technology and with arsenal help, they are gradually replacing few of the ""Gods""; or else! To many the traditions will go on, just like mine.
Of course, going to your house of worship, does not mean that you are believer; if not, it`s either; following the old traditions or you are a fake. The worst part of the church services; is listening to long boring sermons; and the best part is, ""Amen""; followed by coffee, snacks and socializing.
Who am I, to question ""God or Gods""; but my Constitutional rights allows me to do just that; and I do believe in our Amendments; absolutely I would like to see few changes in it.
In my old age, I feel like I`m existing more and more than living. I`m becoming burden to society, bleeding my company`s and national retirement budgets; but, thank you!
Of course, whatever I have written here; it`s all about Them, not You and I.
aris vilemson .............. 05-17-2015.
AV"
1244973,"Es esmu kreisajā pusē.
Arijs Vilemsons
Nov. 2018 g."
1244961,"We the people.
We the ""oblong blobs"", who are equipped with a egoistical larger than life brain, than any other form of existence on our planet; ""the third rock from the sun""; and with that we are creating hell on earth. Due to advancement of technology; we are gaining unemployed masses of people; and losing those personal face to face communications, family, friends, neighbors, business ties, e.t.c. But cloned in a wired/wireless world wide info-center storages; like it or not, you have lost identity and privacy. You have no name, you are nothing but a bunch of numbers; accessible to anyone, who wants to get into your private world. We are pestered by telemarketers; it`s a crime and should be stopped. We are losing our old localized cultural traditions, respect, morality, ethics, common sense, honesty e.t.c. We are overtaken by a percentage of extreme radical stubborn religious zealots, wars, terrorism, unwelcome immigration, crime, racism, sexualities, gay-lesbian recognitions, legalizing drugs, protest-riots, vandalism; visual TV horror news, where violence is brought in our homes. News medis is avoiding to tell the truth; not to upset minorities, and so are lot of our government representatives. In the world of advertising, nothing but lies, and most of today`s culture and/or entertainment is close to total garbage. We are at the point of no return, to normality among the people of the non and/or civilized worlds, as we know it. We are reaching the point of losing our identity, due to integration of the world growing masses and cultures. These illegal unwelcome guests, welfarers, con artists and many more are depleting our national budget; that hurts. Because we are robbing our future generations; but no matter what, people adjust and will adjust accordingly, to exist in this overcrowded rock; with more and more problems to overcome.
There are loved and hated icons in our world; they could be elected figures; born or self made royalties, dictators; religious gurus, appointed messengers, self made generals, movie, rock or
L -1"
1244964,"sport stars, some of the wealthy e.t.c. There are people, who are equipped with big egos; most of them have that wealth, social- recognition and monetary need and greed. Just to stand out in public; and being seen on their ""white horses""; in their uniforms; with bought respectability, titles and earned or unearned medals. Their lifestyle is depleting larger percentage than average of the world`s natural resources; which is disappearing at a faster and faster pace from our mother earth. Too many people are born at an, out of control pace; due to lack of consideration, respect, responsibilities, education and common sense. With that, they have created their own poverty; starvations and deseases; and at the same time, waiting for the world to help them out; especially those poor people with large families. Too many wars,holy wars; many innocent people are caught in war-zone chaoses; refugees, with no escape to find some peace, place to stay and survive. The word ""peace"" , has become the most useless word used today,  across our restless world.
I venture to say; that almost every person have their own ""God"" , in their respectful [respective] religion, cult, sect of beliefs; that differs from what is being preached. There`s large percentage of messengers, whom themselves do not believe, in what they are spreading to the world; because it`s an inherited job, income, security and recognition. To believe or not, worshipping is an inborn-stubborn cultural radition; forced on to practice certain spiritual rites; where you have no say so. Who knows the percentage, of how many true believers really are in this world. To many it is a good thing; especially,hope in desperate situations; for many people in need; just to hang on, at least to something; something that they believe in.
People of land needed some kind of icons to idolize, worship and pray. So they created ""God"" , out of human reach or touch, far away in heaven and the devil deep down in burning hell; for the good, bad and the evil ones; your choice! If ""God"" is so just; and we all are created equal; then how come he is ignoring and
L -2"
1244972,"A birthday! In that case, this is for you.
No such thing as a happy birthday; unless you feel good about yourself and your surroundings; to be satisfied is not good enough. Old - young, it`s still your job to stay physically and mentally fit; make a living, pay taxes and enjoy whatever you do, legally. Don`t ever be fad or crowd follower, they are losers. Don`t even think, that tomorrow or next year, e.t.c.; will bring better days. Sure there will be ups and downs, down this long eternal struggling road of choices, just select the right ones. Good luck, and ...
Now, just stay sharp, busy, neat and don`t waste your time on worthless things. Stay away from those chaotic out of control tech-world viruses or being intimidated by men/women, national and/or world problems; it can`t be fixed, beyond our control. Create your own security and comforts of life; never wait, do it now!
Is there God? Yes and no; it depends on you. If you feel that you got more out of life than you deserve; then yes, and be very - very - very thankful; considering all the roads of life, till self satisfaction. Let freedom and democracy rule the land of free. God has always been on your side; so get the most from what`s He has giveth; of many years to come. Dievs Sveti Latviju - 100; cheers! friend, arijs ... 2018
N=1"
1244862,"Ceļš uz Mājām.
Bija miers, mājas un Dzimtene,
Nāca kaŗš un tas bargais svešinieks.
Nāves baidīdamies,
Dienišķo maizi meklēdams,
Nabadzībā un neziņā,
Esmu pazudušais bēglis;
Iznīcībai savu Dzimto-Zemi atstādams,
Moku ceļu staigājot.
Liktenī kristdams mūžu trimdiniekos,
Gan svešumā, savu vietu atrasdams.
Paiet gadi, nav ko zagt,
Krīt sarkanā zvaigzne, plīst un brīvība.
Okupants paliek, baida un indē,
Nemiers man, Dzimtene sauc;
Jābrauc; jo mans ceļš uz Mājām gaida.
Par lauka ceļu; sniegā un ledū tīts;
Caur svešinieka postījumiem,
Caur mūsu pēdējās cerības,
Moka katla mežiem, kur vēl rēgojās,
Mūsu varoņa nāves gars.
Gar sabrukušām mājām,
Gar atstātiem laukiem,
Gar vēja dzirnavas drupām;
Zib telefona stabi, lauki un mājas;
Varbūt būs atkal labi.
Un atkal meži, purvs, ezers un kapi;
Jā; kapi; pārņem domas; cik ilgi vēl;
Vai nav mans laiks, un kad?
Kāpēc man dzimt, dzīvot,
Un darīt, ko daru; ko meklēju?
Vai piedzīvojumus, vai bagātību;
Vai esmu situācijas izmantotājs?
Bet kaut kas jādara.
Varbūt esmu muļķis, nemāku dzīvot;"
