File-ID,Transcribed Text
1268890,"ieradies arī Jātnieks. Tas man ļoti bij pa prātam - viņš redzēja mani vasarīgā jaunā spilgtā kleitā un jaunajās dzeltenās kurpēs. Tas bij efektīvi!
(To vakaru kad pārbraucu no Nīcas, bijis viņš atnācis un parunājies ar Termiju.) Bet ko man vēl deva un dod šī redzēšanās ar viņu un vispār tas Jaunsleinis.
Es tomēr esmu viena. Viņiem katram pa sievai - ""ģimenes galvai"", kas viņus tur grožos un no kurām viņi dreb. Bet pie manis ""lien"". Jātnieks gāja mājās pudienās un tad iešot uz futbolu.
Es gāju uz jūru, Jaunsleinis nāca līdz, pastāvēja pie riteni un drēbēm. Es krūmos pārģērbos un ieskrēju viļņos. Gaiss auksts, bet ūdens silts.
Otrdien 15. augustā.
Šorīt sapucējos un gāju pie Ainas, lai apsveiktu uz dzimšanas dienu, un nesu trīs gabaliņus tualetes ziepes un odekolonu pudelīti. Aiz trūkuma pārpilnības labāku neko nevarēju nopirkt. Bet viņiem jau vairāk kā mums. Satiku Ainu pa ceļam ar radinieci Liviju. Tā arī dāvanu iedevu. Nācu arī tūlīt mājās un uznāca tāds lietus kā debess plūdi. Drīz paspīd saule, bet tad gāž atkal. To vairs nevar izturēt!
Sestdien 19. augustā.
Šorīt man bij jāiet uz satikšanos lai dabūtu puķes gladioles. Un tur jau viņš nāca pretīm ar garajiem rozā ziediem, un tās ātri paķēru lai nenotiktu kas briesmīgs - jo tas taču bij gandrīz pretīm logiem, kuros dzīvo ""Juris"". Nē, to viņš nebūtu drīkstējis redzēt, kad es vēl spēlējos ar vīrieša pasniegtām puķēm. Un droši vien jau arī neredzēja."
1268891,"Nu, ko viņš, šis Jaunsleinis man tās nes? Viņš nesīšot vēl daudz - jo ļoti ziedot. Bet es teicu kad es gladiolas nemīlu, ka labāki būtu asteres. Skāde kad viņš to nav zinājis, tad būtu stādījis asteres, bet tās neesot nemaz.
Svētdien 20. augustā.
No rīta divpadsmitos viņš atkal klāt un ar vīna pudeli kabatā. Viņš gribot iedzert un tad iet pastaigāties. Iedzērām arī, tikai ne visu. Kad mēs sēdējām netālu no ezera niedroja, viņš teica - vai tu man bučiņu nekad nedosi? -
- Nē, kāpēc lai to es darītu! - atbildēju. Un viņš atkal samierinājās, tikai sauca par meitenīti un glāstīja manu zodu.
Nē, es neesmu mainījusies, jo projām es esmu neganta - man vajadzīgs vīrietis uzbrucējs, nežēlīgs, mocītājs, iekarotājs un manis pazinējs. Bet Jaunsleinis to nezin un mani nepazīst. Viņš nezin kad man ir vajadzīgs spēks un tas nav ne viņa ķermenī, ne dvēselē. Ko viņš man var dot? Itin neko!
Man ar viņu garlaicīgi. Bet cik intersanti tādu pastaigu būtu bijis izdarīt ar Valdi. Cik viņš būtu daudz ko pateicis!
Otrdien - 22. augustā.
Nav vairs nekāda prieka pasaulē - dzird tikai kara valodas un lietu gāžam.
Un no Maskavas atbilde par manu vēstuli rakstīto ""Pasaules dienā""! Atvainojiet ka tik vēlu atbild un ziņo kad ar daudzajām informāciju vēstulēm manējo nevarējuši ievietot.
Nu labi ka ar tā, taču tas būs dokuments par kādreizējām cilvēku ciešanām. Un Saša tur dzīvos! Kādreiz jau viņi meklēs un pētīs par to Vīgantu, kur tas palika."
1268877,"Pirmdien. 7. novembris.
Oktobra svētki.
Nesalst. Nelīst. Silts. Saule pat reizēm paspīdēja kamēr darba vietu kolonnas gāja pāri tiltam - jaunajam tiltam, uz parādes laukumu, garām tribīnei. Šij reizē uz laukuma nesapulcējās. Teātris vēl stāvēja ostas malā, kad es jau gāju mājā, nenogaidīju kamēr paiet garām. Un ko gaidīt? Lai kāds mani ierauga - to kuru kolektīvā nemīlēja. Jā, nemīlēja, to es nu dabūju zināt - vai dzirdēt pēc mana Everta izteicieniem, jo neesot ar kolektīvu bijusi draugos, staigājusi kā tāds miera eņģelis gan, bet tomēr jaukusies lietās kur man neesot bijis ko jaukties. Bet kur es jaucos? Kad galdniekam Priedniekam neļāvu pīties ar vienu nelieti meiteni? Jā, es par to gādāju, lai netiktu izjaukta Priednieka ģimenes dzīve. Bet ko tur vandīt augšā?
Pēcpusdienas ar Termiju bijām uzlūgtas uz pusdienu pie Ainas un Paula. Termija aizgāja jau pēc divām stundām - gāja uz krievu teātri skatīt lugu ""Люди которых виде"".
Es paliku un pārnācu priekš pulksten divdesmit četriem.
Otrdien 8. novembrī.
Šodien nebiju nekur. Pēcpusdienā Termija aizgāja pie Ingrīdas. Bet pie manis atnāca Jaunsleinis. Izdzērām divas vīna pudeles vienu atnesa viņš, otru noliku es. Jā, viņš ir pret mani draudzīgs. Bet, vai tiekšanos mani apkampt, glāstīt un skūpstīt arī ir draudzība? Es to visu noraidu, tomēr spēlēdamās. Viņš nosauca mani par jaunu meiteni - te tik tā varot cīnīties. ""Bet tāda Tu man patīc!"" Spiezdams mani teica."
1268886,"esot pie tantes un nācis šurp.
Vai!.. Es pārvērtos par trīsdesmit gadiem jaunāka. Es kļuvu priecīga, pat laimīga kad viņš ir nācis še un nav braucis sievai līdz. Tātad es vēl varu ""vilkt"" kā sieviete!
14. jūlijā. piektdiena.
Šodien dzimšanas diena Valdim, un atsūtīja man mazu foto uzņēmumu un saka ka mazais Valdiņš jau izskatās pēc vecīša. Jā, tāds nu liekas gan, bet izskatoties ar pavairojamo stiklu, tad ir jaunāks un acīs jaunības trauksme zem biezajām melnajām uzacīm kā diviem lokiem. Piecdesmit četri gadi! Priekš vīrieša tā vēl jaunība. Lai dzīvo šī jaunība!
   Bet savā dzimšanas dienā tā i nenobeidzu - pārtrauca rakstīt apsveicēji - Aina ar Paulu un viņiem līdz radiniece Lilija, septiņpadsmit gadus veca. Aina pasniedza lielu buntu rozā, skaistas neļķes. Paldies, paldies, paldies!!! Kas par godu! Es noliku vīna pudelīti, bet kuru pat neizdzērām, jo sākās negaiss un viņi gribēja tikt sausā mājās. Izgāju pavadīt un kad atgriezos, bij atnācis Fricis Vulkovskis, un tas apsveica un iedeva grāmatu Набережная Мойки!?, bez tam - vēl no azotes izņēma vīna pudeli.
Viens, un vienīgais cilvēks no teātra kurš mani atceras.
19. jūlijā, trešdien.
Nevaru pielikties lai aprakstītu savas Jāņu naktis ar jauno inženierīti. Vienu nakti viņš ieņēma manu guļas vietu pirtiņā, tā kā man bij jāguļ pļavā siena gubā. Bet otru nakti kad biju apgūlusies, viņš lauzās pie manis pirtiņā, kā Uldis pie Baibiņas. Man patika šī spēle, bet es biju nobijusies līdz nāvei. Tad sāku runāt"
1268889,"bij pārsteigums un uztraukums. Bet - jau vecuma pazīmes šij skaistajā sejā. Bet es! Kāda viņam izskatījos es? Es biju mētelī un lakatiņā. Un lūpas bij uzkrāsotas. Labi, ka tā - būšu bijusi taču svaigāka - kaut kas no toreizējās.
Pirmdien 7. augustā.
Es rakstu tikai šodien, pulksten vienpadsmitos pēc noklausītām ziņām par kosmonautu Hermani Titovu. Vēl viens lido. Bet kur? Vai tas tiešām tik skaidri zināms? Vakar rīt pulksten deviņos palaists otris kosmiskais kuģis Восток 2, ar šo drošsirdi. Un vēl viņš turas gaisā visi simti septiņdesmit kilometru augstumā. Viņš apriņķojis Zemes lodi jau divpadsmit reizes, tā ziņoja šorīt septiņos. Bet tās vairs nav tās ziņas, kādas ziņoja vakar, tās bij triumfējošas un drošas, šodien tās ir šaubīgas - nepārraida vairs viņa pašreizējo atrašanās vietu, ne stāvokli.
Nupat atkal pārraida un atkal tikai par apsveikumu telegrammām uz Maskavu. Visi gaida atgriešanos. 
Ak vai, ak vai, es sāku nervozēt.
Pirmdien 14. augustā.
Atkal tikai pēc nedēļas, bet jau pagājušā pirmdienā pulkstens vienpadsmitos es klausījos ziņas ka Hermanis Titovs, pulkstens desmitos nolaidies uz Zemes.
Es biju priecīga un svinīga to dienu. Bij iebraukusi Ketija un es aizbraucu viņai līdz uz Nīcu un sabiju tur trīs pilnas dienas. Laiks bij kā ""vasarā"". Bet visumā kā rudenī ir atkal Liepājā, paspīd gan saule, bet te atkal gāž liets un auksts vējš.
Vakar aizbraucu uz kapiem. No turienes piebraucu pie Jaunsleiņa un tur bij"
1268892,"Otrdien 5. septembrī.
Vasara! Ir iestājusies vasara! Kā septiņas nedēļas bij cauri, tā pārstāja līt. Tātad desmitā jūlijā nedrīkst ielīt, tad līst katru dienu, un ja ne dienu, tad nakti. Bet nu jau otra nedēļa un laiks saulains, rāms pat vēja vairs nav, ne mākoņi, ne pērkons, kā tas bij visas nedēļas. Pagājušo nedēļu biju pie Ketijas Nīcā. Un bez pārspīlējuma var sacīt, ka tās, bij pirmās dienas kad varēja kleitā justies vasarīgi, nevajadzēja baidīties vai nebūs par aukstu vai nesāks līt. Saule un tīras zilas debesis un vakaros zvaigznes.
   Jaunsleinis jau trīs reizes nesis gladiolas. Man katru reizi jāiet pretīm, un tad viņš tās nes kopīgi ar savu dzelteno portfeli saņēmis, galvu atliecis un pa gabalu jau smaida ieraudzījis manī. Es paņemu tūlīt puķes un tas iznāk pat nevarīgi. Jā, šīs puķes nestas no viņa man neko nedod. Bet ja Everts būtu man atnesis pienenīti, es būtu bijusi laimīga. Un vai tad tāda nebiju? Viņš tad plūca man vizbuļus, bezdelīgu actiņas, pureņus un deva man saplūktos, un tas bij mīļi un patīkami.
   Bet šis var rozes nest un gladiolas, un tomēr es viņam ne roku negribu piedot. Svētdien izgājām pastaigāties un sēžot zālītē pie Pūkones kanāla, viņš gulstas man tuvāk, kā galvu gribēdams ielikt man klēpī, bet es atvirzos un mana roka nevar pacelties lai noglāstītu viņa galvu, to augsto pieri un kura nemaz nav tik muļķa. Nē, man viņš nepatīk un neko nedod. Bet ko viņš domā? Cerē?"
1268879,"sagrābj briesmīgs kauns - jo es taču esmu dikti muļķīti teātrī dzīvojusi - savā bērnišķībā un vientiesībā, un mani aizmugurē visi apsmējuši. Tā iznāk pēc viņa vārdiem - kā tāds eņģelis es esot tur gribējusi tur lidināties. Jā, tā tas laikam bij! Es neatradu tur nevienu īstu cilvēku. Un viņi neatrada to pie manis un tāpēc man nevienu piemiņu nedos līdz. Viņi juta ka es nemīlu viņus. Jā nemīlēju, visi karikatūras! Visi dzīrojās, liekuļi, un bez mīlestības pret visu to ko mīlu es.
Pirmdien 19. decembrī.
Laiks, nu jau mēnesis apkārt kā pastāv iekš viena lietus. Bet tieši pirms mēneša uz divām dienām uzkrita sniegs un pat sasalis bij. 19. novembrī gāju uz kapiem, nesu pēdējās puķes no dobītes un citas biju dabūjusi no Annas. Kapsēta bij sniegā. Abi kapiņi kā ar baltu mīkstu segu pārklāti. Bet es nopurināju un uzliku dažus skuju zarus, un tās Māriņu puķes.

Šis sniegs man ļoti nepatika, pārāk agri likās. Bet nu atkal
to gribētos, jo apnicis lietus un kur tās tumšās, miglainās dienas. Debesis nav
nemaz. Istabā visu dienu tumsa. Citas dienas drusku gaišākas un tad ir sausākas
gaiss un ielas tīras kā vasarā. Šorīt vēl dobītē atradu nolauztas sarkanās
Māriņu puķes. Nopurināju un ieliku trīs rozītes.

Kad bij 24. - Veltas, atnāca Jaunsleinis ar trīs baltām
sprogainām krizantēmām un Simonova skulptūru grāmatiņu. Priekš kam šī uzmanība?
Un tā viņš nāk vēl ar vienu. Sestdien bijām iekš kino, dienas izrādē ""
Pusi
 iela"". Neko nepatika."
1268878,"- Tā var sabojāt attiecības - es sacīju. 
Labu gabalu izgāju pavadīt. Tā tad mani vēl iekāro! Un tomēr tas neattiecas vairs uz manīm, bet tikai uz nožēlojamā vecuma vientulības un bezspēcības iekārtu ko labāku. Kā viens tā otris vecis. Un sieva viņam slima un tāpēc meklē kādu izmaiņu no parastās mājas dzīves. Sieva slimo jau desmit gadus, nevar paiet, ir aptaukojusies, nosirmojusi. Tomēr viņš to cienī un ir labs pret viņu.
Svētdien 13. novembrī.
Man nekas vairs netīk. Jaunslēsnis bij uzaicinājis aiziet uz muzeju - gleznu izstādi. Laiks bij labs, sauss, tikai diezgan auksts vējš. Skrēju pa ielu kā uz pirmo satikšanos, jo es biju nokavējusies, ar puķēm krāmējoties lai vāzēs saliktu, kuras vēl no dobes biju uznesusi. Jaunslēnis jau gaidīja. Izstāde bij Titiņa, Cīruļa, Lauvas, Uztica un citu darbi. Bet es jau neko nesaprotu. Un arī viņš neko nevarēja izteikt savu spriedumu. Gandrīz divas stundas tur uzkavējāmies. Kad iznācām, viņš vēl gribēja pierunāt iet vakarā uz Kultūras namu, dokumentālās filmas skatīties. Bet es atteicos. Netīk, nekas vairs netīk.
Bet jāieraksta taču tas, kad biju pie Everta, viņa māsa bij man atsūtījusi pūru kartupeļu un vairākus ļoti lielus un skaistus āboļus. Bijām abas ar Termiju. Viņa meita ar bērniem bij izgājusi un mums vajadzēja uzgaidīt, jo viņa tos kartupeļus nokusi pagrabā. Kad es uzprasīju kā viņš jūtās? Tad atbildēja - taisies tik uz bērēm! - Esot bijis pie ārsta, grūti elpot, bet papirosu no mutes neizlaiž. Mēs runājām kā slikti, maz pazīstami cilvēki.
Kad tik es sāku atcerēties pagājušo, tad mani"
1268894,"Pirmdien 4. decembrī.
Atgriezās Termīte, ar vakara vilcienu. Man atveda četrus kilogramus mandarīnus un vīna pudeli. Tikai zināms par manu naudu. Dienvidi Termīti saņēmuši savā varā - tik ļoti negribējies braukt mājās.
Ceturtdien 28. decembrī.
Sals un sniegs. Salst līdz 15 gr.
Rakstu visiem Jaungada apsveikumus. Valdis ka 23. dec. atrodas sanatorija Ogrē - ""Saulstaros"".
1962. gads.
Piektdien 2. martā. 
Visi vakari, visas dienas viena otrai līdzīgas. Pat Jaunā gada vakars tāds bija, kas ne ar ko neatšķīrās no katra vakara. Divas ar Termiju, tikai paskatījāmies pa logu, kur raķetes uzlidoja un tad atkal viss kā bijis. Bet šovakar dabūju dzirdēt vēl nekad nedzirdēto: mūsu tēvam bijušas septiņdesmit divas sievietes... tik viņš esot saskaitījis - varbūt kāda vēl iztrūkusi. To pastāstījis kādreizējai īrniecei Luterenei. Šovakar, to viņa man pateica man, kad pie viņiem biju aizgājusi palīdzēt pašūt meitai karnevāla tērpu. 
Tātad, papus ir dzīvojis kā īsts zemes - tas dzīves ""baudītājs"". Un tāds ir bijis mūsu papus - tikumības mācītājs. Pat mana ""vīra māte"" - Bumbulene, bijusi viņa mīļākā. Man šovakar sāp sirds."
1268888,"Piektdien 28. jūlijā.
Šodien apmetās tā kā siltāks un laiciņu varēja sajust un arī redzēt sauli. Bet drīz viens sāka atkal līt, un sadeva tā itkā tas būtu gaidīti un vajadzīgs.
Nu, pavisam neganti. Bet labi kad mūsu istabā tagad ir smuki un patīkami - Termija nopirka grāmatu plauktu ar diviem, bieziem aizbīdāmies stikliem. Maksāja sešdesmit pieci rubļi. Es no savas puses pieliku tikai trīspadsmit.
Abas esam ļoti priecīgas, jo cits mājīgums mūsu istaba.
Termija sāk pieņemties - un pati atrod kad divi kauliņi pie kakla esot pazudusī. 
Viņa ēd pusdienas ēdnīcā, un vakarā es atkal ko sagatavoju. Pēdējā laikā viņa bij novājējusi ka sāk palikt bailes. Aizvedu pie ārsta, izdarot visas analīzes, izrādās kad ir vesela, bet tikai pārāk nervoza. Ārsts teicis ka vajagot precēties. Bet tas laikam nenotiks nekad. Kāpēc? Rets meitenes eksemplārs?
Trešdien 2. augustā.
Tas bij pēc trīspadsmit gadiem, kad es atkal redzēju viņu - Jēkaupu Bumbuli, un tas bij 1948. gada vasarā.
Šovakar - 1961. gada vasarā - atkal pēc trīspadsmit gadiem es viņu redzēju. Visus gadus, visas vasaras esmu to gribējusi redzēt, bet nekur un nekad viņš man nav ceļā sastapies. Šovakar bij atnācis Jaunslienis, gāju pavadīt. Un tur uz Zāļu ielu, netālu no viņa mājām viens brauca pretīm ar riteni. Jau pa gabalu iedomājos ka tas būs viņš. Jā, tas bij... viņa acis, viņa taisnais deguns, viņa smalkās lūpas, viņa plānā seja, viņa dziļais skats. Viņš skatījās... skatījās un saskatās"
