File-ID,Transcribed Text
1277323,"Sāk līt lietus. Pie vakara laiks paliek labs un es lasu gŗāmatu. Drīz dzenu govis mājās.
Otrdien 30. VII. Šorīt Artūrs ar Seņu grib braukt zāģēt malku. Artūrs puspiecos ceļ Seņu augšā. Es gribu griezties jau uz otru ausi. Bet Milda man sauc lai es ģērbos un braucu uz Bērziņiem. Gaida ar tanti jau ģērbjas. Mēs šodien braucam pēc cūku māti. Pa ceļu mēs ar Gaidu vērojam vai nebrauc kāds autiņš. Līdz Bērziņiem tiekam laimīgi. Slikti ka onkols nav mājās, tas aizvedis uz Pāli cūku. Paēdam brokastis un es ar Gaidu ejam dārzā. Šogad Bērziņos nav āboļi, bet ērkšogas ar jāņogām ir diezgan. Tās arī netaupām. Pielasām arī spaini ko aizvest mājās. Valdis drīz sajūdz zirgu un mēs laižam uz māju. pa ceļam no kurpnieku paņemu kurpes un Brīdagā avīzi. Man ēdās tikai par to ka AS 19 slīd uz leju. Tagad viņa no trešās vietas nobraukusi uz septīto. Bet nolāpītā žīdu komanda hakoah no astotās uz trešo. Bet ko var darīt, jo tā paiet pasaules godība. Olimpija uzvarējusi Vandereri ar 3 - 2.
Ceturtdien 1. VIII. Šorīt no rīta drusku līst. Bet drīz top klārs un sāk spīdēt saule. Šodien mums liela strādāšana. Nedabūjām nevienu mirkli atpūsties. pa visu dienu nolikām 14 gubiņas siena un četras sagrābām. Vakarā biju nokusis, ka ne lāgi runāt negribējās.
Piektdien 2. VIII. Šodien ir mana ganu diena. Bet ir atnācis kuģis un man jāiet onkolim palīgā lādēt. Onkolis lādē kopā ar Paēgli. Tam ir daudz puišu, un viss laiks paiet ātri. Pēc pusdienām nācu es uz māju pats pakaļ. Te pie Mildas bija atnākusi draudzene Austra. Paņēmu pusdienas un eju atkal pie lādētājiem. pie vakara uzeju ar laivu līdzi pie kuģa. Drīz kuģis ir pilns un mēs braucam mājās.
Sestdien 3. VIII. Šorīt mani ceļ augšā, man tomēr jāiet ganos. Man tādas dusmas ka nezinu ko darīt. Bet jāiet vien ir. Tā ap astoņiem es dzirdu ka jūrā pūš šleperis. Tas atvedis atkal jaunu malkas laivu. Es gaidu ka mani sauks uz"
1277321,"ir vējains un es nodomāju, ja būtu tagad Rīgā tad sēdētu iekšā un lasītu gŗāmatas. Man sāk sāpēt zobs, nāku iekšā uzlieku kamparu ar vati un lasu ""Karalieni Luizi"". Bēdādamās par dzimtenes bojāeju viņa nemaz nerūpējās par veselību un beidzot nomirst. Tur grāmatā tēlo līdz vēl daudz personas, bet visu jau nespēju aprakstīt. Beidzot sabiedrotie gūst uzvaru pār Napoleonu un nokrata tā žņaugus. Arī Prūsija top brīva bet karaliene Luize to neredz. Savā ziņā man Napoleons patīk, tāds karavadonis ģēnijs ir vienīgi dzīvojis viņš. Bet jūŗas admirāls Nelsons arī bijis nepārspējams. Napoleons būtu uzvarējis arī Krieviju, bet daba un karaspēka nesaticība pārvilka strīpu viņa plāniem. Un šāds ģēnijs mira trimdā no visiem atstāts un aizmirsts. Beidzu lasī un eju ēst vakariņas. Vēl ar Seņu aizskrienam uz jūrmalu un drusku paskraidamies. Gulēt iedams vēl klusībā aizsūtu papum un mammai mīļu sveicienu un bučiņu.
Piektdien 20. VII. 35. gadā. Šorīt jau esmu pus piecos augšā. Atkal man ganu diena. Samakšķerēju pa visu māju kādas gŗāmatas ko ņemt līdz ganos lasīt. Dienas gŗāmatu pašlaik rakstu vakarā ap mājā saucamo laiku. Pusdienā es laikam Gaidai neesmu ko izdarījis pa prātam un nu naids atkal mājās. Bet bez šīs pindzeles varu iztikt diezgan labi. Viņa ir arī tad skaudīga. Milda ar Martu salasīja ogas un mājās sev pie klimpām ēda ogas samaisītas ar cukuru. Man arī iedeva. Gaida nāca pašlaik ar sāli. Viņa uzreiz sāk bērt sāli uz klimpām. Pēc pusdienas laiks paiet vienmuļi. Vakarā ar jautru prātu dzenu govis mājās. Vakarā gulēt iedami nogrūžam trepes zemē lai neviens mūs netraucē. Bet nu tik ar Seņu atminamies, ka Martai rīt ir vārdiena. Nolēmām iet naktī Martai uzdziedāt. Bet netiekam zemē. Es nolaidos pa palagu zemē un pieliku trepes. Klusām uzcēlām Mildu ar Gaidu un gaidām divpadsmit. Pusnaktī Seņa pajem vijoli un ejam pie Martas loga spēlēt. Marta mūs pacienā ar vīnu. Ejam visi gulēt.
Sestdien 27. VII. 35. gadā. Līst lietus. Šodien liela cepšana. Marta ar tanti cep baltmaizi un ķimeņkūkas. Nevaru vien sagaidīt kad maize būs gatava. Rīt vajaga notikt Bērnu svētkiem un ballei bet tie laikam izputēs. Mildai kurpes ir pie kurpnieka."
1277292,"Gaida atdzen govis, viņa man pasaka ka puiši spēlē futbolu. Paēdu vakariņas un arī aizeju. Es stāvu kastē. Ja man rīt nebūtu gani, tad man būtu jāiet par kliperi. Sacīkstē viņi rīt spēlēs ar limbažniekiem.
Svētdien 18. VIII. 35. g. Pa miegam dzirdu ka tante mani sauc. Atveru acis, laiks ir apmācies. Tā nepatīk celties no siltās gultas, bet jāceļas. Govis ēd pilniem malkiem sulīgo zāli. Es tikmēr mācos dziesmas. Pa pusdienas laiku es ar Gaidu aizejam uz Brīntāļiem. Es no Justīnes paņemu dažas grāmatas. Saku lai arī Gaida nāk uz māju, jo man jāiet ganos. Bet Gaida nenāk. Es mājās nākot paņemu konfektes, būs ganos ko graust. Visu pēcpusdienu līst lietus, tāpēc vakarā esmu pilnīgi slapš. Bet klusi pašlaik jau arī sauc mājās. Gultā atlaižos ar lielu tīksmi. Līdz mājās braukšanai tikai vēl viena ganu diena.
Pirmdien 19. VIII. 35. g. Šorīt tieku uzcelts pulkstens piecos. Jāiet ir lādēt. Tā kā onkolim trūkst viens vīrs, tad man vienam jāved. Onkolis pats iet mest. Mēs lādējam tagad pie laika un arī turpmāk lādēsim pie viņa. Ap brokasta laiku paliek stiprs un tādēļ braucu mājās. Visu laiku līņā lietus. Visas šīs beidzamās dienās lai ir traki nejēdzīgs. Kvieši un mieži ir jau pļaujami, bet laiks visu izpurgā. Ap četriem Milda atbrauca no Limbažiem. Seņa to atvedis. Viņas mazpulks nav dabūjis nevienu godalgu. Godalgas esot nepariezi iedalītas. Un sacensībās sacentušies arī vidusskolnieki. Ko tad viņi mazākie var iesākt.
Ceturdien 22. VIII. 35. g. Šodien man gani, bet tā kā man jāiet lādēt tad ganos iet Milda. Arī šodien man jāved vienam. Divas laivas uzved no upes un tad braucam uz Lielurgu. Malka ir traki smaga un stipri nomocās. Bet tagad nav tik traki jābrauc. Iznāk laika arī atpūsties. Es dabūju"
1277297,"Svētdien 8. IX. 35. g. Šodien ir graniōzie aviācijas svētki. Es tomēr šogad uz vieniem nebraukšu. No rīta es uzģērbju jauno uzvalku. Drīz atnāk Heilis un Zāmels. Mēs nobeidzam dambretā pirmo riņķi. Pirmā ir man ar 9 - 3 p. Otrā ir Heilim un Zāmelim ar rezultātu 8 - 4 katram. Trešā ir Ērikam kurš turnīra spēlē pirmo reiz, viņa rezultāti 4 - 8. Zāmels brauks uz aviācijas svētkiem, tamdēļ viņš no mums aizgāja. Mēs turpinājām jau otro riņķi. Man mamma un papus aizgāja uz kino. Es ar Ēriku ejam pie viņa pa radio klausīties aviācijas svētkus. Dzirdējām ka šauj ar lielgabaliem, zenītbateriju un lidmašīnu dūkoņu. Viss tas izdvesa drūmu varenību. Dzirdējām ka plīst bumbas uz fabriku, kuŗa tam nolūkam uzvelta. Pēc tam nācām sētā un spēlējām sunīšus. Drīz arī mamma ar papu pārnāca mājās. Šodien mums beidzamā brīvdiena rīt jāiet atkal skolā. Man tā kā prāts tīri velk uz turieni. Vakarā atkal ar mammu un Ēriku spēlējam rič-raču un Lotto. 
Otrdien 8. X. Tagad tieši pēc veselu mēnesi sāku rakstīt atkal dienas grāmatu. Nu jau mēnesis pagājis kā ejam skolā. Man ar mācībām iet labi. Skolā skrienam un spēlējam futbolu. Es esmu klases vārtsargs. Skriešanā man pieder klases rekords 1000 metros un vidējās grupas rekords 1200 metros. Tas ir par 1 sekundi sliktāks kā klases rekords. Tur man arī bija rekords bet Jānis to pārspēja (sita). Es tagad sēžu pašā pirmā solā. Tur diezgan slikta sēdēšana. Es ar papu dzīvojam vieni pa mājām, mamma ir uz laukiem. Viņa tikai pa Svētdienām atbrauc mājās. Rīt mēs braucam ekskursijā uz Ligati. 
Sestdien 12. X. Es esmu kooperatīva andelmanis. Katru brīvstundu es stāvu pie kases. Mums šodien bija roku darbi. Es strādāju pie konu kūjām. Šīs kūjas"
1277325,"pļauj sienu. Pa pusdienas laiku gribu braukt ar Viks Mārtiņa ratu uz Salacu. Bet viņš nav mājās. Laiks ir labs, bet tā kā mums siena nav viss nopļauts tad nav ko grābt. Arī ecēt nevaru iet, jo onkolis aizbrauca uz pagastmāju. Ejam visi ogot un Gaida ganos. Pielasām pilnu krūzīti un nākam uz māju. Mājās uz ogām uzleju pienu dūšīgi paēdos. Drīz eju šņākt.
Svētdien. Šodien Marta un onkols brauc uz Bērziņiem. Mani jau līdz neņem, bet nevajaga arī. Gaidušām ir gani, un es varu šodien izlasīties gŗāmatas. No rīta ar Seņu izpeldamies, pēc peldes trenējamies skriešanā. Viņš grib braukt uz Bridagu, tāpēc nākam mājā. Viņam atnestas avīzes. Lasot es priecājos ka ASK uzvarējuši Unionu. Par to arī priecājos ka RFK parādīja savas spējas ārzemju futbolistiem. Pie vakara eju apskatīt laivu un izlieku enkurus pareizā vietā. Vakarā mazais Seņa un Arturs braukāja par jūŗmalu. Viņi mani veda līdz. Aizvedu zirgu uz āboliņa tīrumu un eju gulēt. 
Imants."
1277291,"atsacījās iesākto pūrvietu pļaut. Es eju saukt citus rudzu pļāvējus. Atnāku mājās un eju tūlīt siet rudzus. Onkolis jau pļauj. Pa starplaiku kāpaļēju pa kokiem. Pēc brokasti atnāca arī tante un Milda. Līdz pusdienai nopļāvām lielu gabalu. Pa pusdienas laiku eju izpeldēties. Iznākot no ūdens top labāka sajūta. Eju siet atkal rudzus. Arī Tante pļau un Milda sien. Drīz viss ir nopļauts. Kamēr visu saslien un nogrāb tikmēr pienāk jau launaga laiks. Esmu laimīgs ka rudzu nu cauri, bija apnikuši līdz kaklam. Vēl gan kāda purvieta ir ar rudziem, tos pļauj Birkinfeldi par samaksu. Ejam abi ar Mildu peldēties. Ceturtdien 15. VIII. 35. g. Agri no rīta izeju dārzā un salasu āboļus. Dažus apēdu un eju atkal gulēt. Ilgi gulēt nedabonu, tante mani ceļ lai es eju onkolim palīdzēt lādēt. Pa starplaiku es ar Paēgļa dēliem eju peldēt. Taisu visādus trikus, lecu no laivas uz galvu ūdenī. Zem ūdens atkal nostājos uz rokām. Ap launagu kuģis ir pilns un mēs braucam mājās. Vakarā uznāca liels pērkoņa negaiss. Es tagad skaitu dienas līdz mājās braukšanai. Apnicis jau šeit ir sen ar tiem lieliem darbiem. Bet arī slikti te nav. 
Piektdien 16. VIII. 35. g. Man ir gani. Laiks apmācies un līņā lietus. Tomēr paņemu līdz dziesmu klades un dažas grāmatas. Romāni jau aptrūkuši, tādēļ lasu vēsturi. Milda šodien brauc uz Limbažiem, tur mazpulkiem notiek sacensības. Man Mildas vietā Svētdien būs jāiet ganos. Bet tagad man ganos tīri labi patīk, lai tikai nu būtu labs laiks. Pie vakara man garām brauc Seņa. Mēs abi kādu laiku papļāpājam. Drīz dzenu govis mājās.
Sestdien 17. VIII. 35. g. Laiks ir apmācies. Līst lietus un pūš ass ziemelis. Visu dienu dzīvoju pa iekšu. No rīta sacērtu malku un sanesu iekšā. Tā kā citu nav ko darīt tad lasu avīzi. Drīz Gaida atdzen govis. Vakarā kad"
1277324,"māju, jo man būs jāiet palīgā lādēt. Drīz atnāca Gaida un mani nomainīja. Atnācu mājās paēdu un gāju pie onkoli. Šodien nāks Kaija no Rīgas un varbūt atbrauks ciemos papucis. Kad atnāca Kaija es uzbraucu Frankam motorā līdz augšā. papus gan nebija, bet paka gan bija atsūtīta. Nonācu ar visu paku lejā pie laivas. Jūŗa bija jau diezgan stipra. Man bija grūti nostāvēt motoram priekšā un atgrūst no krasta. Kad nobraucam ar Paēgļa laivu zemē nolēma vairs nelādēt. Es kāpu no motora laukā un braucu ar onkoli mājā. Takā mamma bija atsūtījusi konfektes, cukuru un desas līkumu. Arī kliņģeri nebija mazums. Bija ka visiem radiem atsūtīta nauda lai varētu nopirkt citas cūkas. Man vēl bija lats naudas un vēstule. Mamma raksta ka papus nedabū atvaļinājumu un uz šejieni nevar atbraukt. Man uzreiz uzlabojās prāts, jo drīz atkal braukšu uz Rīgu un satikšu atkal savus draugus. Vakarā ievedam beidzamo āboliņu.
Svētdien 4. VIII. 35. g. Šodien Bridagā kapsētas svētki. laiks no rīta nomācies bet vēlāk sāk noskaidroties. Citi brauc, bet es Marta un Milda gan ar kājām. Netālu no Bridaga mēs saaujam kājās. Mums onkolis pabrauc ar zirgu garām gandrīz jau tikai pie Bridaga. Ļaudis ir daudz, jo laiks tieši labs ne silts ne aukstas. Nākot mājās es ieraugu ka pie kapsētas pārdod saldējumu. Nenocietos un nopirku sev vienu un Gaidai arī izmaksāju. Nopirku vēl smalkmaizes un kliņģerus. Milda vēl aizgāja uz skolu, mazpukam bija sapulce. Es ar Martu nācām kliņģerus ēzdami uz mājām. Mājās paprastu no Vanceriem šīs nedēļas avīzes un atpūtu. ASK tomēr atmaksāja Vandererim par to es priecājos. Atpūtā uz uzņemam Strādnieku svētkos ieraugu vienā vietā arī Zāmeli.
Pirmdien. 5. VIII. Šodien pūš un nav tādēļ jāiet lādēt. Onkolis atved 7 gubiņas siena. Tā mēs izārda, uzārdām un uzliekam augšā.
Otrdien 6. VIII. Šorīt sajūdzu zirgu un eju ecēt. No sākuma lāgi nejāja, bet vēlāk ievingrinājos. Onkolis turpat tālāk"
1277299,"mājās. Pa ceļam uz mežu pieejam pie Biedriņa. Arī viņš paņem sev maisu. Mežā sākam plūkt mētras. Tās bija stipri maz. Mēs dzirdējām ka pa mežu klaigā citi mūsu skolas skolēni. Nolēmām tos izbaidīt. Tā bija Ekmaņa kunga klase. Satikām arī Dambergu, Bluzmu un lielo Šteini. Gribējām izbaidīt VI. b klasi. Dambergs šāva ar savu pugaču. Tam eksplodēja stobrs. Šie sāka mums apcelt. Viņi izbārstīja man zemjas uz mētras. Dambergs iegāza Paeglim pa aci. Mēs visi aizšmaucām. Rīt pateikšu to skolotājai.
Ceturtdien 21. XI. 1935. g.
Šodien mani izsauca dabas zinībās. Pa daļai visu zināju, par atbildi dabūju 4-. Arī vācu valodā mani izsauca. Pēc stundām vajadzēja palikt uz vingrošanu. Tā kā Samiljona kungam bija koŗa mēģinājums, tad vingrošana neiznāca. Gaidīdams Lejiņu kuŗš arī dziedāja es sakrāmēju kooperatīva gŗāmatas. Mājās atnācis es izmācījos. Vakarā aizgāju pie Hari uz dzimumdienu. Arī Leopolds tur bija atnācis. Spēlējām Melno Pēteri un gremojām kūkas. Ap deviņiem nācu mājās.
Ceturtdien 28. XI. Sestdien izdos liecības, tamdēļ atzīmju likšana iet pilnā spēkā. Ģeogrāfijas stundā ceļu roku uz katru jautājumu. Arī Dabas zinībās atbildu. Pēc stundām es ar Georgu skaitam burtnīcas un spalvas kātus. Turpat mēģinājumu notur ceturtā klase. Es pakaitinu Birutas māsu un Augusti. Tās abas ir brašas meitas. Pie vakaŗa abi ar Zāmeli braucam uz pilsētu uzprovēt man ziemas forma. Tā izskatās labi sestdien būs gatava. Vakaŗā izmācos.
Sestdien 30. XI. 1935. g.
Šodien man laimīga diena. No rīta mums ir nodomāts izdot liecības. Bet tās mums izdeva tikai pēc ceturtās"
1277289,"III.
Dienas grāmata. N°2.
Imants Freimans
Imants Freimans.
1935. g. 12. aug. - 35. g. 14. dec."
1277290,"Pirmdien 12. VIII 35. gadā. Šodien Mildas ganu diena. Bet viņiem šodien Mazpulkam liela vārīšana. Arī Milda aizgāja. Es eju viņas vietā ganos. Ap brokastu laiku onkolis sāk pļaut rudzus. Es turpat ganu govis un sienu kūlīšos. Pēc pusdienas es eju siet rudzus, bet Gaida iet ganos. Drīz Milda atnāk mājās. Man tikai ēdās ka man visu laiku jāsien, bet skuķi par māju tūļojās. Otrdien 13. VIII. Šodien visu dienu strādāju pie rudzu siešanas. Ap pusdienas laiku vienu tīrumu beidzām. Atnāca skuķi un mēs saslējām gubas. Es gāju uz otru tīrumu atkal siet. Skuķi tikmēr pirmo sagrāba. Drīz beidzam un nākam uz māju. Vakarā aizejam ar Mildu uz jūŗmalu. Arī Seņa ar ratu piebrauc. Es paņemu ratu un braucu uz Meleka pusi, Milda ar Seņu tikmēr lakstojās pa kāpām. Gulēt ejot es sāku domāt par mājām. Gribētos tur būt, bet drīz jau tur būšu.
Trešdien 14. VIII 35.g. Šorīt tieku uzcelts jau sešos. Vancers"
