File-ID,Transcribed Text
1283623,"69.
tīģera rūkšanu. Tālāku vietējie mongoļi stāsta, ka pie šā kalna esot dzimis Čingis chāns, lai gan vēstures ziņas runā tam pretī. Pēc veciem ķīniešu rakstiem, uz šā kalna reiz i[e]lenkuši Čingis chānu viņa ienaidnieki, bet nevarējuši tā atrast. Izglābies no briesmām, viņš sitis pie savām krūtim un zvērējis pie debesim, ka tiklab viņš, kā arī viņa pēcnācēji nesīšot kalnam upuŗus.
Ievērību pelna arī Mafudzas kalns, kur mongoļi mēdz izmest savus līķus, jo kapsētu mongoļi nepazīst. Pēc lamaistu ierašas līķus nemēdz aprakt, izņemot tikai chānus un augstākos priesteŗus. Citu ļaužu līķus izved tik no mājas ārā un izsviež kaut kur piemaļis no ceļa. Bet līķis arī ilgi nedabū gulēt uz Mafudzas kalna, un drīz vien to sarausta suņu bari. Arī mēs vienu vakaru redzējām tur"
1283620,"65.
Visa mongoļu manta pastāv lopos un arī savus nodokļus viņi maksā pēc lopu skaita, prot no 20 aitām vienu par gadu. 20 aitām tiek pielīdzināti 2 kamieļi, 3 zirgi un 5 govis. 17. gadu simtenī rietuma mongoļi jeb kalmuki vēl izdeva likumus, kur visas sodu maksas ir noteiktas ar lopiem. Tā tad lopi pie viņiem ir tāds pats mainīšanas līdzēklis, kā pie mums nauda. Toreiz visi mongoļi, kā zināms, stāvēja zem Ķīnas valdības un lielākās darīšanās lietoja naudas vietā sudrabu tāpat kā ķīnieši. Mazākas naudas vietā viņiem parasti noderēja ķieģeļu tēja. Tādu nosaukumu šī tēja ir dabujusi tādēļ, ka viņa ir ķiegeļu veidā presēta. Par maiņas vienību rēķina pusi no kieģeļa, kuŗa toreiz līdzinājās 25 kapeikām. Ķieģeli dalīja pavisam"
1283616,"61.
Riteņi ir augsti un stipri, ar resnām rumbām un daudz spieķiem. Arī no Urgas līdz Troickosavskai ved tēju daži krievu pavalstnieki, bet daudz vairāk gan pašu mongoļu vedēji. Pēdējie šai apgabalā brauc vairāk ar vēršiem, retāki lieto kamieļus. Vēršu rati ir pēc izskata tādi paši, kā augšā aprakstītie, tikai daudz vienkāršāki. Riteņi tur griežas līdz ar asi un nekad netiek smērēti, kādēļ braucot taisa lielu troksni. Spieķu un rumbas tādam riteņam pavisam nav. Viens resnāks koks, divi mazāki škērsām pāri, apkārt seši riteņu gabali, tas ir viss, ko pie tāda pirmātnīga riteņa var redzēt. Par vēršu aizjūgu ir vēl jāpiemin, ka viss ratu svars stāv vērsim uz kakla virspuses, nevis uz krūtim kā pie pie zirgiem.
Ziemeļa Mongoliju var saukt par īstu stepi. Tur neredz neviena apstrādāta tīruma, tikai ganības un"
1283621,"66
30 daļās un šādu daļu sauc ""šaracai"". Tādā kārtā tējas gabalus dalot, graizot un roku rokās dodot, viņi, zināms, stipri vien bojājas, kādēļ arī strīdi pie visādām maksāšanām piedeŗot pie dienas kārtības. Šā iemesla dēļ rēķina gluži neaiztiktā tējas kastē 34 ķieģeļus, kaut gan patiesībā tur ir tikai 32 ķieģeļi. Citos Mongolijas apgabalos mazas naudas vietu ieņem gan drēbes gabali, gan arī ķīniešu rauši.
Urgā nonācām 2. novembra vakarā un apmetāmies Krievijas konsulātā. Pati Urga nav nekas cits kā tikai liels lamaistu klosteris ar daudz tempļiem un lamu dzīvokļiem. Sievietēm un tirgotājiem tur ir pavisam aizliegts nomesties. Maimačina jeb tirdzniecības pilsēta ir verstes sešas no Urgas atstatu un tur dzīvoja toreiz tikai"
1283625,"71.
un mūsu karavāna pastāvēja no 10 kamieļiem un viena zirga. Līdza mums gāja divi vadoņi, no kuŗiem viens jāja uz zirga, otrs uz kamieļa
Pirms es turpinu savu ceļojumu aprakstu, gribu vēl kādus vārdus sacīt par pašu kamieli, tā saukto tuksneša kuģi. Daži zinātnieki domā, ka kamielis esot viens no visvecākiem zīdītāju lopiem pasaulē, jo pārakmeņotie kamieļu skeleti rādot, ka par daudziem gadu tūkstošiem kamieļi esot tik maz pārvērtušies. Par tagadējo kamieļu dzimteni uzskata vidus Āzijas stepes un tuksnešus, un vēl tagad Tarima upes apgabalā esot uzglabājušies brīvi tuksneša kamieļi. Cilvēks tomēr jau ļoti sen ir pieradinājis kamieli par mājas lopu, jo viņu mēs sastopam jau visvecākos Āzijas tautu rakstos, un kamieļa nosaukums pieder pie vecajām saknēm turku-mongoļu-mandžūru valodās."
1283632,"spīti tur tomēr netrūkst ne zvēru, ne putnu. No pēdējiem visbiežāki dabūn redzēt jau augšā minēto melno vārdu. Neretis sastop milzīgus tuksneša irbjus un citu putniņu barus. Šad un tad riņķo pa gaisu kāds neliels ērglis. Dažureiz uzbraucām uz lielākām tarbaganu un žurku nometnēm. Vispatīkamāko iespaidu uz ceļotāju atstāj lielie tuksneša antilopju jeb dzērenu bari, kuŗi sniedzās līdz vairāk simtiem, pēc mongoļu stāstiem par līdz pāra tūkstošiem. Kādas trīs reizas mūsu vedēji rādīja mums arī kādus vilkus skrienam.
Pirmās dienas tuksnesī mums bija stipri aukstas: dienā ap 18 un naktī pat līdz 30 gradiem pēc Reomira. Tālāku uz dienvidiem aukstums atlaidās, tā kā naktis caurmērā varēja rēķināt uz 12 un dienas"
1283617,"62.
ganības, cik tālu acis sniedzas. Šur un tur redzējām kādus lopu ganus, kuŗi uz zirga muguras sēdēdami uzraudzīja savus ganāmus pulkus. Zirgus mongoļi, kā liekas, izmanto tikai jāšanai, bet ar vēršiem, kā jau teikts, ved vezumus. Jāt jāj tāpat lieli kā mazi, vīrieši un sievietes. Jāšanā mongolis ir arī tāds meistars it kā viņš būtu uz zirga muguras uzaudzis. Daži zinātnieki pat domā, ka mongoļu īsās un ielīkās kājas esot attīstījušās no gadu tūkstošiem ilgās jāšanas. Tiek vēl prātots, ka vispārīgi jāšanas māksla būšot izplatījusies no kuajiem Gobi tuksneša apdzīvotājiem.
Mongoļi, kā jau teikts, ir īsta ganu tauta, kas klejo ar saviem lopiem no vienas ganības uz otru, un negrib ne pāriet uz zemkopību, ne arī celt kādas pastāvīgas ēkas. Mongoļi un burjati"
1283626,"72.
Pēc lieluma kamielis ir daudz lielāks par zirgu, un uz muguras viņam paceļas divi tauku kupri. Viņš ir šķirams no dromedāra rietuma Āzijā un Afrikā, kuŗam ir tik viens kuprs mugurā. Dromedārs esot tik kamieļa pasuga, kas esot attīstījusies laikam tikai vēlāk cilvēka kopšanā. Vispār miesu kamielis ir pārklāts ar biezu un mīkstu vilnu, kuŗa apakš kakla ir stipri gaŗa un līdzinās krēpēm. Pavasarī šī vilna nokrīt un par visu vasaru kamielis staigā pliks, kamēr rudenī viņam izaug atkal jauna vilna. Šī vilna ir parasti smilšu krāsā un tikai retumis balta. Ejot kamielis ceļ vienreiz abas labās kājas, otrreiz abas kreisas kājas, nevis pamīšu: vienu labo un vienu kreiso kāju kā citi kustoņi. Atgremojot kamielis griež žoklu te uz vienu, te uz otru pusi, nevis uz vienu pusi vien kā pie mums govis un aitas. Ēst viņš ēd arī viscietākās"
1283628,"74.
vairāk ar vārdiem nekā ar pātagu. Nereti viens pats mongolis vada pūra desmit kamieļus ar nastām.
Kā jau katram pacietīgam radījumam, tā arī kamielim ir ļoti grūts mūžs. Vadalu viņam piesien pie koka iesma, kuŗš ir izdurts caur nāsim. Ar šām pašām vadalām viņus sasien veselās rindās citu pakaļ cita. Jā nu kāds iesāk piepēži skriet, tad pakaļējam nereti tiek izrauts iesms caur degunu. Pie vairāk kamieļiem tiku redzējis saplēstas nāsis, citam jau sadzijušas, citam vēl ar asinim. Iedami pa asiem akmeņiem, viņi dažreiz saduŗ arī kājas. Tādā gadījumā mongoļi ar siksniņām piešuv ādas ielāpus zem viņu platajām pekām.
Vienam no mūsu kamieļiem bija liels augons uz muguras. Vairāk reizes tiku redzējis, ka nebēdīgās tuksneša vārnas viņam bruka virsū knābt vājo vietu. Apstāties un nodzenāt"
1283619,"64
un pāriet uz citu ganību.
Mongoļi tur kamieļus, zirgus, govis, kazas, aitas un jakus jeb sarlikus. Pēdējie ir savāda govu suga ar kuplu un gaŗu spalvu jeb vilnu. Viņu aste atgādina zirga asti un gaŗā vilna ir vispār rumpjam nokārusies kā mati. Bļaut viņi nebļauj, bet ŗūc līdzīgi lāčiem. Kādi gadi priekš mūsu braukšanas Mongolijā bija plosījies lopu mēris, kur daudz apgabalos jaki bija galīgi iznīkuši.
Kā vispārīgi klejotāju ganu tautas, tā arī mongoļi netaisa saviem lopiem ne kūts, ne laidara, nepļauj zāles, nekaltē siena un negādā nekādas ziemas barības. Pat ziemā lopi paši meklē barībai nokaltušo zāli zem sniega. Pats par sevi ir saprotams, ka pie tādas kārtības nevar turēt ne cūku, ne mājas putnu, ne arī kaķu."
