File-ID,Transcribed Text
1293964,"Menedzera Bigwooda ģimeni lai Royal Theatr'ī noskatītos pantimine ""Cinderella"" ŠĪ teatra līdzīpašnieks ir Pamellas tēvs un viņa pati galvenās lomas - Sinderellas tēlotājā. Nebiju viņas redzējis turpat veselu gadu. Jāatzīstās ka viņa izskatījās tiešām skaista gan pelnrušķītes, gan princeses drēbēs. Uzmeklēju Pamellas māti un viņa mani aizveda turp. Meitene bij tiešām pārsteigta, ar priecīgu  ""hallo"" saucienu skrēja man klāt un, man par lielu pārsteigumu, pieliecās lai noskūpstītu viņas vaigu. Pārmijām tikai dažus vārdus, jo viņa steidzās lai pārģerbtos tālākam tēlojumam. Saņēmu uzacināju atbraukt vēl un rakstīt. Domāju, bet nesapratu šo dīvaino Pamelas rīcību. Bet lainu kā, nekas sevišks jau tur nav.
Trešdien, 26. janv.
Laiks steidzas un janvaris jau iet uz beigām. Strādāju nometnes birojā, kur klājas pavisam labi. Tas tādēļ ka atgadījās atkal nepatikšanas ar kreisās rokas elkoni. Bij jābrauc arstēties uz Kenterberijas slimnīcu"
1293969,"Savādāks kā citas bij pēdējais sestdienas vakars un svētdiena kopā ar meitenēm. Albertam tā varēja būt pēdējā reize kopā ar mums, (un tā arī iznāca) kas likās tik neticami. Vārdos tas netika daudz minēts, bet to jutām mēs visi. Gribēdams pakaitināt Dzidriņu, stāstīju viņai, ka arī man jābrauc projām. Nebiju domājis, ka tas tā satrauks mazo meiteni. Lielas asaru lāses viņai ritēja pa vaigiem un visu viņa tik nelaimīga, ka nespēju to ilgāk kaitināt un pasacīju ka tikai jokoju. Nožuva asaras un cik bijusi nelaimīga tik laimīga šķita mazā, mīļā zeltmatīte. Cik savāda bija šī svētdiena. Viena no tām nedaudzajām, kad neatdevamies kaistībām, bet jutamies laimīgāki, kā jebkad citreiz. Un atkal asaru pilnas bij meitenes acis, kad negaidot viņa man atzinās, ka Hilda nav viņas māsa, un arī to ko zināju jau sen - Dzidriņa ir precējusies. Par pēdējo viņa runāja ar lielu rūgtumu un nožēlu, lūgdama nekad to nepieminēt. Nešaubos ka patiesi un izjusti bij meitenes vārdi, kad viņa vairākkart teica mani mīlot ar katru dienu vairāk un lūdza piedot abūs izsūdzētos grēkus. Cik labi kļuva atkal. Vēl nebijis siltums, draudzība un mīlestība bija starp mums šajās stundas, kas varbūt ievadīja j
aunu [teksts iztrūkst]"
1293956,"Meklēt, protams, viņu neskrienu. Zinu ka viņa spēlē un drīz pati atnāks atpakaļ. Tomēr manī gruzd neliela greizsirdība un nevaru atrast mieru nekur. Manī brieda vēlēšanas nospēlēt pretīm vēl pamatīgāk, bet savaldiju sevi un nedarīju neko. Laikam tomēr mīlu šo mazo meiteni, jo citādi man viss tas būtu bijis vienaldzīgs. Pat Gaidas tuvums mani tanī vakarā nelikās viļinošs. Bet drīz jau Dzidriņa atgriezās Aizgājām uz mūsu istabiņu un apguldīju viņu savā gultā. Viņa vēl arvien bij drusciņ noreibusi un plāpāja bez stājas tik vaļsirdīgi un reizē naivi, bērniškīgi, ka smīdināja mus visus. Viņas rokas vijās man ap kaklu un lūpas čukstēja mīļus vārdus: ""Cik tagad"
1293968,"nepaklausības gadījumā ar policiju tos izmest uz ielas. Nelīdzēja arī tas un McCulrs dabuja mērot atkal ceļu uz Winghamu. Līdz ieradies bij atkal nesimpatiskais darba ministrijas pārstāvis, kas par katru cenu centās panākt savu. Tā bij īsta vārdu divkauja, kur abas puses par katru cenu centās uzvarēt. Beidzot kundziņi bij krietni nokaitināti un vēlējās tikai vienu no diviem vārdiem atbildei - ja jeb nē. Puiši brīdi apspriedās un atbilde bij - nē. Uz to puišiem piedraudēja ar policiju rītdien izmest no nometnes.
""Deprtācija"" Wingamā. 22. febr. rītā
Puišu domas sāka dalīties. Daži domāja ka jābrauc, citi vēl negribēja palaisties. Beidzot nolēma braukt, jo labi redzams bij tas, ka agri vai vēlu kungi savu panāks. Puiši vismaz godam bij pierādījuši to. ka nav [teksts nogriezts]
Saņēmu vēstuli no Pamelas. Šī raksta varen mīļi. Lūdz lai aizsūtu foto. Beigās pat viens x bij apakšā. Varbūt atbildēšu, bet visumā man šī lieta maz interesē. Arī no Elziņas vēstule. Labā meitene ir priecīga, ka beidzot saņēmusi manu vēstuli. Varu tikai apbrīnot viņas lielo uzticību, nesalaužamo ticību un lielo mīlestību, kādu viņa man dāvājusi un vienmēr vēl dāvā. Ja ļaunā vara nebūtu škīrusi mūsu ceļus, tad nešaubos, ka mēs būtu vīrs un sieva un dzīvotu laimīgu dzīve. Lūk, viss iznāca citādi un es nēsmu bijis tik stiprs, lai pārvarētu visus tos pārbaudījumus un vilinājumus, kas bijuši manā ceļā šos pēdējos gados. Nesmu bijis viņai uzticīgs un līdz ar to cienīgs viņas lielās mīlestības. Elziņa lūdz viņu saprast un neņemt ļaunā ja viņa būtu spiesta precēties, ko viņa darītu tikai nenovēršamu apstākļu spiesta. Protams, to viņai nedomāju liegt, un nevaru liegt. Ir skumji, bet man savā ziņā patīk šis viņas 
nodoms [teksts nogriezts]"
1293965,"katru otro dienu. Tas nu izbeidzies un drīz būs jāatgriežas lauku darbos. Nekas, nu jau drīz būs klāt siltākas dienas. Aiz muguras ir vēl divas sestdienu naktis un svētdienas, kuras pavadījām pie meitenēm. Citādi nekā jauna. Man liekas, un tā tas noteikti ir, ka mana un Dzidriņas mīlestība top arvien lielāka, arvien mīļāka. To varu teikt kā par sevi tā mazo meiteni. Kas gan tur izveidosies?
Pirmdien, 7. februarī
Vel arvien strādāju nometnes birojā. Taisnība, ir jau daudz labākī kā uz lauka, bet cik labprāt gan strādātu tomēr uz lauka, ja vien būtu pilnīgi vesels un spējīgs tam. Nav un nav labāki ar roku locītavām. Ja līdz šim man bij nepatikšanas tikai ar kreiso roku, tad tagad sāka sāpēt un kļuva uz dažām dienām stīva arī labā roka. Tiešām nezinu kas vainas, ārsts saka ka rematisms. Bet lai arī kā šī lieta ir pavisam nepatīkama. Izārstēšana katrā ziņā ir garlaicīga vai arī visā"
1293966,"vilnība [pilnībā] nav iespējama. Dievs zin cik ilgi man būs jāvārgst ar šīm rokām kuras no katra smagāka darba sāk sāpēt un kļūst stīvas, cik ilgi ar rokām kurām trūkst spēka un līdz ar to prieka sirdī. Kad par to domāju, tad gara stāvoklis noslīd galīgi uz nulles. Nupat pavadījām atkal vienas nedēļas beigas pie savām meitenēm, kuru istabiņu varam sākt skaitīt par savām otrajām mājām. Un atkal šis vakars nakts, diena un atkal vakars izskrēja kā viens vienīgs acumirklis. Atkal redzēju un jutu, ka starp mani un Dzidriņu ar katru reizi vairāk un vairāk rodas mīlestība, šī vārda patiesā nozīmē. Lasījam Skalbes pasakas, pārrunājām nedēļas notikumus un iespaidus. Spēlējam patafonu un pārsteidzām meitenes ar jaunām platēm, kuras mēs ar Albertu nopirkam un viņam nemanot iejaucam starp parējām platēm. Atri atnāca pusnakts un devamies gulēt. Bezgala mīļu, bezgala jauki bija tad atkal mirkļi. Mīļi, bez gala mīļi bij mūsu glāsti un tad, tad nāca mirklis, kāds nebij nācis visā šajā laikā, kamēr mēs tiekamies abi"
1293961,"Un atkal omulībā un jautrībā aizrit stundas mazajā, siltajā meiteņu istabiņā. Godājot seno laiku parašas, zīlējam likteni nākošā gadā. Palikam zem tasītēm dažādus priekšmetus, un katrs no tiem kautko zimbolizēja. Tad izvilkam katrs pa trīs no tiem. Sekoja laimes liešana, tupeles mešana un tamlīdzīgas lietas. Gadiem mijoties aizdedzinājām svecītis un novēlēdami viens otram laimes Jaunajā gadā saskandinājam vīna glāzes. Bijām noguruši un ielīdām gultiņās. Sākumā biju nodomājis šo nakti godīgi un mierīgi gulēt. Bet lūk, iznāca gluži pretējais. Gluži nemanot kritām atkal tanī saldajā grēkā... Arvien karstāk, arvien kaislīgāk, līdz, uzklausot meitenes vēlēšanos, aizgāju tik tāļu, cik tāļu vien iespējams mīlestībā aiziet.... Neganta vētra trakoja aiz loga, kad pamodamies. Meitenes nolēma darbā neiet un palika pie mums, kamēr cēlamies mēs abi ar Albertu un skrējam lai noķertu busu. Vējš bij tik negants, ka pret to tikko varēja uz priekšu kustēties. Pārbraucam, paveicam visu kas darams, lai vakarā varētu atkal braukt atpakaļ un pavadīt atkal vienu jauku vakaru, nakti un dienu."
1293955,"Dejoju pēc kārtas ar daudzām meitenēm līdz apklūst muzīka. Atejot atpakaļ pie galdiem, redzu, ka tur jautrība, labaki sakot ālēšanās, pieņēmusies sparā. Man tur vairs nepavisam nepatīk un tā sāku klīst gan šur, gan tur. Atkal fotografejamies daudzas reizes. Dejoju atkal, pietam vairākkart ar Dzidriņu. Mūsu attiecības labas, bet tad izdaru kļūdu, jo runājot par Gaidu, pasaku, ka man viņa tīri labi patīk. Meitene gan izliekas vienaldzīga, bet, kā vēlāk pati atzinās, sevī esot vārījusies par šo manu teicienu. Viņa sāk no manis vairīties, skraida apkārt un fotogrāfejas ar daudziem nometnes puišiem. Beidzot ar fotogrāfu Odiņu uz laiku pat pazūd no zāles."
1293960,"1949. gada 3. janvārī.
Pats sākums kādam jaunam gadam. Daudz pārdomu, minējumu, cerību, kas visas sakarā ar nupat atnākušo gadu. Bet kautko uzminēt nav nemaz tik viegli. Pietam to jau stāstīs nākošās lapas. Atgriezīšos pie šīsdienas. Vispirms katra gada sākums saistīts ar vecgada vakaru. To iesākam visi kopā mūsu mazajā istabiņā. Aizdedzinājam svecītes mūsu svētku eglītei un visi kopīgi saskandinājam glazes, vēlot viens otram visu labu jaunājā gadā. Tālak mūsu ceļi šķīrās. Janka (Dzilniņš) palika mājā, parējie uz balli, bet mēs ar Albertu dodamies pie meitenēm."
1293959,"tik neaizmirsti pie manis attrauks notikumi un redzējumi, kas risinājušies tanī pavasarī, vasarā, rudenī un ziemā, kad dzīvoju vienu no savas dzīves jaukākiem gadiem. No gadiem, kad sāpes smeldz divkārt sapīgāk un priekus jūt trīskārt izjustāk. Nu aizgājis viņš? Ja, aizgājis, bet tomēr katkas palicis. Tās atmiņas - tik jaukas un brīnišķas, gan sāpīgas. Tās paliks uz visiem laikiem.
Elziņ, Tu meiten ar brīnisķo dvēseli un labo sirdi, vēlu Tev visu, kas man šķiet labs, svēts un dārgs, Tavā 24. dzimšanas dienā.
***"
