File-ID,Transcribed Text
1306983,"Skolotāji Laugaļi, Mezīši,
Selicki, Antmane. Sāka arī apkalpotājas prasīt pusdienas nest uz mājām. Kādu
jau katrs trauku atnesa, tāds man jāpielej, porcijas man nebija zināmas.
Gadījās, ka atnes 3
 litru kannu. Tad jau vajadzēja daudz vārīt, lai pietiktu. Tad
beidzot direktore Spakovska aizliedza mājās nešanu. Kad man jau rudenī palika
55 gadi, pavasarī prasīju pensiju. Direktore kategoriski atteica, nav ko vietā
likt. Skolotājs Zvaigzne man daudz palīdzēja. Rakstīja lūgumus un nokārtoja
pensijas pieprasīšanu. Tad es sāku pati runāt apkalpotājai Intai Sarkanei, lai
paliek manā vietā. Mācīju viņai visu kā strādāt, tā arī viņa piekrita. Tad arī
mani atbrīvoja no katorgas darba. Intai iedeva palīgu, strādāja katra savu
dienu. Intai tikai pēc 3 gadiem notika nelaime, kad veļas mašīna viņu nosita,
kuru bija iznesusi laukā. 7. jūnijā bija Intas bēres. Tanī pat dienā bija
Mildas mammai bēres, tāpēc es uz Intas bērēm netiku. Dienu iepriekš aizbraucu,
aizvedu puķes un atvadījos, jo tās bija tik neparedzētas bēres. Arī Mildas
mammas bēres bija tik negaidītas, pusmūžs tik nodzīvots. No nelaimīga kritiena
jāatstāj šī dzīve, tikai ārstu vainas pēc. Jo maz uzmanības tiek veltīts
slimniekiem, jo mira slimnīcā. Pēc bērēm bija jāved mazmeitiņa Inga uz
Kalnienu. Es jau tad biju Kalnienā un sākās mana bērnu auklēšana. Arī
saimniecība bija jākopj. Govs, cūka un vistas. Lai varētu izdzīvot, kaut ko jau
vajadzēja darīt un gādāt. Gāju uz Ludzu situ ogās: avenēs, mellenēs, brūklenēs
un sēnēs. Vienreiz biju ceļus samainījusi, vakars jau klāt, gāju uz mājām.
Pagriezusies pa Ludzezera ceļu, tad jau pazinu, kur atrodos."
1306982,"Palīgu virtuvē nedeva, tikai
divus dežurantus pie trauku salikšanas un novākšanas. Internātā bija jādod
vakariņas un brokastis. Skolai baroja sivēnus, arī tie man bija jābaro un
jākopj. Malka bija šķūnī garas šķilas, vajadzēja griezt īsāku un skaldīt, lai
varētu plītā ielikt. Apkalpotājas grieza tikai priekš krāsnīm, bet man bija
jāiet sakarsušai virtuvei griezt malku. Daudzreiz arī ūdens jānes no akas, ja
sūknis sabojājās. Pati vēl baroju govi, sivēnu un vistas. Pa svētdienām
pavasarī gāju Pededzes malā sagriezu malku, ko kurināt ziemā, ņēmu no kolhoza
zirgu, savedu mājā. Ar motorzāģi sagrieza, kad visiem grieza. Skaldītājs arī
gadījās, viens onkulītis saskaldīja un sakrāva. Pavasarī bija jāstāda un jāsēj
skolas dārzi: kartupeļi, kāposti, gurķi un visas saknes, lai pietiek visai
ziemai. Ķirši, upenes, jāņogas bija jālasa un jāvāra. Gurķus skābēju mucās.
Kāpostus lielos kubulos. Pietika arī visai ziemai. Ābolu skolai bija daudz, tos
rudenī bērni novāca. Kartupeļus lasīja ar talku un traktoru. Meža ogas bija
jāiet lasīt, mellenes lasīja bērni un skolotāji, es tikai tīrīju, vārīju un
lēju pudelēs ziemā priekš kompota. Brūklenes salasīja bērni vēl negatavas bija
jātīra un jāvāra. Pēc dzērvenēm brauca uz Balvu purviem ar autobusu. Tā bija
jāgādā viss, lai pietiktu visai ziemai. Veikalā pirka maizi, cukuru, garšvielas.
No kolhoza pienu un gaļu pēc vajadzības, aukstā laikā pa puscūkai atveda, man
bija jācērt un jāsadala, cik un kādu vārīt un cept. Kopgalda vadītājs tikai
nosvēra un pierakstīja. Sestdienā bija jāmazgā virtuves halāti un dvieļi.
Cementa grīda bija virtuvē jāberž ar slotu, lai būtu tīra. Ēdāju skaits
mainījās katru gadu savādāks. Pāri simtam vienmēr bija. Vēl trauki jāpielej
tiem, kuri nesa pusdienas uz mājām."
1306984,"Kalnienas skolā tiku strādājusi
drusciņ virtuvē kādus mēnešus pavasarī. Vasarā par apkalpotāju no 1970. g. 1.aprīļa
līdz 1970. g. 30. novembrim. 1970. gada 17. aprīlī dzima Dacīte. Tad jau pa
ziemu man bija jārūpējas par bērniem. Arī par govi un ruksi no rītiem un
vakaros. Kaimiņiem Ziediņiem Ilzīte bija dzimusi 1969. gadā. Tad, ka paaugās,
bija trīs meitas – Inga, Ilze, Dace. Vēl reizēm pa stundu laiku atnesa Kozuļu
Daigu un ielika sētiņā. Bija tik jāapmaina autiņi un jāpabaro pusdienās. Ranku
Aivi vienu pašu atstāja dzīvoklī gultiņā. Bija tikai jāiet apskatīt un
jāapmaina autiņi, jo pamperu vēl toreiz nebija. Tā auga bērni Kalnienā, jo
bērnudārza vēl nebija."
1306981,"Pēdējo gadu mācoties Pleskavā, bija kāzas Jānim un Mildai. Sarakstījās Pleskavā, kāzas bija Litenē skolas internātā. Paņēmu saimnieci, kas sataisītu ēdienus, jo es tā biju nogurusi darbā, ka nespēju neko domāt. Reizēm likās, ka vairs prāta nav, vajadzēja tikai atpūsties. Tad arī palika labāk, otrā dienā aizgāju dzīvoklī, iekritu gultā un biju aizmigusi. Kāzām visi produkti bija jāsagādā. Kāvu ruksi un vistas, pa vakariem un naktī pienāca strādāt. Darba mani neviens nevarēja atvietot. Cik to kāzinieku sanāks, nebija skaidri zināms. Beidzot viss nokārtojās, kāzinieki aizbrauca svētdienas pēcpusdienā. Tad vēl bija jāizvāc viss no internāta un jāsaliek bērnu mēbeles vietā. Saimniece arī nogurusi aizgāja mājās. Labi, ka Zenta palīdzēja, jo viņa bija internāta apkalpotāja. Pēc gada dzima mazmeita Inga, braucām raugos uz Pleskavu. Tad es pirmo reizi redzēju Pleskavu. Kad jau drusciņ, varbūt kādu mēnesi paaugusies, tad atveda uz Balviem pie vecmammas. Paši vēl mācījās. Jānis arī strādāja rūpnīcā. Man sākās braukšana uz Balviem katru sestdienu. Govs bija jāpārdod pirms pensijā iešanas, jāatsakās no visas saimniecības un sotkas. Citādi nekāda pensija nesanāktu. Sibīrijas gadus strādātus kolhozā, pie algota darba nepieskaitīja. Sanāca tikai 12 gadi Litenē strādāti. Milda sāka strādāt Kalnienā par skolotāju. Jānis braukāja uz Gulbeni rūpnīcā Straume. Kad jau piešķīra pensiju, aizgāju uz Kalnienu par bērnu aukli. Saņēmu 26 rubļus."
1306968,"Visi radi un kaimiņi bija priecīgi un nāca raudzībās. Tikai es nekur vairs negāju, man bija palikšana mājā, jāaudzina dēls. Manu draudzeni Elfrīdu bija ieskatījies Lesnieku Jānis, kamēr Vilis dienestā. Kāzu nerīkoja, tikai sarakstījās ar lieciniekiem. Par kāzu naudu sapirka mēbeles, aizgāja dzīvot uz Veršām. Gadu pēc kāzām dzima dēls. Vilis nevarēja izlemt, pie kuras palikt, divas māsīcas Gaigaļos – Aina un Gaida. Vienreiz man prasīja, kuru man ņemt, es atbildēju, tas tev pašam jāizlemj. Aina bija šiverīgāka un runīgāka, aicināja Vili iegātņos un Vilis bija viegli pierunājams. Drīz bija kāzas vasarā un Vilis aizgāja dzīvot pie Ainas. Kadilās palika mamma ar tēvu, jo Artūrs dienēja armijā, Rasma vēl mācījās vidusskolā. 1940. gada februārī nomira tēvs, palika mamma viena. Artūrs bij pieteicies uz virsdienestu par mantzini. Rasmai arī bija gadījies draugs Lapsiņu Jānis, kuram bija sava māja un ēdnīca. Bieži tik palika Alūksnē, nebrauca mājā, jo vajadzēja, kas ēdnīcā strādā. Drīz arī sarakstījās, kad bija jau 19 gadi. 1935. gadā arī Rasmai dēls dzima pēc pāris gadiem, meita bija man krustmeita. Kurā gadā bija tas Alūksnes ugunsgrēks, tad viņiem māja nodega. Uzcēla jaunu un drīz dzīvoja jaunā mājā. Nomira Jānis Lapsītis, palika Rasma ar bērniem. Sāka strādāt Alūksnes bankā, tur iepazinās ar bankas direktoru, salaulājās Zeltiņu baznīcā. Jānis Kalniņš bij ap 40 gadiem. Kara laikā aizbrauca uz Vāciju. Pēc pieciem gadiem uz Ameriku, Rasma braukusi tikai ar bērniem, Kalniņš nebraucis līdz, jo nemācējis angļu valodu. Kad meita Edīte izaugusi, tad tēvu izsaukuši uz Ameriku. Apglabāts Amerikā. Rasma vēl dzīvo Floridā, bērni katrs savā malā."
1306962,"Herta Egle, dz. Svots, Augusta meita 1913. gada 23.novembrī Annas pagasta „Kadilās” Mārtiņdienā, kad čigāni sanākuši mājā, jo toreiz vēl uz slimnīcu neveda vai arī slimnīcas nebija. Divi brāļi bijuši miruši ar difterītu. Vēl bij brālis Vilis vecāks par mani un māsa Rasma visjaunākā, Artūrs vidējais mira ar tīfu 1941. gadā ar tīfu Valmieras slimnīcā. Strādāja 7. Siguldas kājnieku pulkā par mantzini. 22 gadi 2. maijā savā dzimšanas dienā, 15.maijā bēru diena. Par kalpiem strādāja Kadilās Eglīts Elmārs un sieva Emma, abi nomira ar tīfu, reizē apglabāja. Mamma saslima ar vēdera sāpēm un caureju, aizveda uz Alūksnes slimnīcu un ārstēja par audzēju. Gulēja palātā kopā ar citiem slimniekiem un visi tikām braukuši pie mammas, atveda mājās, nav ārstējama. Pēc nedēļas mamma sāka celties un staigāt, palika vesela. Vēl 1949. gadā uz Sibīriju aizveda, tad neļāva potēt, ka viņa ir tīfu izgulējusi, tāpēc ceļā nomira, jo potēja pret dizentēriju.
Mana bērnība pagāja piedaloties visos darbos. No 5 gadu vecuma slaucu govi Paipalu, kuru bija viegli slaukt, gariem pupiem, mīksta, piens tecēja, ja ilgāk nokavēja slaukšanu. Tādas govs manā mūžā vairāk nav bijis. Sākās arī ganu gaitas, pirmās bija cūkas. Ganījām divatā, mani tikai norīkoja stāvēt priekšā, lai mājā netiek. Govju ganīšana sākās no 8 gadiem. Tad arī divatā, es biju tikai palīgs un vēl divi suņi Dolijs un Ledija. Brīnišķīgi suņi, vajadzēja tikai norīkot. Govis labībā iet nedrīkstēja, viņi jau stāvēja priekšā, gaidīja tikai rīkojumu."
1306980,"Pa vasaru bija vēl algots gans un lopkopēja Biruta no Balviem. Tad jau bijām daudz cilvēku. Zemes darbi arī tika laikā padarīti, visi ar talku. Arī no invalīdiem kādi nāca palīgā. Kulšanas talkā man bija jāvāra talciniekiem pusdienas. Pēc gada Jānis beidza Jaungulbenes skolu. Rudenī bija iesaukums armijā. Nokāvu kazlēnu uz atvadām, braucu līdz Gulbenei pavadīt. Drīz saņēmu vēstuli no māsas Rasmas un paciņu ar drēbēm. Kā viņa mani sameklēja vai es pirmā aizrakstīju, vairs neatceros. Jānim uzvalka drēbe ar visiem piederumiem, dzija priekš džempera un silts mētelis. Jānim bija dienests tālajos ziemeļos Murmanskā. Tiku sūtījusi paciņas un naudu, lai izdzīvotu. Trīs gadi bija jādien armijā. Ar māsiņu varēju sarakstīties tikai ar vēstulēm. Mainījās direktori invalīdu namā. Arī manu darbu vajadzēja kādam. Saslima un nobeidzās krietni sivēni, taisīja arī sekciju. Nekā jau nevarēja pateikt, bet es jau sapratu, ka man ir jāmeklē citur dzīvošana. Sāku strādāt Litenes slimnīcā par kurinātāju. Saslimu ar temperatūru, divas nedēļas nogulēju. Tad vajadzēja veļas mazgātājas. Sāku mazgāt veļu. Jānis nāca no dienesta rudenī, tad bija jāatbrīvo dzīvoklis pavasarī. Aizgājām pie Kursīšu mātes, viena pati dzīvoja, mums iedeva lielu istabu. Arī gotiņa bija slaucama, pienu sūtīju uz pienotavu. Jānis strādāja kolhoza būvbrigādē. Rudenī likvidēja slimnīcu, biju arī slimnīcā atvietojusi saimnieci. Tad skolotājs Selickis ieteica iet uz skolu strādāt, jo vajadzēja saimnieces virtuvē. Bija dzīvoklis, kūtiņa govij un darbs. Jānis aizgāja mācīties rudenī uz Pleskavu, Industrālo  tehnikumu. Stipendiju maksāja, kad atbrauca mājā, arī naudu iedeva un ēdienu līdz. Tā piecus gadus mācījās Pleskavā. Es septiņus gadus strādāju skolā."
1306975,"slimnīcā, bij jau gandrīz tuberkuloze. Kaut kas stāstīja, ka jādzer terpentīns. Nopirku pudeli terpentīna un dzēru no sākuma pa pilieniem pie ūdens, pēc tam pa karotei. Tā arī pavasaris bija klāt, kad nāca tā nelaimīgā diena 25. marts. Vakarā jau Hleminsku māte man teica, ka rītā būs cilvēku aresti. Rītā agri jau es biju saģērbusies, kad sita pie durvīm. Atlika tikai kraut mantas, ko ņemt līdzi, ko atstāt. Liku drēbes, Mieriņu Paulīnes skapī. Dzija tika savērpta, palika uz skapja augšas. Mēbeles un palikušās mantas pierakstīja, Reiters bij pie mūsu promvešanas norīkots no pagasta. Cik varēja panest pauniņās, tik arī tika no visa  ielikts ragavās. Līdz Annas muižai bij jāaizved, tad jāpārkrauj mašīnā. No mašīnas Gulbenē vagonā. Prom uz tālo nezināmo Sibīriju.               
Gulbenē vagonā bija gulēšana divas dienas lopu vagonos kā cūkas vai govis uz salmiem. Kad visi bija savākti, tad sāka vilciens kustēties. Kaut kādu zupu jau dalīja pa ceļam stacijās, kur pieturēja, lai gluži garu neizlaistu. Spainis arī bija priekš iziešanas ar deķi priekšā. Laukā no vagona sāka izlaist, kad jau bijā tālu Krievijā, tad visas vajadzības notika zem vagoniem. Galvenā pietura bija Tomskā, vajadzēja visas mantas no vagona sanest vienā laukumā ar sētu un pašiem gulēšana barakā uz lāvām un salmiem. Tur jau bija gūstekņi vai notiesātie gulējuši, sākās utis un slimības. Potēja visus pret dizentēriju. Mamma neļāva potēt, ka viņa ir izgulējusi. Viņa bij gulējusi tīfu. Tā arī drīz saslima un ceļā mira. Divas nedēļas dzīvojām barakā un gaidījām, kad upe atbrīvosies no ledus. Tad lādēja kuģī līdz Parabellai. No kuģa vēl baržā pa upi līdz Staricai."
1306971,"Tālāk no lielceļa. Saimniece
viena pati dzīvoja un bija ļoti izpalīdzīga. Atļāva mums ganīt lopus pļavā, kur
bija upīte ar ūdeni dzirdināšanai. Varējām redzēt lielo ceļu, kur dzina lielus
lopu barus vācieši. Nodzīvojām tur divas nedēļas, bet fronte tuvojās un braucām
tālāk. Pie Valmieras mani radi izdomāja braukt kādā nomalē, kur varētu palikt
un nogriezās pa mazāku ceļu un dzīvo vēl šodien, jo mājas bija nodedzinātas,
nebija kur atgriezties. Mēs vēl braucām, sāka nākt lidmašīnas, bērniem bail,
lec no ratiem grāvī. Tad nogriezāmies vienās mājās, kur bija šķūnis un palikām
uz vietas. Tad arī krievu karaspēks mūsus atrada pa nakti pagrabā. Zirgi un
lopi bija šķūnī, ēdiens no ratiem bija paņemts, gaļa un medus, lika tikai
braukt mājās. Un tā pagāja trīs dienas, kamēr tikām Triseniekos. Vēl Lizumā un
Beļavā gulējām pa nakti. Mūsu māja un Arāju māja bija nenodedzinātas. Krēsliņu,
Lapiņu, Pelnīšu bija nodegušas. Tad nu vajadzēja dot pajumti arī kaimiņiem.
Krēsliņi apmetās mūsu vecajā mājā pie rijas. Sāka pirmo būvēt kūti, lai ir pa
ziemu kur lopus likt. Saslima mana vīra māte. Nekādu zāļu un ārstu nebija.
Lauki bija vēl nenovākti, pļāvām labību, lasījām kartupeļus. Mēbeles no istabas
iznestas un sabūvētas tranšejās. Kamēr visu savācām, rudens bija klāt. Lapiņi
būvēja māju un dzīvoja pa ziemu mūsu lielajā istabā, mēs paši - mazajā. Harija
māte Kristīne nomira, oktobrī bija bēres. Duki aizbrauca uz Liteni darbā,
Sergeju aicināja par diriģentu kori vadīt, Liliju par bibliotekāri un režisori."
1306973,"Otrā dienā bija rīkojums vest uz sekciju Alūksnē. Atsūtīja šķūtnieku ar īsiem ratiem, kājas nevarēja ratos ielikt. Jūdzu savu zirgu un braucu līdz, jo ratos jau bij gulējis pa nakti. Alūksnē bija pavēle vest uz Valku uz sekciju. Lūdzos, lai nesūta uz Valku, bet tas nebij ņemams vērā, pavēle bija jāved uz Valku. Braucu šķūtniekam līdz. Pagāja 2 dienas un 1 nakts ceļā. Sekcija nekāda nenotika, tikai apskatīja un atļāva vest mājā. Alūksnē nopirku zārku un vedu mājā. Šķūtnieks Žīguru tēvs no Kauļiem arī visu laiku brauca man līdz Annas pagasta mājai. Biju apmierināta, ka varēšu apglabāt Ezeriņu kapos un uzlikt puķes. Bēres bija 15. maijā, tieši Harija dzimšanas dienā, palika 33 gadi. Tikai 10 gadus bijā kopā nodzīvojuši. Dēlam Jānim palika 18. maijā 7 gadi. Rudenī sāka iet skolā. Pēdējais novēlējums prom ejot bija – audzini dēlu. Tad nu arī tas bija mans galvenais pienākums dzīvē. Kaut gan tā dzīve nebija tik ideāla, lai varētu audzināt pēc sava prāta. Sākās komunisma laikmets. Karš ar Vāciju beidzās. Lielo saimnieku zemes sadalīja jaunsaimniekiem. Man no 60 ha atstāja 15 ha. Tas priekš manis bij ļoti labi, jo es biju viena. Kadilās bij divi jaunsaimnieki, katram pa 15 ha, mammai atstāja tikai 5 ha. Likām zirgus kopā, to zemi varējām apstrādāt. Cik bij, tik arī pietika, jo arī nodevu vajadzēja nodot. Bija siens jānodod, graudi un gaļa. Par gaļas normas nepildīšanu Johansons mani iesūdzēja tiesā. Nebij nekāda brīdinājuma, tikai pavēste ierasties tiesā. Telīte bija domāta vest, darbu pēc vēl nebija laika aizvest."
