File-ID,Transcribed Text
1308024,"15.
Es pacēlu acis un redzēju uz mums plūstot sidrabaino straumi. Lūk viņa sasniedz mūs un nes mūs uz leju. (Valgais) Ūdens mīkstiem viļņiem vijās ap mani, plivināja sajauktos matus. Man bija tik labi, tik patīkami! un tajā pašā mirklī es zināju, cik nepareizi - esmu darījuse, cik necienīgi biju novērsusēs  no patiesības likumiem (ka nekad nemelošu, ka esmu patiesības kalpone)."
1308008,", mūs sauca pie tējas, kura tika dota skolas telpās, stacijas tuvumā. Deva tēju, cukuru, baltmaizi, pat pienu.
   Arī mēs nospriedām palikt Tverā, jo te tie kungi teica varēšot atrast darbu ir es, ir Rūdolfs. Palikām. Pa nakti pārgulējām skolas telpās un no rīta mūs veda projām uz zaldātu kazarmēm aiz Volgas. Kazarmēs pa nārām vārtījāmies kādu mēnesi apmēram. Rūdolfs dabūja darbu drīz, dažas dienas pēc atbraukšanas drukātavā, bet man tā laime tāda nebija vēlēta.
Solīja gan tie kungi man visu labu, bet  nekas neiznāca. Pats pilsētas tēvs Dolgovs ņēmās man gādāt darbu. Otrā dienā pat atbrauca man ar savu zirgu pakaļ un es tā smuki un slaiki viņa pajūgā ar viņu aizbraucām uz vienu veikalu, bet tur es iestāties aiz dažādiem iemesliem nevarēju un tā tas palika. Tomēr Dolgovs mazliet rūpējās par mani. Viņš bija izdevis vienai dāmai uzmeklēt man brīvu dzīvokli, lai nebūtu jāvārtās par kazarmēm. Tajā laikā vajadzēja arī iet projām no kazarmēm, jo zaldāti nāca mājās no lēģeriem. Visus bēgļus vadāja atkal - citu šur, citu tur. Man bija arī apnicis pa tām kazarmēm vārtīties, un tādēļ es noņēmos, kaut vaj viena pati, braukt uz to dzīvokli, ko man piesolīja. Aizbraucu ar. Istabiņa bij maziņa, bet diezgan glīta. Dzīvoju tur labi. Mamma ar Rūdolfu un Voldi aizveda un ievietoja"
1308021,"10.
purva dūņās... Vaj redzi, kā viņi mirdz?.. Pa vienam vien viņi man izrāva viņus no sirds - un laiku pa laikam nāk ārā no purva dzelmēm purva gars - ļauns, šausmīgs, riebīgs - un velnišķīgi smiedamies, nošļāksta mani ar savām riebīgajām siekalām - nāvīgi indi (gifti), - un mirdzošās pērles pa vienai vien nones purva dziļumos, kur viņas ir padotas iznīcībai. Šīs pērles ir vienīgais gaišums manā tumsībā; un ja tās visas jau būs projām, ja šausmīgais, riebīgais gars mani būs pavisam nošļakstījis ar savām nāvīgajām siekalām, ja nekā vairs nebūs tīra un neaizskarta, un katris gaismas stars būs dzisis - tad es būšu mūžīgi pazudis un nogrimšu šajā purvā (bez vēsts).""
   Cilvēks krampjaini sažņaudza
11.
rokas un pār viņa lūpām atkal izlauzās sāpīgi vaidi. Pēc mirkļa viņš atkal pacēla uz mani acis un turpināja: ""Tā tad tagad tu zini kas ar mani notiks, bet man tev vēl kas jāsaka. - Tu, es redzu, esi man no Dieva sūtīta, lai glābtu kaut vienu dārgumu no iznīcības."" Un pie tam viņš atvēra roku, kurā atradās savādi mirdzošs dārgakmens. ""Nezini to,"" viņš sacīja ""tas ir tīrs un neaizskarts, nesamīdīts, tas ir talismans ar lielu spēku, nēsā viņu pie sevis. Tevi es mīlēju vairāk par visu, pat vairāk par šo dārgumu, un tādēļ arī atdodu viņu tev, jo tu esi viņa vērta. Ar šī talismana palīdzību, man bija teikts, es tikšot pestīts no katras nelaimes, tikšu sargāts no visuļaunākā, bet tagad es vairs neticu savai pestīšanai; es esmu pazudis. - Ņem talismanu.""
Es stāvēju kā apburta, nesaprašanā, kas"
1308027,"31. Uz karstiem ķieģeļiem - Ed. Treimaņa sakop.
32. Uz mūsu zemes - K. Jakobsona dzejas.
33. Zvārguļa zobgaļa kalendārs 1911. g.
34. ''           ''           '' 1912. g.
35. Māju kalendārs 1904. g.
36. Raksti par glezniecību - J. Asara kop. r. I un II burnīca.
37. Higiēna - Dr. P. Strautzeļa.
38. Kā darināta un kā darbojas mūsu miesa. - Vāgnera.
39. Mācība par dzīvību - Lunkeviča.
40. Norvēģija. - Tullijs.
41. Gaiss - Fr. Adamovičs.
42. Ievads tautsaimniecībā - Arom Madibs.
43. Komētas - Vilhelms Bölše.
44. Potks - Viktora Eglīša kritika.
45. Сочинения Н. В. Гоголя
.
46. Сочинения
 А. С. Пушкина
.
47. Сочинения
 М. Ю. Лермонтова
.
48. Сочинения
 В. А. Неуковскало
."
1308011,"tiekot daudz palīdzēts, ka izdošanās nemaz nebūšot tik pārāk lielas. Es sāku palikt domīga, kaut nemaz neklausījos, jo neturēju to par iespējamu. Biju atmetuse katru cerību uz iespēju nobeigt ģimnāziju tādos apstākļos. Tomēr, beigu beigās, domāju iet palūkot, mazākais lai apmierinātu mammu, jo pate neticēju, ka būs kādi panākumi. 
   Aizgāju uz ģimnāziju vienu - no turienes mani nosūtīja uz otru, jo tajā teica neesot brīvu vietu. Aizgāju uz otru Marijas ģimnāziju - un kas par brīnumiem - mani pieņem septītā klasē ar ne visai grūtiem pārbaudījumiem, kaut gan jau bija novembra mēnesis. Es iestājos ar uz labu laimi. Skolas nauda jāmaksā bija par visu pirmo pusgadu. Naudas man nebija bet es saņēmu ""dūšu"" un aizgāju uz latviešu komiteju ""Dzimtene""; izlūdzu man aizmaksāt skolas naudu par pirmo pusgadu, ko viņa arī tūliņ bez vārda runas darīja, un es tā atrados atkal uz ģimnāzijas sola, kad biju gandrīz divus mēnešus nostrādājuse apgabaltiesā. 
   Viss gāja uz priekšu diezgan labi; pienācu visu nokavēto, un pavasarī izturēju diezgan labi visus pārbaudījumus. Varbūt netik labi man būtu gājis, ja es nebūtu ietikusi skolnieču kopdzīvoklī, kur viss tiek"
1308018,"4.
""Bet kas tu esi un kur tu atrodies? - es neredzu tevi - man apkārt ir melna tumsa.""
   ""Tu mani nepazīsti? Tu nepazīsti manu balsi? - ja, kā lai Tu mani pazītu: es neesmu vairs tas, kas es biju, arī balss nav vairs tā. Nāc tuvāku, nāc, nāc! Tu redzēsi mani.""
Es paspēru dažus soļus uz priekšu. Pamats zem kājām kļuva cietāks. Piepeši manā priekšā atvērās tumšs priekškars, un uz mani atplūda spilgta gaismas strāva. Kad acis bija apradušas ar gaismu, es skatījos aiz priekškara un (redzēju) ieraudzīju (savā priekšā) cilvēku, kas sēdēja uz veca, satrūdējuša celma un, rokas aizlicis sejai priekšā, raudāja. Viņam (II) mugurā (I) bija rupjš, pelēks uzvalks, kurš bija pārāk stipri
5.
uzvalkots, satraumējis, noplēsis... Viņa ķermenis bija noliesējis un izkaltis. Viss viņš trīcēja un raustījās no elsām,... pār lūpām plūda smagi, sāpīgi vaidi... Ap viņu atradās uz zemes izsvaidīti mirdzoši dārgakmeņi, kuri izstaroja spilgto gaismu. Cilvēks atņēma rokas no sejas (ģīmja) un pacēla galvu - un tagad es (II) viņā (I) pazinu to cilvēku, kuru es reiz satiku uz krustceļiem... Viņš bija toreiz skaists un cēls (visa viņa būtne izdvesa spēku, drosmi un izturību).
Viņam bija gaiša, stalta piere, mīkstas, viļņainas matu cirtas un mirdzošas, domīgas acis; bet sirdī tas nesa dārgakmeņus, kādi reti sastopami... Droši un cēli tas raudzījās uz priekšu tālē, droši un cēli"
1308023,"14.
Bet es nevarēju iet, nevarēju viņam sekot. Mani pārņēma nepārvarams nogurums; es jutu ka es kūstu zem mūžīgās gaismas varenā iespaida, jutu ka saplaku zem patiesības gaišā, caururbjošā skata. Un ar bailēm es redzēju, ka tas pats notika arī ar manu ceļa biedri. Abi mēs nespēkā gulējām uz mitrās rasainās zāles. Tad sieviete atstāja savu vietu un tuvojās mums. Pienākuse tuvu, viņa pacēla pār mums roku un teica: ""Jūs neesat diezgan cienīgi šīs ielejas iemītnieki, jo jūsos nav diezgan ticības un patiesības. Kādēļ jūs neticējāt talismana spēkam?- Un tu, kādēļ tu gribēji aizskart saindēto cilvēku, iepriekš nesacījuse savu nodomu?"" ""Es mīlēju viņu, un tādēļ..."" ""Mīlestība nedrīkst nest sev līdz kaut mazāko vietu, viņas vārdā tu nedrīkstēji to darīt."" viņa izsaucās, ""un par to jums būs jāizcieš zināms sods, lai dzēstu savu pārkāpumu (jūsu noziegumu)."" Viņa aizgāja."
1308019,"6.
turpināja uzsākto ceļu, kaut gan tas bija grumbuļains un akmeņains. Akmeņi graizīja viņa kājas, ērkšķi plosīja viņa miesas, bet viņš to neievēroja: viņam bija viens vienīgs mērķis un vēlēšanās. - (tas bija) sasniegt saulaino ieleju, lai tur kaut tik brīdi justu saules kvēlošos glāstus, baudītu kaut vienu malku no spirdzinošā patiesības strauta. 
   Un es raudzījos viņš, klausījos viņa dedzīgajās runās, apbrīnoju viņu, un mīlēju, mīlēju viņu, šo cēlo, nesalīdzināmi augstāki par citiem stāvošo, vēl neredzēto, dievišķo cilvēku. Mēs gājām vienu ceļu; mums bija vieni ideāli, viens mērķis. Mana mīlestība dega, kā nedzēšamā svētā uguns un nemanot gaismoja
7.
mums tumšo ceļu. Bet reiz miglainā naktī mūsu ceļi sajuka un mēs pazaudējām viens otru. Un tagad atkal redzot viņu, šo dievišķo cilvēku, mīlestība uzliesmoja manī ar jaunu spēku. Viņš patiesi nebija vairs tas cēlais cilvēks, kas toreiz: viņa liesajā sejā bija lasāmi sāpes un nogurums, augsto, citreiz gaišo, pieri atklāja tumšas ēnas... tik vien viļņojošie, cirtainie mati bija agrākie, un acīs mirdzēja vājš stars no senās dievu uguns. Neizsakāms žēlums (un mīlestība) mani pārņēma. Es nokritu ceļos viņa priekšā un izstiepu pēc viņa rokas...
""Neaizskar, neaizskar mani!"" viņš izsaucās, ""tu nedrīksti mani aizskart, lai nesaindētos ar"
1308025,"16.
Vējam uzpūšot, viss it kā sakusa, sabiezēja par baltu mīkstu miglu, sajaucās, sagriezās nesaprotamā virpulī, un es - pamodos. Viss redzētais bija tikai sapnis, bet labi dīvains, nesaprast sapnis... 
Slokā, maijā 1912. g.
Beigas."
1308009,"kādā bijušā (viesnīcā) traktierī. Traktierī nebij daudz labāki jāguļ tagad bij netik vien uz nārām, bet taisni uz grīdas. Mammai bij tik tas labums, ka tur bija plīts un tā bij iespējams šo to izvārīt, ko kazarmēs gandrīz nemaz nevarēja. Kazarmēs dzīvojot bij jākur ugunskuri Volgas malā; pie tam malku nekur nevarēja dabūt.
   Es pa to starpu dzīvoju savā istabiņā un meklēju darbu. Bet darbs negribēja nekāds ķerties. Gan gāju uz ādu ""tiem kungiem,"" gan solīja viņi no dienas dienā, bet viss velti: ļaužu uzplūdums bija pārāk liels, un vietas visas jau bija aizņemtas. Beigu beigās dabūju darbu Apgabaltiesā pie aktu rakstīšanas, par 15 rub. algas mēnesī. Raksti nu no 9. rītā, līdz 4 pēc pusdienas par to algu. Pa to starpu atbrauca pie mums arī papus no Rīgas, jo tur viņam vairs arī nebija ne darba, ne maizes. Visus bēgļus sāka kūdīt, lai braucot uz citām pilsētām. Papum darba nebija. Solīja tur viņam dot vietu, un beigu beigās iznāca tā, ka papus ar mammu un Voldi aizbrauca uz Korčevu, Verstis 90 no Tveras, un Rūdolfs atnāca dzīvot pie manis.
   Rūdolfs pelnīja, es vēlāk mazliet, tā ka šā tā iztikt varējām. Dažreiz strīdējamies: Rūdis man negrib naudu dot, saka ka pulka iztērējot, bet es kaut gan centos knapi dzīvot, nekādi navaru iztikt, to"
1308026,"Grāmatu saraksts.
1. Pazudušais dēls - Blaumaņa.
2. Vizbuļi - Brigader Annas.
3. Stāstiņi VI.
4. Aiz šaurās dzimtenes robežām.
5. Bagāti radi - Apsīšu Jēkaba.
6. Paštautas rakstnieki I.
7. Trīs nāves. - L. Tolstoja.
8. Jēzus dzīve un mācība - L. 
K
. Tolstojs.
9. Kaukāzijas gūsteknis -
10. Pilsoņi - Andreja Upīša
11. Spiritisms.
12. Zinātne un dzīve - Žurūals 1908. g., - 2 un 3 numura sakopojums.
13. Sēta, daba, pasaule - 8. burtnīca.
14. Latvju dainas - 10 burtnīca. 
15. Dzīves attiecības - Diženajo Bernharda.
16. Lai top! - Demmerta.
17. Studijas un kritikas - A. Upīša.
18. Vilhelms Tells - Fr. Šillera. 
19. Lāčplēsis - A. Pumpura.
20. Zeibota raksti.
21. Poruka raksti, III daļa.
22. Vanem Imanta - Merkeļa.
23. Skaņas iz tālumiem - K. Sklabes.
24. Zvārguļu Eduards.
25. Grēcinieka sirds - Ed. Freimaņa (Zvārguļa) dzejas
26. Sāpēs un smaidos.
27. Pēcskaņas - 
28. Ed. Veidenbauma dzejas.
29. Uz aizlauzta zara - K. Jakobsona dzejoļi.
30. Skolas dzeja - Plūdoņa sakārtojumā."
1308012,"dots no Tatjanas komitejas, viss, kas vien vajadzīgs, sākot no ēdiena un beidzot ar drēbēm un veļu. Un ja arī dažreiz viss nav kā vajaga, jeb kā agrāki parasts, tomēr tā ir un paliek liela žēlastība un neaizmaksājams pakalpojums tiem, kas atrodas tagad komitejas gādībā, kuriem bez tās nebūtu iespējams turpināt izglītību, būtu jāpaliek, varbūt, novārtā, tālu no nodomātiem mērķiem un ideāliem. Pateicība jums, ļaudis, kas ierosināja šo labo nodomu, šo labo mērķi. Un tā 1916. gada pavasarī es iznācu no ģimnāzijas ar apliecību par septiņu klašu beigšanu, uz kuras gan zīmējās divas ""troikas"", kas priekš manis gan nebija visai patīkami pēc Rīgas ""peķorkām"", bet kas tur! nav liela bēda. Vaj nu ar tiem numuriem uz debesīm skries? - -
   Arī Rūdolfam mazliet paveicās tikt uz priekšu. Viņš šo pavasari nolika savvaļnieku eksāmenu un iestājās kara dienestā. Līdz tam viņš strādā tipogrāfijā par burtlici un bija lielā cieņā pie priekšniecības. Redzēs kāds visam tam būs panākums. Lai Dievs viņu sargā un žēlo, un, piešķir viņam visu labu!... Man šķiet, es viņu par visiem citiem vairāk mīlu... Un viņš mani dažreiz tik ļoti sarūgtināja, tik daudz sāpināja, kaut gan tam par iemeslu bija varbūt dažreiz tikai mana savādā daba - palikt klusu, ievilkties sevī, nepaskaidrot kur būtu vajadzīgs paskaidrojums utt."
1308015,"tad es sajutu, cik daudz manī lepnuma, pašmīlības, un cik viegli viņu ievainot. Zinām, es jau esmu vēl pārāk nepiedzīvojuse, pārāk maz redzējuse ļaudis un vēl mazāk viņu trūkumus, viņu aukstumu un vienaldzību pret visu. Tādēļ arī nav brīnums, ka tas viss mani ļoti aizskāra. Un pateicoties visam tam jandāliņam - mani nervi ir galīgi sabeigti, veselība stipri sašķobīta, bet - jādzīvo vien tālāk- gribot negribot.
   Aizgājušais rudenis - viņš mani noveda tik tālu, ka beigu beigās ar gandrīz ar vienkāršāko kantora darbvedi (ierēdni) nevarēju runāt bez uztraukuma, pat dusmām... Ai, dzīve, dzīve! Cik tālu viņa dažreiz noved cilvēkus plašākā nozīmē, cik raibi viņas ceļi. 
1916. g. vasarā, ""Prečistijbožā""
Beigas"
1308022,"12.
ap mani notiek. Es zināju sevi tik mazu, tik niecīgu samērā ar šo cilvēku, un tagad lai es ņemtu talismanu, kurš sargāja viņu no visu ļaunākā? Nē, to es nevarēju (darīt). Bet arī aiziet es nevarēju, jo mīlēju viņu šo cilvēku tūkstoškārt vairāk, kā agrāk - es nevarēju viņu atstāt, un tādēļ tuvojos viņam, lai pieskārtos kaut pie viņa drēbēm: es vēlējos sev to pašu likteni, ko viņš nesa. Viņš sniedza man roku ar talismanu - es satvēru to un svētā sajūsmā spiedu pie lūpām vājos izdēdējušos pirkstus... Izbailēs viņš centās atraut roku un talismans iekrita manā rokā un brīnums! - mirdzošais dārgakmens pāršķīrās un iz viņa bija mirdzošs, kristāl tīrs šķidrums. Šķidrums bija uz sēdošā cilvēka galvas, pieres, tecēja uz krūtīm... Un piepeši viss viņš pārvērtā: Izzuda sāpīgie cietēja vaibsti, acis un staroja senā mirdzumā un
13.
un piere tapa gaiša un stalta, kā senāk. Mani pārņēma neizsakāma laimes sajūta - es zināju, ka viņš bija glābts no mūžīgās pazušanas. Un piepeši pazuda šausmīgais purvs ar saviem nāves tvaikiem; - mūs ietina saules gaisma un vēsumu uzpūta vieglu, maigu.
   Atģidusies no piepešās pārmaiņas, es sāku skatīties apkārt un redzēju, ka mēs atradāmies sen kārotajā saules ielejā, mēs bijām sasnieguši savu mērķi. Mans ceļa biedris, cēls un stalts, kā agrāk, ar laimē mirdzošām acīm, rādīja uz sidrabotu straumi kalna pakājē, uz nedaudzajiem ļaudīm, kuri laimīgām, svētsvinīgām sejām tuvojās brīnišķīgajam strautam, kurš izstaroja brīnišķīgu neredzētu gaismu. Strauta malā, pret koku atspiedusēs stāvēja sieviete vienkāršā pelēkā uzvalkā. Tā bija patiesība katrā ziņā deva dzert strauta ūdeni iz sudraba biķera. Arī mēs gribējām turpu; mans biedris saņēma manu roku un veda mani uz to pusi..."
1308028,E. Buša.
1308020,"8.
to nāvīgo indi (gifti), ar kuru, es esmu saredzēts. Ar šo indi (gifti) ir piesūkušās manas drēbes, pat manas miesas. Un ja šī nāvīgā sula piedursies tev, tad arī tu būsi padota tādam pat liktenim, kā es, t. i., tev būs atņemta katra iespēja tikt ārā no šī purva, un tu lēnām grimsi viņā, mocīdamās nebeidzamās mokās. Tev vēl ir iespēja aiziet, līdz tevi vēl nav redzējis šausmīgais purva gars - tikvien neaizskar mani, neaizskar mani!""
   ""Kādēļ tu esi še, kā tu (te ietiki) nokļuvi šo ļauno garu varā?"" es jautāju.
""Tu, cēlais, dievišķais cilvēks, kāda vara tevi iegrūda šajā bezdibenī?""
""Jā, tā bija savāda, neizprotama vara, kas mani atveda še,"" - iesāka viņš. Pēc tam, kad tu man pazudi, mans ceļš tapa daudz tumšāks un grūtāks. Es saucu tevi, skatījos apkārt, vaj tevi neieraudzīšu, klīdu uz vienu un otru
9.
pusi tevi meklēdams. Man pazuda iz redzes mans gaišais mērķis - es nezināju uz kuru pusi iet. Piepeši tālumā es ieraudzīju vāju gaismu, līdzīgu mana ideāla gaismai, un gāju uz turieni. Es domāju, ka atrodos atkal uz īstā ceļa, ka arī tevi tur, (varbūt) atradīšu... Bet es maldījos: tā bija malduguns uz kuru es gāju, - viņa ievilka mani šinī purvā.
   Šausmīgs ir šis purvs!... Viņam nav ne gala ne malas... un reti kāds tiek ārā no viņa. Še valda mūžīga tumsa; nāvējoši tvaiki pilda gaisu, (I) un ļauni (III) ķerkstoši purva garu smiekli laiku pa (II) laikam atskan (pilda gaisu). Man nav vairs izejas no šī purva: ar tūkstoš saitēm es esmu še valdzināts, pie kājām un rokām saistīts... Es grimstu pamazām, lēni un ciešu lielas (nemitīgas) mokas... Tie ir manas dvēseles dārgakmeņi, kad še guļ izsvaidīti"
1308017,"2.
kājām man bij mīksta, purvaina; gandrīz uz ikkatra soļa es klupu un kritu, jo kājas man grima un pinās slapjajās purva dūņās. 
   Pēdīgi es jutu, ka spēki mani atstāj. Purvs, kā es jutu, bija tapis vēl staignāks, purva tvaiki smacēja elpu... Šausmas un izmisums mani pārņēma vēl vairāk, un nespēkā es nokritu uz slapjās, dubļainās zemes... - Tumsa mani apņēma no visām pusēm; man pat likās, ka es jūtu viņas pieduršanos un visā ķermenī no tā es sajutu durstošas, tikko manāmas sāpes. Nekur nevienas zvaigznes, neviena gaismas stara... Es sapratu, ka esmu pazuduse, ka man jāmirst šajā tuksnesī.
   Piepeši manas ausis sasniedza vājas skaņas. Es pacēlu galvu un klausījos.
3.
Manī uzausa cerība, kura mani bija jau pilnīgi atstājuse: varbūt vēl būs izdevība tikt ārā no šīs nāves valsts, varbūt nav lemts man beigties šajos purva tvaikos, vientuļās mokās. -
   Es klausījos un izdzirdu klusas raudas, šņukstienus, kuri nāca kā no tālienes, kā no zemes apakšas. Un manī izzuda agrākās bailes un šausmas: es zināju tagad, ka neesmu gluži viena šajā tuksnesī, ka ir še kaut vaj viena dzīva radība. Es piecēlos un saucu no visa spēka: ""Kas te ir, kas te raud šajā tumšajā purvā?""
   Pēc acumirkļa atskanēja dobja, vāja balss:
""Es, es te esmu, nāc tuvāk!"""
1308010,"pārtikas vielas pie salīdzinot ar mūsu peļņu bija ļoti dārgas. 
   Mamma ar papu dzīvoja Korčevā. Naudas viņiem, laikam, bija ne visai daudz, tā ka iztikt vajadzēja, galvenā kārtā, no tās zupas un maizes, kas tika izdienas izdoti bēgļiem katram, kas viņu vēlējās. 
Daudz maz pārtikušāki cilvēki, t. i. tādi, kam bija vairāk naudas līdzi, zupu neņēma un paši iztika ar sevi; bet cik nebij tādu, kas raduši bij varbūt desmitkārt labāki ēst, bet tagad bij spiesti iet pēc zupas - stundām ilgi gaidīt aiz durvīm ar kanniņu jeb spainīti rokās un ēst žēlastības maizi, lai viņa būtu arī nezin cik rūkta, kaut viņa vaj kaklā spiestos... Tas pats liktens bija arī manam tēvam ar māti. Izputināti no vietas un mantas, mēs bijām kā putni zara galā, bez ligzdas, bez dienas pārtikas. Labi tomēr, ka valdība gādāja par nabaga bēgļu liktini, t. i. par dienišķo maizi, ar kuru varēja mazākais garu vilkt. Papum vieta negadījās, bet viņi dzīvoja tur. Nebij jau arī citas izejas, kā dzīvot tur, kur tevi noliek. Mamma brauca šad un tad pie mums, paciemojās un aizbrauca atkal mājās. Reiz mamma atbraucot ņēmās man iestāstīt, ka man esot vēl izdevība nobeigt ģimnāziju. Viņai bij stāstījuši daži pazīstami, ka vidusskolu audzēkņiem"
1308016,"2./VIII - 16.
Sapnis.
   Es atrados svešā, nezināmā vietā, it kā klajā laukā, un apkārt man bija melna, necaurredzama tumsa. Es raudzījos apkārt tumsā un uzmanīgi klausījos, - vaj varbūt manas ausis neaizsniegs kaut, viena dzīva skaņa, - bet velti! - viss palika klusu, kā nāves valstī...
   Mani sagrāva šausmas: kur es esmu? Kā es še ietiku un kā man tikt ārā no šīs melnās tumsas? - Un bezspēka izmisumā es sāku skriet, skriet cik vien jaudāju, bet tālu tomēr es netiku, jo zemi zem"
1308014,"No ģimnāzijas un no skolnieču kopdzīvokļa es tomēr neizstājos. Nodzīvoju tur visu vasaru, domādama rudeni iestāties astotā klasē un nobeigt arī to. Redzēs, kā viss tas iznāks.
   Ai, ko visu es nepārdzīvoju šajā laikā. Kas viss man nav bijis dažreiz sevī jāpārdzīvo, jāpārcieš, jāpārlaiž pāri par galvu. Piemēram visās tās neērtības, valstīšanās netīrumos, kazarmās ļaužu ņudzeklī. Tad šī žēlastības maize; kaut gan tā tika dota visiem un no ""kroņa"", ka, gandrīz var teikt, atlīdzinājums par to, ka mums visiem t. i bēgļiem bija jāatstāj viss kas mums bija savs, un negribot jāiet pasaulē, tomēr cik smagi visu to saņemt, cik smagi justies kā lūdzējam gandrīz pie cita durvīm, kaut gan, ne tiešā nozīmē. Man vismaz tas bija ļoti grūti. Es gāju dažreiz darbu meklēt - un ir tad man bij grūti lūgt, grūti dzirdēt dažādos atraidījumus, dažreiz laipnus dažreiz pat gandrīz rupjus. Ai, kā tad vārījās manī dažreiz žults, ka es nicināju visus tos ļaudis, kas tik nepiedodamā kārtā varēja nesaprast, t. i. nemaz nepūlējās iedomāties, ka viņu izturēšanās var pazemot pat apvainot lūdzēju. Un kas tur ar viņiem par daļu? Tādu lūdzēju darba meklētāju viņiem nāca varbūt vaj desmit pa dienu. Un tomēr mani tas viss neizsakāmi kaitināja, pazemoja, samina mani tīri vaj dubļos. Tikai"
1307993,"Laiks iet - un mūžībā aizsteidzas -
Bet izteiktie vārdi paliekas.
8/6. 11.
   Kā jūras bangas ceļas un krīt
Tā domas jaucas un plūst.
Prom bezgala tālē, gaisma kur spīd
Drīz tumsas dziļumos grūst.
   Bez maiņas, bez prieka prom trauc tagadne
Viss vienmuļīgs pelēks un tukšs,
Bet ārā tur dzīve un pūliņi sauc - 
Vaj spēka priekš viņiem man būs?...
1912. g."
1307991,"Tu gaišais pavasari, tu nāc 
Un brūnos pumpurīšus vaļā raisīt sāc.
Ilgā ziemas miegā tie gulēja,
Cieši satīti brūnajā sedziņā, 
Tavas siltās rokas tos modināja,
Tava karstā elpa (dvaša) tos spirdzināja,
Un brūno sedziņu vaļā rāva
Mirdzošā saulstara degošais skūpsts.
Un izplaukušās lapiņās
Tik jaukas, tik svaigas, tik vārīgas,
Ka dreb no mazākās vēsmiņas.
-----------------------------------------
Bet... tu, saulstar, ko? - tu
                   projām jau eji?
-----------------------------------------
Un stiprāk un stiprāk pūš salti vēji...
Jau tumšas ēnas, krēsla tos sedz, 
Bet saulstari grimst... tos vairs nesaredz...
Un mirdzošos saulstarus satvert tiecas.
Viss velti!... Jau apkārt migla klīst
Un auksta salna zemē līst...
Un straujas vārīgas lapiņas
No aukstās (nakts) salnas plaucētas
Nekad tām dzīvām vairs necelties
Kas salnas kosts, tas vairs nemodīsies.
Ai, saulstari, kādēļ tos ārā saucāt,
No drošā un siltā namiņa,
Kur slēpti tie bija no negaisa, 
No salnas un sniega puteņa,
Kad paši tik ātri projām traucat?!...
1911. g."
