File-ID,Transcribed Text
1311753,"sevis. No sākuma negribējām, vēlāk tomēr viņa laipno uzaicinājumu pieņēmām.Viņš mūs paradīja Priekules pili un baznicu, abas ievērojamakās vietas šeit. Tad braucam uz viņa saimniecību ""
C
išos"". Pēc launaga mūs ieveda darzā ogas est. Edam cik spējām. Pec tam parspriedam dažādas lietas. Haja viņam pastāstīja par Šanghajas skautiem un to dzīvi. Starp citu ari, ka nākoša gadā ar velosipediem jabrauc uz Helsinkiem. Tur bušot arī lielā nometne. Pa to lietu ziemā paintresēsimies. nakti pavadijām sienā. Mums ar Haju sienā gulēšanā nekad nav veicies, mazie kukainīši mūs sakož nāvīgi. Tāpat arī šoreiz.
""Airītēs"".
22. julijā.
Kā par nelaimi no rīta sāka līt. Gaidijām kamēr pāries. Vad. Guža parādija daudzos uzņēmums no nometnēm un ceļojumiem. Lietus mazliet arī aprima. Tālumā gan rēgojas milzu, tumši mākoņi, bet nekas nav nepatīkamāks, ka gaidīt lietus nostāšanos. Tadēļ arī braucam. Skauts sliktu laiku nepazīst, var būt lietains, bet taču nav nekas. Nebijam tālu tikuši, kā sākās negaiss. 
Ievaldu 
ko gribējam
Ģimenes idille."
1311763,Teiksmainais Lazdonas ezers pie Madonas
1311762,"Bijušais Saikavas muižas centrs sadalīts amatnieku zemes gabalos
Uzņēmumā: Saikavas pag. ""Jaunkrāces"""
1311759,"Bērzaunes ev. - lut. draudzes baznīca
Baznīca celta reizē ar pili 1340. g. Domā, ka tagadējā altāra telpa uzglabājusies no tiem laikiem. 1433. g.minēts senrakstos pirmais mācītājs.1851. g. uzcelts jauns tornis.
1784. g. draudzes zemnieki ņēmuši dalību galvas naudas nemieros un 1845. - 47. g. 2/3 draudzes pārgājusi pareizticībā. Bērzones pareizticīgo draudze pastāv no 1847. g.
Bērzones pagastā jaukākā vieta Aronas kalns."
1311761,"Esi uzticīgs līdz nāvei
Tad es tev došu to dzīvības kroni
1917 - 1919
Par Latviju kritušiem,
un bez vēsts pazudušiem
Saikavas pag. karavīriem
šeit dus 1. Liepājas kājnieku pulka karavīri
Saikavs brāļu kapu piemineklis"
1311756,"Soiem
 sirojot pa Kursu, nobraucam ap 700 km. Macijamies pazit Kursu un tas dabu, iedzivotajus. Varējām salidzināt ar Maras zemi. Nobraucām šādi: Rīga - Sloka - Tukums - Kandava - Sabile - Stende - Spāre - Usma - Ventspils - Užava - Jūrkalne - Alsunga - Ēdole - Kuldiga - Aizpute - Durbe - Grobiņa - Liepāja - Nica - Barta - Priekule - Embūte - Skrunda - Saldus - Auce - Kalnmuiža - Jelgava - Rīga.
Kursas ceļotāji
Šinī vasarā dzimtenes ārēs pavadītas 30 dienas. Ar noteiktu maršrutu pa Maras zemi un Kursu 21 diena. Sinis dinas nobraukts ap 1500 km, bet visā vasarā braucot sīko sirojumos 2000."
1311766,"Augstākā celtne Latvijā
Torņa atsaišu pamats.
Madonas raidstacijas jaunā antenas masta būvdarbus veic ""Tosmares"" strādnieki inženiera Gaušes vadībā. No 32 masta posmiem uzcelti 5, bet līdz nākošās nedēļas beigām samontēs vēl 3 posmus. 230 metru augstā masta konstrukcija, kas svērs 66 tonnas, balstīsies uz 40 cm resna porcelana izolatora. Tas piestiprināts ap 50 to smagam un 2 metri zemē ieraktam betona pamatam. Torni atsies ar 9 tēraudtrosēm pie 3 betona pamatiem. Antenas masta būvi pabeigs nākamā gada junjā. Tā būs augstākā celtne Latvijā un divkārt pārsniegs Rīgas Pētera baznīcas augstumu.
Torņa būvdarbi."
1311757,"600 kilometri Vidzemē un Latgalē.
Sirojums ar velosipedu no 23. - 31. jūlijam 1939. g.
Piedalās saimes loceklis V. Birnans.
Maršruts. 1) Rīga - Kangaru kalni - Suntaži - Ērgļi - Madona.
2) Madona - Viesiena - Gaiziņa kalns - Bērzaune - Madona.
3) Madona - Cesvaine.
4) Madona - Lazdona - Saikava - Stalidzeni - Barkava -V arakļāni - Atašiene - Ļaudona - Madona.
4) Madona - Pļaviņas - Jaunjelgava - Rīga."
1311769,"Staburags
Daugavas klinšainie krasti"
1311764,"Kujupe
Praulienas un Saikavas pag. robežas
Aiviekste pie Saikavas"
1311767,"Sūna, kas aug uz Staburaga
no Liepavota
1939. g. aug.
V. Birnāns
No šāda dolomita slāņa iztek Liepavots"
1311771,"Pilsēta, kas apjozta ar valni pret ūdens uzbrukumiem
1. Jaunjelgavas aizsargu dambis.
2. Aizvaras dambji Jaunjelgavā ieplūstošiem ūdeņiem.
Šī mēneša beigās pie Jaunjelgavas pabeidz celt 1938. g. pavasarī iesākto plašo dambi.Dambis puslokā atver visu pilsētu. Tā garums ir 3,3 km. Viena kilometra garumā uz dambja muguras pacelta šoseja. Te zemes uzbēruma platums virsdaļā sniedzas pie 8 m, bet citās vietās dambja augšdaļa ir 4 m plata. Lielais zemes uzbērums nogāzē, skaitot no Daugavas normālā līmeņa, ir apmēram 12 m augsts. Kad pie Ķeguma aizdambēs Daugavas plūdumu, paceļot to 16 metru augstumā, ūdens līmenis sniegsies līdz Jaunjelgavai un pacelsies te par 4,5 m. Virs šāda līmeņa dambī paredzēta vēl krietns rezerve plūdu gadījumiem, sevišķi ledus iešanas laika. Dambja augstumam par pamatu ņemts Daugavas augstākais ūdens, kāds atzīmēts 1924. g. pavasarī. Vēl virs šīs līnijas no dambja atstāta vienu metru augsta rezerve. Tātad Jaunjelgava, kas katru pavasari līdz šim atradusies uztraukumā par plūdu briesmām, turpmāk varēs justies pilnīgā drošībā, jo dambis ir nevien pietiekami augsts, bet arī praktisks un izturīgs pret visiem ūdens un ledus uzbrukumiem. Izskalojumi izslēgti, jo ievēroti visi jaunlaiku tehnikas noteikumi. Tanī dambja daļā, kam garām skalosies ūdens un ledus, likts akmens bruģis. Augstāk nāk oļu bērums klūgu žogos. Vajadzīgās vietās nav žēlots arī cements. Būves darbos, ko izved Razuma būvfirma, pārcilāti 140.000 kub. m zemes. Palīgā ņemtas mašinas un mehanizēta tiklab zemes rakšana kā arī pārvietošana. Dambju veidojumā patērēti 15.000 kub. m oļu, 3000 kub. m akmeņu un dambja kodolam 14.000 kub.m māla. Viss nocietinājumu darbs pie Jaunjelgavas izmaksās ap 700.000 ls."
1311765,"Jezus krusts
Borkovā izplatītais vārtu būves veids"
1311772,"Rīga - Ventspils 5.8 - 12. 8. 3 
...
Piedalas: J. Krastiņš
5. 8. un 6. 8. arī Viesturs K.
5. 8. 39
Tikai vakar dabūju zināt, ka man no pirmdienas jāiet divu nedēļu ilgā atvaļinājumā. Ko darīt? Iet mežinieka nometnē (dzimtenes rovera pārbaudījumiem)? Braukt uz laukiem palīdzēt rudzus pļaut? Iet sirojumā? Atri izšķīros - iešu sirojumā! Bet kur? Vai vienam pašam? Dažu stundu laikā nevaru nevienu līdznācēju sadabūt. Palikt Rīgā vēl līdz pirmdienai neatrodu par vajadzīgu. Daži vārdi Viesturam pa tāļruni, un lai gan (liekas kāda pārpratuma dēļ) viņš vairs neskaitas mūsu dzimtas locēklis, tomēr man vismaz rītdienai līdznācējs drošs.Kur dosimies to redzēsim kad ieradīsimies stacijā. Kad 22. 30 ierodamies stacijā, izrādas ka pēc 10 minūtēm atiet vilciens uz Ķemeriem. Mēs braucam līdz Slokai. No Slokas stacijas krietnā tempā nesamies uz jūrmalu. Ir jau krietni vēls un tādēļ mēs izgājūši caur Kauguriem meklējam vietu kur nolikties naktsguļai ..."
1311768,"Liepavots
Daugava pie Liepavota"
1311760,"Jaunais motorvilciens
uz Pļaviņu - Gulbenes līnijas"
