File-ID,Transcribed Text
1337244,"Skosāni
Noslēgts un turīgākais no apkārtējiem saimniekiem. Skosāns bija ievērības cienīgs ar to, ka agri cēlies no rītiem un svētdienas iesācis ar dievkalpojumu. Sieva mirst pusmūžā un Skosāns paliek viens ar dēlu. Un, kad dēls apprecas un aiziet pie sievas uz Bungātājiem, vecais Skosāns ir spiests ņemt mājās dienesta meitas. Pēdējā kļūst par Skosānu saimnieci. Šīs mājas mums bērniem bija ievērojamas ar to, ka tur bija rija. Cik daudz teiku un briesmu stāstu vijās ap to. Mums, bērniem ejot uz skolu, vajadzēja iet gar pašu rijas malu. Parasti gājām vairāki reizē. Vienam iet bija neiedomājami! Varbūt kāds melns baļķis vēl šodien tur mētājās. Dēls Oskars no saviem Bungātājiem tika aizvests vai izsūtīts. Ģimene viņam sakuploja, bet kur viņi ir šobrīd, ziņu nav."
1337263,"Auzas uzauga pāri cilvēka augumam. Vienā gadā atmaksājās visi aršanas izdevumi. Nākamā vasara gadījās lietaina, un, tā kā tur nebija meliorēts, raža apslīka. Tā beidzās tēva lielais bizness. Tad jau arī nāca 1940. gads. Cilvēki bija apmulsuši. Neviens nezināja kas notiks. Reti, kurās mājās bija radio. Pulcējamies Bērzkalnos, kur tas bija. Tieši bijām tur, kad atskanēja K. Ulmaņa teiktais: ""Es palieku savā vietā, jūs palieciet savās!"" Kara gadi un vēlākie padomijas gadi, aizskaloja un izpostīja visu iesākto. Mums trijām Kalēju meitām bija katrai pa vienam pēcnācējam, savukārt viņiem visiem kopā 4. Landrāta vārds izzuda. Kalēju mājās saimnieko citi, sveši, jo ciema vara tos pārdeva par grašiem, neprasot meitām atļauju. Dzimta nav izzudusi, vienīgi uzvārdi ir citi."
1337245,"Galēji
Šeit dzīvoja un saimniekoja Kļaviņš Pēteris ar savu Annīti. Ievērības cienīgs bija viņu Kļavu kalns - stāvs un teiksmu apvīts. Naktīs kalna pakājē mirgojot uguntiņas, jo tur kaltējusies apraktā nauda. Mums bērniem tā bija brīnumu un baiļu vieta. Mājas nebija dižas. Grūti klājās saimniekotājiem, jo viņiem bija tradicionālas trešdienas, t.i. Neretas tirgus dienas. Mēs, bērni vērojām kā viņi ratos brauca un dziedāja. Tātad aizmirstas bija ikdienas rūpes. Tās bija atslodzes dienas. Annīte aizgāja ātri un Pēteris palika viens. Drīz viņš atveda no Lietuvas puses sievu, ar ko viņiem dzima vairāki bērni. Tagad viņi ir izklīduši.
Pēteris Kļaviņš ap 1940.g."
1337258,"Ganos no rīta govis dzina agri, lai viņas varētu ieēst no rīta rasaino zāli, kura dienā palika cieta un asa. Kalēju mamīte, izslaukusi govis, pati palaida pa žoga malu uz purva pusi, un tad tik cēla meitenes augšā. Bieži vien viņa klauvēja pie guļamistabas loga un teica: ""Nāk Rimeļtante, viņai jau sen govis ganos. Ātri ceļaties, lai kaimiņi nezina, ka jūs tik ilgi guldinu!"" Lai nu kā mums netikās iet uz Pumpuriem, Jāņus gan vienmēr tur svinējām. Tad pie viņu ugunskura pulcējās tiešām visi apkārtējie. Tantei netrūka siera, arī salāti ar saldu krējumu likās daudz gardāki nekā mājās. Neviens nedomāja kā savilks galus kopā pēc svētkiem. Vienīgais ienākuma avots bija sakultā sviesta pikucis. Tas bija jāpardod Neretas tirgū, lai no iekasētā varētu maksāt nodokļus, algot ganu un uz lauka darbiem, salīgt puisi. Bieži dabūju ciest no nejaukiem kaimiņu puikām. Uzlēkuši uz sētas stabiem, pavadīja mani ar saucieniem: ""Kikerigū! Pumpuru mantiniece!"" Dažs labs bija cerējis uz šo sētu, un neviens nevarēja paredzēt, ka nevienam tā nepiederēs, ka tur viļņosies tikai smilgu lauks un kāds ārzemnieks to nopirks par dažiem dolāriem. Bieži, bieži Rimeļtante atskrēja uz Kalējiem, ar kliegšanu iekrita pār slieksni, saukdama:"
1337257,"Pumpuri
Šajās mājās dzīvoja Rimels ar Rimelieni. Viņi bija tādi paši jaunsaimnieki kā mēs visi, atšķīrās ar to, ka viņiem nebija bērnu un nebija akas. Ūdeni viņi nesa no purva malas pret augstu kalnu. Ziemā tas bija katorgas darbs - piegādāt ūdeni 2 zirgiem, 5-6 liellopiem, baram aitu un virtuvei. Tas viss bija jāpaveic bieži vien tantei vienai. Cik vien varu atcerēties, pats saimnieks bija slims. Viņam nāca kautkādas lēkmes, un, viņš nevarēja ēst ierastos laucinieku ēdienus, izņemot svaigu krējumu un vēl kādus našķus. Mums ar viņiem bija sevišķas attiecības - viņi bija mani adoptējuši kā savu bērnu, vārdu sakot parakstījuši savu kustamo un nekustamo mantu. Rimeļi abi bija no Vidzemes puses. Kādu laiku pats braucis par kučieri Rīgā. Tāpēc arī viņu valoda atšķīrās no mūsu vietējo runas. ""Tev, meitīn, palicīs viss - no adatīnas līdz zirdzīnam!"" Bet es jau jutos ļoti slikti, kad man to atgādināja, jo man likās, ka jāatstāj savas mājas un vecāki. Šad tad tiku aicināta paganīt govis, kad ganam bija brīvā svētdiena. Tas bija tikai vienu reizi mēnesī. Par to tad iedeva 1 latu."
1337255,"Putniņu saimnieki Kārlis un Antonija jau bija labi gados. Arī mājas šķiebās un līda zemē. Kopā ar meitu Irēnu un znotu Grosu, pārcēlās dzīvot uz Neretu. Viņi visi ir miruši, palicis vienīgi mazdēls Zigurds. Viņš dzirnavu vēsturi, iespējams, nezina. Un, nav neviens no tiem laikiem palicis, kas kaut ko varētu pastāstīt. Atceros, ka tēvs stāstīja, braucot uz Eķengrēves Zaļakmeņa dzirnavām, ka 20. - 30. gados vēl varēja graudus malt tuvējās Putniņu dzirnavās."
1337259,"""Manējais mirīs!"" Tad Kalēju Kārlis jūdza zirgu un brauca pēc ārsta. Bet atkal Dievs bija lēmis citādi. Nodibinājās kolhozi. Visas bijušās saimnieces gāja kolhoza darbos. Sitās vai nost, lai tikai visu padarītu. Tagad slogs viņām bija divkārt smags, jo arī mājas saimniecība bija jāsakopj. Rimeļtante nomira pirmā. Palika vecs, nespēcīgs cilvēks, kurš pie tam vēl bija salauzis kāju. Stāstīja, ka ar spieķīti un vienu kāju aizklibojis 4 km uz kapsētu, lai apciemotu savu Alvīnīti. Mājā ielaida svešus cilvēkus, kuri diezin ko nebija viņu skatījušies. Es tajā laikā mācījos Viesītes vidusskolā un nebija man tādas domas apciemot vecos cilvēkus. Neattaisnojamā jaunība!"
1337260,"Kalēji
""Mans tēva nams...""
Vectēvam Andrejam Ladrātam piederējusi smēde un maza mājiņa Putniņu piekalnē. Tur arī piedzimst divas meitas - Marija un Līzīte, kura pēc iesvētības drīz nomirst ar diloni, jo iedzērusi vasaras karstā laikā aukstu ūdeni no akas. Kā pēdējais piedzimst mans tēvs Kārlis. 1. Pasaules karā viņš tiek strēlnieku pulkā. Savos stāstījumos par kara gaitām, bieži tiek pieminēts Perekops. Visiem strēlniekiem pēc 1920. gada piešķir muižas zemi. Izlozē Kārlim krīt meža un purva gabals. Sākas krūmu ciršana un māju celšana. 1922. g. jūnijā Kārlis apprecas ar Amildu, kuras dzimtene ir starp Sauku un Viesīti ""Lejas Kūliņi"". Sākoties karam, Brūtgānu ģimene tiek izdzīta no mājam. Bēgļu gaitās mirst tēvs Fricis Brūtgāns. Atgriežoties no bēgļu gaitām, viņus vairs mājās nelaiž, jo tās ieņēmuši jau citi. Apmetas viņi uz dzīvi Kudļos. Tur arī Amilda, kuru vēlāk visi sauc Mildiņa, iepazīstas ar Kārli, kurš ir pārnācis no kara. Abi sāk celt jaunu, sūru dzīvi. Andrejs pārnāk dzīvot pie dēla. Mājas nosauc par Kalējiem, jo tur notiek kalšanas darbi, tikko uzceltajā smēdītē ceļa malā. Pie tās iestāda vienu ķirsīti, kas katru"
1337251,"istabā. ""Vecais"", apvilcis kažociņu, sēdēja blakus. Tā kā tie bija kara gadi, prieku vajadzēja izmantot visur, kur bija kaimiņu kopā sanākšana. Tā arī toreiz dziedājām un dejojām vecās saimnieces bērēs. Pēc gada vai diviem arī ""Vecā"" bērēs."
1337246,"Pēteris, mums bērniem, vienmēr bija gaidīts un interesants. Tumšos ziemas vakaros, kad bijām pulcējušies parasti Bērzkalnu mājās, jo tur bija gaišākā lampa un saimniece Marija bija laipnākā un jaukākā no visām citām saimniecēm. Kā neiztrūkstošs cienasts bija vārītas cūku pupas. Pēteris nolūkoja tumšāku stūrīti un lika no balta papīra izgriezt cilvēciņu. Tam tika piesieti diedziņi. Tad notika seanss. Izsaucieni un pavēles - un cilvēciņš dancoja. Tie bija pamudinājumi, šņuksti un asaras. Vairāki mēģināja to atkārtot, bet nevienam tā tas neizdevās. Pēterim rokas no darba vai pārsalšanas bija sakropļotas. Neviens pirksts nebija taisns, bet tas viņam netraucēja strādāt un vēl uzjautrināt bērnus. Mēs viņu vienmēr gaidījām."
1337252,"Buki
Zobeni bija nabadzīgi. Viņiem piederēja ap 2 ha zemes un maza mājiņa uz tās. Zobens bija liela auguma, stingrs savā domāšanā un valodā. Viņu mājiņā bija ierīkota darbnīciņa, kurā viņš darbojās ar koka lietām. Viņi gāja arī pie citiem pastrādāt. Atceros, mūsu tēvs viņu aicināja šķūni pacelt un citas ēkas palabot. Zobeniem bija daudz bērnu - 10 vai 12. Ģimeni turēja, bāra un audzināja māte - gara, kalsna sieva. Nebeidzamas bija rūpes par dienišķo - ogošana, sēņošana, ravēšana. Bērni tika sūtīti ganos pie saimniekiem, no kuriem bieži atbēga. Tur atkal mātei bija jāiejaucas.
Zobenu bērnu krustības ap 1934. g."
