File-ID,Transcribed Text
1314421,"40.
1896. g. novembrī pr. A. Kalista saslima ar plaušu karsoni un dažas dienas vēlāk aizvēra acis uz mūžu.
Nāves brīdī pie mirēja gultas atradās pr. Pl. Šarkovskis, draugs no Sibirijas gaitām, skolotāja Ozoliņa dzīves biedre un skolotāja palīgs Andrējs Medinš. Pusstundu vēlāk ieradās skolas pārzinis J. Ozoliņš, kuram itkā sapnī parādijies nelaikis, lūdzot to nomazgat.
Prāvests Augustinš Lukso mirušo pr. Andrēju Kalista, sēru misas tērpā, iezārkoja ozola zārkā un novietoja baznīcā uz augsta, melnas segas pārklāta, katafalka. Uz zārka uzlika misāli un uz tās biķeri pārklātu ar sēru stulu. Ap katafalku degošās vaska sveces, rudens puķu vaiņagi un ziedi ap zārku un katafalku, bija pēdējā pateicība mirušajam no dzīvājiem. Trešā dienā pēc svinīgām baznīcas cermonīnijam, lielam baužu [ļaužu?] baram piedaloties, priekšgalā ar krustu, karogiem un vairākiem priesteriem iecienito priesteri guldija Vaiču kapsētā pie lielā krusta. Iemīļoto priesteri apraudāja visa Šenbergas draudze. Kapsēta bija pārpildīta pavadītājiem, starp tiem daudz citu konfesiju piederīgie. Pat žīdi, mazā miestina vairākums, drūzmējās ārpus kapsētas"
1314424,"43.
J. Ozoliņam, apdavinātam ar labām atmiņas spējām un darba centību, iegūt skolotāja tiesibas nenācās pārāk gŗūti. Iepazinies skolotāju kursos ar mācības metodēm, vins Bauskas pilsētas Kreisschulē izturēja pārbaudijumus un sanēma pagasta skolas skolotaja diplomu. Par šīs apliecības iegūšanu mums bērniem Tēvs stāstija: ""braucot uz pārbaudijumiem pr. A. Kalīsta upurēja sv. misi pie Šenbergas Dievmātes brīnumspējas altara. Priesteris un es sirsnīgi lūdzamies. Tas bija manas turpmākas dzīves izšķirošais jautajums, – būt vai nebūt par skolotāju? Dievmāte mūsu lūgsmi izklausija. To, bērni, iegaumejat..."" Tēva aizrādījums bērniem gāja dzīvē līdzi.
Uz diploma pamata Jelgavas rajona tautskolu inspektors Jēkabu Ozolinu aptiprinaja par Šenbergas pagasta skolas pārzini. Nostabilizējies skolā, pārzinis J Ozolinš, sāka piegriest lielāku vērību jaunās skolas apkārtnes izdaiļošanai. Ap skolas namu iestādīja kiršu kokus, iedēstija ogu krūmus, dažas ābeles un smilkšaino zemi pārvērta auglīgā dārzā. Pretim dzīvokļa logiem ierīkoja puķu dārzu un dīķa malā – bišu druvu."
1314422,"41.
žoga, ne vis aiz vienkāršas zinkārības, bet patiesas cienas pret nelaiki, kuŗu pazina kā ideālu Dieva kalpu, sirds līdzjūtīgu cilvēku un sirsnīgu bērnu draugu.
Dažus gadus vēlāk skolotāja J. Ozoliņa ģimene, savam dārgājam labvēlim un mīlājam priesterim, uzlika čuguna krustu, kuru iesvētija neļaiķa krustdēls diakons Jēkabs Ozolinš, asistējot brālim subdiakonam Pavilam un vietējiem priesteŗiem. 
Uz krusta zeltītiem burtiem vienkāršs uzraksts:
""Sacerdos Andreas Kalista.""
1836 annos 1896.
Requiescat in pace!
Šenbergas jauno skolas namu iesvētija prāvests Mikuličs 1877 gada rudenī. Skolai tiešam bija izraudzīta skaista vieta. Tā atradās pie lielceļa, ceturtdaļas verstes attālumā no baznīcas, liela meža malā. Par Šenbergas skolas atvēršanu vislie[lā]kā pateicība pienākas draudzes prāvestam"
1314423,"42.
Mikuličam, kam jaunatnes izglitība bija sirds lieta, bet par tas nooganīzešanu un vadību pirmajam skolotājam Jēkabam Ozolinam.
Tai pašā gadā draudzē iemīloto prāvestu Mikuliču, paaugstinot par kanoniku, pārcēla uz Kauņu.
Vina vietā, kā jau minēju, atnāca lietuvietis Miķelis Šuipo, kas diesgan labi runāja latviski.
Sabiedriskā darbā vinš nekādu dalību neņēma; skolu aprūpēja vikāri. Pēc vācu atslāpes (ap 1878. g.) Baltijas valstīs iesākās pārkrievošanas laikmets, t. i rusifikacija. Krievijas Cari vistiesiskākā veidā centās to panākt. Skolu pārraudzībai tika iecelti krievu tautības inspektori un krievu valodai ieradīta galvenā vieta, sākot ar otro mācības gadu. (Treilands–Brīvzemnieks latvietis bija vienīgais tautskolu inspektors Rīgā). Skolotājiem, kas darbojās skolās, bet nebija tiesību, vasaras brīvlaikā bija jāapmeklē skolotāju kursi un viena gada laikā jāiegūst šis tiesības, jo pretējā gadijumā, draudēja atlaišana.
Jēkabam Ozolinam nebija skolotāja tiesības, lai gan krievu valodu tas pārvaldija teicami, jo bija gatavojies iestāties junkeru skolā"
1314420,"39.
Neatteicās, kā agrāk, kopā ar J. Ozoliņa [ģi]meni braukt viesībās, pat dažreiz uzai[c]ināja sarīkot viesības. Visur pr. Kalista bija iecienīts un mīlš cieminš. Latviešu valoda nu jau nebija šķērslis sarunām. Viesībās, būdams labā omā, daudz stāstīja par dzīvi Sibirijā, piepīdams veseligu humoru. Stāstot rādija kreisājā rokā ieberstās rētas, kas bija palikušas, kā mantojums, no ta laika, kad bija ķēdē piekalt darba tačkai. Šo gadijumu atstāstot priesteŗis skumjā balsī dziedāja poļu valodā paša sacerēto dziesmiņu ""Wycher saszumial po pustym stepi..."" kas latviešu tulkojumā būtu:
""Vēji gaudā stepju tālēs,
""Sniega dejā žēli zeme vaid.
""Mīlos dēlus nepārnākot
""Māmuliņa gaid .. un nesagaid!
Pr. A. Kalista religiozais audzināšanas iespaids dziļi iespiedās Ozoliņa bērnu sirdis, kas deva tautai divus latviešu priesteŗus. Diemzēl pr. A. Kalistam nebija lemts piedzīvot abu iesvētīšanu. Krustdēlam Jēkabam bija tā laime, kā četru zemāku svētibu klerikam, apkalpot pie altāra savu krustēvu, bēt Pavilam ari tās nebija."
1314425,"44.
Ar drošāku sajūtu uzstājās pagasta veldē un muizā par algas paaugstinājumu. Muiža bez kaulēšanās apsolija 40 rublu gadā, bet pagasts ar dinģēšanos vienojās par 250 rublu, piekaulējot par to. J. Ozolina dzīves biedrei, mācīt meitenēm roku darbus–: adīt, tamborēt un aplāpit...
Tai laikā par pagasta skīvēri bija pārvācojies latvietis, – ar sievu vācieti, – abi lutera ticīgi, – Krauklis, kas saucās par Krauklē, – lai skanētu pēc vācu izcelsmes uzvārda. Mājās sarunājas vāciski un bērnus pagasta skolā nelaida, bet algoja gubernanti, kas mācija vāciski.
Ar J. Ozoliņu nedraudzējās. Viņa acīs skolotājs Ozolins bija un palika skrodeŗa zellis, kā agrāk.
Saņemdams pirmo palielināto algu, tēvs nopirka zirgu, govi un vienu cūku. Divas vistas, suni un kaki sanēma no bērnu vecākiem, kā dāvanu. Vēlāk iegādājās ratus un pajūgu.
Mūsu māte, Olga–Juljanna, kā jau minēju, bija inteligentu vecāku vienīgā meita. Viņas ģimenes valoda bija krievu, (franču?)–vācu. Kad apprecējas, iemācijas latviešu un poļu valodas. Savus bērnus"
1314391,"10.
Sv. misa bez partrauku turpinājas no plk 5 rīta līdz pusdienai. Priesteri spredikoja latviešu, lietuviešu, poļu un pat vācu valodās. Baznīcā skanēja slavas dziesmas un pateicības lūgšanas dažādu tautibu valodās. Stundam gaŗās meditacijas (apdomašanas) pēcpusdienās aizgrāba baznicenus līdz asarām...
Svētki noslēdzās pirmdienas pēcpusdienā ar tik pat svinīgu procesiju, kā iesākās un pateicības himnu:
""Te Deum laudamus...""
Katram baznīcēnam, ari nekatolim, neaizmirstāmā atmiņā dziļi sirdī iespiedušies Kanepenes vakara krēslā, pie Dievmātes altāra, dziedatās litānijas vārdi ar kādiem tiek godināta, slavināta, cildināta, apveltīta un salīdzināta Dieviškīgā Pestitāja Māte – un klātesošo lūgsmes piedziedājums: lūdz Dievu par mums!
Skaistkalnes Dievmātes altāra svētbilde, – Jaunava Marija ar bērninu Jēzu klēpī un diviem lidojošiem engelišiem ar baltu lilijas ziedu zariņu rokās, laikam ir tik pat veca, kā sirmais dievnams, kas kā sargenģelis gadu simteņiem sargājis un sargā Skaistkalnes katoļus no protestantu ietieksmēm"
1314396,"15.
pagasta dzīves biedri, – čakļu mājas kopēju un teicamu saimnieci. Krogs bija un palika mīlāks, kā gādīga laulene un labi iekoptas mājas. Saimniecība sāka nikuļot un slīdēja uz lēju. Noma Jurģos netika nomaksāta un ar katru gadu palika smagāka. Nebija nē Dieva svētības, ne laulības kopdzīves saskaņas.
Pienāca baiga liktenīga diena. Fricim bija jāatstāj tēva māja. Muiža utrupē tās pārdeva.
Jaunakais dēls Jēkabs, mans tēvs, tikko bija ievēlēts Šenbergas pagasta skolā par skolotāju. Bez apgādības palikušos vecākus vins uzņema un deva tiem rūmi un uzturu.
Lūk, kā dazreiz liktenis ņirgojās!
Dēlam Jēkabam, kas no vecākiem nebija nekā mantojis, iznemot kailu dzīvību, pienācās uzturēt nabadzībā un nespēkā nonākušos vecākus, bet dēlam Fricim, kas mantojumā sanēma mājās, nebija ne pašam kur apmesties, ne vecākiem kur mitināties..."
1314385,"4.
krasta pacēlās liela sarkanu ķegeļu divstāvu celtne, – šīnagoga, – zīdu īpasums. Miestiņam no austrumiem pieslējās barona Nikolāja Korfa muižas zeme, kas neietilpa miestiņa robežās. Muižas pils uz upes labā krasta bija skaista moderna diviem stāviem celtne. Tās priekšā lapu koku iežogots plašs pagalms ar puķu dobēm, grantētiem celiniem un atpūtas sēdvietām, – krāsotiem soliem.
Barons, kam piederēja Šenbergas pagasts un miestinš, muiža nedzīvoja. Muižu pārvaldīja vācietis Vosmus (vēlāk fon Steins). Vietējie zemnieki Vosmu neieredzēja vina brutālibas un bārgumu dēl. Muižas zemniekus viņš nokalpināja, verdzināja un pat pielietoja (vergu laikos) miesas sodu. Tā vien liekas, kā Adolfs Allunans savai lugai ""Kas tie tādi, kas dziedāja?.. sižetu ņēmis no Šenbergas muižas dzīves.
Par cik muižas pārvaldnieks bija nei[e]cietīgs un brutāls, par tik barons Korfs bija laipns un izpalīdzīgs. Vinš ar ģimeni dzīvoja Kreicburgā (vēlāk Krustpils) un retu vasaru pavadīja Šenbergas muižā; lielāko daļu dzīvoja ārzemēs. Krogi muižniekiem deva lielus ienākumus, tāpēc ar to atvēršanu vini neskopojās. Šenbergas miestiņā vien bija pieci krogi, vācieša Teodoza Lodinga"
1314398,"17.
cietokšņa baznicā un palūgt Dievu, kā bez mērķa blandīties cilvēku pārpilditās ielās. Kādā saulaina pavasaŗa dienas pēcpusdienā, kad viņa kollegas blandijas pa pilsētas ielām, vai sēdēja krogā pie alus kausa tērzēdami, J Ozolinš iegāja cietokšna dievnamā. Ceļos nometies pie Dievmātes altara skaitija Rožukroni. Te kāda roka skāra viņa plecu un sekoja jautājums: ""Kā tevi sauc?"" Jēkabs, kā asa zibeņa kerts, uztrūkās kājās un izstiepies kareivja stājā atbildēja uz jautājuma. Vina priekša stāvēja pulka komandiers. Savā piezīmju grāmatinā pulkvedis atzīmēja viņa uzvārdu, rotu (kurā dienēja) un dienesta pakāpi.
Kareivis J. Ozolinš savā nesaprasanā nodomāja, kā iekūlies nepatikšanās, lai gan nekādas vainas nodarijis neapzinājās – Šī liktenīgā tikšanās baznīcā, pie Dievmātes altāra kāpnēm, ar sava pulka komandieri, J Ozoliņam bija visas turpmākās dzīves labklājiba, svētība un laime...
Pāris dienu vēlāk pavēlē bija lasams: ""kareivis Jēkabs, Friča dēls Ozolinš, par priekšzīmīgu uzvešanos paaugstināts dižkareivja pakāpē.
Pēc pavēles izsludinašanas pulkvedis"
