File-ID,Transcribed Text
1340521,"uzskatīt manu tautu meitu kā tādu ko biju veidojis zinamam nolūkam. Daudz, ļoti daudz būtu bijis jālabo. Forma bija ļoti smaga un bija jāatstāj Vācijā. Uz Amēriku atvedu oriģinalu, ģipša nolējumu. Te Amerikā uztaisiju jaunu formu un nospiedu katram bērnam pa terakotas tautu meitai. 7 gabalus. Znots, Guntas vīrs gribēja oriģinalu un arī atdevu to viņam. Nezināju ka viņam bija prātā likt noliet bronzu. Ja būtu zinājis nebūtu piekritis. Bet te nu viņa ir no terakotas tautu meita iznāca bronzas ""Latvija"" un nu Latvijā.Miļā tautiete Baltinas kundze! es zinu ka sarakstīju pa daudz īsam dzīves aprakstam bet tur ir viens otrs ļoti interesants gadījums. Tāpēc lūdzu izlobat ko atzīstat pa lietojamu.
Ar cienību Z Brakmanis
viens dikti vecs latvietis un švaks zaldāts"
1340527,"kā jau agrāk rakstiju no tēva ģimenes kā arī mātes visi bija luteraņi 
Bet kamēr varu atminēt ammas un mammas ūmamma, Anna un Līne gāja Baptista baznīcā. Līne dziedāja šīs baznīcas korī. Domāju ka tas varēja būt trīsdesmitos gados ūmamma un Anna kristijās baptistu baznīcā, Mamma ar savu ģimeni un es bijām jau Rīgā.
Ja gribi vari pierakstīt, rakstot [..] ūmammu zīmējat viņas jautro dabu.
Kādreiz jaunībā esot abi ar Ādamu vakarā sēdējuši ārā. Vissa [visa] mācīšanās tajos laikos bija bībele un Adams gribējis parādīt ka nav nekāds muļķis un tā nu ņēmis skaitīt bībeles pantiņus, omamma teica: ""Nevarēju sagaidīt ka beigs skaitīt Davida dziesmas un sāks bučot.""
Tie bija meli. Kad dzīvojām Rickman ielā un Latvija bija zem krievu okupacijas saņēmu no Annas vēstuli. Pie viņas bija ieradies kāds mana tēva brāla sievas radinieks un teicis ka mans tēs meklē manu adresi. Anna teikusi ka toreiz ka man tēvs bija vajadzīgs man viņš nebija tagad es esmu pats netikai tēvs bet arī vectēvs un man tēvs nav vajadzīgs. Adresi tā arī nedeva un es pilnīgi piekrītu."
1340534,"kaut ko kas īsti saista manu uzmanību. Sētmalē bija uziedējuse [uzziedējusi] pienenīte. Viņa bija tik tīri dzeltena un ar rasas pilieniem klāta mirdzēja. Es nevarēju iet tālāk tas bija tik skaisti. Gāju mājās un nevarēju aizmirst pienenīti. Gāju atpakaļ bet nu rasa bija nožuvuse. Gaisā  nebija tas dzestrums un pienenīte bez rasas pilieniem nemirdzēja.Tie laikam bija iemesli kāpēc man tagad viss rādijās tik pelēks. Es jutu tādu žēlumu ka esmu zaudējis šo brīnumu. Es nedomāju ka raudāju bet man bija žēl ka nācu otro reizi skatīt pienenīti. Māju īpašniekam 
Plisau
 
(protams vācietis) piederēja trīs vai varbūt četras mājas viena otrai galā un mugurpusē nebija nošķirtas ar žogu. Tā mums bija ļoti garš pagalms. Tur vācu armija bija saveduši dažādus ratus un braucamos. Toreiz jau zirdziņš vilka visu. Tikai generalis brauca automašinā. Mēs bērni lēkājam pa ratiem un spēlējamies kā prasdami [prazdami]. Mums nebija nekādas rotaļlietas, kā vāģīši, lāpstiņas, vai spainīši. Meitenēm nebija pat lelles. Mēs tur bijam internacionala sabiedrība. Visi tā starp 5-6 gadus veci. Viens leišu (lietuvju) puika, divi vācieši brāļi. Viens no viņiem bija Armīns. Tad žīdu puika Juke ar ,āsu Leike un žīdu meitene Temele. Apkārtējās mājas arī bija bērnu daži arī vecāki pa musu sabiedrību. Tie arī nāca musu sētā. Palikam vecāki un ar laiku izklīdām - sākām iet skolā. Šijā [šajā] dzīvoklī dzīvojot karš bija beidzies. Latvija nodibināta un es gāju laikam jau divus gadus skolā"
1340526,"Vecākā mana mamma bija strādājuse fabrikās kur iepazinās ar Elzu Brakmani un tā savukārt iepazīstināja ar savu brāli Edvardu. Apprecējās un es dzimu 1911 gadā 24 decembrī. Pēc darbiem fabrikā vina bija mācījusēs šūt pie Zēberiņas. Pēc apprecēšanās mamma nav strādājuse. Viņa darināja dažādus roku darbus. Auda sedziņas un paklājus. Toreiz bijis modē mētelim vārdu pirmie burti asprātīgā salikumā. Redzēju dažus ko mamma bija taisijuse
Šis burtu salikums bija pildīts kā reljefa veidojums un šūts tādām sīkām zelta bārkstītem un diegiem. Anna bija ļoti stipra sieviete Viņa bija pārliecināta socialdemokrate un cīnijās pa strādnieku tiesībām un viņu stāvokļa uzlabošanu. Anna aprecējās [apprecējās] apmēram 30 vai 32 gadu vecumā. Jēkab
s Panclavs bija brauci
s visu mūžu uz kuģiem. Viņš bija 40 g. vecs kad apprecēja Annu. Sākumā gāja zvejot bet tad aizbrauca uz Amēriku naudu sapelnīt mājai. Bet uznāca lielā krīze un Amerikā darbs vairs nebija. Annai gan nauda bija sasūtīta tā varēja dzīvot bet kā Panclavs palika dzīvs to nezinu. Līne aprecēja [apprecēja] ļoti vecu vīru Jāni Vēdneri. Tas ilgi mocijās ar ļoti smagu artritu. Nevarēja strādāt. Līne apkopa Vēdnera brāļa divas mājas un tā dzīvoja. Kad Vēdneris nomira Līne strādāja veikalos. Pēc vairākiem gadiem vina saka dzīvot ar Lucu tas bija konditors. Cepa tortes un kūkas, Tālāk daži vārdi par Jēkabu"
1340535,"Te Vilhelmines ielā notika viena no vis labākam lietam manā dzīvē. Mamma man nopirka Nelliti un pēc neilga laika dabuju arī Jancīti (melnbaltu kakīti) Nellīte gulēja man kājgalī un pavadīja mani visur kur vien gāju. Viņa saprate daud [daudz].
Pārvācamies uz Vilhelmines ielu 55. Te mamma noīrēja apakšstāvā dzīvokli un Anna ar ūmammu un Līni aukstāvā [augšstāvā]. lielā ielas puses istabā mammai bija darbnica
Lielais galds istabas vidu kur piegrieza drēbi. pie katra loga šujmašīnas. Šuvējas gan runāja pa savām darīšanam un būšanām. Arī dziedāja. Anna nonāca ar mandoli nu un tad dziedāja dziesmas latviesu, vācu un krievu valodās. Liepajā tās paaudzes ļaudis visi runāja trīs valodas. Tā dziedāšana man patika. 
Ziemē
 vai pēcpusdienās kad ārā bija atkusis sniegs un neko prātīga nevarēja darīt. Tad sēdēju zem lielā galda un spēlējos ar alvas zaldātiem. Nevaru iedomāties kas man tos būtu devis, nebija 
[..]
 krāsa bija diezgan pabrukuse. Mamas [mammas] šuvējam bija dažādas lietas ko runāt. Vienai vīrs bija dzērājs. Citai draudzeni vīrs bija atstājis. Paula bija satikuse ko ""sirdsmīlē"" un šad tad satiekoties. Bija bail ka vīrs nedabon [nedabū] zināt. Tas trakai viņu nositīšot. Tā es dabuju zināt to grūto sieviešu likteni, ko vīri vai vīrieši darija tas bija tiesājams bet tādā kā Paulas gadijumā viss bija kārtībā. Vai tādas kā tā trakā Briedene pāri pa ielu. Tai bez vīra bija divi draugi tie tika saukti pa ""pielūdzējiem""  tur bija vis kārtībā tā bija kā teca [teica] ""tā tik ir meitene""
Jā tā jau bērnībā dabuju zināt cik briesmīgs liktenis ir tām meitenēm. Ja tu esi kā puika nācis pasaulē tu nekas vairāk kā lops neesi."
1340518,"ļoti daudz iekārtas Ķemeriem. Dažu brīdi strādāja divas un trīs grupas griezēji. Es strādāju ar diviem palīgiem. Ķemeru darba zīmējumus Robiņam zīmēja Jānis Vilnrags. Viņš bija beidzis Štiglica mākslas akademiju lietišķo daļu ar zelta medali un stipendiju ceļojumam pa vakareiropas muzejiem. Viņam bija ari atļauja apmeklēt ķeizara pilis zīmēt un studēt mēbeles kad ķeizars vai viņa ģimene tur neuzturējās. Viņš mani ļoti labi ieskatija un sauca līdzēt zīmēt, protams pēc viņa norādījumiem.Esmu viņam ļoti pateicīgs, daudz mācijos no šī lielā meistara. Latviešu biedrību taisija pēdējo tāpēc darbi bija aizkavējušies. Pie Prikuļa taisija labu tiesu biedrības mēbeles. Krēslu Prezidentam griezām katrs pa bagalam: Slicis, Lazdovskis, Saiva, Gundars un es. Krēsls bija baroks, prof. Laubes zīmēts.
Vācu laikā mākslinieks Veilands savāca mūs tādā daiļamatnieku savienībā ar veikalu. Man bija darbnica Brīvības ielā, pretī Pērnavas ielas galam. Strādāju daudz šim veikalam, kā šķīvjus, svečturus, pūra ladītes, rakstāmgalda piederumus arī reljefus, ka Jāņu nakti ar dancotājiem.
1943 g. vasarā mani iesauca 15. div. artilerijas pulkā. Novembrī sūtija uz Berlini kursos. Mācija vadīt rokdarbus savainotiem cilvēkiem. Ar vārdu sakot fiziskā terapija. Vācu vienības bija sūtījušas dažādus amatniekus bet nevienu koka ""speci"". Pats instruktors arī neko nezināja kā to vācu ""körbschnit"" robiņu duršanu. Tā es tiku pa skolotāju ""kungu tautas"" zaldātiem. Pēdīgi kā pirmais beidza Liepājas mākslas amatniecības."
1340522,"Mans tēva tēvs Ādams Brakmanis bija dzimis un audzis sava tēva saimniecībā - lauku mājās Sakaslejā. Tas ir uz ziemeļiem no Liepājas kur Sakas upīte ietek jūrā. Tur viņš dzīvojis kāmēr iesaukts krievu armijā - aizgājis krievos kā tautā teica. Viņam bijis brālis vecāks pa viņu un tas pēc likuma bija mantojis tēva mājas. Pa māju sauca lauku saimniecību. Vai mans vectēvs savu mantojuma daļu saņēmis naudā to nezinu. Jau pirms aiziešanas krievos vectēvam jau bija sarunāts precēties ar Lību Brambergu. Viņš bijis ļoli klusas un saticīgas dabas. Dienesta laiks armijā bijis pieci gadi. Pēc šī nokalpotā gada atgriezies mājās un apprecējis savu sarunāto Lību. Viņi dzīvojuši Jaunliepajā. Vectēvs strādājis mucu fabrikā. Malkas šķūnītī bijis ierīkojis darbnicu. Taisijis krēslus un galdus un skapīšus. Manai mammai bija viens no vectēva skapīšiem Mācijies galdnieks nebūtu uztaisijis labāku. Adamam un Lībai bija divi dēli. Vecākais bija mans tēvs Edvards, meita Elza un jaunākais dēls Kārlis. Mans tēvs bijis klusas saticīgas dabas nav dzēris un nav arī smēķējis. Esmu redzējis dažus viņa zīmējumus bija ļoti labi. Pašmācības ceļā iemācijies spēlēt vijoli."
1340524,"Kaut arī dzīve nebija viegla viņa bija pastāvīgi jautra. Tajos laikos kaut kāda skola jau bija mani vecvecāki prata lasīt
Viss lasamais materials gan bija Bībele un dziesmu grāmata. Brakmaņi kā arī Priedīši pa ko rakstīšu vēlāk, bija Luteraņi.
Vectēvs no mātes puses ir Jēkabs Priedītis. Vectēvs dzimis un audzis vai nu Pērkones vai Cenkones pagastā. - Liepājas dienvidos. Saprotu viņš nav no saimnieku ģimenes
Viss ko zinu pa viņa ģimeni ir ka viņam māte ir minēta tādā sakarībā ka Jēkabs nācis uz Liepaju dzīvot vina ir nākuse līdz. Kādreiz jaunībā plaujot, tas plāvējs kas sekoja aiz viņa nav bijis uzmanīgs un ievainojis Jēkaba kāju. Klibojis visu mūžu. Tā mācijies turpat uz laukiem pie drēbnieka kas gājis no mājas uz māju apšūdams pēc vajadzības. Aprecējis [apprecējis] Annu Ansuli
Viņa bija saimnieka meita un kad brālis dabuja saimniecību tad Anna un viņas māsa dabuja mantojuma daļu naudā. Pārnākuši uz Liepaju dzīvot un pa mantojuma naudu nopirkuši ""nameli"" Laikam jau tikai tāds namelis vien bijis. Manā laikā pie Ādģēru dīķa namelis vairs nebija. Vectecs pircis dažus vecus uzvalkus ""utu tirgū"" (fleemarket) izārdijis un noņēmis paraugus piegriešanas šabloniem. Tā viņš arī mācījies kā amatā mācijušies skroderi pilsētā strādā. Sakarā ar to viņam nāca arī pilsētnieki dot darbu. Ādģeru dīkis kur bijis namelis bija galējā Liepājas dienvidus galā. Labi pieejams lauciniekiem."
1340520,"līdz laimīgi nonācām Amerikāņu gūstā. Vēlāk pārveda uz Angļu zonu, Līdz vasaras beigām ""ganijamies"" Putlosas mežā. Bija pietiekoši zāle un gliemēži. Vācu lauciniekiem nozuda pa aitai. Nāca rudens un iesēdināja vilcienā un rullējām uz Cedelgemu [Zedelgemu], Beļģijā. Tur nu letiņi baigi šiverējās
Materials vairākām grāmatām. Uztaisija izstādi un uzdāvināja Anglu komandantam rakstamgaldu un krēslu. Es uzgriezu rakstamgalda piederumus. 1946 gadā palaida mūs vaļā un aizveda atpakaļ uz Vāciju. Paldies Dievam, sieva ar visām trim meitām bija tikušas Amerikaņu zonā, Michenē [Minhenē]. Caur sarkano krustu viņa mani atrada un aizveda uz Grīnvaldi, Minchenes tuvumā. Grinvaldē iepazinos ar bijušo Minchenes mākslas akademijas profesoru, tēlnieku Feirij Weinmann Es strādāju viņa darbnicā dažādus darbus. Līdz ar to ari mācijos. Es biju dzirdējis ka terakotas taisa skalojot šķidru mālu formā bet viņš pieda veidošanas biezuma mālu abās formas pusēs un lika kopā. Man ļoti interesēja kā taisa ķīļus vai gabalu formu. Te nu sākās manas tautu meitas vēsture. Veidoju no plastelina [plastilīna] tautu meitu ar daudz izciļņiem un padziļinājumiem lai būtu laba prakse ķīlus lejot. Gribu uzsvert ka nebiju domājis veidot kaut ko izstādīšanai. Nezinu ja ar tas tā būtu bijis vai būtu ko labāku ""uzbūvējis"". Pavisam labi apzinos ka esmu tikai kokgriezējs tāds vidus mēra varbūt drusku pāri. Katrā ziņā lūdzu"
1340517,"Zigfrids Brakmanis
Esmu dzimis 1911. 24. decembrī. Pamatskolu beidzu 1926. gadā. Koktēlnieka amatu sāku mācīties pie Romualda Grinevica 28. gadā. Viņš, un Āboliņš bija vienīgie kokgriezēji kas beidza Mākslas Akademiju Latvijas brīvvalsts gados. 1930 g. abi aizbraucām uz Rīgu. 1931 g. sāku strādāt patstāvīgi. Kaŗa klausību pildīju Smagā Artil. [artilērijas] Pulkā no 1933 līdz 1934 g. Amatniecības kamera organizēja izstādi. Es izstādiju karavīrus pie dižgabala. Dabuju atzinības rakstu un ""dižgabalu"" uzdāvināju savam pulkam. Dažādas sīkākas lietas ir griestas [grieztas] bet galvenos lielākos ko atminu. Makša Rathfeldera galdniecībai griezu divas Čipendale edamistabas mahagoni koka. Viena no tām bija arī manis zīmēta. Galdnieks vai pasūtītājs parasti pasūtija darba zīmējumu mēbeļu zīmētājam Görke. Tad vienu ozola koka kabinetu Dancigas baroks un vienu guļamistabu, Biedermeier. Robiņa mēbelu fabrikai griezu iekārtu kādai sieviešu korporacijai, pēc Anša Cīruļa zīmējuma. Valsts Prezidenta goda krēslu Kongresa zālē. Visas četras kājas bija veidotas kā lauvu galvas, gotiskā stilā pēc arch Trofimova pienesta ģipša lējuma. Prof. Laubes zīmēts ""Waldschlöschen"" (ceļā uz Sarkandaugavu)  pārbūvēja Valsts Prezidentam kā vasaras mītni. Tur griezu tādu kā mazāku zāli baroka stilā. Tad arī vēl četrām vai piecām durvīm rotājumus, trīs kviešu vārpas apvītas ar prievīti. Katrai durvij tie paši elementi tikai citādā sakārtojumā. Šie rotājumi bija manis zīmēti. Nevaru nemaz iedomāties cik tiku griezis Ķemeru Viesnicas darbus. Robiņš bija saņēmis"
