File-ID,Transcribed Text
1375747,"Telefons - 25 Ls.
20. martā. ""Romos"" dega gaļas būdiņa. Labi, ka es pirmā ieraudzīju!
Laiks ir silts un lietains. Gūžu pārsiet brauc 2 reizes nedēļā. 5 Ls nedēļā.
23. martā pirmo reizi biju laukā.
25. martā. Slapjš sniegs. Marija aizgāja pie Māras. Pārsiešanā bija abas dakteres.
27. martā. Biruta bija matus griezt. Iedzērām arī. Arī drēbes nopirku.
30. martā. Sveta ar Egilu atveda maizi. Iedevu 40 Ls. Vēl jādod 45 Ls.
Aprīlis 2004 g.
3. apr. Marija aizbrauca uz ""Celmiņiem"", jo brauc Cecīlija no Beļģijas un Anniņa, abas māsas brauc ciemos/
3. aprīlī. Atbrauca Ausma. Svētdien aizbrauca atpakaļ uz Ventspili.
7. aprīlī. Mammas dzimšanas dienā biju uz Ventspili pie dakt. Zirņa uz pārbaudi.
Paldies Dieviņam viss ir labi. Veda mūs ""Degumnieki"". Paldies viņiem! 
10. apr. Pensija bija klāt 1 Ls 96 santīmi. Marija ir ""Degumos"". Fredim 65 gadi.
17. apr. Marija ir mājās ""Celmiņos"".
19. apr. No rīta Marija brauc mājās.
20. apr. 3os pēc pusdien Marija brauc atkal uz ""Celmiņiem"". Solīja būt atpakaļ, bet vēl 22. apr. nav.
23. apr. Atbrauca no pagasta Māris, Aldona. Telefons - 25 Ls.
Aivars un Jānis. Visur es tik esmu vainīga, Marija nav nekur vainīga. Noraudāju asariņas un ir jādzīvo tālāk, kā nezinu! Sastāstīts ir tas, kas nemaz nav noticis. Izturēšu.
24. apr. Mūrnieks Arnis no Alsungas iztīrīja skursteni, izslaucīja mūri. 10 Ls.
27. apr. Dambis J. atveda malku, maksā 45 Ls krava. Samaksāju 20 Ls.
28. ap. Samūrēja skursteni ar visu trepi, samaksāju 30 Ls. Arī osim zarus apzāģēja. 
Maijs 2004. g.
1. ""Degumi"" atveda skābus kāpostus un aizveda Marijas mantas uz ""Celmiņiem"".
2. Skaidrīte atveda pienu un salātus. Sanesa malku un ūdeni.
3. maijs. Zvanīja onkulis no Zviedrijas. Pa maija svētkiem solīja Ausma atbrauks, arī Alsungas Ausma solīja. Nekā. Nevaru vairs ticēt nevienam!
8. maijs. Zintiņa Ausma iesēja redīsus, dilles, ķirbjus, kabačus un sīksīpoliņus. Arī siltumnīcā iestādīja 5 tomātus, 4 gurķus. 2 papriku, arī vecās gruķu sēklas ieseja, arī dālijas iestādīja.
7. Arnolds mašīnu sataisīja. 5 Ls. Atveda Ivars vistām graudus. 5 Ls."
1375746,"27. janvārī. ""Degumnieki"" aizveda mani uz Ventspili pēc naudas. Noņēmu 900 Ls. 800 Ls atstāju ""Sūniņiem"" un kad man vajadzēs, tad atvedīs uz slimnīcu. 100 Ls māja. No 21. janvāra nav nācis mans runcis ""Melniņš"", nu jau nedēļa, ka nav.
Runcis Melniņš vakarā atradās. 
31. janv. Atbrauca Fredis un Ārija. Fredis atveda man ratiņus, labākus nekā bija mammai, un arī kruķus sataisīja īsākus.
Februāris. 2004. g.
1. februārī. Pazvanīja Onkuls no Zviedrijas.
3. febr. Marija ar Edgaru aizņēmās 100 Ls, pirks Marekam mašīnu.
4. febr. Vējš stiprs, no rīta lietus, slidens, + 3 gr.
8. febr. Atbrauca Sūniņi, atveda ēšanu un paņēma ratiņus, kruķus un ķeblīti, kur atspiesties Valijai. Paldies viņiem!
10. febr. Guculiene solīja, ka atdos naudu, nekā! Pusseptiņos vakarā pērkons un zibens. Sniegs un krusa.
12. febr. Sals, neliels sniegs, -17 grādi.
16. febr. Arnolds aizveda uz Ventspils slimnīcu. Telefons - 26 Ls.
18. febr. 2 stundas un 30 minūtes ilga gūžas operācija. Bez 5 min 12 dienā ieveda mani reanimācijā līdz 19 febr. plkst 10 no eītu gulēju 2. palātā, operācija maksāja 590 lati. Ausma dakterim Zirnim nopirka lasi, kafiju un pudeli balzāmu. 
Pēc nedēļas ieveda čigānieti Dzidru Pauce. Ciemiņi nāca daudz. Lilija, Ausma, Veronika, Austra, Māra, Lūcija, Sveta. Paldies viņiem visiem par palīdzību, ka mani neaizmirsa. Arī kuldīdznieki, Lidija, Ligita bija, Sūniņi bija un Guntas mamma Gunta un Māris. Pēc operācijas 7. uz 8. dienu šausmīgi sāpēja.
Paldies, Dieviņam, bet viss ir savā vietā. Mājās pārbraucu 5. martā vakarā. Maiga un Aivars atveda.
Marts 2004. g.
5. martā
Esmu mājās no slimnīcas. Katru dienu ir saule, bet naktī piesalst.
11. martā. Māra atnesa teļa gaļu.
Daudz! Paldies viņai! 
12. martā. Samaksāju par telefonu 26 Ls. Elektrību 5 Ls. Vēl jāmaksā par zemes nodokli.
13. marta vakarā pazvanīja Onkuls no Zviedrijas. Paldies! 
8.-15. brauc pārsiet ģimenes ārste Agrita Kalniņa. 2,50 Ls uzreiz.
17. Atbrauca Zenta. Atveda bietiņas. Paldies! 
18. mart. ""Degumnieki"" atveda bietiņas, burkānus, kartupeļus, skābus kāpostus. Arī Ārija bija. Paldies viņiem!"
1375745,"Janvāris 2004 g.
7. janv.  Sals -10 gr. 
Sūniņi sazvanīja Onkuli un pēc deviņiem vakarā viņš man zvanīja. Izraudājās mēs abi. Paldies! Pa dienu atbrauca Marija ar Edgaru (Guculiene). 
9. janv. atbrauca Marija. Sals -10 gr.
2. janv. Sveta ar Egilu atbrauca. Iedevu 100 Ls, vēl 80 Ls esmu parādā. Arī Marija bija.
13. janv. Maksa par telefonu ir 20 Ls. Marija ir atbraukusi.
14. janvārī, trešdien. Ritvars veda uz Kuldīgu. Daktere Agrita bija līdz un Marija. 7 Ls. Paldies Dieviņam uz gadu dabūju 2. grupu. 
19. janv. Egils aizveda uz Ventspili, pie Dakt. Zirņa, arī Ausma un Marija bija. Sarunāju operāciju 16. febr. Egilam 12 Ls un 5 Ls mums trijiem pusdienas. Bail jau ir, bet ceru, ka Dieviņš līdzēs un viss būs labi. Egils maizes kombinātā dabūja daudz maizes, arī man daudz iedeva.
24. janv. -12 grādi.
25. janv. -18 grādi.
26. janv. -12 grādi."
1375748,"9. maijs. Viss zied, vēl tik ābeles ir pumpuros.
10. maijs. ""Degumnieki"" un es bijām Ventspilī, noņēmu naudu 400 Ls.
11. maijā. Saņēmu pensiju 50.96 Ls. Telefons 16 Ls. 3 Ls avīzēm.
15. maijs. Vakarā atbrauca Ausma Gulbe, Skaidrīte nomazgāja mani, iestādīja siltumnīcu, izvārīja pupiņu zupu, svētdien Skaidrīte aizveda pie Birutas. Arī Elga atnāca. Sals -6 gr. Gurķīši visi nosala.
22. maijā. Šodien glabā Imantu Griezi.
Vieglas smiltis. 63 g. v.
23. maijs. Vakarā atbrauca Ārvalds ar Ausmu. Aizbraucām uz ""Zaķu krogu"". Ārvalds izmaksāja, smuki bija. Paldies! Arī Onkuls zvanīja. Paldies!
26. Vakarā Skaidrīte zvanīja, ka naudu par kopšanu pagasts nedod. Esmu tā sanervozējusies, ka 27. visu dienu raudu, par tādiem cilvēkiem, kam vairs nav ne kauns, ne gods. Iznāks, ka būs jāpārdod sava mājiņa un zemīte un jāpērk kaut kur dzīvoklis.
30. Atbrauca Ausma, izvārījām zupu. Skaidrīte nopļāva zāli, puspiecos aizbraucām pie Annas R. Iedzērām, pļāpājām, raudājām. 
31. Biju pie Martiņas, receptes izrakstīja. Viņa mani saprot. Tad iebraucu pie Vaļas. Atnāca Aldona, sastāstīja tādus melus, kā nav kauna ne ""Celmiņiem"", ne Brikšļu ģim. Dzēriņiem, Romiem, Mārai un ar ""Degļiem"". Nesaprotu, ko es viņiem visiem esmu izdarījusi. Bez sāpju un nervu zālēm vairs nevaru. Arī spiediens ir augsts. Gan jau Dieviņš viņiem atmaksās par to netaisnību. Lūgties jau neiešu! Gan jau Dieviņš viņiem atmaksās ar laiku! 
Jūnijs 2004 g.
4. jūn. Bija no Rīgas atbraucis Aivars. Zemi jau pirktu, bet dzīvot te vel negrib.
5. jūn. Atbrauca Līvija no Rīgas. Izveda mani ar mašīnu uz Jūrkalni, tur aliņu dzērām, pēc tam Zaķu krogā paēdām vakariņas. Viņa maksāja.
12. jūn. Atbrauca ģimene skatīties māju, jo avīzē bija sludinājums. Skaidrīte ar Gati atbrauca, gandrīz sakrāva malku, arī visu izravēja. Vēl kāda stunda un malka ir iekšā. Sprunguļi vien ir, tur nevar maksāt 42 Ls.
13. jūn. Rita ar Ivetu atbrauca, Ausma neatbrauca.
20. jūn. Ausma bija, sakrāvām malku, izvārījām zupu. Vakarā atbrauca Skaidrīte, nopļāva sētu un dārzu. Paldies par līdzēšanu! 
23. jūn. Ar Ausmu bijām svinēt Jāņus, pie Skaidrītes, Ausma mani nomazgāja.
24. Lija lietus. Vakarā Ausma brauca mājās. Sāp ļoti gūža. Nevaru gandrīz paiet.
27. jūn. Ausma neatbrauca. Ļoti sāp gūža.
29. jūn. ""Celmiņu"" Jānis atbrauca nopļaut pirts gabaliņu un krūmus un kokus.
28. atbrauca ārsti, Agrita un Martiņa, atveda zāles, iešpricēja, bet nekā laba. 
Māra atsūtīja kāpostu zupu. Paldies!"
1375744,"pērtiķa gads gaiļa gads
gada grāmata - 2004 gadā. 2005. g."
1375762,"2005 gads. Gaiļa gads.
2006 gads Suņa gads"
1375815,[vāks]
1375784,"Suņa gads
2006. gada grāmata"
1375694,"Dienasgrāmata
Zigfrīdas Paegles"
1375700,"Trešdien, 14 II Mēs ar Veru līdz 9iem gulējām. Pēc tam ""V"" sakārtoja gultas, tad paēdām un kad mēs iesākām ēst, atnāca Leontīne un Elvīra. Tad mēs aizgājām uz Trumuļiem, un tad braucām ar slēpēm no kalna. Kad pārnācām, tad tur vēl bija Upnieka Kača, Toms, Aivars. Tad mēs dzērām alu. Tad gājām zāģēt malku. Drīz es braucu ar slēpēm mājās. 
Ceturtdien, 15 II Bija jāiet uz Vecarājiem kopt govis. 
Piektdien, 16 II Kopju atkal govis.
Sestdien, 17 II. -----------
Svētdien, 18 II Visu dienu biju mājās. Vakarā klausījos raidījumus.
Pirmdien, 19 II Neatceros
Otrdien, 20 II Biju uz Alsungu pie zobārsta.
Trešdien, 21 II Pa dienu šuvu. Vakarā gājām uz Kaminskiem, pie Ārijas uz vārda dienu. Piegājām pie Ruņģiem un tad visi gājām projām. Tur sveši neviens nebija, visi apkārtējie. Vēlāk Ā, A un es sākām zīlēt uz papīra. Tad runājām tāpat. Mēs pārgājām mājās plkst pus 7os rītā. 
Ceturtdien, 22 II. Gulēju līdz plkst 12iem. Tad piecēlos un šuvu un pa starpam lasīju grāmatu.
Piektdien, 23 II. Neko sevišķu nedarīju. Plkst 3os aizgāju uz autobusu mammu sagaidīt.
Sestdien, 24 II un svētdien, 25 II. No rīta mazgāju istabu. Mazliet vēlāk aizgāju uz Mauriem, bet V. nebija mājās. Vakarā es aizgāju pie V, un tur jau bija Elvīra. Mēs uzrakstījām grāmatas un tad gājām uz Grājiem, mums piebiedrojās puikas T un A. Grājos gāja jautri. Bija trīs muzikanti. Kad mēs nācām mājās, mūs pavadīt nāca ""J"" no Gulbjiem un ""Ja"". Viņi atnāca līdzi uz Pāžiem. Elvīra ar Tomu gulēja vienā istabā, bet mēs četri vienā gultā. Es gulēt nemaz nedabūju, jo ""Z"" visādi bakstījās. Mēs gulējām līdz plkst 7iem no rīta. Viņi pārgāja mājās, bet es palīdzēju sienu nomest govīm. Tad gāju mājās. Es izvairījos un ceļā nevienu nesatiku. Mājās neviens nerājās. Pagulēju 3 stundas un tad cēlos augšā. Vēlāk mēs ar mammu aizgājām uz Brasliņiem un pēc tam uz Tīlceļiem, bet tur Anna jau bija atnākusi uz mūsmājām."
