File-ID,Transcribed Text
1391087,"Kabatas kalendārs
1937
Izdevniecība ""Globus"", Rīgā, Aku ielā 5/7"
1391085,Kabatas kalendārs
1391096,"1937.03.21
Svētdiena, Pūpolu svētdiena
86d. Ceļā uz Azorām.
1937.03.22
Pirmdiena,
87d. Ceļā uz Azorām.
1937.03.23
Otrdiena,
88d. Ceļā uz Azorām.
1937.03.24
Trešdiena,
89d. Ceļā uz Azorām.
1937.03.25
Ceturtdiena, Zaļā ceturtdiena
90d. Ceļā uz Azorām.
1937.03.26
Piektdiena, Lielā piektdiena
91d. Ceļā uz Azorām.
1937.03.27
Sestdiena,
92d. Ceļā uz Azorām.
1937.03.28
Svētdiena, 1. Lieldiena
93d. Ceļā uz Azorām. 24.00 Azoras dvarsā
1937.03.29
Pirmdiena, 2. Lieldiena
94d. Ceļā uz Dunkirku [Denkerku].
1937.03.30
Otrdiena, 3. Lieldiena
95d. Ceļā uz Dunkirku [Denkerku].
1937.03.31
Trešdiena, 
96d. Ceļā uz Dunkirku [Denkerku].
1937.04.01
Ceturtdiena,
97d. Ceļā uz Dunkirku [Denkerku].
1937.04.02
Piektdiena,
98d. Ceļā uz Dunkirku [Denkerku].
1937.04.03
Ceturtdiena,
99d. Ceļā uz Dunkirku [Denkerku]."
1391086,K. Lapiņš
1391092,"1937.01.24
Svētdiena, 
31d, Vilmingtonā
1937.01.25
Pirmdiena, 
32d, Vilmingtonā
1937.01.26
Otrdiena, 
33d, Vilmingtonā
1937.01.27
Trešdiena, 
34d, Vilmingtonā
1937.01.28
Ceturtdiena, 
Kārlis
35d, Vilmingtonā
1937.01.29
Piektdiena, 
36d, Vilmingtonā
1937.01.30
Sestdiena, 
37d, Vilmingtonā
1937.01.31
Svētdiena, 
38d, Vilmingtonā
1937.02.01
Pirmdiena,
39d. Atstājam Vilmingtonu
1937.02.02
Otrdiena,
40d. Bijām Čarlstonā bunkurēties
1937.02.03
Trešdiena,
41d. Ceļā uz Panāmas kanālu
1937.02.04
Ceturtdiena,
42d. jūrā
1937.02.05
Piektdiena,
43d. jūrā
1937.02.06
Sestdiena,
44d. jūrā"
1391098,"1937.08.04
Trešdiena,
Kārlīša nāves diena"
1391093,"1937.02.07
Svētdiena,
44d. Redz Kubas salu
1937.02.08
Pirmdiena,
45d. Redz Jamaikas salu
1937.02.09
Otrdiena,
46d. jūrā
1937.02.10
Trešdiena,
47d. Panāmas kanālā
1937.02.11
Ceturtdiena,
48d. Klusā okeānā
1937.02.12
Piektdiena,
49d. Ceļā uz Tokopilu
1937.02.13
Sestdiena,
50d. parbrauc Ekvatoru
1937.02.14
Svētdiena,
51d
1937.02.15
Pirmdiena,
52d
1937.02.16
Otrdiena,
53s
1937.02.17
Trešdiena,
54d
1937.02.18
Ceturtdiena,
55d
1937.02.19
Piektdiena,
56d
1937.02.20
Sestdiena,
57d. Tokopilas ostā"
1391090,"1
1936.12.27
Svētdien
3d
1936.12.28
Pirmdien
4d
1936.12.29
Otrdien
5d
1936.12.30
Trešdien
6d
1936.12.31
Ceturtdien
7d
1937.01.01
Piektdiena, Jaunais gads
8d
1937.01.02
Sestdiena
9d
1937.01.03
Svētdiena, 
10d. Azoru salās
1937.01.04
Pirmdiena, 
11d
1937.01.05
Otrdiena, 
12d
1937.01.06
Trešdiena, 
13d
1937.01.07
Ceturtdiena, 
14d
1937.01.08
Piektdiena, 
15d
1937.01.09
Sestdiena, 
16d"
1391091,"1937.01.10
Svētdiena, 
17d
1937.01.11
Pirmdiena,
18d
1937.01.12
Otrdiena,
19d
1937.01.13
Trešdiena,
20d
1937.01.14
Ceturtdiena,
21d, Bermūdu [Bermundu] salas
1937.01.15
Piektdiena, 
22d
1937.01.16
Sestdiena,
23d
1937.01.17
Svētdiena,
24d
1937.01.18
Pirmdiena,
25d, Vilmingtonā
1937.01.19
Otrdiena,
26d, Vilmingtonā
1937.01.20
Trešdiena,
27d, Vilmingtonā
1937.01.21
Ceturtdiena,
28d, Vilmingtonā
1937.01.22
Piektdiena,
29d, Vilmingtonā
1937.01.23
Sestdiena,
30d, Vilmingtonā"
1391094,"1937.02.21
Svētdiena,
58d. Hospitālī
1937.02.22
Pirmdiena,
59d. Hospitālī
1937.02.23
Otrdiena,
60d. Hospitālī
1937.02.24
Trešdiena,
61d. Hospitālī
1937.02.25
Ceturtdiena,
62d. Hospitālī
1937.02.26
Piektdiena,
63d. Hospitālī
1937.02.27
Sestdiena,
64d. Izbraucam no Tokopilas. Uznāca jauns 
[deķanieks]
1937.02.28
Svētdiena,
65d. Ceļā uz Panāmu
1937.03.01
Pirmdiena,
66d. Ceļā uz Panāmu
1937.03.02
Otrdiena,
67d. Ceļā uz Panāmu
1937.03.03
Trešdiena,
68d. Ceļā uz Panāmu
1937.03.04
Ceturtdiena,
69d. Ceļā uz Panāmu. Kalnc. 
80 []
1937.03.05
Piektdiena,
70d. Ceļā uz Panāmu
1937.03.06
Sestdiena,
71d. Ceļā uz Panāmu"
1391097,"1937.04.04
Svētdiena,
100d. Ceļā uz Dunkirku [Denkerku].
1937.04.05
Pirmdiena,
101d. Ceļā uz Dunkirku [Denkerku].
1937.04.06
Otrdiena,
102d. Dunkirkā [Denkerkā].
1937.04.07
Trešdiena,
103d. Dunkirkā [Denkerkā].
1937.04.08
Ceturtdiena,
104d. Dunkirkā [Denkerkā].
1937.04.09
Piektdiena,
Dunkirkā [Denkerkā]. Beļģija. Vācijā. 
1937.04.10
Sestdiena,
Berlīnē - Polija, Danciga - Polija, Vācija, Lietava
1937.04.11
Svētdiena,
Šauļu stacijā 
1937.04.17
Sestdiena,
Rēveles ielā"
1391095,"1937.03.07
Svētdiena,
72d. Ceļā uz Panāmu
1937.03.08
Pirmdiena,
73d. Ceļā uz Panāmu
1937.03.09
Otrdiena,
74d. Ceļā uz Panāmu
1937.03.10
Trešdiena,
75d. Panāmas kanālā
1937.03.11
Ceturtdiena,
76d. Karību jūrā. Ceļā uz San Tomas. 
1937.03.12
Piektdiena,
77d. Ceļā uz San Tomas.
1937.03.13
Sestdiena,
78d. Ceļā uz San Tomas.
1937.03.14
Svētdiena,
79d. Ceļā uz San Tomas.
1937.03.15
Pirmdiena,
80d. Ceļā uz San Tomas.
1937.03.16
Otrdiena,
81d. Ceļā uz San Tomas.
1937.03.17
Trešdiena,
82d. San Tomas salā.
1937.03.18
Ceturtdiena,
83d. Ceļā uz Azorām.
1937.03.19
Piektdiena,
84d. Ceļā uz Azorām.
1937.03.20
Sestdiena,
85d. Ceļā uz Azorām."
