File-ID,Transcribed Text
1458893,"sieviņ, ir tik lielas, ka to nemaz nevaru izteikt. Angļi saka, ka pagaidām katra doma par mājām jāaizmirstot līdz viss nokārtošoties. Mēģināsim kaut kā tikt līdz Hamburgai, jo tur ir Latviešu Nacionālā padome, tā kaut ko paskaidros.
16.VI.45. g.
Šodien drusku tāda sliktāka šancīte maniem veciem kauliem, jāstāda bietes uz līdzena lauka, vakarā sāp kājas un mugura. 
17.VI.45. g.
Pie svētdienas esam atkal visi kopā ezermalā, peldamies, makšķerējam kopā ar angļiem, kuri uz mums latviešiem skatās ļoti labvēlīgi, kā sev līdzīgiem. Vācieši turpretī drīkst pie ezera parādīties no rītus agri"
1458883,"tukšā kompānija, pilsētā tukšo visas noliktavas, dod ārā produktus privātiem. Mēs saņēmām par 5 kukulīti maizes, 10 gr. tauku, par desmitiem bundziņu konseviem, pusdienās kārtīgu [..]. Karš ir galā, gaidām, kad ieradīsies angļi un pārņems visu, kas tālāk būs.
7.V.45. g.
Un tagad tas ir noticis. Angļu tanki nāk pa visiem ceļiem. 19.30 viņi bij jau mūsu ciemā. Kāds būs mūsu tālākais liktens, to tikai Dieviņš zin. Puiši iedzēruši dzied latviešu dziesmas un gaida, kas notiks. 
9.V.45. g.
Šovakar īsi pirms saules nostiešanas atbrauca angļu mašīnas un mūs latviešus aizveda līdz uz kādu pilsētiņu. Novietoja kopā ar mūsu batl. krievu rotu vecā siļķu noliktavā un nu esam gūstekņi, jo pie durvīm stāv bruņots sargs.
10.V.45. g.
Brokastīs katrs saņēma"
1458890,"strādāt. Ar angļu kom. atļauju pēcpusdienā aizbraucam pie viena lielsaimnieka, bijušā armijas majora, bet ēšana ir vēl sliktāka kā lāgerī. Divas dienas nostrādājuši pie mēslu nešanas, ejam tālāk uz citu ciemu tuvāk Elbai.
2.VI.45. g.
Esam tagad visi vienā ciema pie četriem saimniekiem. Mēs kopā seši, ēšana laba, strādājam ko kurš prot. Es strādāju uz lauka ar zirgiem, zirgi labi, tādi kā mājās, tikai strādāšanas veids citāds. No rītus ceļamies plk. 6. 6.30 brokastis, 7 iziet pie darba, 10 sviestmaize ar kafiju, 12 mājās līdz 2 pusdienas, 4.30 palaunags, 6.45 darba beigas un diena galā.
3.VI.45. g.
Šodien svētdiena, pirmā kopš esmu no mājām"
1458886,"uz kopējo lāgeri Nordhold aerodromā. Tur ir tūkstošiem ha liels laukums, pilns ar cilvēkiem, zirgiem un mašīnām, kas savāktas vienkopus nodošanai angļiem. Vienību pēc vienības atlauž no karavīru rindām, rīt vai parīt būs mūsu rinda, bet kur tad paliksim, nezinu.
18.V.45. g.
Šodien pēcpusdienā mūs ar mašīnām pārveda uz Stādi, kādās sarkanā krusta barakās. Barakas ir pilnas karavīru, ka mums nav vietas, kur palikt, pārguļam nakti zem klajas debess.
19.V.45. g.
Nakts bij diezgan auksta, šorīt taisām būdas no teltenēm pa četriem kopā. Garastāvoklis diezgan bēdīgs, jo šodien taču Vasarsvētku sestdien, bet kādi man"
1458887,"viņi kā gūsteknim. Neesmu ēdis jau vairākas dienas, tikai ja izdodas kur samangot maizi, tad piedzerot aukstu ūdeni kaut kā iztiekam. Nezinu arī par tevi, mīļo sieviņ, nekā, vai esi vēl sveika un vesela un brīvībā jeb labākā gadījumā kaut kur Krievijas klajumos. Vai gan liktens būs tik briesmīgs un šķir mūs uz visu mūžu, tam gribētu ticēt. 
20.V.45. g.
Šorīt uzceļamies 10 no rītus, diena brīnišķīga. Guļam un sauļojamies, esmu tā iededzis, kādu tu mani neesi redzējusi, tumšāki par čigāniem. Rītu, iespējams, ka angļi mūs latviešus pārsūtīs uz ārzemnieku lāgeri.
21.V.45. g.
Šodien pie otrajiem svētkiem piedzīvojam kaut ko tādu, kas varēja"
1458882,"3.V.45. g.
Nesasniedzot veco dzīves vietu, saņēmām rīkojumu iet atpakaļ uz Elbas pusi, kuru sasniedzam otrās dienas pēcpusdienā.
5.V.45. g.
Šorīt plkst. 8 no rītus it kā esot noslēgts pamiers vai kapitulēts angļiem, kaut kas it tomēr noticis, jo nešauj artilērija, nav lidmašīnu. 
6.V.45. g.
Baigs klusums pēc milzu vētras, kas plosījās visu laiku. Guļam kādā šķūnī un gaidām, kas notiks, ko nesīs mums liktens. Kaut kas notiek, bet kas, to nezinām. Kaut kur dod šņabi, puiši nes pilnus katliņus un dzer pa visiem kaktiem. Runā arī kaut ko par Staļina krišanu, bet noteiktu ziņu nav.
Brīnums tas tagad nebūtu, jo pagājušā nedēļā ir tik daudz notikumu, ka visu to nevar aptvert.
7.V.45. g.
Šodien spīd saulīte, pusdienas laiks, puiši pa lielākai daļai iedzēruši un snauž saulītē. Pēcpusdienā jānodod ieroči, bet mums tādu nav, jau no pagājušā gada esam"
1458896,"Tuvojas saules lēkts, atgriežas papardes ziedu meklētāji, lec saulīte skaidra kā zelts, esam noguruši no alus un negulētas nakts, neveicās vairs sarunas, jo atkal aizkustināts sāpīgais jautājums, ko klusībā uzstādījis ikviens, kur gan svinēs citus Jāņus. Līgo svētki cauri, atgriežamies katrs uz savām mājām.
26.VI.45. g.
Pulkstens 5.30 esmu laukā ganībās aizgājis pēc zirgiem un taisni tagad paiet vesels gads – mūžība, ka man vajadzēja šķirties no tevis, sieviņ, un jums, mīļie piederīgie, esmu tik skumjš, vai tiešām man liktens būs tik nežēlīgs jūs vairs neredzēt, to iedomā"
1458894,"un pēc 7 vakarā. Pēcpusdienā aizejam uz Elbas malu ķiršu pirkt.
19.VI.45. g.
Šodien slikts garastāvoklis, jo mūsu laimīgais skaitlis 12 izira, jo lielais Pīteris aizgāja uz Hamburgu meklēt pad.
23.VI.45. g.
Līgo svētku pēcpusdienā nestrādājās, kad darba tik daudz . Mums taču svētki, ejam visi līgot uz apmēram 5 klm. tālo Dandeku muižu pie citiem latviešiem. Tur atrodam sapulcējušies no visas apkārtnes dzīvojošie latvieši, tuvu pie 50; svinam Jāņus, ar angļu atļauju drīkstam līgot visu nakti un dedzināt jāņugunis, ko darām ar lielu neatlaidību. Cik skaists"
1458892,"šodien pirmo reizi uzģērbuši sajūta tik laba. Daži no mūsu puišiem vakar vakarā bij aizgājuši ciemos pie latvietēm uz blakus dorfu, tos tagad visādi zobo, jo tas pie mums tā parasts. Mēs ar krusttētiņu makšķerējam visu dienu, ceļam ārā tādas karpas kā malkas pagales. 
Vakarā atnesām mājās pilnu mugursomu. Šodien ēdu pirmo reizi ķiršus. 
12.VI.45. 
Nupat beidzu art kartufeļus un kā parasts rakstu dažas rindiņas.
15.VI.45.
Trīs pagājušās dienas vedām mēslus, manas rokas jau pieradušas, bet puišiem pilnas rokas tulznu. Ir šis tas jauns, bet kad tiksim uz dzimteni nezinu. Ilgas pēc viņas un tevis, mīļo"
1458891,"projām, jūtos brīvs, visu dienu domāju par tevi, mīļo sieviņ, ko tu dari vai esi vēl sveika un vesela jeb tevi ir viņi nomocījuši, mūsu latviešu bariņš kopā 12 salasāmies pie ezera, kur nodzīvojam visu dienu.
7.VI.45. g.
Vesels gads jau pagājis kā biju pie tevis ciemā. Mīļais Dieviņš to tikai zin, vai mēs vēl tiksimies.
9.VI.45. g.
Jau vairākas dienas vagoju kartufeļu un zirgu pūtinot atkal rakstu dažas rindiņas savā grāmatiņā. Vesela nedēļa jau pagājusi kā šeit strādāju, nekas jauns nav, gaidām, kas notiks.
10.VI.45. g.
Šodien atkal pie svētdienas salasāmies viss ducis kopā. Esam jau sagādājuši privātas drēbes un"
