File-ID,Transcribed Text
1475549,"Lazdainē
1. dec. 40. g.
Mīļā Almucīt! 
Sāpīgs vaids izlaužas par lūpām, no rokām izslīd nasta...
Vai tikai tāda vien ir dzīve! 
Mēģinu no jauna, bet ļoti spiež sāpīgi plecu – bet kas lai nestu?
Kājas gurdeni iet dien dienā iemīto taku. Šķūnī bezspēkā sabrūku, galva iegrimst smaržīgajā sienā. Un ir tik labi elpot. Tā smarža mani mierina, paceļ no netīrās zemes – 
redzu tikai dzidrās debesis, kurās spīd neskaitāmas zvaigznes – 
un tad es zinu, cik tur pie zvaigznēm ir labi – tur cilvēki ir tīri... tur mājo miers...
Ak, kaut drīzāk varētu nokļūt tur! 
Te visiem esmu ļauna – arī Tev, Almiņ...
Ausīs skan vārdi, kuri pavada ik uz soļa... ""Tu gribi iesēt mūsu vidū, mūsu ģimenē naidu"". Tā esot es. Tā teica Tava māte.
Un tad man sirds lūza...
Negribu taisnoties, ja atzīstat mani tādu 1, kādu pašlaik domājat un redzat, lai arī palieku...
Tāda jau ir dzīve...
Almiņ, Almiņ, tad tāds ir Tavs drauga vārds, ka par pārs mēnešiem var aizmirst, to nedomāju nekad un negaidīju no Tevis – bet ko tur var darīt.
Tev vēl visa dzīve priekšā – 
plaša pilsēta, studentu dzīve – jauni draugi, viss tas ir jauks un vilinošs. Ko nu vairs draudzēties ar vecmeitu...
Cik ļoti gaidīju no Tevis vēstuli – 
velti būtu rakstījusi, nezināju adresi – 
lūdzu no Tavas mammas, nedeva – tik Soņas pierunāta nicinošu smīnu uz lūpām deva Tev uzrakstīt uz kuvēra.
Ko lai rakstu, jo nezinu, vai Tu šo vēstuli gribēsi lasīt.
Bet Tu biji vienīgā, kam uzticējos visu – bet tagad atstumtai... Arī labi, dzīvē taču jāsamierinās ar visu.
Tik zinu grūti, bezgala grūti tas būs. Atmiņas par Tevīm un mūsu draudzību, tās...
Tuvojās svētki, atceros ar kādām ilgām pagājušo gadu gaidīju tos un Tevi no Varakļāniem. Biju laimīga stāstot un uzticoties Tev...
Un šogad tie nebūs tādi, sniegs nebūs tik balts un debesis tik dzidras...
Almiņ, Almiņ, vai tik ļauna, tik riebīga esmu. A, varbūt.
Un šī vasarā tik daudzi dēļ Tevis uzupurējos. Es neprasu, ka Tu to darītu dēļ manis – 
tik vienīgi neienīst – jo neesmu to no Tevis pelnījusi.
Tik gaiša, tik laba Tu biji un vai Tu varēji palikt citāda? Nē, tam neticu. Tik sekla tu savās domās neesi...
Bet kas ir ienesis šo visu – šo domstarpību... Te ir vainīga Valija – bet, Almucīt, saki, stāsti tikai, neklusē – tas mani smacē, klusēšanu nevaru panest. Ja arī esmu vainīga, tad saki to!...
Bet varbūt Tavās acīs esmu tāda pat kā Lovkādes un šie skaistie vārdi ""Sūds vien Tu esi. Tu neesi man bijusi draugs, par tādu Tevi neatzīstu."" Un es tai uzticējos.
Un ticēju liekulei...
Nē, nē, Tu tāda neesi. Tev esmu uzticējusies daudz vairāk. Visu, visu...
Almiņ, nesāpini mani, raksti, lai arī šogad svētkus gaidītu reizē ar Tevīm."
1475559,"nē, ka solījos rakstīt Liepniekam vai aizbraukt pie viņa uz Līvāniem, tad viņa neko nesaka. (par lopiem rakstīto neierakstu)
Paliec sveikiņš! 
Valija
Marta Skuja
Nav spēka
Ai, kāpēc tevi satikt liktens lika,
Ja rokas man un sirds ir ķēdēs kalta – 
Vien ilgas tālēs trauc kā dūjas baltas
Par visiem aizsprostiem kas būtni skauj.
Kā zirneklis visapkārt uzglūn nāve
Un vientulības elpa smaga, cieta – 
Uz tevi ilgas trauc kā dūjas baltas
Par visiem aizsprostiem kas būtni skauj.
Kaut zinu, nemiers tikai lielāks augs – 
Nav spēka atteikties no Tevis draugs.
Gātnieka ielā 9 dz 4. 
St. L. 
Lazdainē 26. aug.
1941. g.
Labie solījumi tiek pamesti aizdurvē – samīti...
Skaistās idejas apgāztas, neredzētas – bet varbūt tomēr arī izprastas, tikai grūti uztveramas kā jauki skanošās stīgu skaņas... 
Un tad tikai tāda, lai būtu skaisto ideju pasaule?
Kur dzīves vērtības ir aizmirstas – atstāts un pamestas novārtā...
Tas viss liekās tik neticami – 
bet tā nu ir patiesība, kas liek ieskatīties vērtību pamatos, kur var saskatīt visu labo. Mēs neprotam dzīvi būvēt uz vērtībām – mums daudzreiz labāk patīk dzīves pelēkums, seklums.
Šķiet būtu pagājuši vai vairāki gadu desmiti, kas cilvēkiem liek svešiem un nepazīstamiem kļūt – liek aizmirst visu, kas kādreiz ir bijis gaišāks par ikdienu, kur sapņi ir vijušies pa gaišajām takām.
Un izrādās, ka šodien pie tā visa var pieiet kā svešinieks, kuram nav dārgs vairs kādreiz vīto atmiņu vaiņags – viņš ļauj tam irt, lai viss pēc tam kļūtu vēl svešāks, vēl tālāks. 
Tad jau labāk ir brist rasu slapjām kājām un neskatīties saules dimantos, jo tie apžilbina un liek ieskatīties siržu dziļumos.
Un tas šobrīd ir sāpīgi.
Ai, Stasi, Tevi domāju cēlāku par citiem, bet esmu vīlusies.
Tevī meklēju dziļu dvēseli – atradu, bet Tu pats to paņēmi un iemeti dzīves seklībā.
""Es esmu vīrietis.""
Bij labi teikti vārdi, bet nu vīrišķīgi attaisnojumi."
1475567,"Mīļo Zēn!
Tava otrā vēstule lika man domāt tik daudzi, bezgala daudzi par Tevīm...
Tā bija nemākslotas sirsnības pilna. Tā iznīcināja kādu manu apņemšanos.
Mīļo, Anton, man sirds nodreb, domājot par Tevīm... Es it kā neticu tai laimei, kas vēl nāks...
Tik atmiņas par mūsu bijušo mīli klejo kā izbārstīti ziedi – un sirds ilgas grib tos savīt krāšņā nevīstošā vainagā – kopā pagātni ar nākotni...
Zinu, Tu atvainosi manu ilgo klusēšanu...
Raksti, drīz gaidīšu tik ļoti, ļoti!.
Tava Valija.
(foto otrā pusē)
Zvani maija pulkstenīt
Palīdz mieru atzvanīt
Ilgu sāpes dvēselē
Neviens sapnis nedziedē..
28. martā
Ir pagājušas daudzi klusas dienas no tikšanās ar Ansi... Bija mocošas dienas, tikmēr to lielo lūzumu mūsu starpā aizmirsu, ne jau aizmirsu, bet biju spiesta to darīt.
Un šodien tik sirds dziļumos brīžiem ļoti smeldz – bet tur neko nevar darīt, jo viņa sirds pieder citai, tā viņš pats atzinās.
Nekad, nekad to vairs negribu sastapt, lai mūsu tikšanās neuzplēstu bijušo...
30. martā 1943. g.
Stirpas straumes nosprauž sev ceļu arī jūrā.
Ai, ai! Nedrīkstu domāt – man tālāk ir jābūt no viņa... Šī vakara atgadījums sirdi plosa kā vētrā.
Viņi ārā – zinu un saprotu...
Dimant, Marij, Jūs esat laimīgi – 
bet es – ai, neprasiet, to nespēju atbildēt.
Jūs gājāt mani pavadīt, bet es biju jau pus ceļā – 
skrēju kā traka, lai tik būt tālāk no jums – jo sirds lūza sāpēs...
Un tad raudāju kā nopērts bērns.. Saļimu dzīves priekšā – jo bez viņa dzīvei nav vērtības..
Neprasu daudzi – var tie būt tik daži mirkļi, bet ne jau sāpju un rūgtuma, bet gan laimes...
Arī tie man ir atņemti un liegti... Ai, cik nejauka un riebīga esmu visiem! 
Tā gribētos to visu izstāstīt kādam, bet nedrīkstu, jo visi par to smies, sevišķi Marija un ja vēl dabū zināt Soņa – nu nē, tad jau labāk ciest un pārdzīvot to visu vienai, lai arī, cik grūti tas būtu
Zinu, katrs viņa smaids – 
nesīs man laimi – un tad dienas būs bagātas, jo tām cauri vīsies viņa smaids un gaišo acu mirdzums...
Pašlaik esmu samierinājusies ar esošo, jo zinu citādi tas nevar būt..
Kaut gan sirds smeldz neizsakāmās ilgās pēc viņa neaizsniedzamā..."
1475551,"Domāju, ka nekad vairs nerakstīsi – manas domas apstiprinājās vēl vairāk, tad, ka tu kādu svētdien biji Nagļos... bet Valija Tev bij sveša, Tu neatradi pat mirkli apstāties pie tās.
Samierinājos ar esošos, jo tāda jau ir dzīve...
Bet tad, kāda rudens dienā atkal lasīju vēstuli. Paldies, Broņka, ka vēl atceries tālo Vaļu.
Ir labi, ka Tu drauga uzticību nemin zem kājām. Kā daudzi to dara...
Tos nenosodu, bet gan nožēloju viņu vājo raksturu, seklību.
Bet Tu tāds neesi, nu ceru, ka tādu arī vienmēr Tevi pazīšu.
Par sevīm man maz ir ko stāstīt, dzīvoju kā vienmēr. Precējusies neesmu. Un ja kādreiz tas notiks, tad Tevi ceru redzēt savās kāzās kā labāko draugu.
Nezinu, cik ilgi tās kāzas būs jāgaida – tēvs grib, lai precos vai šodien. Bet, Broņka, man sirds nodreb par to domājot. Precēt tādu vīru, kuru nemīlu... Nē, nē, to tik nē!...
Manas ilgas, sapņi un mīla ir bijusi dzīvei spēļu lieta!... Vispēdīgi aprakta sāpēs...
To vienmēr turēju lielu, svētu un tīru – tāds arī šodien tā ir...
Bez atbalsta iegrimusi sāpju kausā...
Būtu laimīga, ja varētu atrast draugu, kurš mani saprastu kā sievieti – mīlētu mani tādu, kāda esmu, tad arī es sniegtu pretī tam savu sirdi un mīlu...
Laime, kas to likusi...
Ak...
Visu labiņu! Raksti.
Valucis
Lazdainē
18. dec. 40. g.
Almucīt labā!
Miers ir ielijis sirdī – 
un ir tik labi... Tu esi uzticīga. Tu nemini mani zem kājām... kā lai pateicos par doto mieru – nezinu.
Dzīve neliekās tik netaisna, tai vietām cauri zaigo dimanti, arī Tevi redzu to vidū...
Paļaujos Tavai uzticībai – ticu, ka tādu Tu vienmēr turēsi.
Labā, man trūkst vārdu, trūkst domu, kuras varētu izteikt visu – labo, tīro un svēto.
Klausies. To sadzirdēsi Ziemassvētku zvanos, tie stāstīs visu...
Dienas aiziet vienā darba steigā. Esmu atradusi darbā mīlestību, varu strādāt un atlaidīgi un ir prieks par padarīto.
Rīt braukšu pie ārsta, sāp plecs. Šodien tūlīt jāiet aitas cirpt. Stase šuj karogu, šodien beigs.
Ar ilgām gaidu Tevi uz svētkiem, kaut gan to šogad nav, varbūt tu arī netiksi, tad vismaz uz jaungadu. Arī Aļozs atbrauks uz jaungadu. Atbrauc: būtu daudzi kas sakāms.
Šoreiz tik maz – bet ceru Tevi drīzi redzēt.
Uz tikšanos!
Skūpsta Tavs draudziņš
Valucis"
1475563,"Vidzemē
Mēdzielas  Ūdros
1943. g. 29. jūl.
Sveiciens no Vidzemes.
Skaista ir Vidzemes augstiene.
Bija saules pielijusi diena, kad pāri braucām skaistajiem Ores kalniem.
Ai, Stasi, Tev būtu to visu jāredz.
Cauri tiem vijās līču ločiem baltais lielceļš, kalni un to nogāzes ir apauguši ar skaistajām eglēm, ielejās zaļo ziediem bagātas pļavas.
Vienmēr, kad mani ceļš ved pār šiem kalniem, sirds ir pielijusi gavilēm par krāšņo dabu. Cauri ir jābrauc skaistajai Madonas pilsētai, krāšņa viņa izskatās novakarē. Tā ir pilsēta, kura tik ļoti izceļas ar savu koku bagātību.
Un šai dabas krāšņajā malā dzīvo Lubānas auklētais meitēns.
Esmu ciemos pie Stases.
Klusa laime šķērso viņas tekas – un līdzīgi pusdienas tveicē zvilnošām debesīm, smaida pretī meitenes acis.
Šodien biju avenēs, saule bij tik karsta, ka vienīgi ēnā varēju ogot. Avenāji te ir tik lieli, ka, paceļot galvu, ogas pašas krīt mutē.
Man šķiet ir garšīgākas par visām aprikozēm un banāniem.
Zini, Stasi, ja tu pārnāksi dzimtenē, tad gan atbrauksim ogu laikā uz šejieni, viņiem ir ļoti daudzi dārza jāņogu un ērkšķogu, bet aveņu vesels mežs.
Paldies par bildīti, nākošā aizsūtīšu, jo te man nav līdzi. Raksti uz māju adresi.
Stasi, tici dzīvei, kura ved saules kalnā...
Es reti klausos ļaunajos aizspriedumos un tamdēļ redzu vairāk labo kā ļauno.
Sirsnīgi sveicina Stase un mazā Elziņa. Stase lūdz Tevi ciemos.
To visu labāko! Lazdaines Valija.
1946.
1. martā
Draugs, Tevi neviens un nekas neatņems, jo Tu esi visdziļākā sirds stūrītī – tikai nāvei nespētu pretoties, tikai tā man atņems. Šodien esmu laimīga, ka varu domāt par Tevīm, sirds gavilē!
Ilgās un sapņos gaidu Tevi, sapņu princi, bet Tu esi tik tālu – neaizsniedzams. Tu būtu necilvēks, ka spēlētos ar manīm. Nē, nē, Tu tāds nebūsi.
Stasi, cik daiļi skan šis vārds, ak, kaut Tu to zinātu, kā mana sirds nodreb, domājot par Tevīm.
6. martā
Draugs, kur lai ronu mieru, ja Tu esi to atņēmis... Sirds kliedz pēc Tevis! 
Kamdēļ rīkojies ar manīm tik ļauni – kamdēļ spēlējies ar manām jūtām, jo Tu zināji patiesību.
Ko esmu pret Tevīm noziegusies, ka tu tā rīkojies...
Vienīgi klusi svēti mīlējusi un cietusi – neprasot no Tevis pretmīlas.
Bet Tu uzplēsi rētas, kuras asiņo un sāp. Zinu tās sāpēs visu mūžu – tikai Tu spētu tās dziedēt, bet Tev ir svešas manas sāpes.
Tāla mana sirds.
Draugs, rokas gurdeni stiepjas pēc Tevis – nesauksi mani...
16. III.
Katra diena nes jaunas sāpes un ilgas. Gribētos kaut reizi Tevi vēl redzēt, kaut no tālienes.
Un manas dienas būtu bagātas un sirdī rastos miers... Draugs, nāci un mierini mani! 
Man ir tikai viena vēlēšanās – būt Tavs kaut ar vistālākais draugs. Tad piedotu un aizmirstu visu, arī to, kas liekās tik nepiedodams.
Kamdēļ Tu klusē.
Ar ilgām gaidu no Tevis vēstules."
1475552,"A. R. 
Lazdainē
10. jan. 1941. g.
Sveicināts! 
Laiks aiziet lielā darba steigā, tā ka nav pat laika padomāt par citiem.
Tavu sūtīto naudu un vēstuli saņēmu, bet ar atbildi netiku klāt. Dienas pagāja viena pēc otras, paņemot līdzi nodzīvoto...
Aļoz, zinu, Tu maz saprot mani... Un tamdēļ lieki būtu stāstīt vairāk par sevīm.
Un ja arī, tad ne šoreiz, ne vēstulē.
Nu sliktāk jau ir ar to izpalīdzēšanu, no sava pūra man nav no aizsūtīt, jo tas ir sadalīts uz trijām daļām, daļa ir pie Aļoza un Stases.
Pašlaik dzīvoju viena. Stase Mūzikas bērnu namā par audzinātāju.
Bet pirkt – neviena nepārdod.
Un ja arī ko sūtītu, tad viss ir tik dārgs, ka baile par to runāt.
Uzgaidi varbūt vēlāk. Būs jāauž, tad varēs arī Tev kādu gabalu.
Piedodi, ka vilcinājos ar atbildi, bet tiešām laika ir tik maz, jo esmu viena un darba ir pilna rokas.
Raksti!
Visu labiņu Valija.
A. O. 
Lazdainē
1941. g. 15. jan.
Draudziņ! 
Ir pagājušas dienas, kuras sevī nes lielus pārdzīvojumus...
Arī dienas, kuras līdzinās svētlaimei...
Nevaru to aptvert nevaru izteikt to, kas pašlaik mājo manī...
Almuci, Almuci dzīve ir mīkla, kuru atmin retais.
Piedodi, ja Tev jālasa tik tukšas rindas, bet Valucis ir saguris, apsolos vēlāk stāstīt visu, tagad neprasi, jo ir grūti...
Ja būtu Tu tad...
Labā, kaut spētu to visu paust kā vienmēr...
Drīz rakstīšu.
Tavs Valucis"
1475561,"St. L. 
Lazdainē 16. feb.
1943. g.
Kur tagad mans zēns gaišo seju
Kam karstas bij lūpas un sirds?
Vienalga ko daru, vienalga, kurp eju
Pie viņa, pie viņa man domas un sirds.
Tonija Kalns
Tālais sapņotāj!
Tāds svešāds rokraksts, grūti pazīstams. Biju priecīga, ka neaizmirsti seno draugu. Kamdēļ Tavu domu pavediens aprauts? Tādu Tevi nepazinu.
Man patika Tavs brīvais un vaļsirdīgais vārdu plūdums.
Nebrīnos par to, jo šis laikmets –  un dzīve svešumā cilvēkus pārveido.
Esi gan Tu pādrošnieks – bet nu jāpiedod vien būs, par ko gan lai es dusmotos.
Līksms prieks bij par vēstuli – jo Tu esi gaišais dzimtenes zēns, ar kuru vijās atmiņas...
Nezinu, kas noliedz Tev kavēties mūsu pavadīto mirkļu atmiņās.
Stasi, Tevi nomāc skumjas. Vai kādas meitenes dēļ?
Stāsti, bet varbūt mana ziņkāre aizskar Tavas dziļākās jūtas, tad piedodi, ka neesmu smalkjūtīga un uzdrošinos jautāt, bet gribās zināt, kā Tev klājās – jo bijām kādreiz draugi...
Nu palikušas tikai atmiņas, kuras izārstēt un atņemt nespēs neviens.
Būtu prieks, ka Tu stāstītu kā vecam draugam savus priekus un bēdas, kur pēdējo vienmēr ir pārsvarā...
Bet dzīve jau nav viens laimes smaids, ne saulainu dienu virknējums – tai cauri aužas sāpes.
Pārs dienas atpakaļ saņēmu Tavu vēstuli, tā bij ceļojusi sešas nedēļas. Ja vari, tad atsūti turienes skatus, lai zinātu, kādā apkārtnē Tu dzīvo un arī savu foto. Piedodi, ka uzdrošinos to lūgt, bet prieks ir redzēt kāds izskatās Latvju zēns svešā malā.
Raksti gaidīšu!
Bet vakaros domas tu savas
Kā bultas pret dzimteni raid
Tur mājas un druvas ir Tavas
Tur pļavas un birztalas gaid.
Lazdaines Valija.
27. feb. 1943. g.
Nezinu kamdēļ, bet Stasis man ir tik tuvs un mīļš, ka atceroties par viņu sirds nodreb. Un saņemot vēstuli, varu teikt, ka dienas ir laimes un prieka pielijušas.
Kā tas ir noticis, ka viņš ir ieslīdējis sirds dziļumā, ko dzīve nespēs izraut, lai kāda tā arī nebūtu. Mūžīgi vīsies par viņu atmiņas.
Lai arī viņam būšu tāla un sveša, tad tomēr pateicīga dzīvei, jo tā ir devusi šo vērtību, par ko varēs līdz mūžiem domāt, kā par labāku un dārgāku, kas var būt.
Zinu, mūsu ceļi nekad nekrustosies, bet domāt un sapņot par to taču man nav liegts.
Un tā daudzas dzīves bagātas dienas aizslīd mūžībā – 
ir skaistas, jo tajās ir sapņi par viņu – 
Stasi..."
1475554,"Liki aizmirst notiekošo, liki ieskatīties dzīvē citu. Vai Tu biji citādās domās?
Tik daudzi daudzi es par to tagad domāju.
Varbūt Tu esi tālredzīgāks kā es... Nezinu, tās domas man neliek mieru...
Dzīve ir mīkla, kuru atmin retais. Vai mēs to atminēsim? Nu to vēl grūtāk pateikt.
Tu zini manas gaitas, to visu būtu lieki rakstīt, darba ir pilnas rokas.
Jā, viena diena gan bija briesmīga. Tā izārdīja ticību dzīvei – visu labo...
Mani ""vecie"" bārās un tā pa riktīgam – man vienīgi tik bira asaras (dažbrīd tās ir lētas). Un tad es tik ļoti, ļoti vēlējos būt pie Tevis...
Bet tas tak nebij iespējams. Un tā Valucis saguris varēja tik domāt par labiem cilvēkiem. Kas nebūtu tik sīkumaini, ka par katru mazāko nieku celt naidu.
Kur tad dzīvē ir palicis labais?! 
Vai tik vienīgi dabā – cilvēkos ne drusciņas. Vai cilvēki un to dzīve nevarētu būt līdzīgi saulei, tīri mirdzošām sniegam, zilajām debesīm un zvaigznēm.
Vai nevarētu būt kaut drusciņ būt labāki!..
Tad vēl mammas vārdi: Nu labi Tu precēsies ar Janci, bet ja laiki mainās un kā Jānis teica, tad man tā vai tā nāve, un Tu palieci viena vai arī kāda vētrainā dienā viņš paliek jūrā. Ne, nē, vai tas viens vīrietis pasaulē un tik liels rada gabals.
Janci, vai tā nav dzīves ironija, ka spēlējās ar mums!..
Grūtākais jau ir tas, ka mamuks nav ar mieru.
Un redzot māti raudam to nevaru panest, jo vienreiz no lielas raudāšanas viņa bij jukusi prātā. To pati pieredzēju, tik labi uzmanīta atveseļojās.
Ak, ko lai daru!? Sirds lūst sāpēs... Dienas ir tik saules pārlijušas, tās vēsta gaišāku dzīvi – bet man tās nav...
Mīļo Janci, tik tukša, tik bezvērtīga pašlaik liekās dzīve – tai nav mirkļa... tā dzīvot ir tik grūti, grūti.
Ak, kaut Tu bijis, stāstītu daudzi, daudzi...
Tu jautā, kad mēs tiksimies, arī man tas jājautā. Man tas ir grūtāk izvedams. Saki Tu, būšu ar mieru, ja tik būs manos spēkos.
Mēs šķīrāmies... Tik savāds bija tas bridis. Braucot domas kavējās pie Tevis. Arī tur nevarēju rast mieru. Drusciņ labāk bij, kad tiku mājās. Ar tām esmu saaugusi, grūti būs no tām šķirties.
Mammuks ar Papu Tevi sveicina.
Raksti drīzi, ar ilgām gaidīšu!
Valija"
1475562,"St. L.
Lazdainē 4. jūnijā 1943. g.
Zied ceriņi un reibina...
Un tāpat kā senāk ar ziedu smaržas vieglumu, aizslīd garām klusie jūnija vakari.
Ceriņu zari maigi liecās uz zemi un atverot logu zilā brīnuma smaržojums ar vieglu vēja pūsmu atšalko līdz manīm.
Reizē arī kāds vakars.
Tas aplido mani, saplūst ar ceriņu smaržu un kaut kur tālu skan Tavi gaišie dzintara smiekli...
Stasi, cik dzīve ir mīklaina un neizprotama. Tevi ir aizvilinājusi tālumā – mani vadā pa tekām, kuras ik uz soļa izsauc saldrūgtos atmiņu mirkļus.
Varbūt tas bij liktens, kas mūs saveda kopā un arī izšķīra.
Bet klusa lūgšana pateicībā tam.
Mūsu draudzība deva daudzi, arī šķiršanās ne mazāk.
Stasi, saprotu Tevi – 
solos būt Tev sirsnīgāks draugs. Pret Tevīm ir kāds tuvums, lai arī tu būtu ļaunākais cilvēks (bet tāds Tu man neesi). Nespēju izskaidrot, kas mani tuvina pie Tevis – varbūt mūsu radu asinis, kas vēl slēpjas no senčiem vai arī mūsu bijušā mīla, kaut gan tā bija izārdīta...
Bet zinu to, ka ar prieku gaidu no Tevis un rakstu Tev.
Stasi, gribētu Tevi satikt un stāstīt Tev kādu stāstu, kurš Tev ļoti interesēt, vēstulē gan to nē.
Vienu otru reizi ir grūti ticēt tev un arī izprast Tevi, bet nedomā, ka Tavi vārdi, lai kādi tie arī nebūtu, neievītos man domu pavedienā.
Vīrs labs ar vainām.
13. jūn.
Vasarsvētki.
Zied rozes un rudzu druvas, tās viegli šūpojās un iztvan medaini saldo smaržu, kas līdzīgi miglainai dūmakai viļņo pāri sētām.
Ir skaisti vakari.
Un domas kavējas pie kāda aizgājušā.
Migla klāja Maltas līčus – mēs bridām basām kājām pa rasoto zāli. Auļoja zirgi gar Maltas līkumainiem krastiem. Klausījāmies vien auļos un kārklu griezes melodijā.
Man sala kājas – Tu nesi uz rokām. Šķīrāmies..
Tu gribi, lai aizsūtu foto, uzgaidi zēn, vēlāk jā.
Raksti gaidīšu!
Dzimtenes meitene 
Valija
16. jūn.
Cik skaista ir vasara. Kad sirdī ir ilgas – ilgas pēc Tevis, Stasi. Varbūt vēl tamdēļ, ka tu atgādini, kāda Vārdu, jo arī viņš bij Stasis.
Kurš ir pārāks par visiem, arī par Tevi, draugs – 
 bet nekad neaizsniedzams – tikai domās un sapņos.
Par to neprasi, jo to klusu nesu sirdī, domāju, ka skaļums un atgādinājums vārdos manīm to var atņemt."
1475558,"Jancis man raksta un lūdz apciemot to Rīgā. Ko darīt?
Es gribētu aizbraukt izrunāties, arī pie Tevis gribētos. Jancis zina par Andri, viņš saprot tīri labi.
Pašlaik ir brīvāks laiks, govis ir cieti, un arī citu darbu mazāk.
Tas lāsts, kas gulstas uz mūsu pleciem, nebūs smagāks par šo nelaimīgo mīlu... Kura ir sagrauzusi manu dzīvi, laupījusi visu...
Bija kādreiz, kad braucu uz Rīgu aizmirst Andri – un atpakaļ ilgu dzīta, lai atkal to redzētu, jo cits man dzīvē nebij lemts.
Tu zini, ka jūtas ir valdījušas pār manīm, arī šodien tas nav citādi.
Un tamdēļ nenosodi mani pašreizējo rīcību ar Janci, tas ir kā izlemts...
Un ko Tu saki?
To lāstu uzņemos, ko dzīve sniegs pretī, jo arī šis ir bijis lāsts...
Andris ieteic Garanci – bet zinu, ka viņam esmu vienaldzīga, tātad atkal tukšs sapnis.
Tavas mantas visas dzīvas pārveda mājās, nav ne lūzušās, ne plīsušas. Gultu es paņēmu savā rīcībā. Grāmatu skapi ielikām kumodes vietā.
Bezdurvju plauktos mums stāv vāzes, albumi un portrejas, izskatās jauki. Mums visiem ir iepatikušās Tavas mantas, grūti jau Tev būs dabūt atpakaļ. Tā mamma joko.
Veļu sūtīt vai atbrauksi pats un kādu sūtīt, tad ko darīt ar šlipsēm, vai visas tās jāmazgā un jāsūta?
Tad to balto drēbi, kuru atsūtīji, to sagriezto gabalos, vai tā domāta priekš logiem un priekš kā domāts mazgājamais zīds, vai priekš kabatlakatiņiem? Vai to visu sašūt un reizē sūtīt ar citu, Tu par to raksti.
Uz Jelgavu nav nekādas ziņas un arī nebūs.
Tu saki par mājturības insti., tur man ir maz zināšanu, arī tur nederu. Vienīgā izeja Jancis.
Ja man būtu vīrieša spēks, tad nebēdātu neparko, dzīvotu un strādātu mājās viena – bet varbūt zemi varētu atdot uz puses, ja tik būtu ņēmēji, tēvs atsakās to strādāt, grūti jau viņam pie vecuma ir.
Antons vai šodien ietu pie manis, bet jūs jau viņa ragus negribat, es jau ar to kaut kā apmierinātos – kaut tādu dzīvi nekas nebiju domājusi, tāds nav mans ideāls, tad jau labāk pie Janča.
Un Antons vēl nav dienējis, kaut gan tā aiziešana tik ātri jau nebūs, bet ar to nevaru saprasties tā kā ar Janci, mūsu raksturi ir pretēji, kaut gan dzīvē vēlāk tas veidotos, jau pēc dienesta būtu citāds.
Ak, kā gribētos būt pie Tevis, tad pārrunātu, būtu vieglāk, arī padomu tu man dotu!
21. feb. 41. g.
Tēvs vakar un šodien aizbrauca uz mežu, ir paņemta skaidu malka divi vezumi.
Tēvs bija tāds priecīgs, ka atnesa vēstuli, jokoja, varbūt esot uz ""primaka"".
Bet tad, kad viņš jautāja, ko Tu raksti, nespēju atbildēt, jo asaras bija aumaļām, sirds lūza sāpēs, vēl šodien neesmu tēvam teikusi.
Mammai gan teicu, viņa tik bārās, ka es raudu – 
tai nav līdzjūtības, viņa nesaprot kaut gan zina manu mīlu pret to, tai nav īstas mātes mīlestības – viņa ir materiāliste. 
Arī par Janci viņa tik aizbļauj, tikai tad"
