File-ID,Transcribed Text
1675417,"47
Vajadzētu vēl aizbraukt uz Cēsīm. Arī pie Litas? Šodien uzzīmēju plakātu futbola sacīkstēm starp ""Ceļiniekiem"" un ""Ķegumiešiem"". Lāga neiznāca, bet visi rajonieši smējās vairāk kā biju sagaidījis. Tā arī bija domāts, lai šie spalvainie tēviņi liktu mazliet mani atcerēties.
25.IX 43
Tāles zilā dūmakā tītas... Tāpat nezināmā miglā tīta visa mana turpmākā dzīve. Bet viens ir skaidrs ka krople jau nu nepalikšu. Vai nu pilnīgi vesela - vai sākšu citu dzīvi zvaigžņu pasaulē. Jā varbūt tiešām esmu   jau diezgan dzīvojusi - ko gan dzīve man vairs var sniegt? Vienīgi klusu mierīgu laimi - vai ari visdrausmīgākās ciešanas. UN ko darīt ja kara troksnis pārsviežas Latvijas robežās? Bet līdz mežam manas kājas nespēj mani nest! Kas būs tālāk?
Šodien atkal kvēlo atmiņas. Prātā stāv katrs runāts vārds, katra kopā ar viņu vadīta stunda... Jāaizmirst viņš Ričus un viss, viss, kas kādreiz bijis. Man jāsavaldas, jāpārdzimst tīrai un skaidrai atkal. Manas acis nedrīkst vairs solīt, viļināt un maldināt. Jāaizmirst visas netīrās domas, jāaizmirst tēvoča Rūda teiktie vārdi, skūpsts, kas vēl šodien kvēlo un deg uz vaiga. Viss, viss lai nogrimst pagātnē!
Pirmdien, 27.septembrī
Vakar biju pie Litas. Viņa ticēdama rakstītam bija aizbraukusi uz kādām kristībām, pārliecībā, ka esmu Rīgā. Varbūt liktenis tā to bija iekārtojis, lai es viņu vairs nesatiktu. Satiku viņas jaunāko māsu, Ilzi. Ilzei bija tas pats Litas smaids, bet sprogaini izjaukti mati kā mežonēnam. Brīnos par viņas drosmi gan vārdos, gan arī dažās kustībās. Likās, ka viņa censtos lai man patiktu un to arī panāca, bet kādēļ es atsacījos noskūpstīt viņu. Kā liekas tad atkal man visas meitenes sāk likties skaistas.
Redzēju ""Indrānus"". Jāsaka, ka dekorācijas bija skaistas un aktieri labi tikai Edvarts varēja būt labāks.
Piektdien, 1. oktobrī
Svētdienas vakarā jābrauc uz Rīgu. Nupat beidzu vēstuli Ilgai. Kā liekas viņai tomēr vēlēšanās piedāvāt draudzību. Tas laikam tādēļ ka aizbraucu.
Vakar aizvadiju Mārci, viņš iesaukts no Cēsīm un jābrauc uz Ventspili.
Mājup braucot redzēju Litu tīrumā un kā liekas pazina mani, jo ilgi vēdināja savu rociņu, kas tā prata glāstīt un skrāpēt. Žēl meitēn, ka vairs nesatiksimies, Tev būtu lūpas tāpat asinīs kā toreiz, un mans vaigs saskrāpēts kā no kaķēna.
Sestdien, 2.oktobrī
Šodien pārbrauca Haris. Man jābrauc rītvakar. Rajonieši, darba biedri, deva padomu atmaksāt vāciešu grēkus. Lai darot tā pat, kā vācieši ar latvietēm."
1675415,"45
Trešdien, 4.augustā
Vienmēr tas ir bijis, ka pārbraucot no mājas šejienes dzīve liekas līdzīga ellei. Un vēl tagad ar slimu kāju dzīve pilnīgi nepanesama. Naktīs nedabū gulēt no odu, blakšu un citu možu kodieniem. Klāt vēl nāk karstums un šausmīgā svīšana.
Labi, ka viss tas beigsies 15.aug. Garlaicības dēļ lasu Anšlava Eglīša ""Maestro"" otro reizi.
Sestdien, 7.augustā
Visu šo nedēļu esmu noslimojis, Varbūt ka ap jaunnedēļas vidu varēšu strādāt. Bieži staigājot uz ambulanci redzēju daudzus simulantus, Nevaru iedomāties, ka ari es tā reiz darītu. Viens sāka vainu meklēt kaklā, tad krūtīs un kad viss tas nelīdzēja sāka murgot par kāju. Nesaprotu kā viņam pašam tas neizklausās muļķīgi. Ārsts bez šaubām viņu izsvieda. Un tādu tur nāk rindām. Ir speciālisti smiulēšanā, kas ārstu arī apšmauc, bet tie savu māku rūpīgi slēpj.
Trešdien, 11. augustā.
Vēl šodien nav ziņu par Hara pārbraukšanu no darba dienesta Vācijā. Vai būtu patiesas mammas bažas par Hamburgas bombardēšanas sekām. Šodien esmu jau otro dienu atkal darbā. Vesels vēl neesmu un jūtu, ka veidojās atkal jauni augoņi.
Braucot uz 17 km attālo Garozu, ceļa malā redzēju kapus ar divās priedēs iekārtu zvanu zem apsūnojuša jumtiņa. Zvana aukla ar lielu mezglu galā, lēni līgojās pāri krustu rindām. Skaists skats priekš albūma.
Sestdiena, 14.augustā.
Bez augoņiem esmu iedzīvojies arī kašķī. Tās ir tādas mazas niezošas pūtītes pa visu ķermeni. Neesmu mazgājies jau 4 nedēļas un šodien pirts bija, bet atkal savas slimības dēļ nedrīkstēju mazgāties, Ko ēst arī nav.
Kā jau katru vakaru sestdienās, no 12 istabas vīriem mājās esam tikai divi. Ja rītu nelīs braukšu uz Rīgu. Jānoskatās kāda filma.
Pagājušo nakti ciemos pie manis bija Ilga. Sapnī viņu redzēju kopā ar Arvi. Kaut arī tā, lai viņi tik nāk katru nakti jo tas ir bezgala skaisti.
Carnikavā 14.VIII 43.
Nākotne klusē - kas būs? Esmu slima, nolādēti slima, jo neesmu vairs noteicēja saviem locekļiem. Un tagad sapņoju savas dzīves jaukāko sapni - sapni par dienām, kad gāju, peldēju, jāju un dejoju, sapni par naktīm, kad daliju glāstus... Bet vienalga, ja ari kādreiz kļūšu vesela, tad nedrīkstu vairs atkārtot šīs muļķīgās vājības.
Neizsakāmu prieku sagādāja Jony vēstule. Manas domas nedrīkst saistīt sveštautietis. Nedrīkstu! Dievs, palīdzi man laboties."
1675411,"42
un apģērba dēļ turējos pie malas. No sākuma šāvu diezgan slikti, bet vēlāk jau apmierinoši.
Vakar vakarā diezgan daudz iezimēju savā albūmā un esmu apmierināts ar rokas veiklumu. Varu vēlēties tikai drošāku vilcienu. Pa gabalu nekas, bet tuvāk aplūkojot izskatas mazliet neveikli un nedroši. Citi biedri redzēja mani zīmējot un slavēja manu veikumu, bet šodien ieejot pie Rīdziniekiem atradu uz galda Vulfiusa apzīmēto lapu ar lidmašīnām un auto. Katrs viņa vilciens pilnīgi raksturoja atsevišķus tipus un īpatnības.
Reizēm mani pārņem traka vēlēšanās doties uz mājām un nodzīvot vienu laiku. Sevišķi tad tādas domas uznāk kad vēders ir tukšs.
Rīt darbu sāksim 7os un ne tā kā agrāk, divās maiņās. Tas apmācību dēļ, lai visus dabūtu kopā reizē.
Pirmdien, 5.jūlijā
Citi zēni šovakar cepa pankūkas un es kā nekā dabūju vienu. Man uznāca tāds kārums ka mājā noteikti lūgšu izcept un kārtīgi saēdīšos. Ēdot rupjo maizi šeit rodas visādas dīvainas iegribas un nebrīnos ja citi aptīra manus biedrus.
Es gribu Ilgai aizrakstīt vienu dziesmu, ko mēs šeit dziedam. Ir vārdi, ir melodija ir dīvaini baiga. Vislabāk es gribētu viņai to reiz nodziedāt un ...Man dzīvē laimes nav...
5.VII 43
Kāpēc gan asinīs atkal šis savādais satraukums? Katru vakaru domās atgriežos pie Riča un Valtera. Laikam tie ir tie divi kurus nevaru un nevaru aizmirst.
Un es vēl arvien nezinu kas esmu un ko gribu. Viens ir skaidrs ka lai sasniegtu savu iedomāto mērķi, tad visam citam ir jāpazūd - es nedrīkstu mīlēt, nedrīkstu ari pakļauties vienam otram kaisles izlēcienam, jo tā taču novirzos no iedomātā ceļa.
Nē, labāk nedomāt, bet ņemšu dzīvi tādu, kādu to sniedz šodiena. Un šodien šeit ir kāds kapteinis līdzīgs virsleitnantam. Ai, kaut atmiņas nesāktu par daudz reāli kvēlot!
Trešdien, 7.jūlijā
Pirmo reizi rakstu dienas grāmatu šeit barakā, citu klātbūtnē. Tā kā citi spēlē kārtis un citi guļ un man negribas šķirties no muzikas, es neeju uz ēdamzāli. Jaunnedēļ atbrīvosies viena līdzbraucēja vieta uz fabrikas smago auto. Tas braucamais han ir no aizvēstures laikiem, bet man priekš braukšanas prakses iegūšanas tas ir tomēr glauns. Darbu mainu pa daļai apnikuma pēc, jo kā redzu tur purvā nav vērts plēsties. Citi guļ un citiem jāplēšas pušu. Vakar mūsu nometnē ieradās Jelgavnieki, un vienam no viņiem ir līdz akordions. Viņš pats nemāk lāga spēlēt, bet mūsu zēni"
1675409,"40
no vēja pūsmas. Man bija vēlēšanās, kaut viņa nezustu nekad. Viņas lūpiņas bija skaistākas par ziedlapiņam, un grūti bija atturēties viņas neskūpstīt. Kad viņa pusnaktī rotaļājās ar glāzītēm uz galda, arī pirkstiņi ziskatījās tikpat trausli un saudzējami. Man bezgala gribējās tos noglāstīt katru, un noskūpstīt un karsti man sametās, iedomājoties par šīs rociņas glāstiem. Tikai divas reizes turēju šo rociņu un tikai uz īsu mirkli. Es nezinu, kas man liedza izrādīt Arvim ka arī es tīkoju Ilgas tuvumu. Lai slēptu savu vēlēšanos es tēloju, ka esmu iereibis un mazliet ālējos. Lai gan Arvis bija blakus viņai, tad tomēr viņa bija ievērojusi ka es klusēju un aicināja uz jauniem trakumiem. Ak, kaut viņu vēlreiz redzētu tik mīļu un skaistu. Esmu redzējis skaistas meitenes, bet par nevienu citu neesmu tā domājis kā par Ilgu. Kaut dabūtu zināt kā valdīt pār viņas sirsniņu tās dīvainībām, kā piespiest šīm lūpiņām skūpstīt un šiem pirkstiņiem glāstīt. Pirms aizbraukšanas tomēr es laikam izdarīšu vēl kādu muļķību, lai gan Ilga mani brīdina.
Esmu nolēmis tikai ar Ilgas skūpstu doties projām, vai laime smaidīs man?
Svētdien, 28.jūniijā Olaines purvā.
Jau divas dienas esmu atkal nometnē. Šodien līst lietus un tādēļ visa apkārtne izskatās ļoti bēdīga, tādēļ arī garastāvoklis ne visai zolīds. To visu vēl bēdīgāku iztaisa maizes trūkums. No mājas bija gan līdz, bet šeit palikušie biedri bija galīgi tukšā un man nebija ērti vienam mieloties. Tagad mēs visi esam vienādi pliki.
Es nezinu kādēļ mani vajā Ilgas tēls. Es atkal redzu viņas lūpas un smaidu kādā mūsu virtuves meitenē. tas notiek gandrīz ar katru sievieti kuru redzu.
Vakar, lielāko daļu no darba laika mašīnas stāvēja šķembu dēļ kas šinī purvā lielā vairumā, jo šeit ir pasaules kara cīņu vieta. Direktori uzskata, ka mēs paši taisām visus bojājumus. Lai jau iet!
Pirmdien, 29. jūnijā
Pēc darba vakarā bija ierindas mācība un izgājām uz šosejas. Tur viens stulbs piedzēries šucmanis piesējās. Šodien avīzēs raksta, ka jāaiziet tikai septembrī. Sūdīgi.
Trešdien, 30.jūnijā
Otrdien naktī uz trešdienu no mūsu nometnes aizbēga divi gūstekņi. Sargi pieprasījuši trauksmi fureriem bet tie bija atteikuši ieroču trūkuma dēļ varbūt vairāk iztraucēta miega dēļ.
Ap pusdienas laiku divi vācu SD virsnieki aizveda vienu žīdu nošaušanai. Mūzu zemei laikam ir lemts kļūt par žīdu kapu vietu. Te, purva salā strādājošo žīdu vidū, maz ir no Latvijas. Sievietes no Vīnes un vīrieši no Čehoslovākijas. Vispār, vīriešu daudz mazāk. Ja maize puišiem par daudz, viņi taisa andeles ar žīdiem. Lai"
1675413,"43
paņēma drusku paspēlēt. Klausoties melodijās atkal nožēloju ka nepaņēmu ģitāri līdz. Es būtu daudz cēlies citu zēnu acīs. Vakar lasiju P.Rozīša noveles ""Portrejas"". Tās mani satrauca. Šodien nejauši sāku domāt par pirmo skūpstu. Domas radās tik neromantiskā vietā, kā pie trosēm purvā. Domāju par Litu un Ilgu. Cik atceros, kad neprātīgi skūpstīju Litu es gan nedomāju par pirmo skūpstu uz Ilgas lūpām, kā to esmu tikdaudz vēstulēs viņai teicis. Vai tas vairs būs pirmais skūpsts kad tagad skūpstīšu Ilgu?
Piektdien, 9.jūlijā
Beidzamā laikā mums ir ļoti slikta maize. Citreiz jau man viņa ir sen apēsta, bet šoreiz vēl daudz pāri palika. Rīt jāmēģina dabūt kautkur lauku maize. Es būtu jau rītu laidis uz Rīgu, bet rītvakar ir ""kameradschaftvakars"" un paredzama krietna noēšanās un nodzeršanās.
Pirmdien, 11.jūlijā
Es nezinu kādi vēji man tomēr sapūta līdzbraucēja šanci. Un šodien, pirmajā dienā dabūju pamatīgas kristības. Lietus mani izmērcēja līdz ādai. Braucot jau nē, bet uzkraujot kulbu. Kopsummā veikti 150 km un tas no 5 rītā līdz 9.30 vakarā.*
Braukājot par Rīgu ieraudzīju Alfu ar māsu, pats nožēloju, ka neizmantoju reto izdevību ar viņu parunāties. Bēdīga jau izskatās mana ""vecmeita"", taisni kauns. Nevar teikt ka sirds viņai slikta, pukst labi, tikai aistētiskās formas varēja būt skaistākas. Mēdz teikt, ka kundzes un vecmeitas esot labākas priekš mācīšanās, lai šoreiz notiek tāpat. Rītā mazliet uzposīsim savu veco karieti.
Sestdien balle bija gruntīga. Varēja smagi piedzerties un paēst, es metos vairāk uz ēšanu. Kā nekā es teicu arī mazu runu un kā likās dabūja smiet ir direktori, ir puiši. Tas bija nepieciešams sestdienas trača dēļ. Žēl, ka nebija ģitāres, gribējās mazliet ""paspīdēt. Jo bija arī daži sievieši.
Svētdien gāju pastaigāties. Man viss likās tik skaists un acij tīkams, ka roka niezēt niezēja uz zīmēšanu. Vakarā ķēru zīmuli un uzzīmēju nometnes kantora ēku.
Man acīs vēl neizdzēšami stāv Rīgas tilts. Miglā gaistošie pāļi un spraišļi veidoja varenu tuneli un samtaini mirgoja slapjais asfalta klājums. Tur būtu reizē skaistums un varenība, bet mana roka to vēl nespēj.
Sestdien, 17.jūlijā
Katru dienu strādāju no gaismas līdz tumsai. Maz brīva laika. ""Šī spēle velnišķā, ir mana mīļākā, jo tad man šķiet, ka stundas ātrāk skrien"". ...Zīlnieces vārdi. Man gan te nav nekādas velnišķas spēles, bet šinī darbā laiks tiešām ātri skrien.
Manas bikses atradās, bet tikai Jelgavā, zaglis noķerts. Jaunnedēļ jābrauc pakaļ. Mājnieki atsūtīja kuponus un esmu paspējis jau apēst visus 12 kūku kuponus. Šodien pamēģināju pats pielaist ""vecmeitu"", bet bija par maz gāzes nostādijis. Kādreiz būs jāpamēģina braukt."
1675428,"58
skaidri rādija laiku, kad es biju kādu mēnesi jaunā uzvalkā dzīvojis. Un es viņu redzēju jau gadu pirms tam.
Pret Litu es nejūtu cita nekā kā patiku viņu skūpstīt un glāstīt. Mans ideāls ir mazliet kalsnāka, bet vai tāpēc es lai ateiktos no šīm valgajām un kaislajām lūpām, no šīs trīsošās meitenes. Šo meiteni es pazinu tūlīt, no lūpu veidojuma, no gaitas, ka viņai asinis karstas un labprāt ļaujas glāstiem. Tādu es arī vēlētos savu nezinamo.
Vakar vakarā, pirms gulēt iešanas es ar Viti mazliet paķēmojos ar dejošanu. Visādi pārlabojot, un kropļojot balles dejotājus. Budzis spēlēja dūdu akordionu. Viņi abi atzina, ka man esot iekšā uz tādām lietām. Arī citi vienu otru reizi ir izteikušies ka es mākot labi atliet .t.i. atstāstīt un tēlot. Tāpat tas bija arī mājās. Jāatzīstas, neesmu vēl beidzis domāt par skatuvi.
Šovakar rakstīšana veicās. Silta istaba un labs garastāvoklis. Dažas minūtes bailes un pūliņu un kāju slaukamās redeles krāsnī. Vēl dažas teltenes ar žagariem un siltums vairāk kā vakar. Vakar bijām trīs reizes vairāk puišu mājās, bet neviens no negribēja darīt. Neatceros kad bija beidzamo reizi silta istaba. un tādēļ sadomāju sildīties. Tagad jau piekto stundu!
Otrdien, 4.janvārī.Šodien uznāca pirmais sniegs un no rīta skrejot mazgāties visa nometne mēness gaismā izskatijās daudz skaistāka un tīrāka, kā pa brīnumu sniegs palika visu dienu. Šodien pārdzīvojām atkal trauksmi. Kā runā, cietusi Ķīle. Mākoņi nelaida saskatīt angļus. Pēc dūkoņas debesīs un pērkona dārdiem pamalē varēja spriest ka viņi atkal ar simtiem. Kā jau parasts mūs tikai pārlidoja un otrā uzbrukuma viļņa laikā mēs ēdām pusdienas. Atstātās karotes šķīvjos blarkšķēja it kā gar logiem brauktu kādi smagi krauti rati. Un viss tas, tā tirpoņa, no 70 km attāluma.
Pie paša vakara dabūjām pārvietot pečku un varēju likt lietā savas zināšanas pie cauruļu savienošanas. Ģimnazisti tik nogrozija galvas. Pēc šī netīrā darba gājām ar Viti mazgāties un taisni notrāpijām tai brīdī kad kurinātājs atbrīvoja katlu no karstā ūdens. Tad mēs tie laimīgie, maz bariņš, dabūjām prīmā dušu. Pēc trīs mēnešiem reizi kārtīgi nomazgāties. Paradīze!
Saņēmu arī vienu paciņu un šovakar vēstuli no mājas. Papus stāsta ka Haris atrodoties frontē, Nēveles sektorā. Vienā, no karstākajiem kauju kaktiem. Drīz būs ari mans laiks, ja nenosalšu šeit pat. Dzīvojam plānos Romvela tuksneša cīnītāju tērpos, jaunajā nometnē apģērbu sadale ļoti lēna."
1675414,"44
Piektdien, 23. jūlijā
Iet baumas it kā mēs ap augusta vidu tiksim vaļā no purva. Nezinu gan nevienu, kas nevēlētos tikt vaļā no šī riebīgā purva. Pagaidām visādi būtu labi, ja nebūtu iedzīvojies nieka augoņa pumpā. Lai gan viņa ir niecīga tomēr sāpīga, un sevišķi braucot atzveltnis viņu nejēdzīgi dauza. Dažreiz no sāpēm esmu tīri nosvīdis, jo nav iespējams izsargāties no visām bedrēm. Ar lielām pūlēm varu tikai strādāt. Šodien izprasiju atļauju braukt uz māju.
Pirmdien, 26.jūlijā, Valmierā.
Sestdien biju pie ārsta un dabūju atvaļinājumu līdz piektdienai. Žēl tikai, ka nevaru riktīgi kustēties. Drusciņ garlaicīgi, bet ceru no Erntantes dabūt kādu grāmatu. Starp citu, dabūju šodien lasīt ogas dārzā, jo mammai nebija laika. Kamēr māga tukša, garlaicīgi nebija. Un sevišķi, palūkojoties uz kolēģes lasītājas kailajām kājām, kas reizēm kļuva redzamas pašķiroties virssvārkam. Skatoties kā rozā biksītes skatam sedza tālāko un uz baltajām krūtīm kas noliecoties pie krūma tik velnišķi kairinoši kustējās. Kaut gan viņai pāri trīsdesmitam, es neatteiktos no viņas glāstiem. Es vienmēr esmu uz viņu skatijies ar grēcīgām domām, bet pagaidām tikai ar domām.
Tā ka'Arvis dzīvoja pa Valmieru, es viņu iztaujāju par Ilgu. Viņš bija, kā jau mūsu starpā parasts, ļoti atturīgs šinī tēmatā, bet tikdaudz dabūju zināt, ka viņa viņu aicinājusi ciemā. Cik jaužu tad Arvim vairākkārt ir bijusi laime pabūt viņas tuvumā.
Vai esmu kaut mēģinājis viņu noskūpstīt? Varbūt tad viņai būtu iemesls dēvēt mani par traku.
Piektdien, 31. jūlijā.
Izmantoju savu slimības atvaļinājumu un aizbraucu šodien uz Cēsīm. Valtera vārda dienu biju iedomājies jautrāk pavadīt. Uz māju braucu ar vilcienu, protams nelegāli un uzrāvos arī. Skolā ejot mēs ar Arvi bieži uzlīdām uz vācu armijas transportu. Tā kā sargs parasti vilcienu apsargā stacijas pusē, tad lai viņam neienāktu prātā pārbaudīt bremzes būdiņu, atstāju durvis uz stacijas pusi vaļā, bet uz pretējo ciet un pats nosēdos uz kāpnēm slēpdamies aiz būdiņas. Nelaime tā ka viņš iedomājās apmesties tieši šinī būdā un tuvu nākošai stacijai viņš kā pa nelaimi paskatijās pa lodziņu uz otru pusi un ieraudzija mani. Pēc maza dialoga brauciens turpinājās. Neaizmirstams un uztraucošs skats, kad mazajā lodziņā parādijās vācieša, kaskā tērptā seja ar lielām kustošām acīm.
Svētdien, 1. augustā
Šovakar jābrauc atpakaļ uz purvu un netiku Ilgu redzējis. Kā liekas, arī šodien viņu neredzēšu. Jau trešo mēnesi neesmu viņu redzējis.
Uz ceļgala metas jaunas sāpīgas pumpas. Ārsts domā, ka tur varētu būt kāds nopelns purva ūdenim."
1675421,"Pirmdien, 25.oktobrī
Svētdien devām solijumu. Interesanti, ka mums latviešiem bija tikai jāsola un ne kā vāciešiem jāzvērē pie Hitlera. Diez kāda svinīga sajūta nebija, kad turēju paceltu roku soijumam. Pēcpusdienā visa grupa gājām uz pilsētu.
Dīvaini tas izliekas, kad bērni pavadija mūs caur ielām. Tas bija jaunajā pilsētas daļā ar skaistām ģimenes mājiņām. Mazā rociņa saujā mazliet tomēr sarāvās, kad dzirdēja mūsu dīvaino valodu. To visu glāba kāds vārds vāciski un forma. Laikam viņi raduši ar visiem formas nēsātājiem būt draugos. Dažas meitenes taisni kā Latvijā, kā mana māšele, ar gaišiem matiem un zilām acīm, tikai vārdi tādi dīvaini.
Sestdienas vakarā bija atnācis Gunis, mans skolas biedrs, un stāstija, ka Latvijā esot mobilizācija. Viņam esot tāda sajūta, ka Latviju vairs neredzēt. Vai tādas pašas sajūtas dēļ arī es prombraucot nesakārtoju savas bildes albūmā kārtīgi un saprotami. Vai tādēļ arī es nepieķēros atkal šai muļķīgai dienas grāmatai, par kuru arī Vitis ir mani dažreiz izsmējis. Es apskaužu viņa pašapziņu. Tagad te starp citiem vidusskolniekiem es nejūtos līdzīgs. Man liekas, ka es par maz zinu gudrās lietās.
Vakar sabeigtā kāja šodien daudz traucēja, jo bija daudz jāstaigā.
28.X 43. Rīgā
Realitāte atkal klauvē pie durvīm. UN vai tiešām es atvēršu durvis un dzīvošu? Ak, es gan vairs neticu, jo šeit taču stiprāk skanēs nāves melodijas un kas zina, vai kādreiz acumirkļa satraukumā neatgriezīšu gāzes krānus. Nu un tad manis vairs nebūs. Dzīves vārti aizvērsies tā plūdīs tālāk ari bez manis.
Bet šī mazā meitene! Liekas, ka dzīvības strāva plūstu manos vājajos locekļos. Vai drīkstu viņu saukt par draudzeni? Ak, labāk nē jo vienā jau es tā vīlos. Man ir labi tāpat, kaut tikai mūsu attiecības nemainītos nekad, nekad. Bet vai viņu neatvaira mans kroplums? Nē, nē ak Kungs ļauj man atkal palikt ātrāk veselai - lai krīt burvības sega! Un dari ka drausmīgais lāsts, kas mani smacēja, lai tiek kliedēts. Ak Dievs, palīdzi, jel palīdzi!
30.X 43.
Šodien es teicu vārdus ka nemīlu nevienu. Vai tiešām šais vārdos neslēpjas manas dzīves drausmīgā patiesība? K domājot par Riču asinis sāk straujāk pulsēt, tas taču nenozīmē, ka mīlu. Tāda pati sajūta pārņem domājot par kopā vadītām stundām ar Valteru, Rodžu un Janci. Un kur tad paliek visi vienas nakts piedzīvojumi? Un ari atmiņās man šķiet, ka mīlu, bet dzīvē, ja viss vēl atkārtotos, tad laikam sagādātu tikai riebumu."
1675424,"54
15.XI 43.
Sāp! Ak, Dievs, cik drausmīgi sāp - kautkur krūtīs dziļi, dziļi smeldz...
Vai TU, Dievs, piedosi šo apsūdzību pret māti, kas ceļas dvēselē? Kamdēļ gan man nav mātes? Jeb vai tikai pati esmu vainīga - mans egoisms? Jā, tiešām esmu neciešama, bet dzīves īstenība sāk atklāties tikai tagad - kad dvēsele kliedz un vaid - smeldz! 
18.XI 43
Dievs svētī Latviju! Gavilē sirds! Šodien es drīkstēju vārdos teikt ""Lūgšanu""! Un daudziem acīs bija asaras...
20.XI 43.
Tomēr, Džīna, Tavas patiesās domas atspoguļojās Tavā sejā un es tās tur atrodu. Romantiskās draudzības plivuris krīt. Es nedrīkstu vairāk vilties!
Es tomēr esmu bezgala laimīga! Šodien daudzi spieda roku un teica: ""Mimi, brīnišķīgi!"" Vai tiešām - tiešām es ko spēju. Un šī niecīgā atzinība no mākslinieka mutes? Esmu bezgala priecīga! Kaut tikai tas neradītu jaunas skaudības liesmas!
26.XI 43.
Nē, un nav jau nemaz tik grūti atteikties no dzīves mulsinošām stundām. Ai, un tomēr kā gan man gribētos dzīvot!...
Trešdien, 26.novembrī.
Vēl vienmēr turpinas aukstums un slapjums. Tagad es redzu, ka darba dienests nav visai viegls. Tomēr daudzi iztur un reti kāds lūzt. Man brīnums pašam par sevi. Dažos brīžos, kad sevišķi grūti, piemēram kabeli rokot klajā lidlaukā, kad vējš saldē kā saldētavā Rīgas Centrāltirgū, uznāk doma, vai man tomēr vajadzēja sevi tik smagi sodīt.
\Pēc grādiem jau daudz nav, bet darbā, mājā, un gultā - visur auksti.
Man par lielu brīnumu esmu pieņēmies svarā 4 kg. Tās zupas un zostes nemaz tādas neizskatās un vēders pa lielākai daļai gaudo. 
Svētdien, 28.novembrī
18.novembra vakarā mēs redzējām virs ĶĪles skaistu uguņošanu, kā mēs smējāmies, par godu Latvijas 25 gadiem. Skatoties uguns rozītēs mākoņos un duņoņā tā savādi sametās ap sirdi. Vai arī mēs to saņemsim?
Divi puiši no ""zuga"" brauc uz Latviju. Laimīgie!"
1675423,"53
7.XI 43.
Zeme sedzas baltā villainē. - Dievs, sedz ari Tu manai sāpju dvēselei balto miera segu, lai tā neredz pasaules netaisnības un ciešanas.
8.XI 43.
Es esmu viena. Man salst jo arī Džīna aizgāja garām bezgala auksta, sveša un tāļa, tāļa... Bet es negribu, ka mani nožēlo! Vai nu es izturēšu, vai arī lūzīšu!
Dievs palīdzi!
Otrdien, 9. novembrī
Varu teikt, ka nu reiz dabūjām kloķi. Mūs jājot, Peļzobis, kā mēs viņu iesaucām lielo priekšzobu dēļ, pielietoja populāro paņēmienu, dot komandas vienu pēc otras ātri, lai mulsinātu izpildītāju. Piemēram: gulties, celties, skriešus mežā, uzmanību, gulties, griezties, skriešus u.t.t. Ja visas šīs komandas izpilda pareizi, tad ātri vien izkar mēli. Viņš bija pirmais, kas ieveda šādu jāšanu mūsu abteilungā.
Tāda slimīga sajūta, bet tas varbūt no salšanas. Šādās dienās kā zāles derētu kāda vēstule no Latvijas. Sevišķi gaidītā.... Kādēļ Ilga neraksta?
Atkal lieku reizi nožēloju, ka neesmu tādām īpašībām kā citi. Skatoties kā citi sadzīvo ar saviem biedriem, tāda savāda nožēla rodas. Vitis sācis vairāk pievērsties mūsu trio trešam biedram, Budzim. Nav pirmā reize kad tieku pamazām aizmirsts. Vai tāpēc ka tikai arodskolā esmu gājis? Viņi abi dažreiz aizrādijuši, kādēļ es vienmēr cenšos lāpīt pasauli un maisoties visur iekšā. Es pats nezinu kādēļ nevaru noskatīties kā kāds ko dara nepareizi un pēc manām domām citādi būtu pareizāki, to neaizrādot. Reti ir kāds cilvēks, kas neskatītos uz mani kā kasīkli pārgudro. Kā es lai sevi laboju? Apbrīnoju Viti, bet arī viņam ir sliktas īpatnības. Piemēram, no citiem gaidīt un uzskatīt, kā pienākumu kautko viņam dot, bet ja pašam ir, tad citus aizmirst.
9.XI 43.
Pirms dažām dienām Aspāzija ir stājusies lielā soģa priekšā. Manu mīļāko tēlu veidotāja drāmā un dzejā. Paliek tukšums...
Svētdien, 14.novembrī
Daudzkārt esmu brīnējies par saviem biedriem, kā latviešiem tā vāciešiem. Tos egoisma skatus pei galda! Katrs ķer ko var un vēsi noskatās ja kāds paliek tukšā! Tā mūžīgi ar sviestu, marmelādi u desu, katrs rauj to lielāko un kā tikai varētu noblēdīt priekš sava vēdera vairāk baltmaizes un zostes. Apbrīnojama viņu tehnika un paņēmieni porciju gūstīšanā. Es jau neesmu labāks, bet Cākura šķībās acis šaudās uz vienu un otru pusi, vai tik kāds nav jau iztukšojis savu šķīvi pirmais."
