File-ID,Transcribed Text
1687426,"Darba stajos. 
Aizeju uz dispanseri tur saimnieks uzraksta lugumu lai pienem darba par setnieku tikai parakstos un saku macities par setnieku. Tagad Ludis sanitars ar piecdesmit rubliem es setnieks ar trisdesmit rubliem. Mums iet labi Ludis pa vaļas brižiem skalda malku es slauku un eju malkas kraut. Par abiem saņema astoņdesmit rubļus ari gramatvediba vis skaidris. Par tadu naudu nostradajam divus gadus. Ludis pusdienu dabu dispanserie. Pec diviem gadiem algu paaugstina ari es dabuju 42 rubļus. Pilsetas setnieki saņem 45 rubļus. Ludi par galdnieku parceļ sanitaru iznak par daudzi. Darbs jau nemainas tikai stata vieta. Tagad mums jau simtu rubļu par abiem. Krajam naudu. Nakamo paaukstina man jau 60 rubļu Ludim gan maz kap uz augšu bet par abiem 125 rubļi jau sanak. Nu gan vairs nevar pa pratam ne notirit ne smilšu piekaisit. Darit jadara bet nekad nebus labi visi krumi jaizlasa no papiriem Ja kanalizacija aizdambejas vienmer jabut Ludim tur. Jo to neviens negrib darit. Visu laižam par galvu tikai ejam un stradajam. Nauda krajas. Ta nodzivojam es pieci gadi tris meneši. Ludis pieci gadi seši meneši. Tad atteicamies un aizgajam. Pa šo laiku sakrajam nopelnitu vecuma godigi 3000 rubļus. Tad gadu dzīvojam uz naudas noterejam 400 r. vel klat penzija 23 rubļi katru menesi. Sakam teret un isa laika noterejam vairak par 1000 rubļiem Ta nada gruti sapelnit. Bet viegli var ari noteret. Tapec citi saka ka nesot maksla nopelnit bet gan paturet. Lubana tadas naudas nevareja ar rokam nopelnit."
1687430,"Meiraniem tiltam pari uz Dagumniekiem. Nu sak lasities brauceji. Veroju apkartni lauki lieli izskatas tapat ka Zemgale vai vel labak. Ap Degumniekiem svakaka labiba. Tad nu Osups klat. Ilgi te nesu bijuse eju leni. Ceļa gravi ir tadi ka senak zales dadzi. Bet tirumos agrak usņas. Tagad skaistas labiba pa kreisi sovkoza centris tris tristavu majas var redzet daudz masiņas un traktori. Brauc viens tas ir agronoms Koks sveicina tad mani vel pazist. Talak cik var redzet vilnojas miezi kur agrak cinaina ganiba visur vilno labiba. Talak Produ egles ka senak te nekas nav izmainijies. Talak Ceimera lauki ar laba labiba. Talak Činku maju vairs nav tikai darzs. Talak Baliņi gribas redzet ka tur izskatas. Saņem divi nikni šuneļi nemaz nelaiž tuvuma. Pasveicinu un saku gribu redzet ka dzivoju. Ved istaba prasu kas ir saimnieks. Esot Kaļvu Petera dels. Ja Kalvu Peters bij manam tevam labs kaimiņš talkas gaja. Vel man intrese alksņi kad ganos uzkapu uz celma vareja redzet pari nu jau gari. Aizbeiedu pa zali lieli baļķi varetu buvet maju. Bet kad vel augs bus pinieriem. Taisni gari bez zariem. Bet ir jau gadi 60 gadu augusi no mazas atvasites. Jau gandriz cilveka mužš. Te ar vilno aboliņs, bietes gan ne visai retas nav laikam sadigušas vai izpluktas. Talak atka mieži garam varpam Pirmo eju Zitera maja durvis vala jumta tikpat ka nav sijas uz bruksanu pagraba sijas aizluzusas ka vares"
1687418,"taisamies maju pardot. Ligitai vienai gruti varbut bus labak kopa. Ojars negrib maja palikt saka lai pardodot. Vispar viņš Lubana negrib dzivot. Mums Lubana bija labi man darbs un kopirativa ar var stradat. Bet ko lai dara zel ari bernu. Visi saka lai nu pie berniem gan neejot nebušot tik labi ka sava maja varbut viniem taisniba. Gadas pircejs pardodam necereti dargi. Neviens tadas naudas nav vel devis. Lubana lieli nodokļi maja daudz jaliek iekša ja atstaj 1200 kvadratmetri  nav nekadas zemes tapec vien japardo. Sespacmita aprilie parrakstam naudu samaksa. Izrakstamies un viena vakara Atbrauc divas mašinas un sakrame mantas. Ari jaunais saimnieks iebrauc. Ta visa manta mašiņa braucam prom. Sveika paliec Lubana ar saviem priekiem un bedam. 
Jauna dzive Asnos. 
Braucam visu dienu divdesmit devitais aprils. Maja svetki tuvojas visur uzraksti. Sveic maju. Riga mirdz un laistas. Tals ceļš tomer vel nav vakars ka esam gala. Govi ieved cauru jumtu kutie. Mantas paliek uz lauka. Dziezgan vel slaps. Zale sak jau digt. Drebes sanesam istaba. Vakars ar klat jaapkop lopiņi. Rita nokarto parejo. Sastadam zemenes abelites darzs atkal sastadits. Zeme gan man nepatik Nav Lubanas smilts. Zemens nemaz neaug. Paiet nedeļa otra nekas nav redzams. Paliek cieta un zemenes liekas ka mazakas sak palikt. Šij zeme nav prieks zemenem. Atnak dzivot viena baltkrievu ģimene. Vecie dzivotaji tadi uzputigi. Viņiem brauc berni vai katru svetdienu. Ari divi mazberni skraida. Kada bus dzive to vel nevar zinat."
1687427,"Ciemos pie bernibas draudzenes. 
Bukaiši no Dobeles nav talu adresi dabuju no Olgas. Asnos nodzivoju 3 gadus un neaizrakstiju. Nu no Dobeles aizrakstu. Ta pars vestules parmainijam. Viena lietaina vasaras diena viens nak durvis ver un Alma no lieta salijuse. Nevaļiga mašina palikuse neaizslegta ar iepirkumiem pie veikala skola. Nu ko lai dara ejam abas. Abas toreiz bijam mazas. Tagad abas resnas ta esam izmainijušas. Aizejam viņas virs ar nak uz mašinu. Nu es ludzu lai nak vismaz zemenes nogaršos. Atbrauca ar visu mašiņu. Izradiju savu darzu vel pielasijam zemenes lidzi. Gadu velak zemenu laika braucu uz Bukaišiem nu jau zinu kur ta maja jamekle. Braucu uz Terveti un tad uz Bukaišiem maju atrodu. Alma man izrada savu darzu manu apbrinu izpelnas dzeltenais saldais ķirsis liels ka koks no seklam audzets ogas labas saldas. Ir abels stikenes lieli ceri. Maja gan mura dregna. Agrak kungu kalejs. Tagad vairs nestrada jo slimigs penzionars. Paciemojos visu dienu majas braucu ar otru autobusu uz Penkuli iznak atkal liels aplis apbraukt. Skaist skats zemgales lauki. Labiba aboliņi vis labi audzis. Lieli lauki ar cukurbietem bagats apvidus. Saule ar tik silta tik jauka diena. Dienas iespaidi paliks ilgi atmiņa. Tadi braucieni noder redzi ka citur dzivo. Ka aug. Kadas majas. Pedejos gados nakas parbraukt uz visam pusem. Katra puse savadak dzivo cilveki. Daba ar mainiga zemgale izskatas ka Lubanas lidzenuma. Ja brauc uz Limbažiem zeme neaugliga nabadziga."
1687424,"Dzive Dobeles pilseta. 
Parcelamies uz pilsetu vel palika simts rubļu naudas. Vienu cuku nokavam kilogramu 60 k  gaļas bideleti milti 70 k. vel kvieši un cuka 6 meneši veca. Ta bada nesam var dzivot. Pirmo vestuli atraksta Ojars. Ari atbrauc uz maju prom braucot atstaj Silviju pie mums. Bernam ir iemaciti nelabi paradumi bet kad neliekas to redzot vairs ta nedara. Savadi neko nevaru redzet nav nekadas zimes ka bija mani tris vajadzeja but kadai pazimei ka sveš ta izliekas. Kad Ojars bij mazs gražojas gulas zeme Ludis saka es ar ta dariju mes smejamies un priecajamies ka tas ta ir. Bet Silvijai nav neka pilnigi sveša. Berns pie mums nodzivoja 6 nedeļas jau mums saka piekerties. Bet tad atbrauca Austra berns vairs viņas neatzist. Pirkš Austras mes nebijam ne pietiekoši smuki gerbuši ta aiveda. Priekš berna butu labak ja butu atstajuši pie mums. Berns nav lelle ar ko paspeleties. Bet lai audze paši savus bernus. Ta dzivojam bez darba domajam par penziju laiks jau butu penziju sanemt. Bet mes jau nemaz nezinam kas jadara. Zociala daļa pamaca lai vel pastradajot busot lielaka penzija. Bet kur atrast darbu. Ligita Platone brauca tur vienu menesi pastradaja braucot majas ierauga sludinajumu Dispanserie vajadzigs setnieks kurinatajs. Aiziet pieteicas par setnieku pieņem. Bet ļoti maza alga tikai 30 rubļu. Menesi nostrada darba bezgala. Negrib tik leti stradat bet direktors negrib laist projam. Darbs ir kartigi padarits tas viniem patik. Ta izdomajuši lai zirga barošanu uz mana varda par 20 rubliem. Man tikai nauda jasanem un japarakstas. Tas numurs negaja gramatvediba cauri."
1687423,"Viena celojuma apraksts. 
Vel no Asniem braucu devita junija uz Malpili. Vilciena brauc divi jauni parits berns ar lidzi. Krimunas stacija gribeja nopirkt bileti uz Ergļu vilcienu. Bet tur nepardeva. Ari man jabrauc pa to. Ergļu vilciens atri braucot prom Rigai vai pspešot nopirkt bileti. Ta turos pie tiem. Riga tiesam Ergļu vilciens stav prasam varbut vilciena var bileti nopirkt nevarot ta es ar paludzu tam jaunam cilvekam lai noperk man. Vins aizskreja pec biletes mes kapam iekša un ar uztraukumu gaidam vai paspes atnakt ar biletem. Atnaca gan vilciens ar saka iet. Braucu un skatos stacijas. Sitgunda izkapu un pamazam eju nekada nesama man nav. Diena jauka diezgan karsts. Aizeju Zina majas. Atnak ari Uldis apsveicu nekadas davanas jau man nebij teicu atbraucu tikai ta. Sesdienas diena gudro ko darit jau brauc uz Siguldu nesot man kur gulet. Ta nu iznak ka manis deļ butu svetdiena jadzivo Malpilie. Saku ka varu ari braukt talak. Braucam uz Siguldu Zina man stasta cik dargas ir biļetes uz Siguldu. Padzivoju drusku Sigulda jaiet uz staciju vilciens uz valmieru ar ko braukšu. Aizejam Uldis noperk biļeti iekapu vilciena un braucu. Nakti pavadu Valmieras stacija uz sola. Kad paliek gaisak ieju uz auto ostu ar pirmo autobusu braucu uz Ozoliem pulksten septiņos jau biju pie Ojara majas tur vel visi guļ. Ceļu augša svetdienas rits tad jau var ari pagulet. Ceļojums iznaca gars bet vai jaunie var saprast ko sajut vecaki kas liek pat reizem dzivibu uz speli. Brauc un ka ubagi ludzas. Deļ kada silta miļa varda. To tikai sapratis kad jau ir par velu."
1687413,"Atgriešanas majas. 
Jau liels laiks pagajis kamer dzivojam tikai divi majas no parejiem tikai vestules. Uldis strada tas jau nevar nakt atpakaļ. Bet Ojaram laiks braukt majas jau ilgaku laiku nav vestules. Jaunie jau aizbraukuši var ierasties drizi. Ta vien liekas ka vajaga but jau ceļa. Jau esam nopirkuši uzvalku par visu ir domats lai butu. Viena rita Ludis jau bij aizgajs darba. Viens nak ta leni ir vel agris pieklauve Ojars majas. Mazs aizgaja ta ka izaudzis lielaks. Izmacijies. Šopers ar labi ka ta. Nu prieki lieli tikai jadoma kur darba vares tikt. Darbu turpat kur Ludis koperativa. Pasreiz ir marta menesis Aprilie man paliek sešdesmit gadu jubilija Ligita beidz studijas brauks uz Dobeli pie Upiša stradat. Gatavojamies jubilejai Ludis pasuta klinģeri Ojaram saku lai pasuta pie Zuzannas kuku. Patiesiba mums tris vai ka velak noskaidrojas veselas četras jubilejas. Klingers liels kuka ar rozem vis ka nakas. Tikai sesta aprilie neviens nebrauc. Diena aiziet klusa. Vakara ap desmitiem ierodas Ligita, Uldis un vel sieva. Ta sapigi uz kazam pat neludza jau sieva. Davana kada tautiska ladite kapec to nevajadzeja. Citas mates lepojas ar kleitam vedeklu davatam. Vel it ka vieta stradajot tad tak tik nabaga nebutu. Ne nav tomer ka vajadzetu but. Vakars ir vels nekas tads nospiedos ka kautkas iespiedies starp mums. Vienmer kad mes visi pieci kopa tik labi nu šovakar liekas kautkas neists nav nekada prieka. Maja jau sausmiga vel nav gridas. No visiem sturiem mitris augstums. Tada mes esam visu laiku dzivojuši. Otra diena visi taisas prom. Vakara lidz Madonai tur guļam viesnica. Toreiz nesapratu bet nu zinu. Tadeļ brauca"
1687412,"Izbraukums.
Draugu mums nekadu nav. Tapec ka nedzer ar nemeklejam nevienu. Toties braucam pa svetdienam lielus gabalus. Zirgs jauns labi skrien ka vejs gar ausiem svilpo tas patikami. Braucot var ko redzet. Ta dažu svetdienu pa divdesmit kilometru nobraucam. Viena tada jauka svetdiena braucam pie kurpnieka. Ar jauno zirgu Viju. Baložu berzos visi izkapam lauka. Brauc Šimts ar vieglo mašiņu. Ludis tur zirgu pie galvas. Zirgs nav noturams sak iet uz priekšu. Ludis nelaiž vaļa turas ar kajam zeme. Zirgs ar galvu paceļ cilveku gaisa skrien lekšos. Cilveks šupojas ziga galvas turets minutes tris tad sviediena uz grava pusi ielido gravie. Zirg aizaulekšo priekša majas tur izgaja preti notureja. Ludis rapas no grava skrien zirgam  pakaļ. Mes stavam visi četri un skatamies. Tas bija mata tiesu no naves. Pa šo mazo laiciņu cinoties ar zirga turešanu zabakiem zoles noplisušas. Beigas iznaca labas zirgam ar nekas nenotika. Velak kad naca mašinas kad pabrauca garam tad tik sreja mašinai lidzi. Tapat ka pirmo reizi gaja ar mašinu srieties. Mums visiem četriem bij pardzivojums skatoties. Tikai tas izglaba kad nosvieda uz grava pusi vareja pakrist zirgam priekša tad nave droša. Aizbraucam lidz kurpniekam. Bet galvenais prieks ka vis labi beidzas. Vel daudz braucam bet nekad nekas negadijas. Kara laika begļu gaitas parbraucam no Lubanas lidz Pampaļiem un atpakaļ uz Lubanu. Ceļā daudz mašinas vis kas kara ceļos gadijas VIja vairs nebaidijas. Vel tris gadi nodzivoja un nobeidzas ar sirds trieku. Ari zirgi mirst ar sirdi ka cilveki. VIja bij vel jauna apmeram desmit gadus. Tas prieks zirga pašos speka gados."
1687422,"ka mums ar sava dzive un ta iet uz putešanu. Piecelas aizejam uz jauno maju. Pa sam trim nedeļam nekas nav vel padarits. Plite izmureta pec vecas gribas garas. Tas vislielaka mulķiba garas ieres naks dumi. Siea ar tiko iesakta ne šis ne tas padarits tris nedeļas. Tapec runa lai nebrauc vel prom. Bet palikt nevar jabrauc majas tur darbs gaida. Citadi mums vis aiziet posta. Aizejam veca taisa brokastis. Visi tadi ka klusums priekš vetras. Ojars atnak redzu tam ar ta. Nemaz brokastis neēdu eju prom. Ludis nak Ojars teicis tu papa vari atbraukt mamma lai nebrauc. Raudu cik žel ka nesaprot ka ta var."" Ludis smejas redzi nu gribeji naudiņu! "" Aizbraucam majas kamer sakopa kartupeļus un šis un tas. Zale parauga siens iznaca mazvertigs. Kartupeļi nepaauga liela skade iznaca par pavasara trim nedelam. Kad siens bija savakts tad augusta menesie Ludis aizbrauca uz Ozoliem un atkal nodzivoja kamer pabeidza maju sataisit. Majā noplavu aboliņu ganiba kur taisijas melert. Liku gubas to visu veicu. Rakstiju vestuli lai dzivo par maju lai nebeda. Bet tas vestules nemaz nesaņema. Ta nu atbrauca kad tur darbs bija padarits. Palidzets bija bet nevajaga aizmirst ka mums ar sava dzive jasakop. neviens mums neko nedos. Treša gada Asnos paauga kartupeli pardevam, graudus, ar 1 cuku, teli, govi. par visu salasijam un vel tas kapeikas kratas ta varejam nopirkt Dobeles pilseta maju par 1650 r. vel par parrakstišau turpat sanaca 1700 r. 1963 gada parvacamies uz Dobeli."
1687432,"var izgulet paģiras. Citu reizi ta. daudz stradnieku viens vienmer uz krumiem gajs saimnieks sakot ko šie tik bieži uz krumiem staigajot. Berzins turpat saimniek priekša bikses nost. Saimniek tik iekliedzis ei tu lops. No tas reizes vairs neparmet ka uz krumiem
Stasta graudnieks Jekabsons. 
Bijuse jurģa diena tada vejaina pavasara diena. Viņam jabrauc uz jaunu vietu Graudniek Jekabsons. Viņs braucot un uz garigas dziesmas meldiņa sakot dziedat un vardus piegudrot. 
Kungs vadi man iz salas 
Un dod man citur alas
Ka svarki nesadeg
Ja to neliksi vera 
Tad ogles bersi mera
Un kalejs Berzins 
Izkals tas 
Bet majas jau deg. Nodeguse dzivojama maja kuts klets rija. Par dziedašanu Jekabsonu sauc pie atbildibas. Varbut pats saimniek pielika jo majas vecas.
Stasta graudnieks Peksis. 
Preis mežus krumus no muižas zemes lidumus list. Daudz stradniekus turejs Ladgalieši nakuši Saleniekos vienmer darbu atraduši. Rudeņos kulšanu beiguši pec jauna gada. Kletie saberuši 1000 puru labibas purs rudzu 43 kilogrami auzas 32 k. Peksim vienmer licis nest uz augšejo kleti. Berzins, Jekabsons un Peks. Visi stastija brinumu lietas par Preisu. Vienu reizi gajs istaba un koridora trieka situse. Kad tevs miris testamentes nebija. Meita un dels divi dalijuši teva atstato kamer iebraukusi banka paradi 4000 r. Beidzot mans tevs nopirka par 8000 rubļiem. Reizi bij atbraucis abeles ziedeja viņs sedeja uz balkona asaras bira."
