File-ID,Transcribed Text
1689313,"God.
b. M.Ustubei"
1689315,"Sirsnīgi sveicinu Jaunajā gadā Tevi un Tavu ģimeni!
Līvija"
1689314,[kartīte]
1689317,[zīmējums]
1689312,"[aploksne otrā puse]
A.Timbers, Rīga, Elizabetes 15-4."
1689316,"[apsveikuma kartīte]
Padomju sievietei - komunisma cēlājai, pašaizliedzīgai cīnītājai par mieru un tautu draudzību - sveiciens Starptautiskajā sieviešu dienā!
Latvijas PSR Teātra Biedrība"
1689319,"[apsveikuma kartiņa]
8 марта"
1689318,"[pasta kartīte]
Urā! Sieviešu dienā!
Auriķu lielmātei!
1959.g.8.III"
1689321,"[aploksne]
Malvīne Uztubs.
Kr.Barona ielā Nr.93-10
Rīgā"
1689380,"A.G.
Malvinei Ustubes jkdz.
X.latv. pamatskolā VI.kl."
1689379,"[atklātne]
Ļ.God. Malvīnei Ustubu kdzei
Daugavpils teātrī
St. Daugavpils."
1689294,"Rīgā, 23.XII. 38.g. Arvīds"
1689295,"Loti cien.
M.Dzenis kundzei
Daugavpils
Aizsargu ielā Nr.6. dz.3."
1689292,"A.god. M.Kaivas j-kdzei.
3.Janvāra ielā Nr.38
Daugavpils latviešu teātrī.
Daugavpilī."
1689293,[apsveikuma kartīte Priecīgus Ziemas svētkus]
1689406,"Malvīnīt!
Esi Baibiņa sveicināta. Ierodies svētdien divos uz mēģinājumu jo mēs izgādājām ka Tu dabon Baibiņas lomu. Bet Tu nāc. Es pagaidam esmu Gatiņš, Eba - Orta un Bērziņš - Didzis, bet visi pagaidam. Bet Tu nāc! Sveicini Lūciju un Žvaģi!
Mazais Puišelis
10.IV.24.-"
1689399,"Spārē, 1945.g. 25.IV.
Malvīne, esmu Tevi izmeklējusies Kurzemi. Arī avīzēs sludinājumu ievietoju bet nekā. Esmu Spāres pagastā. Vīrs strādā pie O.T. Ļoti ilgojamies pēc savējiem un draugiem. Daži teātra ļaudis tepat tuvumā dzīvo, bet par Tevi neviens nekā nezina. Lūdzu Tevi, vai arī Tavus vecākus, man kaut ko ziņot par Tavu"
1689415,"Ar lielu baudu ravēju puķes, burkānus, laistiju zemenes, u.t.t. Tīri vai sāku domāt, ka būtu jānoskata kāds brašs lauku puisis un jāmet teātris pie malas. Ko Tu uz to saki? Bet tagad atkal esmu Rīgā un manas domas sāk darboties gluži pretējā virzienā.
- Mīļais draugs, ļoti man gribētos būt pie Tevis, papriecāties par saulaino jūŗu, kuŗu šogad vēl neesmu redzējusi. Pie labākās gribas kas nav iespējams aiz tiem pašiem motīviem, ko Tev jau minēju. Ja Tu būtu tuvāk, katrā ziņā aizbrauktu, jeb ja man kristu kāds vinnests. -  Iebraucu Rigā lai samaksātu dzīvokli. Domāju - varbūt laime smaida un gadās arī kāds darbs, kaut vai uz īsu laiku, bet par to velti sapņot. Rītdien braukšu atkal prom. Kur - to vēl noteikti nezinu. Varbūt uz Dubultiem pie Stapānes, jeb kur"
1689416,"citur. Mēģināšu Tev pēc tam rakstīt.
Nu, Malvīn, peldies labi daudz, ņem saules un gaisa vannas. Nodedzi brūna, brūna. Svarā nepieņemies - nedzer putu krējumu, tad viss būs labi. Gaidīšu Tevi smaidošu atbraucam. Lūdzu neaizmirsti - būšu bieži pie Tevis no rīta puses, jo man ļoti patīk rīti.
Še Tev viena salda, mīļa buča
Māriņa."
1689414,"Rigā, 28/VI 1933 g.
Malvīn!
Esmu nejauka. Piedod. Rājiena vietā nobučo mani uz kreisās acītes. Nu redzi tā, un tagad viss kārtībā. Tagad sākšu runāt par lietu.
Malvīn, vai katru dienu domāju par Tevi, tikai nekad nesaņēmos un nesēdos pie galda lai rakstītu. Tik patīkami bija dzīvot pa āru. Kad biju mājās, tad šo to strādāju, un tas man taisni patika."
1689274,"izrunājos, to es nei ar vienu otru tādu nevarētu. Kad es iebraukšu, tad parunāsimies visu visos sīkumos, vakar nebij laika un man liekas, tas ilgais neredzēšanās brīdis lika vienai no otras drusku kaunēties. Man tā bija un man liekas, ka Tev tāpat.
Nu novēlu Tev visu labu Lieldienās un labu apetīti uz olu ēšanu.
Rakstīt, tu man vairs neraksti. Trešdien tā vēstule būs tikai Liepājā un ceturtdien un piektdien ir svētdienas sestdien tu viņu tikai dabūsi. Pec svētkiem pasts neiet un pēc svētkiem es tūlīt iebraukšu. tātad mums iznāk ātrāk tikties, nekā saņemt tavu vēstuli
Ar mīļu sveicienu [paraksts]"
1689288,"Mīļā Malvīne!
Pieņem lūdzu visa laba novēlējumu jaunajā, 1957.gadā!
Tavs V.Sauleskalns
1959.XII"
1689273,"vien ir. Tā man liekās.
Tu man sacīji, ka braukšot prom citu sestdienu, nu vai tad tev negribēsies aiziet uz operas pirmizrādi, sestdien vai svētdien būšot. Tu jau bez šaubām aiziesi par svētkiem arī, bet nu tas jau nav tas Es arī gribu katrā ziņā iebraukt tūlīt pēc svētkiem, bet nu nezinu, vai varēšu izmeloties Bet man iekrita laba doma galvā, es tūlīt rakstīšu arī Ālīdai, lai viņa man raksta, ka sākas ķīmijā mēģinājumi priekš eksāmeniem. Un tad man būs labi. Vai nē?
Nosūtu Tev to bildīti, kuŗu gribēju Tev jau uz Rīgu nosūtīt. Tā otrā meitene ir Sniker Mirdza, mana tagadējā biedrenīte nu tāda, kad labākas nav, tad iztikt var. Es nezinu, kas tur ir, viņa jau nav slikta meitene, tāda jautra un dzīva tīri būtu pa manai garšai, bet kaut kas trūkst. Moļa, otru tādu draugu es neatradīšu. To ko es ar Tevi"
1689275,"Aktrisei M.Dzenis-Kaivai
L.P.S.R. Dramas teātrī
Rigā
[aploksne]"
1689286,"Patiesā cieņā un pateicībā par neaizmirstamiem skatuves tēliem!
L.L. un A.R.
18.9.58."
1689287,"[aploksne]
Liepājā
Valsts dramas teatrī
Malvīnei Ustubei"
1689284,"Apsveicu pirmizrādē!
E.Krūze.
18 IX.58.g."
1689282,"[aploksnes otrā puse]
Sūtītāja nosaukums un adrese: [paraksts]
Daugavpilī
L.P.S.R. teātrī."
1689285,"Ļ.cien māksliniecei
M.Ustubei"
1689289,"God.
A.Rozenberg jkdzei
priekš Milli jkdze
Laču iela 39 dz.13
Liepaja"
1689283,"aktrisei
M.Ustubei."
