File-ID,Transcribed Text
1846320,"34.
glauda un glāsta mani kā īstā māte to nedarīja, runa skan priecīga. Apmeklējot citas paziņas tās ļoti pārsteidzu. Kristīne manis negribēja pazīt, jo esot daudz pilnīgāka nekā agrāk, nu bij daudz ko stāstīt un pļāpāt.
<28.10.1904.>
28. Oktoberi 1904. g.
Mājās var viegli un ātri iekārtoties, domas un sirds ir ļoti bēdīgi, trūkst, nav vairs tik svabadi un klusu. Tur neviens troksnis nebij dzirdams, šeit, bailes pat metas, dzirdot lielo bļaustīšanos uz ielām un tramvaja garām braukšana ar skaņiem zvaniem ir briesmīgi nepatīkoša. Prieks vienīgs tas, ka varu mātes valodu runāt, sāku just, ka neskatās uz manim tā kā agrāk, neesmu vairs lieka prece mājās, kas visiem par kavēkli, bet vajadzīgs un labs cilvēks. 
<08.11.1904.>
8 Novembri 1904 g.
Galīgi redzu savu vēlēšanos piepildāmies, vecāki atvēlē manim stundas ņemt, norunāts tiek uz pāru mēnešu, priekš kā vecāki nāk man ar uzmanību pretim. 
<21.11.1904.>
21 Novemberi 1904 g.
Laika ritms ir apgrauzis veselu gadu tik nemanot, līdz ar to ir ieskati ļoti grozījušies. Agrāki kur gāju ar prieku, tagad padodos nelabprātīgi. Jāiet ir Biedrībā pie postkāršu pārdošanas. Noskatoties uz visiem pārņem riebums, sievietes uzvedas tik uzkrītoši, jaunekļi nepieklājīgi. Atrodos nepatīkamā stāvoklī, tas pavairojās, kad ieradās Gruzis ar saviem draugiem, viņu žūpošana ir pretīga līdz ar viņu jautrību."
1846331,"49.
<21.07.1906.>
21 Julija 1906 g.   Liepāja. 
Pilsētai tuvojoties nospiedošais gaiss ar varu laužas virsū. Dienā nekas - vakarā līdz ar netīro gaisu savāds drūmums nospiež krūtis. Kamdēļ tik neērti un nospiedoši man Liepājā?
<25.07.1906.>
25 Julija 1906g.
Priecīgi devos agri no rīta uz stanciju sagaidīt Romnes meiteni, no turienes uz Pastu saņemt sen gaidīto paku. Savādas jūtas rodas paku taisot augšā, agrāki domāju, ka pie tā nevarēšu tikt, bet tagad ir manā priekšā. Apskatoties un piemērot jūtos daudz priecīgāka. Valkāt aparātu tūliņ nevaru, soli bez pabalsta nevaru darīt, cik smuki izskatās abās kājās vienādas kurpes, redz seno fantaziju piepildāmies. 
Vakarā apmeklēju Dubura sarīkoto koncertu. Dziesmas, pa lielākai daļai sēnalas, deklamācijas tā pat. Bij tomēr ļaudis, kas aplaudēja, to starpā vairāki svilpieni noskanēja. Pēc koncerta, pie vakariņu galda iepazinos ar Duburu un Michelsonu. Mazais skuķis krīt ap kaklu, lūdz, lai neejot uz mājām. Pastaigājoties sākam dzīvas sarunas ar Tamuš, beidzot apsolījās piegādāt vairāk grāmatas priekš lasīšanas.
<27.07.1906.>
27 julija 1906g.
Cik šausmīgi tumša nakts, tādu nebiju Liepājā ievērojuse, pusdivos naktī, no mēģinājuma mājās nākot no sākuma nevarēja savā priekšā redzēt vai ir cilvēks jeb ne, kad acis aprada, varēja gan vairāk redzēt, bet ļoti maz, desmit soļus ap sevi nevarēja neko redzēt. 
Šis bezgalīgais tumšums iedveš visiem savādas šausmas un bailes, ko visi izsaka."
1846322,"36.
<14.12.1904.>
14 Decemberi 1904g.  Liepāja.
Visu dienu grūta sirds, bēdīgas domas vien nāk prātā bez jebkāda iemesla. Mācības grūti veicas tādos brīžos, visu lielākā sirdība jāpieliek līdz var ko panākt. 
Vēlā vakarā, vienai sēdot ienāk nejauši domas: ""varbūt redzēšu veco draugu"", sirds sāk priecīgi pukstēt, savādas jūtas mani pārņem. Tā būtu mīlestība, kas sen tur paslēpuse un tagad sāk pie gaismas nākt, kur viss, viss par vēlu caur pašas kļūdām, jeb tukšas iedomu skaņas. 
<19.12.1904.>
19 Decemberi 1904g. 
Daudzi apskauž, nosaukdami mani par laimīgu. Neviens nezina starp dzīvajiem, ko es jūtu, man laimība ir sveša, sevišķi šeit. Es jutos apmierināta, kad biju svešumā starp nepazīstamiem, kur centās ir viens no manim uzticību mantot un es no viņiem. Bet šeit, starp paziņām, radiem un vecākiem, neredzu no tā ne putekļa lieluma. Es cenšos cik spēdama sagādāt visādus priekus, tas tiek uzskatīts kā pienākums. Pie mazākās klupšanas jeb nepareizības, viss tiek piemirsts, atskan tik daudz nepatīkami vārdi, kas spēj briesmīgi satriekt sirdi brīžiem līdz izmisumam. Brālis tagad aizņemts un pārpildīts ar savām jūtām, viņš dalās visu ar mani. Kaut varētu es viņam tāpat. 
<25.12.1904.>
25 Decemberi 1904g.
Brālis ar papu aiziet uz pusdienu, man patīkas labāki pavadīt dienu pie slimās gultas nekā pie ļaudīm, kuri man ne visai interesē. Pašā vakarā slimā atvēl aiziet pie vecām paziņām, kur īsi pagāja laiks, pēc dažām stundām atgriezos atpakaļ pie savas slimās, kas bija vēl viena pate."
1846319,"1
33.
<26.10.1904.>
26. Oktoberi 1904 g.  Liepaja.
Nakts lietaina, tuvāk, arvienu tuvāk nāku savai Dzimtenei, krūtīs nejūt prieku, bet šausmas, briesmīgas bailes pārņem mani. Redzamas tiek no tālienes ugunis, kuras ar katru acumirkli paliek gaišākas. Te noskan svilpiens, riteņi stājas darboties, sirds krūtīs ar apstājas uz acumirkli, liela asara norit pār vaigiem, visi steidzīgi iet ārā, es viena stāvu kā apmulsuse nezinādama ko darīt. Te ieraugu brāli vagonā ienākušu, viņam ir prieka smaids uz lūpam, saņemos, parādu mākslīgu prieku. Ārā gaida tēvs, pieeju viņam nemanot klāt, viņš apskāva mani, velk pie savas pukstošās sirds, jūtu kā viņa rokas trīc, nezin ko ar manim darīt. Sajūtot viņa  mīlestību paliek man siltāki un jūtos ļoti apkaunota, nekad nebiju manījuse to, ko tagad. Vilciens bij novēlojis trīs stundas, bet māte mājās gaida, nav likusēs gulēt. Ieejot istabā acis apkārt laižot redzu visu to pašu, ko atstāju, māte ir vājāka palikuse, viņa pieslienas pie mana pleca raudādama, un izliekas viņa man mazāka nekā agrāki. Noglaudu, noskūpstu un apmierinu, bet nesasilda viņa mani tā kā papis, paliek dzestra un viena. Aprunājušies gājām pie dusas, es savā vecā gultā, noguruse esmu ļoti, nekas netīk, liekos un guļu cietā miegā it kā atrastos vēl arvienu vagonā. 
<27.10.1904.>
27 Oktoberi 1904 g. 
Neparastais troksnis uzmodināja mani agri, galva grūta, staigājot pa istabu izliekas, ka brauktu vēl arvienu vilcienā. Iedama ārā satieku Enulatenes pagalmā, viņa apsveikuse velk mani pie sevim cieši,"
1846328,"42.
<28.11.1905.>
28 Novemberi 1905g.   Liepāja.
Ronas vēlēšanās aiziet pie Anniņas. Mama norunā neiet, tas nepalīdz. Es aizgāju, bet kādu skatu tur atradu? Viņa nosēduse uz grīdas pie gultas, vaimanā un kliedz mātes sāpes. Nevarēdama to paciest izsaku pāris apmierinošus vārdus, tad gāju projām, pa trepēm uz leju iedama dzirdu vēl kliedzienus. Uz ielas izgājuse, nezinu kur iet, trīcu no uzbudinājuma. Maz apdomājusies eju pie Ellas, pie durvīm nonākuse palieku drusku stāvam. Divi gadi neesmu šīs durvis atvēruse. Iekšā atradu veco laipnību un piemīlību. 
<27.12.1905.>
27 Decemberi 1905 g.
Kā nelūgts viesis iegāju līdz ar visiem citiem pie ""Evaltovičiem"" uz eglīti; bijām ļoti daudz personas. Tur piedāvājās ""Solanks"" par ""tu"" draugu, atkal vairāku personu klātbūtnē. Šoreiz nerunāju neko pretī un sadzeram brālību, norunājam par katru pārkāptu vārdu maksāt buteli vīna jeb mārciņu šokolādes. Man nevajadzēja nekā, varēju viegli par tu saukt starp citiem. Pie sevim par to brīnījos un nevaru saprast, viņu, kuru tik maz cienu, varu saukt ""tu"", bet otru, kuru cienīju, to nevarēju pat mūsu starpā tu saukt, baidījos, ka tas vārds mani varēs nodot, no kā ļoti sargājos."
1846326,"40.
pēdējo stundu, jāatstāj viss jaukums, mājenieki gaida ar lielāko nepacietību uz mūsu atgriešanos. Braucot uz stanciju pametu skatus arvien uz atpakaļ līdz beidzot izzūd viss no acīm. Mājās atradu vecākus ar no laukiem iebraukušus un viesos aizgājušus. Pie puķu dobītes piegājuse atradu jaunu ziediņu izplaukušu, no dobes krāšņuma ir tik viena saujiņa priekš acīm.
<10.06.1905>
10 Junija 1905 g.   Nīca. 
Jāizpilda mātes solījums, jābrauc līdzi uz laukiem pie Onkuļa. Tur nepiederu es nebūt, starp mums ir liela domu starpība un nesaprašanās. Brauciens ir 
slain
 gar jūrmalu. Saņēma mani laipni, ierādīja mierīgu guļas vietu klētī un lielo ķēdes suni pie durvīm par sargu.
<24.06.1905>
24 Junija 1905
No Dievnama nobraucu līdz pie Tantes, tur saņēma mani ar lielāko prieku. Lai izskatās tur nabadzīgāki, bet mīlestība valda tiem mājās, domāju pie viņiem ilgāki pakavēties. 
<07.08.1905> 
7 Augusta 1905g.  Liepāja. 
Vai esmu gan viena pate, kam laimes griežas arvienu sānis un atstāj grāvī guļam, nesniedz roku, lai varētu reiz strauji celties un iet, kaut ar maziem soļiem uz priekšu. Es apnīkstu savu dzīvi un daudzreiz pate sevi. Ja būtu viena, atrastu ātri līdzekļus, kas darītu visam galu. Vecāki ir vēl, to dēļ ir viss klusu jāpanes, pat domu biedra nav, vis un visur viena. Lai iet! bradāšu pa dūņām, gan nākšu reiz malā pie tīra ūdeņa."
1846334,"52.
Viņš saprata, nevarēja panest viņas skatu sacīdams, nepūlies skatīties, mamīt, aizgriežas pie loga un raudāja. Aizejot uz mēģinājumu atstāju papu pie viņas, pārnākot atradu, ka bij ēdusi olu un izdzēruse gandrīz stopu piena, papam gulēt ejot paliku es pie viņas sēdot, no jauna viņa pateicas par upurēšanos. Sviedri viņai plūda briesmīgi, madrace un ķiseni palika slapji, acis pārvērstas, grūti elpoja, nevarēdama atsvabināties no spļaudekļiem, balss ķērca drusku. Piecos pieceļas papa, dodu savu vietu ieņemt viņam, sacīdama, lai nedod daudz dzert. Mama saka: tev taisnība, man vajag paslapināt tikai muti, jo izdzert es varētu krūzi pēc krūzes. Es gāju gulēt, pasacīdama modināt deviņos. 
<03.09.1906.>
3 Septembri 1906g. 
No skaļas runāšanas uzmodos, izlēcu no gultas, redzu papu un Pēteri stāvam mamas tuvumā, viņas acis ir gaišas mirdzošas, mēs trīs nostājamies pie gultas, pulkstens rāda pusastoņi rītā, paskatās mīļi smaidīdama uz mums visiem ar laimīgo smaidu uz lūpām, ver lēnām, ka aizmiegošs bērns acis cieti, pēc piecpadsmit minūtēm viņa ir auksta. Papa pieiet, aizspiež acis pavisam; paliekam klusi un svētsvinīgi vāl dažus acumirkļus viņas klātbūtnē, visas savas vēlēšanās viņa redzēja izpildāmies, arī pie miršanas. Viņas lūgums neraudāt, kad mirst, tiek izpildīts, ne mazākais troksnis viņu netraucēja no šejienes šķirties, tā bij viņas lielākā vēlēšanās. Nolēmām Otrdien rakt pulksten 5-cos. Kad mēs neesam viņai vajadzīgi, izgājām visi iz mājas. Es aizgāju pie Lieplap jaunkundzes, man ieejot viņa dod pusdienu uz galda, prasa, kāda ir mama? Mama vesela, redzi, ka esmu pie Tevim. Šķīvis, ko turēja"
1846337,"55.
par savu laupījumu. Tas satricināja, lika atminēties, kur stāvu un kas notiekas, pieslejos cieši pie  klāt stāvošās Olgas, un noturēja mani no šņukstēšanas, asaras man neviens neredzēja, tās palika zem melnās segas. Bedre ir pilna, tanī vietā ir zeme paaugstināta zārka veidīga, apmierinošie vārdi bij salda barība. Saņemu spēkus, apskatījos un priecājos, ka puķes un kroņi ir tādā daudzumā, kā nevar dobes dārzā būt skaistākām rozēm pildīta, nekā kapu kopa. Visi gājām atpakaļ uz mājām, pavadījām laiku līdz divpadsmitiem kopā. Visiem aizejot izslaucīju istabu, nosēdos pie galda ēst un dzert, baudīju tik daudz kamēr apreibu, likos gulēt, tad ātri aizmigu. 
<07.09.1906.>
7 Septemberi 1906.g.
Tagad lauciniekiem laiks izrunāties ar tēvu, es viņu sarunās ne piedalījos, ne klausījos, atnāca Anna, aizgājām abas uz kapiem. Cik jauka tā kopiņa izskatās, prieks redzēt, nosēžamies, visapkārt kluss, viņa man sāk stāstīt par savu nelaimīgo mīlestību, it kā šinī laikā būtu tik interesanti klausīties. Mājās pārnākot atradu visu klusu un tukšu, viesi bij aizbraukuši prom. 
<08.09.1906.>
8 Septemberi 1906g.
Pagādājuse pusdienu nosēdos pie galda ar darbu, klusums atskan ausīs, paceļu acis, redzu gultu, kurā mamiņa gulēja, tā tagad ir tukša, asaras rit pār vaigiem no svaigām vātīm. Te dzirdu soļus, klauvē pie durvīm, izlikās, ka ""pasts"" uz ""iekšā"" saucienu stāv T. kungs durvīs, skatās un brīnoši prasa Ko darāt? Tagad nav ko prasīt, ja tas gadītos citā reizē, tad gan. Palika līdz vakaram pie manis."
1846333,"51.
<02.09.1906.>
2 Septemberi 1906 g.   Liepāja.
Vakar vakarā bija spējīga izcelties no gultas kamēr uztaisu. Šorīt papa mani modinādams izsacīja šaubas par mamu, mierinādams neuztraukties, nav vairs spējīga piecelties, redzams, ka tuvojas viņas šķiršanās brīdis. Runā modri, skaidrā balsī, paceļ labo roku un prasa pēc kreisās, tā atrodas pāri pār elkoni jau auksta. Viņai tas neticami, saka, ka tā neesot viņas roka, tik nelaimīga jūtas, ka nevar salikt rokas uz Dieva lūgšanu, rauga no pleca, vai tas ir kā es saku. Pēc neilga laika ievēroju, ka kreisā kāja ar ir pusē miruse. Priekšpusdienās līdz ar manīm izsēdēja Ennulat kundze, ap vienpadsmitiem liek man nodot sveikas vecai Freijenei, saki, ka es viņu mirdama piemineju, ""viņa man bij vienmēr tik laba"", ne, visi man bija labiņi. Sāka dziedāt savā skaidrā skaļā balsī saraustīti ""Jēzus pavadi, ceļā žēlīgi, mēs nekad negribas bīties, tevim visur pakaļ dzīties, mūs pie rokas ņem, ved uz tēva zem,"" tālāki vairs netika. Tanī brīdī domājām abas, ka tūliņ izdzisīs, bet nekā. Kad palikām vienas, sēdot uz viņas gultas malas, satver manu roku glauda, velk pie savām lūpām, skūpsta sacīdama; ""Tu esi savu bērna pienākumu labi izpildījuse, labāki kā tu neviens nevar, es atzīstu tevi un tavas pūles."" Man palika priecīgi ap sirdi redzēdama, ka manas pūles un upurēšanās ir atzīta, kaut ar uz miršanas gultu. Pēteris aizgāja pēc mācītāja, tas atnāca pustrijos. Mācītājam lūgšanu turot savelk raudulīgu ģīmi, asaras nav vairs, nespēj pate galvu pacelt. Pēc viņa aiziešanas satver manu galvu, glauda, spiež sevim klātu, izsacīdama pateicības vārdus. Es palieku sānis, pienāk Pēteris, viņa uzskata viņu ar tik pārmetošām acīm it kā gribētu teikt, tu biji mans mīlulis, bet esi man mazāk prieka darījis."
1846329,"47.
<25.06.1906.>
25 Junija 1906 g.    Liepāja.
Visu nakti negulējuši dodamies atkal tālāk, norunājām braukt uz ezeru, izprasījuši priekš Krolmanes atvēli mums līdzi braukt. Atrodam ceļa galu Grobiņas stanciju, kur pienākam pirms vilciena. Vēži bij ļoti garšīgi, pastaigājoties ar turienes meiteni iznāca skolotais pakaļ. Būtu iznākuse savādi ātra katastrofa, ja nebūtu atrāvusies un vienaldzīga, bet noteikti atbildējuse. Braucot mājās var redzēt kā atraujas kā no nejauka zvēra, vajadzēja laist, lai būtu runājis, kas sirdi nospiež. Ne, ne, daudz labāki ir tā, kā esmu darījuse. Sapratu no pāris vārdiem, ka nāks pakaļ salkani mīlestības vārdi, kurus tu necieni. Mājās pārnākuse steigšus pārģērbos, sēdāmies fūrmanī un braucam uz ""Sumas Ostu"" izvadīt kuģi ""Smolensk"", kas pirmais iet taisnā ceļā uz Ameriku un vedīs manu vienīgi mīļoto draudzeni Runkovski. Ilgi iznāca gaidīt, kuģis atstāja malu tik 1/2 10 vakarā...  Uz kuģa virsū uzgājuse parādīja savus līdzbraucējus, tautiešus, viens starp viņiem vīrietis nosvieda pus rožu pumpuru, es solos uzglabāt, man tukšas rokas, nekā nevaru pasniegt. Pēc lielāka starpbrīža ieraugu zēnu ar meijām man aiz muguras stāvam, palūdzu viņa zaru, tad pasniedzu caur kajītes logu svešajam ceļotājam, augšā uzgājis dodas ar Runkovski uz pusi, solīdamies uzglabāt par atmiņu no Liepājas. Vai viņš savu uzglabās, kā es to nezinu un neceru, es kā liela ceļotāju cienītāja gan to darīšu. Kad kuģis bij no malas aizgājis, pie jūras vārtiem lēnām kustēdamies kā putns virs ūdens, tad gājām mājās diezgan nospiesti. Man šeit jāpaliek un kas zin ilgi vēl?"
