Filename,Original,Regular,Lemmatized
1165988_Alvila-Kalniesa-Klebaha-dienasgramatas.txt,123847,94627,94643
1410929_Ligitas-Vucenas-dienasgramatas.txt,109955,86198,86194
1636959_Rutas-Sleieres-dienasgramatas.txt,93267,77088,77144
1633500_Marijas-Berzinas-atminas.txt,64215,51313,51326
1117608_Dainas-Rozenblates-Atminu-zimejumi.txt,59885,49867,49867
1846318_Katrines-Butenieces-dienasgramata-no-1904-lidz-1924-gadam.txt,56857,45872,45872
1540385_Petera-Zarina-atminas.txt,54625,45685,45936
1687233_Almas-Vucenas-atminas.txt,50493,45404,45405
1277288_Imanta-Freimana-dienasgramatas.txt,51799,42943,42943
1268074_Veltas-Sproges-dienasgramata.txt,52980,42793,42793
1297628_Mikela-Tupesa-dienasgramatas.txt,49899,42493,42509
1222931_Jana-Davja-dzivesstasts.txt,46627,38554,38549
1119255_Nezinama-cilveka-dzivesstasts-Sakts-1944-g-augusta.txt,48062,37585,37583
1313134_Edmunda-Ozolina-dzivesstasts.txt,41737,34091,34129
1648999_Luizes-Griganes-dienasgramata.txt,57115,33048,33142
1270711_Jana-Sudmala-dienasgramatas.txt,39890,32467,32464
1475487_Eustahijas-Lucjanovas-dienasgramata.txt,38583,31939,31941
1652337_Edgara-un-Mirdzas-Laku-dienasgramatas.txt,36254,30094,30175
1209573_Balozu-gimenes-dienasgramata.txt,33092,27561,27599
1293854_Imanta-Jansona-dienasgramata.txt,32407,26871,26894
1307228_Romana-Duna-atminas.txt,30763,25660,25726
1290580_Voldemara-Mitenieka-dzivesstasts.txt,29972,24309,24309
1307411_Adolfa-Cerbikova-dzivesstasts.txt,28464,24118,24136
1207749_Valmieras-komercskolas-skolniecu-dienasgramata.txt,29732,23829,23834
1362666_Davja-Dauvarta-dienasgramata.txt,24153,19745,19746
1120355_Jana-Pavasara-dzivesstasts.txt,23735,18714,18721
1187225_Aleksandra-Kudina-atminas.txt,21061,17195,17273
1190402_Jekaba-Millera-atminas.txt,20788,16619,16621
1115688_Karla-Valguma-dienasgramatas.txt,22651,16469,16550
1117599_Irmas-Viksninas-dienasgramata.txt,20876,16168,16167
1117599_nezinamas-rigas-skolnieces-dienasgramata.txt,20876,16168,16167
1135456_Dzintara-Lazera-atminas.txt,17369,15389,15390
1119253_Adama-Purmala-dzivesstasts.txt,17005,14564,14564
1900122_Karla-Vesmana-vestules-un-Annas-Rosmanes-dzivesstasts.txt,18093,14300,14371
1376071_Laimona-Upmala-dienasgramata.txt,20568,13955,13965
1311692_Kapteina-P-Zolta-skautu-saimes-dienasgramata.txt,18072,13037,13021
1458840_Karla-Alberta-Sila-dienasgramata.txt,14240,11727,11709
1246844_Anda-Mitana-un-Gunara-Skubina-sarakste.txt,14213,11470,11495
1283130_Petera-Smita-autobiografija.txt,12911,10851,10851
1172883_Jana-Golvera-atminas.txt,12758,10756,10757
1238885_Arija-Vilemsona-raksti.txt,12886,10241,10246
1799971_Izraksti-no-Karla-Paucisa-dienasgramatam.txt,13107,9570,9568
1217832_Andreja-Pablo-Mierkalna-dienasgramatas.txt,10785,8777,8782
1510251_Elmas-Marijas-Vanags-dienasgramata.txt,10370,8317,8319
1307973_Elizabetes-Busas-atminas-un-dzeja.txt,9986,8006,8007
1192809_Karla-Kreicmana-atminas.txt,9172,7686,7684
1261070_Nikolaja-Brivlauka-atminas.txt,9275,7573,7572
1283651_Zana-Talberga-Kolimas-dienasgramata.txt,8851,7139,7136
1115696_Edgara-Reinsona-dienasgramata.txt,8006,6932,6931
1181543_Arvida-Feliksa-Latsona-dienasgramatas.txt,8124,6863,6864
1646639_Jana-Grinvalda-dienasgramata-par-Daini.txt,9981,6827,6847
1146882_Otto-Viksnas-atminas.txt,8441,6798,6798
1313135_Lukasa-Ozolina-atminas.txt,7924,6315,6315
1135955_Astridas-Tobes-celojumu-dienasgramatas.txt,7797,6057,6062
1306961_Hertas-Egles-dzivesstasts.txt,6776,5578,5585
1186759_Mirgas-Ivetas-Kulikovskas-dienasgramata.txt,6666,5152,5147
1593461_F-Celmina-dienasgramata.txt,6276,5117,5117
1312690_Aijas-Viksnas-atminas.txt,5607,4590,4590
1375693_Zigridas-Paegles-dienasgramatas.txt,4738,3720,3745
